Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S5_Slot1-7_1_8641	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S23_Slot1-8_1_8642	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S42_Slot1-21_1_8670	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_QC4_Slot1-10_1_8644	Clinspect_E_coli_B_S53_Slot1-22_1_8671	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S62_Slot1-16_1_8664	Clinspect_E_coli_B_S66_Slot1-13_1_8647	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	Clinspect_E_coli_B_S86_Slot1-4_1_8638	Clinspect_E_coli_B_S91_Slot1-25_1_8674	Clinspect_E_coli_B_S98_Slot1-9_1_8643	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_014_R2	BBM_673_P283_01_VEB_015_R2	BBM_673_P283_01_VEB_016_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_018_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_020_R2	BBM_673_P283_01_VEB_021_R2	BBM_673_P283_01_VEB_022_R3	BBM_673_P283_01_VEB_023_R3	BBM_673_P283_01_VEB_024_R3	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_28_s17	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_31_s33	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_34_s48	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD	CVT09_QC1_LabE_X023	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_QC4_LabE_X026	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s50_X011	CVT09_s55_X012	CVT09_s59_X013	CVT09_s61_X014	CVT09_s67_X015	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018	CVT09_s90_X019	CVT09_s93_X020	CVT09_s99_X021
P0A7I0	9330200	8893950	12206900	11083900	9760830	9474650	7954690	8516050	8348370	8633430	8845050	9987640	8547370	9257770	11552300	12711000	11617700	11500200	11928700	10956800	11439500	11582800	11010400	11934900	74786.1	108030	76037.1	92362.2	103592	94568.1	74444	85604	118055	73295.5	89961.2	102836	88831.8	133645	121539	111918	133456	89497.4	85439.6	112743	117755	85102.1	113858	6968750	6229800	6205860	5745780	6206760	6079780	5787350	5359740	6158090	5797370	5545870	7851270	7174960	6976820	6244440	6342300	5659120	6772400	6922230	7260740	6727010	6787440	6707510	2659930	2384660	2712180	2605750	2498950	2688130	2353820	2480220	2453490	2705610	3137290	3232950	3336670	3100060	3311120	3276040	3181520	3042730	3254410	3227730	2403870	2423420	3306110	3308150	1364880	1262530	1180510	1406840	1257990	1309020	1174510	1296100	1232740	1319970	1305720	1173680	1262870	1372900	1417320	1336760	1471860	1359290	1417130	1395960	1463600	1314760	1376990	1378530
P27302	242510000	253852000	219847000	216460000	242284000	253233000	251209000	264513000	238816000	268267000	229997000	123109000	256139000	265848000	205056000	196071000	218855000	202676000	206095000	224879000	211015000	206286000	233442000	204598000	1070420	1192720	1077540	1088950	1180720	1194570	1218400	1165510	1112980	1289850	1235840	1173790	874549	977496	987390	1085680	947950	901218	859751	1079950	1010360	978895	951375	76865700	82014700	89864600	69934900	93921900	80679100	68163500	94027400	77633200	83951400	83912300	59296100	69776700	75070100	73085800	72645900	76013800	77354400	76610200	64727600	66517400	77152800	75208000	48040400	51468800	49178700	49922000	48263900	48983400	49942300	43196900	44084800	48388700	40822100	40679100	38426700	41420200	41134900	37963800	43261700	42895900	41844500	42575300	51986000	50317400	43243900	42318000	12841800	15714800	15025200	12906200	15860800	14152200	16246300	14896400	14950200	14125300	14567900	18178000	16063700	14743800	12703200	12838600	12415100	13633100	13649300	12882200	12476900	13170400	13324500	12644200
P22731	26631000	30271600	31179300	31386700	27145000	27899700	33668300	33628100	32316600	29756600	27444800	24328700	31527900	33200200	29491700	28799200	31182600	30668500	32162200	34733000	31131100	26180200	34475800	28685200	151973	175646	160356	192754	177290	209394	183974	196055	230070	185322	215094	145979	190491	209816	191454	210869	192811	229602	230928	206291	208112	194023	189942	10477000	11488600	14211900	11896800	12560500	13573500	13538600	11704400	12644500	13193600	14026400	12428900	11906700	15683100	14004900	14575200	14203200	15174700	14842800	13592000	10193600	14134100	15099800	6606480	7780120	6644780	7826600	7369350	7038700	7544650	7507440	7460710	6851200	7454260	7328450	8013620	7720120	7362140	7700600	7055380	6697250	6923710	6588020	6879750	7340450	6767670	7239480	2576680	2501370	2556820	2456740	2197450	2396770	2596090	2395100	2708120	2546000	2514930	2555120	2226090	2526720	2463040	2742210	2408530	2647510	2476740	2601520	2488020	2594440	2406480	2514160
P0A7Y8	16841800	15609600	19474300	19223900	21137400	19988600	17501900	20067100	14156000	19240000	17630200	15184000	18232500	19211500	20384700	20506600	20602300	16871600	20652100	19089200	18335600	19877500	19214000	19628300	41995	42750.1	42244.3	50001.9	45824.8	44265.5	44301.8	44000.8	48545.4	40780.6	45983.2	46931.9	41663.6	50714	49624.8	53384.6	64753	47161.7	44441.9	54614.6	57468.8	53170.9	53718.8	4325890	4750400	6440050	5414200	6187380	5765470	5093500	6654430	5568740	5679670	5530270	8458840	7026180	6838480	6305350	5625820	6054130	6650000	6502170	7592890	7615800	6007820	6767020	3463690	3446990	3634530	3326750	3191260	3527230	3322620	3293060	3043530	3308140	3563060	3776070	3998990	3664900	3657190	3641720	3465900	3780530	3812020	3606370	3306320	3301100	3580160	3773590	1857290	1580360	1748720	1688180	1837300	1704800	1737960	1571000	1579620	1660360	1683990	1632740	1516270	1518180	1796560	1905410	1816250	1786130	1815120	1806620	1829090	1792090	1762670	1825270
P76440	13898300	12879000	6668170	4126520	22606600	18727100	6046530	12689000	28819300	12674400	14079200	8533660	12653600	16282000	5186200	4733180	5862650	5715920	NA	6026950	4057590	5939590	6388330	5175180	73711.2	96886.1	84271.1	110713	90866.1	162529	124189	74412.4	68468.5	106268	94767.2	131488	29590.6	23900.5	22501.2	13649.2	21268.2	14108.4	17838.3	31164.2	34436.9	16623.2	26499	15752800	15152500	9713340	2789120	28904000	10407000	3478840	18694600	6072890	9503550	9275030	1631510	671754	1379710	1237780	916397	1111330	1884020	1766820	3264620	1367660	2745380	1937370	12844200	4347610	9660600	4015570	4013660	14065100	3369860	2955190	3216860	14413000	824847	583565	833534	860608	1211600	2002560	1558530	1360520	2023360	1906830	6470320	6092830	1864900	1503380	993411	2993910	3048330	1121040	4104430	1815940	2483030	2851570	1606850	1751280	2125340	3772520	5190280	2335410	1006810	1196460	1461630	1159110	1153450	1032410	883703	943306	1030600	1061280
P75682	6592120	7072670	3701230	2806660	6600600	6423250	9081750	8183690	9164730	8790070	6744920	5889820	7595870	9124630	5326660	1591400	2256160	3911530	3393300	7257830	5522980	10800700	3991830	8673160	28023.7	42962.8	34231.8	36911.5	34445	35877.5	32094.7	34828.6	39082.6	31168.4	35193.7	35427.1	13277.5	13663.2	10287.6	13488.5	12549.1	10383.1	13143	10355.9	12129.5	13578	11959.7	1495040	1807730	1577370	1516660	1434360	1592320	1635860	1597630	1694570	1610560	1655340	736310	690393	712807	583996	647479	532682	691204	970263	736429	452580	449316	587417	1250720	1244710	1117180	1235420	1207750	1235310	1311780	1280060	1283490	1079690	408215	464072	467755	392881	407658	442159	386679	391254	330052	335068	1141900	1148020	422126	426984	161141	208356	207050	NA	204042	183822	205571	195444	227450	228016	179630	193989	251117	197004	NA	NA	NA	145471	NA	247454	NA	NA	NA	NA
P0AE52	126819000	114241000	121353000	98844400	128560000	108792000	124312000	121385000	144944000	128718000	131915000	211606000	134155000	121240000	122141000	130253000	114586000	132127000	112465000	119551000	121014000	110713000	122190000	124461000	1042550	1946920	1354540	1979460	1751290	1697220	1733690	1559380	1982240	1660440	1907410	1660560	1730250	1717400	1873710	1893750	1853270	1703740	1620170	1532880	1982340	1842870	1815230	61512000	51027300	47255200	49099400	43394500	53458000	53790500	38494900	56836200	47959000	44169200	54088900	43125000	42261900	36917800	36641500	30853400	38919900	39487100	44650000	44742000	41371900	38941200	22957600	24941100	29016200	25475300	24648700	25060400	25864200	25467900	26088100	23410500	24576900	26117400	27096100	23918100	25980600	27133800	26541500	26363900	26006800	24087500	24563800	25072100	24593100	25382200	5312580	6349330	6660920	5491670	5791030	7364900	6471640	6634900	6819540	6998250	7030510	5400590	6230020	6695690	6108180	5986460	6348180	5596400	5641650	5822820	5868000	5766790	5779720	5855130
P60438	415961000	343450000	598145000	556684000	486967000	484855000	443295000	514050000	472408000	521308000	435103000	339375000	468101000	496900000	675962000	671119000	680532000	684753000	634875000	646133000	627575000	643308000	680047000	624877000	2295740	2685810	2163320	2499860	2555450	2313780	3055400	1976820	2564920	2856760	2839530	2317820	3465800	3910160	3695920	4387650	3524630	4122280	3913440	4198040	3837420	3809030	4438400	330661000	310783000	362805000	350519000	385543000	377842000	342555000	354593000	330616000	356392000	352550000	466481000	417203000	486510000	461805000	459443000	442811000	460097000	477875000	478316000	465307000	504779000	495409000	201864000	212998000	220813000	208902000	197700000	212494000	204868000	197226000	193729000	205773000	283674000	297584000	299949000	288595000	301923000	296863000	286051000	297438000	279601000	282258000	208467000	203988000	300195000	299382000	53693100	44486400	44030900	54495300	43342600	45511000	44477000	43565700	42622200	42716900	44521600	42637300	42806100	45224600	56162900	55379400	58177500	54034400	55169200	53685300	51834300	53576100	54709300	53046200
P0A9P0	838050000	845500000	402205000	403926000	796204000	807618000	835454000	799201000	633910000	838621000	755728000	418886000	934357000	850876000	383236000	397144000	409888000	360175000	446171000	376906000	385747000	386562000	380828000	392129000	2953640	3283420	2866400	3165960	3262640	3655830	3184730	3335820	3779380	3048840	3618300	3356610	1327090	1639890	1673010	1773310	1765030	1463290	1491860	1912450	1737880	1552750	1634700	185101000	205494000	235365000	181531000	223642000	207544000	189584000	213575000	200892000	201674000	222304000	94117400	102135000	104684000	99179400	100208000	99479800	102780000	100393000	97509800	91078100	111767000	107922000	183482000	208645000	194517000	199945000	190598000	189394000	204932000	176631000	188188000	181786000	82266100	83839100	79908500	85510300	85680500	75739900	81678900	83885500	86428900	83072900	194583000	200308000	87970500	86392800	38115900	81125300	79910500	39365000	86359400	68108400	89263200	79203400	83862700	72567200	69646400	95087700	80970500	70944200	37909700	38725800	37518200	39923300	38965300	38572800	37177400	38131400	36849000	38163000
P0A7V0	327565000	314475000	452213000	432205000	326858000	296858000	323309000	346456000	348543000	346800000	301442000	265964000	341687000	358602000	456215000	452692000	460951000	478002000	432324000	447181000	431289000	440675000	478069000	428437000	2202840	2865120	2302180	2930970	2719170	2740060	2924480	2283710	2769850	2921790	2843500	2792580	3265080	3604420	3627520	3695220	3637310	3615090	2918690	3666510	3797160	3669710	3913290	237778000	246761000	237806000	196736000	255356000	249147000	218823000	245355000	252523000	232126000	239152000	370456000	288701000	301870000	271854000	271360000	237834000	283178000	275630000	305150000	316686000	357751000	328560000	79272500	87097600	93369400	87627600	83424700	87197900	84881400	84555900	71895700	81377300	115032000	115351000	125868000	111377000	113627000	116404000	110153000	116674000	113716000	105755000	81934400	78978000	109615000	115615000	47982800	38780600	38295200	48223600	37345300	40350800	37882500	37488900	36389200	37042200	39656000	37807600	37621100	38490200	48712700	49760900	50442400	47206500	51080500	49035500	47462600	47730200	47454600	46927600
P68679	611512000	521736000	896957000	680512000	787465000	664968000	623536000	826155000	951757000	872734000	663307000	991330000	655897000	602329000	914456000	968409000	905498000	980761000	929940000	831547000	814871000	676333000	806900000	790524000	549633	735569	486681	671680	716897	669269	617510	753661	924582	638190	703960	588377	564338	855404	814863	746362	818716	732495	675462	722638	753591	646377	721716	396827000	346530000	338869000	385711000	327577000	380385000	353262000	300644000	406028000	360078000	345649000	518737000	425121000	398305000	278114000	336011000	275355000	332579000	345483000	407172000	411564000	368937000	396090000	118009000	124289000	135071000	120134000	116509000	115155000	116072000	113540000	114593000	124273000	148966000	161113000	178695000	173933000	184946000	168791000	176564000	171661000	187293000	160568000	126350000	130023000	167006000	209883000	48269000	47321100	43667900	49405800	46093900	52598500	43355700	50476900	46776800	49885100	49213400	40403900	41964800	48107800	53730800	59620100	58561000	49084300	52079100	49896900	48063700	47968600	50169400	48340800
P05793	420814000	486392000	852244000	988143000	370635000	392207000	558396000	416576000	330327000	411609000	420602000	224638000	493309000	438786000	891984000	893798000	983869000	726933000	1000470000	1036980000	1075120000	945337000	916477000	1035660000	1454450	1704690	1444680	1314860	1666270	1492440	1381500	1638060	2071930	1387980	1702810	1405230	2219630	3113230	3123850	3529940	2910910	2799260	2320910	3177330	3489590	3206490	3096410	102046000	106775000	111756000	115940000	138991000	118966000	129353000	123194000	116651000	120005000	126932000	253214000	269562000	305488000	266632000	268697000	291130000	308230000	290895000	292555000	267238000	293305000	312046000	77108400	92962600	82191900	88427300	93139700	81792300	97807800	95514700	91993700	77744000	191344000	185979000	189618000	186927000	181804000	187959000	199606000	194938000	196707000	175455000	89926000	91933000	176895000	190187000	111775000	53457900	52143800	102883000	52788200	52376500	55374500	49425000	59433300	53437500	54885700	53978000	49627700	52983700	109316000	124172000	110592000	116230000	114844000	122924000	110274000	122812000	115198000	113868000
P17315	87243100	97079000	79891700	101097000	60889900	63811300	130126000	146126000	87817100	128149000	85771900	167129000	149834000	121090000	101939000	72642000	98902200	91256900	152531000	141515000	173570000	127681000	37739800	213520000	742225	1038400	1099410	834252	962101	782134	696404	813274	1223550	674385	949487	707473	811362	1150580	1116980	1195130	929227	835322	782414	1153020	1574300	992451	1154380	37320600	41512000	41877300	110193000	36105200	48509600	52892100	29728100	51923900	49702900	57022400	62662100	67912700	72087800	52102900	62513400	65840600	66890700	58166300	90774400	71958200	55336500	66913800	14487200	30244000	17667600	30757000	22953700	14632600	30765400	28925900	26958000	14916500	24915800	27186300	41664800	25923800	25152500	33214300	32825500	32469400	42435000	25798800	25004000	26412200	24458800	29317400	13234900	11437400	12691900	10872100	7869470	13498600	14843300	15783500	14334900	12541500	11160000	7448400	7745130	10813700	9053440	17107700	13979200	12170000	8326090	14170700	10680100	17946900	10029500	14028800
P09394	11998200	11246800	8197210	6610040	13300800	9670400	9549710	12903700	18561600	12269600	10470200	13798400	11720600	12986200	8552210	9088770	8143570	7748170	6113880	8307960	6822980	6895790	7329440	8714490	52684	79409.9	56751.3	91221.1	74447.3	80353.3	82765	57157.1	71255.2	76895.1	72498.6	93225.1	25975.9	29321.3	28978.2	37376.6	41669.5	32708	29849.6	22280.5	31464.1	31537.2	27517.7	4067770	3165140	3094060	2214650	3220030	2720730	2194770	2381130	2957510	2923250	2482770	717731	627349	644387	514499	645412	429551	655842	608359	697293	634127	619861	604653	2279640	1732430	2368450	1842880	1749560	2245340	1770150	1692660	1903590	2223090	676917	644742	772417	639848	710635	775049	715058	716232	659980	657228	1850850	1929170	776134	823197	360578	546780	568460	504431	519301	546469	579747	545041	527614	524350	530867	511941	576275	521703	396783	404051	489024	455411	452730	530695	556902	510758	356431	510127
P45523	174333000	137606000	174311000	129460000	210199000	176119000	175156000	202901000	290604000	205003000	195863000	290152000	196939000	192505000	202010000	215835000	175177000	223700000	175015000	173948000	171878000	154820000	192024000	180198000	1406120	1562810	1105970	1211650	1633180	1454400	904887	1430010	1941410	788768	1673350	1419100	562352	1323510	1378080	1276980	1487210	889738	657232	1225080	1313850	878729	1177980	145495000	116183000	101108000	130269000	106676000	127751000	134633000	76439400	135148000	121125000	114818000	108600000	86669200	95372300	79468600	90978900	63668900	94623800	87962800	98748300	88498400	92562600	100653000	33303300	36008300	43489400	37463800	37712200	35379400	38907900	38957700	38813300	35732000	35329300	38064800	40029500	33991300	39686200	39704300	38644300	35196400	38654500	35328100	36882700	38612600	35693900	37705600	12934800	15845300	16280100	12261500	14381700	19066800	15483400	16797800	16291300	17224400	17742400	13529700	13798600	16209400	14104500	13061500	14314300	12709800	13313300	13283600	13574900	12252000	13153400	12701100
P12998	5881950	6361680	6283860	6342620	4843850	4003730	7038900	4886770	4288030	5576480	4772810	6133490	5872010	6140460	5841260	6441450	5580890	5323740	6241870	6486170	6920400	6012220	6186760	5908320	26587.5	25664.8	25029.8	27113.5	22585.6	23290.4	26556.8	25143.9	27195.6	25925.2	22953.7	23773.6	27037.9	34438	27966.8	32058.2	29518.8	26283.8	28281.1	26462.2	30684.1	32583.9	26105.3	1749870	1844750	2280820	1757500	1849660	1915520	1872410	1926100	2132170	2066170	1951760	2349890	2567750	2400110	2882840	2769590	2857240	2845050	2939840	2446410	2225200	2132090	2485960	1126750	1353490	1216590	1239710	1253660	1161910	1283780	1262990	1261200	1062210	1481330	1355310	1217400	1271960	1302770	1290720	1334070	1432090	1279010	1191360	1203810	1176720	1214470	1371170	803652	681130	640634	720157	627780	622379	649263	737726	688506	647500	687026	560018	579668	625201	756809	717555	799732	756325	686328	765742	764404	732283	777015	811936
P00954	58265000	55503500	70548100	67769700	60688100	56508400	59052700	59617600	56424500	60370200	53744800	36039400	58676800	58571000	68046800	67264300	70816700	70460500	68706500	73466600	69194500	66374500	74657400	66179500	311670	339333	320269	297448	305617	344053	288339	316532	377393	296472	317639	337024	300219	385405	375019	363735	395847	299882	286793	358280	364629	330773	326496	20642300	22178500	25311500	21086400	23828800	21620300	20591200	23925400	21592300	22472300	24287900	29436600	30498200	32055900	30011300	29398500	32557800	31278700	31211900	30991800	29771800	31207400	33638900	11762200	11360800	11118700	11410800	11379300	11286400	11716000	11130200	11270400	11827700	14047800	13898600	13926300	14002800	13210000	13961400	13355800	13445100	13624400	13747100	11683200	11971000	13490300	14362900	8115660	6945510	6617340	7885560	6978310	6590240	6863750	6763330	6539490	6748420	6755620	7047810	6817140	6921560	7991130	7790360	7658930	8196620	7758900	7784030	7593030	7836220	8113920	7827130
P00914	2181230	2201400	2673030	2225840	2302770	2265240	3548860	2765500	2340700	2550350	2199090	1506210	2128040	2272630	2434780	2615600	2171440	2568930	2510180	2539330	2185070	1839300	2237090	2237090	11851.8	18303.3	16858.2	21993.5	17045.9	17036.8	17808.3	20620.1	18728.4	17089.6	16789.1	15236.9	14554.8	18042.4	17101.7	21975.4	20115.9	15208.2	14804.6	16559.2	18245.9	19220.4	17154.9	566203	686054	720653	895943	559141	662882	1006310	673249	771148	682028	669149	689128	950278	871629	903440	836130	875806	855458	854253	723196	735259	776847	810742	634183	777134	593376	797277	777037	670072	813652	883675	835899	661240	708042	782717	614522	738781	730322	620130	684270	694416	633967	643727	692390	679014	671311	720073	879415	864245	885986	814776	773275	1072810	1024390	1000690	1033940	1058810	1055750	731377	782844	948044	871794	790410	913808	918276	884874	827016	988409	879695	797497	1031320
P33590	66508400	56180500	77090500	61325300	82929400	65921000	30751500	81997500	113719000	66596800	49666300	50232500	47066800	68526700	78015100	57998300	58525400	63620800	37385700	67313800	57851800	78364100	65656000	60648700	97401.7	98027.6	101120	131010	86500.4	114924	127134	93199.6	94347.1	120950	98982.4	128907	101984	109290	115885	77458.8	101290	79405.2	82666	119393	104470	79648.1	114844	11282900	9466280	6546250	6551860	14970000	9715330	5955430	9359520	6829660	7689430	6258740	7109000	5314620	5418270	5788350	5499760	5618930	6051680	6445000	6634100	7515940	7731450	6552000	7449320	4328430	6374800	4790030	6034290	7567560	4560420	4986940	4902030	7949210	4700300	4734750	5411930	4741040	5532690	4965130	5666290	5676600	7022270	7268820	6515080	5464510	6833930	5718290	1905770	2272820	1890490	2332520	2367900	1623850	1742510	2585880	1397110	1911790	2109660	2166030	2595180	2950470	1865520	1634780	1519580	1426530	1848200	1844510	1969670	1895220	2132100	1691690
P0AEB2	96607200	94914600	123836000	121996000	99837500	91781600	97247800	101337000	89480500	101526000	93135400	83407400	100110000	105654000	118845000	121884000	124796000	113750000	125064000	125770000	122426000	118468000	128353000	120053000	230926	200836	223046	159600	238907	240323	157813	231928	205830	157984	224992	236964	141978	253116	281729	264737	279241	158657	94505.4	256364	246160	221367	204584	12987700	15391900	16867000	14792600	18474000	15700800	14227800	23275700	16145600	16298500	17272400	21194000	21050900	22211100	22327000	22824200	28731500	22153100	21950600	21122700	19211400	19728100	19842200	12421300	12815200	11243000	12469700	12632200	12612200	12883700	12498300	12326700	12843600	15729200	15756200	15458000	15983600	14666500	15418500	14781700	15234100	14914900	15360500	13203300	13227600	16051100	15914400	5480330	4255520	4152750	5266760	4154600	3900740	4390660	4139430	4162340	4086520	4017320	4456250	4447840	4277230	4884140	5014580	5122260	5353110	5240200	5009450	5078800	5326340	5285090	5218730
P37617	1613460	1415820	1436220	1933120	1280100	1309480	1519210	1268530	1250150	1285960	1279310	1107020	1344440	1499220	1118110	1373510	1286930	1631490	1182500	1465790	1470950	1254730	1568140	1453380	8008.22	6828.02	6653.02	4448.05	6803.93	6310.29	9078.61	9379.49	9747.44	9630.44	7529.52	9858.63	7400.07	6403.22	6977.64	6331.21	6617.22	7990.04	7186.22	9276.11	7838.02	8253.27	10355.9	477712	469179	480277	520909	441922	428138	505524	681439	435010	421315	471024	385340	462855	400271	419105	403712	468701	456815	439705	579338	521236	382442	408764	1450160	1705800	1302120	1459510	1433540	1518970	1469530	1601200	1657420	1609450	1173770	990396	970782	1283860	1136760	1250850	1222550	1016770	1307910	1299790	1257530	1520780	1200530	1225000	137736	170796	236714	251134	356553	257459	190589	496875	287097	245768	270303	134592	403445	177036	133069	111544	256956	235138	242807	108128	123112	108650	161111	138130
P76235	5612470	5865450	4452650	4328280	6208400	5749490	9013210	5444690	4467590	5406890	5284010	5443480	4972650	4799960	5257700	5652650	4399820	5184670	5008290	4871890	4787530	4476590	4674370	4463740	73059.1	79639.3	75337.8	85357.8	83726.1	79458.9	81011.8	87748.1	99806.2	84971.3	77191.6	60195.4	77253.4	76658.4	72929.1	97223.3	92303.4	94320.8	94507.5	66700.9	58390.9	99474.9	81149.8	1013990	1122470	1107900	1674160	1309310	1353960	1394540	1045640	1550670	1427840	1603930	1241860	1162370	1286410	1559320	1214990	1165110	1240810	1148480	1154410	1196390	944929	1130030	1073990	1614210	1194350	1549980	1579200	1035410	1528830	1585400	1726640	1033810	1338840	1204310	1228980	1361880	1329600	1323720	1300060	1259720	1084130	1067890	1381770	1477370	1242210	1308290	630648	507267	473237	661226	484782	491669	559971	529235	591494	543197	522975	555074	448408	470896	620525	434188	546360	576127	592707	627443	584523	654586	618982	656647
P0AF63	10974100	9852780	8979950	9277200	9878330	10697000	10622600	9294190	8212690	11037800	9920960	13224800	10085200	9736850	9348490	11377600	10059100	10724400	10754300	10549400	10638400	10204600	9414470	12487700	44318.3	30184.5	34415.9	12212.9	36842.4	32189.7	14696	33324.1	30780.2	15083.8	36797.5	45442	13242.4	22780.9	39296.4	20846	38296.4	5245.31	16849.6	17929.3	24789	19214.8	9631.55	4700920	3571690	3722270	4022470	4317820	3941000	3529300	3987050	3774970	3306110	3368350	2849760	2450810	3665310	3127770	3189220	3133730	3260600	3599130	3506470	2621080	3516150	3684410	1989440	1670220	1786360	1706970	1727700	1902120	1744280	1728940	1623700	1979830	1921900	1749500	2099530	1903220	1876380	2041460	1895070	1850780	1975110	1922500	1828230	1678400	1855270	1984230	5686330	5551510	5625680	5645370	6491130	5354940	5611830	5909870	5452170	5665780	5503140	5640100	6351470	5740750	5642160	6040280	5844970	5672220	4800790	5690790	5588300	5672590	5942610	5090880
P0AFR0	7642140	7076750	7308500	7010560	8977360	7878190	8670870	7793440	7680310	7400120	6759440	5119510	7647370	6997860	7764650	7827020	7749140	8301230	8206190	7221570	7921270	7622650	7569120	8850600	27343.5	32330	29041.1	31095.3	32462.3	30289.4	31088	31371.2	27891.6	27718.7	27204.2	33454.2	35750.7	37076.1	31462.3	35224.5	34200.4	32320.6	31031.7	35352.1	34234.6	38110.1	35933.9	2185070	2401050	2198150	2777300	2149140	2418000	2607520	1769230	2211090	2304170	2240320	1910890	2223420	2274200	2444570	2512650	2452590	2304450	2343010	1978670	2207740	2225920	2298800	669449	658166	640440	663864	673984	740382	605515	651087	622229	673731	727332	717258	729832	737304	716780	716412	708763	726037	672093	672290	649366	648735	696797	675203	499599	423499	371429	493687	437625	470646	468383	433534	440065	422553	424773	433419	440186	407912	534314	521444	517919	506159	516496	491882	486090	524553	484316	472270
