data_name,data_preprocessing_name,metric_name,metric_value,predicted_client_name,cross_validation_method,seed
Microarray Data,uncorrected,MCC,0.8974358974358975,GSE26712,Train-Test-Split,42
Microarray Data,uncorrected,F1_score,0.9487179487179488,GSE26712,Train-Test-Split,42
Microarray Data,uncorrected,MCC,1.0,GSE38666,Train-Test-Split,42
Microarray Data,uncorrected,F1_score,1.0,GSE38666,Train-Test-Split,42
Microarray Data,uncorrected,MCC,1.0,GSE40595,Train-Test-Split,42
Microarray Data,uncorrected,F1_score,1.0,GSE40595,Train-Test-Split,42
Microarray Data,uncorrected,MCC,0.6666666666666666,GSE6008,Train-Test-Split,42
Microarray Data,uncorrected,F1_score,0.8333333333333334,GSE6008,Train-Test-Split,42
Microarray Data,uncorrected,MCC,0.0,GSE69428,Train-Test-Split,42
Microarray Data,uncorrected,F1_score,0.5,GSE69428,Train-Test-Split,42
Microarray Data,corrected,MCC,0.8823529411764706,All,Train-Test-Split,42
Microarray Data,corrected,F1_score,0.9411764705882352,All,Train-Test-Split,42
Microarray Data,corrected,MCC,0.6,GSE14407,Train-Test-Split,42
Microarray Data,corrected,F1_score,0.8,GSE14407,Train-Test-Split,42
Microarray Data,corrected,MCC,0.9487179487179488,GSE26712,Train-Test-Split,42
Microarray Data,corrected,F1_score,0.9743589743589745,GSE26712,Train-Test-Split,42
Microarray Data,corrected,MCC,0.6666666666666666,GSE38666,Train-Test-Split,42
Microarray Data,corrected,F1_score,0.8333333333333334,GSE38666,Train-Test-Split,42
Microarray Data,corrected,MCC,1.0,GSE40595,Train-Test-Split,42
Microarray Data,corrected,F1_score,1.0,GSE40595,Train-Test-Split,42
Microarray Data,corrected,MCC,0.6666666666666666,GSE6008,Train-Test-Split,42
Microarray Data,corrected,F1_score,0.8333333333333334,GSE6008,Train-Test-Split,42
Microarray Data,corrected,MCC,1.0,GSE69428,Train-Test-Split,42
Microarray Data,corrected,F1_score,1.0,GSE69428,Train-Test-Split,42
Microbiome Data,uncorrected,MCC,0.6481481481481481,All,Train-Test-Split,42
Microbiome Data,uncorrected,F1_score,0.8240740740740741,All,Train-Test-Split,42
Microbiome Data,uncorrected,MCC,0.8,China1,Train-Test-Split,42
Microbiome Data,uncorrected,F1_score,0.9,China1,Train-Test-Split,42
Microbiome Data,uncorrected,MCC,0.7391304347826086,China3,Train-Test-Split,42
Microbiome Data,uncorrected,F1_score,0.8695652173913043,China3,Train-Test-Split,42
Microbiome Data,uncorrected,MCC,0.6190476190476191,China5,Train-Test-Split,42
Microbiome Data,uncorrected,F1_score,0.8095238095238095,China5,Train-Test-Split,42
Microbiome Data,uncorrected,MCC,0.5238095238095238,France1,Train-Test-Split,42
Microbiome Data,uncorrected,F1_score,0.7619047619047619,France1,Train-Test-Split,42
Microbiome Data,uncorrected,MCC,0.7333333333333333,Germany1,Train-Test-Split,42
Microbiome Data,uncorrected,F1_score,0.8666666666666667,Germany1,Train-Test-Split,42
Microbiome Data,uncorrected,MCC,0.25,Germany2,Train-Test-Split,42
Microbiome Data,uncorrected,F1_score,0.625,Germany2,Train-Test-Split,42
Microbiome Data,corrected,MCC,0.6666666666666666,All,Train-Test-Split,42
Microbiome Data,corrected,F1_score,0.8333333333333334,All,Train-Test-Split,42
Microbiome Data,corrected,MCC,0.6,China1,Train-Test-Split,42
Microbiome Data,corrected,F1_score,0.8,China1,Train-Test-Split,42
Microbiome Data,corrected,MCC,0.5652173913043478,China3,Train-Test-Split,42
Microbiome Data,corrected,F1_score,0.782608695652174,China3,Train-Test-Split,42
Microbiome Data,corrected,MCC,0.7142857142857143,China5,Train-Test-Split,42
Microbiome Data,corrected,F1_score,0.8571428571428571,China5,Train-Test-Split,42
Microbiome Data,corrected,MCC,0.8095238095238095,France1,Train-Test-Split,42
Microbiome Data,corrected,F1_score,0.9047619047619048,France1,Train-Test-Split,42
Microbiome Data,corrected,MCC,0.8666666666666667,Germany1,Train-Test-Split,42
Microbiome Data,corrected,F1_score,0.9333333333333332,Germany1,Train-Test-Split,42
Microbiome Data,corrected,MCC,0.25,Germany2,Train-Test-Split,42
Microbiome Data,corrected,F1_score,0.625,Germany2,Train-Test-Split,42
Balanced Simulated Data,uncorrected,MCC,1.0,All,Train-Test-Split,43
Balanced Simulated Data,uncorrected,F1_score,1.0,All,Train-Test-Split,43
Balanced Simulated Data,uncorrected,MCC,1.0,lab1,Train-Test-Split,43
Balanced Simulated Data,uncorrected,F1_score,1.0,lab1,Train-Test-Split,43
Balanced Simulated Data,uncorrected,MCC,1.0,lab2,Train-Test-Split,43
