"MSP"	"ERS436799"	"ERS436798"	"ERS436797"	"ERS436796"	"ERS436795"	"ERS436794"	"ERS436793"	"ERS436792"	"ERS436791"	"ERS436790"	"ERS436789"	"ERS436788"	"ERS436787"	"ERS436786"	"ERS436784"	"ERS436783"	"ERS436782"	"ERS436781"	"ERS436780"	"ERS436779"	"ERS436778"	"ERS436777"	"ERS436776"	"ERS436775"	"ERS436774"	"ERS436773"	"ERS436772"	"ERS436771"	"ERS436770"	"ERS436769"	"ERS436768"	"ERS436762"	"ERS436761"	"ERS436759"	"ERS436755"	"ERS436754"	"ERS436753"	"ERS436750"	"ERS436749"	"ERS436748"	"ERS436746"	"ERS436745"	"ERS436744"	"ERS436743"	"ERS436742"	"ERS436741"	"ERS436740"	"ERS436739"	"ERS436738"	"ERS436737"	"ERS436736"	"ERS436733"	"ERS436730"	"ERS436729"	"ERS436727"	"ERS436725"	"ERS436722"	"ERS436721"	"ERS436720"	"ERS436714"	"ERS436713"	"ERS436712"	"ERS436711"	"ERS436705"	"ERS436704"	"ERS436703"	"ERS436701"	"ERS436699"	"ERS436698"	"ERS436697"	"ERS436695"	"ERS436694"	"ERS436693"	"ERS436691"	"ERS436690"	"ERS436689"	"ERS436688"	"ERS436685"	"ERS436684"	"ERS436683"	"ERS436679"	"ERS436673"	"ERS436672"	"ERS436670"	"ERS436669"	"ERS436668"	"ERS436666"	"ERS436665"	"ERS436661"	"ERS436660"	"ERS436659"	"ERS436658"	"ERS436657"	"ERS436655"	"ERS436654"	"ERS436653"	"ERS436651"	"ERS436649"	"ERS436648"	"ERS436647"	"ERS436645"	"ERS436644"
"msp_0021"	83	128	3464	0	48703	5972	0	680	455	180	0	1909	206	46	984	5827	578	479	0	546	0	78	348	125	424	317	1415	2944	1959	4523	6675	921	15103	0	39	613	987	203	43	167	150	88	2300	126	161	1311	882	568	1709	768	0	0	635	621	84	15	204	218	0	18	796	0	0	1881	124	0	288	300	48	150	16	5001	96	279	1044	152	0	185	1389	0	222	6581	95	675	116	0	70	0	59	2021	179	471	54	174	830	2206	2397	3959	317	0	166	2284
"msp_0022"	2317	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1841	0	0	0	0	83	0	0	143	124	0	1524	0	0	0	0	0	0	0	0	0	0	489	1432	0	0	8026	1209	0	6	0	16	0	0	0	0	0	0	0	0	0	0	108	403	219	0	7489	0	0	3	41	0	0	254	3114	28	2080	474	6	0	0	9572	6566	1210	0	0	0	0	0	1199	0	0	7	0	0	0	0	0	0	2572	1014	928	245	7055	0	1126
"msp_0023"	0	816	0	1157	0	2483	0	4151	1167	0	11	618	0	1374	5	8049	2004	186	3566	0	1799	2427	1155	824	634	383	3975	15	3587	6665	7	21137	5	0	15	0	929	9921	3	0	380	2170	17622	1928	1264	754	4236	3023	3386	19	3544	1695	4070	4903	138	150	2895	0	7201	882	342	1411	0	0	15532	6	2983	30	0	91	255	7450	0	4194	2287	2106	3	5	16377	6569	210	318	4760	4116	8	1111	757	0	927	0	0	324	3	559	3455	2523	64	2060	0	5225	1257	1223
"msp_0024"	180	70	62	6	71	0	31	0	0	222	0	0	0	7	0	10	13	0	8	0	0	0	5	0	6	9	33	0	0	0	103	165	1216	303	8133	12	8	22	5	0	5251	0	1196	149	0	23	0	0	167	69	37	11	21	55	0	0	76	0	16	0	580	33	821	0	23	13	27	0	246	9	0	13	11	0	4	4	9	107	321	55	10	0	825	249	0	0	0	0	36	6	257	0	17	0	5	7	0	0	0	15	46	0
"msp_0025"	0	1775	0	4137	0	0	0	4053	8	0	0	0	2019	2212	0	1815	4644	32023	84	99	2318	53	0	0	0	11931	41	0	1980	0	13	0	5792	13	0	23	43	2847	29	8807	62228	46	83964	56	672	19	11041	3685	304	22	9	2681	95379	0	5	4234	2435	22769	17	13	26	0	0	0	2512	15	66	21	0	21	191	6683	0	7	353	7602	4068	56	164	32308	0	0	0	16	0	6443	31957	395	1975	1715	11	27	2523	6345	25	849	0	8	2351	5	16	7256
"msp_0027"	1517	534	159	1796	26	0	3922	1537	11	0	0	532	0	343	0	2808	3934	0	0	2608	1874	561	0	508	1502	2340	412	557	2606	1855	0	7007	87	0	8023	4370	1369	17426	9721	9099	1940	4880	964	4238	0	523	8289	5631	0	1452	3400	4605	0	722	385	139	2913	660	9964	3067	2158	2474	7658	7508	7132	1	1481	494	4	3060	4361	71	1402	1814	970	2348	0	5	5418	1240	520	1743	419	6	2010	3931	897	0	3242	3	5	6643	319	140	3232	2769	10	3915	2398	9953	1711	1025
"msp_0028"	0	858	0	0	4	63	196	879	135	0	0	0	77	0	818	383	551	5552	0	12	37	0	0	31	82	0	0	0	294	0	2992	472	4758	0	0	0	0	0	61	0	0	0	0	0	0	52	0	0	0	0	52	0	0	1577	12	0	217	0	0	0	0	0	0	0	278	0	0	176	2097	73	0	0	0	840	0	0	0	0	0	0	446	69	0	0	0	16	179	293	0	0	0	176	0	47	0	0	188	206	83	1639	0	0
"msp_0029"	5	465	15372	3072	17	209	7390	3609	11157	4634	33	23533	9581	21372	1505	4605	4760	367	15450	742	9264	14611	8729	6	1327	18144	17401	25487	351	9401	23087	4618	56	19	19	2261	9	0	985	7985	218	15792	108	8463	7404	6631	1311	6955	3	10	22095	1946	8377	6668	5524	9004	17384	18432	1244	5	83	27712	0	18	23520	271	192	10770	3008	12732	4595	4571	16	3191	854	6076	35	1472	9981	34368	0	2316	639	8906	85571	4010	40329	15173	108	13166	24228	12729	26	3685	18670	2117	6914	13928	25687	29168	2879	38176
"msp_0031"	0	31	0	0	0	5489	0	4231	0	0	17	0	0	30	0	0	61	197	0	5601	4530	7377	261	0	138	0	0	649	4	0	9673	31	47	7	18	0	0	81	18	18109	334	445	0	257	0	83	17	1580	0	70	13894	10386	12	73	0	88	0	7	3479	0	11020	0	0	13955	0	3	626	0	45526	1117	1734	11	1620	0	23	9	0	3	7988	0	0	20103	0	3	0	6073	2824	0	2000	0	0	1917	0	570	0	0	23943	12	1792	12	2029	868
"msp_0032"	3875	1312	0	0	33	2054	1008	1364	293	12569	0	0	13	104	307	2701	20	0	0	2488	282	0	337	0	14174	0	809	91	630	274	47	1678	2019	13468	46	8455	0	15092	223	3353	2951	828	7	4746	0	65	344	182	9	27	379	4173	0	685	459	9	82	2481	8177	1529	20601	939	14924	0	2696	0	39	961	17785	174	27	25302	0	456	152	0	7375	28509	4478	195	87978	7	1186	735	528	1047	0	9	90	3834	7	154	304	564	2294	464	14	115	2022	23688	8794	533
