"file"	"condition"	"batch"	"lab"	"platform"	"protocol"	"datatype"	"rep"	"date"	"client"	"batch_code"	"pseudo_sample"
"B1_DDA_TMO_Exploris480_B1_M8_2"	"M8"	"TMO_Exploris480_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	2	20191008	"client_04_L03_L14"	"B05"	"client_04_L03_L14_M8_2_1"
"B1_DDA_TMO_Exploris480_B1_M8_3"	"M8"	"TMO_Exploris480_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	3	20191008	"client_04_L03_L14"	"B05"	"client_04_L03_L14_M8_3_1"
"B1_DDA_TMO_QE-HFX_B1_D5_1"	"D5"	"TMO_QE-HFX_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	1	20180327	"client_04_L03_L14"	"B06"	"client_04_L03_L14_D5_1_2"
"B1_DDA_TMO_QE-HFX_B1_D5_2"	"D5"	"TMO_QE-HFX_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	2	20180327	"client_04_L03_L14"	"B06"	"client_04_L03_L14_D5_2_2"
"B1_DDA_TMO_QE-HFX_B1_D5_3"	"D5"	"TMO_QE-HFX_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	3	20180327	"client_04_L03_L14"	"B06"	"client_04_L03_L14_D5_3_2"
"B1_DDA_TMO_QE-HFX_B1_D6_1"	"D6"	"TMO_QE-HFX_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	1	20180327	"client_04_L03_L14"	"B06"	"client_04_L03_L14_D6_1_2"
"B1_DDA_TMO_QE-HFX_B1_D6_2"	"D6"	"TMO_QE-HFX_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	2	20180327	"client_04_L03_L14"	"B06"	"client_04_L03_L14_D6_2_2"
"B1_DDA_TMO_QE-HFX_B1_D6_3"	"D6"	"TMO_QE-HFX_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	3	20180327	"client_04_L03_L14"	"B06"	"client_04_L03_L14_D6_3_2"
"B1_DDA_TMO_QE-HFX_B1_F7_1"	"F7"	"TMO_QE-HFX_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	1	20180327	"client_04_L03_L14"	"B06"	"client_04_L03_L14_F7_1_2"
"B1_DDA_TMO_QE-HFX_B1_F7_2"	"F7"	"TMO_QE-HFX_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	2	20180327	"client_04_L03_L14"	"B06"	"client_04_L03_L14_F7_2_2"
"B1_DDA_TMO_QE-HFX_B1_F7_3"	"F7"	"TMO_QE-HFX_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	3	20180327	"client_04_L03_L14"	"B06"	"client_04_L03_L14_F7_3_2"
"B1_DDA_TMO_QE-HFX_B1_M8_1"	"M8"	"TMO_QE-HFX_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	1	20180327	"client_04_L03_L14"	"B06"	"client_04_L03_L14_M8_1_2"
"B1_DDA_TMO_QE-HFX_B1_M8_2"	"M8"	"TMO_QE-HFX_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	2	20180327	"client_04_L03_L14"	"B06"	"client_04_L03_L14_M8_2_2"
"B1_DDA_TMO_QE-HFX_B1_M8_3"	"M8"	"TMO_QE-HFX_1"	"L14"	"TFQ"	"not_available"	"Proteomics"	3	20180327	"client_04_L03_L14"	"B06"	"client_04_L03_L14_M8_3_2"
