Ref8537_QC1_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S11_20230414	Ref8537_S35_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_024_R3	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s50_X011	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018
P0A9B2	1041760000	2049380000	2378600000	1087510000	987631000	1057470000	2435400000	2394570000	2367410000	2263610000	2122910000	2236420000	2374030000	2522870000	2051960000	2622940000	3579200	3788020	3692150	3931440	3942650	3575640	4164340	3633980	3622380	7255410	8089710	7618970	8372690	322044000	338224000	355715000	339578000	402536000	393183000	341351000	384953000	368583000	383278000	390604000	929987000	913373000	1050100000	319045000	368851000	374004000	355751000	838582000	794927000	816688000	837111000	895504000	850068000	904631000	887604000	396073000	853501000	905685000	92129600	88706800	83741600	80213900	87575200	83384800	84274900	83546200	79974400	88503100	202813000	203285000	197472000	209152000	200142000
P0A8I8	10939000	12530700	11631600	10262700	10383100	11298500	12142600	12416500	12576700	13153800	10918200	12640000	12085300	11353500	11957600	11476200	66978.4	87328.2	77694.9	81006.7	73352.5	64699.8	76515.2	58660.2	86002.5	51930.9	69215.5	62446.1	69168.5	3825670	4125000	4777520	3377170	4520980	4298250	3706240	5278600	3907210	3766170	4168740	5343970	4924720	4657690	1902360	1789900	1674130	1556400	1810060	1739110	1817590	1874130	1752310	1628560	1747120	1843450	1710860	1819120	1849360	1434700	1456050	1394000	1506060	1591060	1396390	1287390	1444820	1572930	1437140	1431010	1663600	1644230	1574940	1553510
P0A8T7	268292000	323447000	329452000	283844000	245062000	276798000	323906000	318145000	322850000	299962000	325770000	319131000	321185000	319829000	315784000	314858000	1295430	1374440	1311890	1427240	1385130	1405230	1419440	1489180	1407620	1358270	1717680	1380650	1802500	62709800	68490400	71643100	73356600	73525200	66227000	70459500	88302700	66540900	70556700	73358200	70727100	89702100	89363200	50597300	52223200	52626100	52241400	58809800	56968000	59226600	54694300	56436900	55150400	55591200	57518400	53455500	59263300	60548500	23059000	22370000	23192500	21180400	23761800	22629400	21909300	21809400	24821600	22811900	26323700	26650700	27617600	25700900	25488400
P0A794	29883000	26224500	24348800	24294000	25049000	27335900	25925900	24886900	27806500	24866700	23884600	26029800	26453900	26692800	26253300	23646300	375506	481900	515807	401915	496763	408670	432703	416657	429402	359696	372416	255998	351180	14213500	16074500	15510000	13268500	17250700	15125700	11879600	17506400	14499300	14785000	14254700	13451300	12020700	11866600	8828620	8617660	8456040	7535390	7641030	7500360	7814980	7248640	7908310	7640740	7956130	7818380	8720470	7743010	7336160	3836740	3500610	3873860	3369950	3781310	3743320	3623900	3460750	3870280	3593090	3371500	3151380	3200960	3228290	3039140
P0A7J3	964991000	1179050000	1164260000	941764000	955817000	929930000	1212720000	1487830000	1229930000	1319950000	1394790000	1231580000	1319380000	1261090000	1155800000	1336870000	1122650	1050860	952170	1113210	1119600	989085	1093610	984453	1051020	1162940	1626930	1023880	1386940	910031000	836249000	796443000	818473000	860614000	861837000	806947000	669320000	830460000	784330000	770910000	1079630000	778303000	987778000	234432000	236851000	237622000	207963000	313263000	348586000	308690000	351687000	296041000	335687000	337717000	313957000	240931000	304060000	324644000	139927000	134558000	137772000	146040000	131144000	142667000	137513000	145436000	134475000	141964000	175414000	173044000	163070000	159528000	161301000
P00935	55327500	57463200	54570700	48130500	44723700	51807100	56475800	58611700	53839500	56323800	53560000	52660400	54520000	58866600	51348200	55116300	183765	184933	192762	178543	235870	207126	214427	186878	212685	195683	196528	196946	202840	15273300	14778200	15737200	14467400	30783000	14926500	12920100	21724600	12783700	13997500	15012800	18747000	17344000	16130900	11235200	10865500	9763770	10454500	10364900	10046200	9817200	10649000	10496500	10301000	10723200	11000800	10326700	11202000	10016600	6541690	6400230	7480910	6250400	7001870	6438630	6007300	6154350	7592430	6069100	6266380	7279480	7173980	6824980	6754700
P0ACF4	1409830000	1114460000	795033000	1229040000	1320730000	1365060000	1215500000	1089150000	1063220000	1241720000	899158000	1145080000	1000740000	1030980000	1364470000	1053360000	2183110	2429350	2033890	2084550	2611790	1969720	2529460	1763420	2230890	1489180	1790480	1196100	2021520	884047000	684605000	645827000	771140000	624009000	731357000	736597000	434382000	739233000	649315000	614097000	278744000	378752000	414434000	155989000	153488000	159962000	162250000	116613000	119700000	117824000	127334000	137560000	118982000	137610000	124992000	156763000	120496000	125535000	91632300	94988800	90758800	111061000	88555300	93367600	99517100	93769900	73070300	91045100	65042400	59162100	57660500	61865400	56317900
P0AG84	42970700	28215500	33024900	59444400	36557300	42031600	30782800	30834100	27026700	31518200	27102800	33531500	32791900	30125700	29034600	32494700	112590	181248	145219	160458	137426	213746	214403	116391	138321	88588	112291	115489	83182	12968800	13769500	14361600	21258200	11442300	14678700	21727700	11486400	18785600	15072100	15503000	9957860	9233530	10490100	15099000	19403100	21641900	24852700	11729100	11211700	11195500	10846600	11971200	11939200	10474500	10166800	18255600	9592440	11604300	3959880	4205320	3478040	5522740	3962510	4205590	5633270	5344460	3036770	5078640	1893230	2726240	2256490	2333090	2565100
P0A9M8	203841000	166460000	156148000	222479000	195365000	245770000	167814000	151080000	142438000	180164000	120155000	158557000	147007000	178703000	145032000	159263000	1263970	1252250	1211430	1250670	1340820	1376150	1339620	1311920	1322240	1026560	925354	781685	1167730	60757700	64170800	65511900	73237800	73038600	63687500	65614600	74901500	61688600	66494000	66471000	39376600	43086400	51555900	35409800	37991600	37945000	37632500	22447800	21813900	22622100	23852800	25466700	23946800	28269900	29672800	39399500	29332200	27198100	22074600	21090600	21894700	20322900	22642600	22376100	21572500	21456100	22598900	23054200	13917000	13793100	14350800	14384200	14726100
P0A9Q7	150351000	961095000	926537000	224218000	145824000	164127000	1.024e+09	868766000	795813000	885840000	632707000	945461000	909230000	978534000	778876000	955468000	796283	845167	802883	903124	664923	930079	986341	798495	684432	3952090	3799320	3769900	4720780	36047000	39959100	44188100	58322700	40753600	48690700	59649900	48073900	51423300	51096800	54499100	246922000	278448000	324557000	29191500	40333100	43403800	44279900	190806000	182125000	179571000	199621000	219808000	207300000	231605000	233298000	41023800	231789000	229520000	22129500	21678800	18904600	22066900	21415000	19802600	22826100	22474400	18611400	21369400	103457000	111979000	119750000	113789000	112254000
P67087	12438200	10370000	10956700	10627100	11830700	10716700	9909990	11056400	10590000	9271880	10507200	10192800	11261000	10603300	10073500	11182400	124936	170606	166523	137968	145410	135735	157714	150702	155302	125433	137185	104477	112865	6615560	5840580	5393120	4557190	5797490	5635340	4760630	4837900	5488060	5201350	5324900	4881330	3983400	4371960	3493610	2845750	2804610	2764720	2802540	2818910	2841310	2781130	2798870	2843120	2835930	2659340	3008550	2764210	2744810	10239700	9885070	10438300	9525750	9545520	10046600	9899420	9821450	10041400	9674420	8912830	8492190	8864240	8900880	9350330
