Ref8537_QC1_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S11_20230414	Ref8537_S35_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_024_R3	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s50_X011	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018
P0A6F1	241683000	354008000	330978000	252522000	230528000	284339000	348622000	357334000	356794000	365260000	375840000	351021000	332359000	344334000	363983000	350258000	1034830	1195330	1202920	1166240	1205990	996273	1262440	1348760	1229200	1600930	1726920	1633790	1542960	60724500	66482200	69933400	49963000	70084700	61144200	53821700	67030500	63123100	60989000	60690200	82807500	93711200	85598500	34488000	33509700	32483200	32943200	43453400	45678200	43342700	43782800	39339500	40262200	42997500	41588300	34889000	44086800	44418200	21272200	21138500	21623000	21092100	22193300	20678300	19290200	19554800	21289400	19165500	27521400	30408700	29084200	26713400	26011500
P0AB71	315003000	520433000	512047000	347439000	304540000	337217000	549588000	517486000	500660000	518168000	456800000	546552000	507292000	551783000	478119000	528250000	1929080	2188390	2264010	1991140	2221440	2159110	2212730	1841680	1932220	3195800	2918770	2944040	3135740	97628200	100098000	114467000	89796000	109828000	110503000	106548000	101701000	109927000	106446000	106352000	170270000	163642000	177274000	100741000	114676000	119039000	114068000	158183000	153895000	150796000	162776000	160222000	163195000	167606000	166368000	114086000	184503000	179630000	23480800	23964000	21566700	23238200	24391100	22507600	23417800	24453500	22612000	23826300	32722800	36672100	36703000	35928800	35589600
P0AD57	25137600	20482700	24091400	22539600	24479000	19503000	21053900	23437000	22550700	17365100	26942400	22384000	27541700	24077500	19633000	23692400	300158	229552	233664	270379	246328	233072	220422	258611	253881	236774	267434	182185	293875	6499760	6056810	8004740	5846800	7549570	6012480	6462090	8316760	5460650	6552630	6390260	8199030	7445780	7532730	3774770	3939630	3586610	3419760	4145460	3983110	4207640	3986400	4070780	4213780	4028210	3905220	3720050	4272980	4101240	3022340	2935490	2804570	2875580	3031400	3010670	2873300	2967230	2746300	2724790	2900420	2841750	2822520	2836740	2815820
P77374	11357200	14988800	13412400	5888680	8980710	13339400	14308300	12650000	11507100	13707000	9504920	13724500	12259900	14250900	13821300	12492700	44767.2	47012.7	57318.5	43021.3	58661.8	39251.6	32123.6	66526	59997.5	69257.4	47999	50877.2	78718.5	2931340	3348640	2822400	1782560	4527720	3202350	1364940	3933400	2263550	2753430	2743480	2583290	3060060	3143420	2535460	1711550	1837790	1513270	2123220	1981720	2209530	2246180	2313430	2234350	2653390	2900050	2186230	3030180	2479270	652672	597275	687069	485581	626804	758744	449364	516080	686960	612736	599098	578194	730122	665703	692823
P0ACU2	4423640	2778490	3318110	3497830	4199050	1987070	2594700	4357700	2839760	2304860	4126910	2221030	4605150	3802330	1721550	4351790	3018.08	5481.01	5694.99	2569.11	3246.6	4846.94	4709.64	6128.22	4598.1	8301.53	5777.28	6931.58	4412.04	402209	380506	400232	402745	362436	347075	434940	606534	373559	431458	415844	555988	468655	342580	777573	793277	899674	795295	839947	875243	776752	734981	785276	834620	764681	848715	715478	824824	706157	137672	130043	127267	81154.8	144019	107586	209441	102624	141090	120481	112124	156064	176829	172810	169481
P77783	6575070	17886600	13664400	3817700	5966060	7337670	16939300	12351500	12229800	14104600	7670010	14249500	12241400	17460600	14935000	11568400	67234.2	77491.5	108070	64382.2	89378.7	64910.1	60138	121634	94171.5	239382	128483	221506	251335	3148850	3566230	2674450	1636250	4795560	3397300	1356260	4304820	2384450	2555670	2592550	5764810	6376490	6999770	3331500	2165090	2365670	2145580	4583620	4173810	4779360	5230860	5413990	5571580	6694470	7205760	2615660	7191920	5849590	806054	755154	873798	544223	754515	944163	606267	669459	810097	781893	1330470	1416740	1619110	1606400	1782800
P18775	28805800	53165200	44700600	14753500	24575200	31072500	55736500	44083300	38853200	50892200	24157800	47360300	40181200	57242600	52097000	36877200	90094	91806.2	107798	92952.3	127393	92273	78487.9	131748	125478	141535	113806	128749	206131	9265750	9566840	7836510	3286740	12617200	7644090	3606230	12287600	5870860	6556330	6532800	9387890	10886000	12186900	5973030	3450870	3355540	3020800	5041340	4385640	5190730	5952540	6290710	6458880	7746970	8550060	4079440	8314680	6464290	1866670	1739190	2158440	1424040	1723540	2040520	1214580	1385360	2285820	1646870	2084140	2268410	2708460	2648210	2769030
P0A6I0	28573200	28111800	25846900	31590300	32903800	30238900	28260800	33726900	28242600	26911800	30569300	30207600	31025300	30672300	29324500	32202900	466560	304706	261224	444564	432683	353799	291188	148425	447630	113240	289310	64458.1	268133	18467700	14607600	15083500	16337000	15303800	15167400	14488100	12165200	17471800	15146900	13857600	14899600	11432900	11904200	6049220	6150560	6415710	6276560	6052840	6135660	5785280	6386410	5966150	6035390	6382890	5964910	6462150	5853350	6169990	2065800	2112970	1895120	2303500	2007930	2088950	2216060	2210220	1983350	2120690	1884100	1897500	1808710	1865840	1893690
P0AG78	18557400	45083600	33881300	17710000	20016000	22261300	42836300	43499600	33254800	45430800	29583100	37127100	35627400	42540000	34877300	34595400	130954	108933	107644	171350	216377	121147	128954	114935	211089	226938	280041	209181	346706	15312700	21108100	19039900	25928300	16031400	20516100	17815400	15316400	20705100	19042000	19556100	23867000	30265500	27589100	3506700	3945800	3814420	4534370	4910710	4714360	4483910	5715370	4892360	5247490	5894090	5973060	3750970	7151530	5529410	1791480	1868410	1549900	2494420	1762040	2043160	1980070	1898280	1544890	2073920	2621750	2504270	2439240	2921610	2946760
P0ADR8	20598400	26663800	27081600	23386400	18458300	19886200	25442300	25832400	26301800	24993700	26720000	26118400	26219900	24534800	25313900	26341300	177662	193572	190810	183344	193180	201069	197330	156501	196554	207321	251633	199585	244111	5804430	5852240	7029170	7388310	9158250	6819970	7636430	7753110	6652430	7513770	7975200	8914500	10461400	10461900	8767610	10157200	10217900	10781700	12216700	12364500	12437800	11961700	12654500	12061100	11959500	11996000	10416900	12335800	12823800	1857030	1856980	1971700	1851720	1943460	1731980	1850480	1930370	1914510	1774580	2128130	2243860	2172850	2202050	2037660
P07003	92250400	73036500	83971100	108843000	88113400	74014200	77601800	88162500	80646000	67156400	85126300	78959600	91712500	82521100	68531400	87113200	294331	260409	235031	300419	253078	321829	303620	221413	255430	201225	292647	175120	278583	19812400	21526200	23895100	29222900	22794500	23140600	28469200	22496000	24976000	24090400	25723600	19814700	23565100	23838900	13665700	16237500	17320900	17909200	14666900	14295200	14393200	14656200	15576300	14836300	14421600	14380400	16833100	13603700	14391100	4036160	3983880	4011610	4172170	4458050	3928960	4168690	4174220	3996450	4064540	3771340	3931370	3971360	3756960	3831940
P0AC38	107110000	47173500	37846800	87890400	97848400	99840700	37393700	32032100	37555400	32977500	30700300	34885500	32399500	38376600	36924800	36483500	472905	404163	325671	395808	495396	408911	353392	300472	440386	109652	124656	62358.4	174883	30677400	29625000	27976400	25545500	47880200	28560600	21938100	35614900	25273300	29979200	29520400	8861260	8376840	10570900	22922900	18457700	18945300	18041000	5570770	5781120	6290780	6319320	6040980	5827160	7260300	7100570	21300100	8766060	6984850	8700410	8350100	10043900	6223570	8590410	8292100	6533990	6703370	9564110	7229630	2649750	1986390	2505670	2680610	2322930
P33018	28601600	14401100	15922800	27690600	29605900	25975900	12516100	17232900	15226800	12505700	17449900	14758600	17156000	15033700	14498200	16762800	188641	209098	182908	174109	165846	202260	186362	171916	167565	94038.4	104105	98503.9	104725	6784810	6413900	9168800	5315210	9817380	7720180	6431890	9203400	6825100	7753870	7959080	6154190	5330350	5197600	7543470	8176640	7211090	6295960	4578130	4795050	4914940	4746710	4793250	4750660	4661120	4735490	7796160	4813300	4855420	2910130	2979860	2874820	2345730	2970100	2563500	2464750	2610980	2923240	2593500	1752000	1752390	1916560	1795750	1776000
P45468	NA	NA	NA	NA	NA	NA	NA	NA	594406	NA	NA	NA	916278	884617	NA	NA	1417.87	4360.54	5353.87	4682.16	3058.82	1478.17	4732.96	1784.35	3420.37	2049.05	3331.63	2178.38	4473.17	NA	95469.9	NA	70416.7	NA	NA	85522.3	22397.8	88253.9	49872.9	NA	88020.6	70012.3	129571	1675440	1785360	1783480	2221040	2577960	2097620	2621000	1982200	2718820	2194530	2353130	2596520	1941010	2485110	2943170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0AB24	25843200	29920600	26173100	31782800	26699000	30444700	33209000	26714100	30672700	33578100	34000900	37665800	36583000	33687700	29764600	39229500	337805	499123	395619	498220	443453	383768	508923	303498	442404	332033	477652	296844	568882	17430000	14528400	13641400	20455000	13647800	16793800	16454600	9324520	17386400	15256600	15662300	15930700	14782500	15925800	5972310	8202400	7273540	7465370	8612290	8819370	8293280	8763360	9224770	9637090	11423600	8649160	7636530	8673620	8922110	2062910	2211840	1796350	2248900	2221440	2306350	1977300	1986550	1686990	1917420	2781880	2188930	1807660	2382350	2047410
P0A722	56171200	51264300	49490000	59924400	54070300	64371300	51095900	53217300	53519900	59654600	51927100	53873000	48927800	48395000	49643400	50546200	223095	308663	252328	236930	311612	264384	291666	272845	293799	212217	242735	196802	200007	20072600	20909400	20273500	17562800	20417200	19894000	17933100	21479200	18883600	19262500	18658800	16956800	17944200	16931600	11631600	9660470	10162500	9674600	7945620	7881620	8307950	8333110	8156730	7986010	7862780	8083260	9945490	8184260	8150000	4377860	4406450	4646610	3948090	4321940	4135910	4028590	4162130	4338410	4056940	3436000	3447250	3244780	3349140	3569850
P75870	2394130	3412270	3694040	1981210	2046090	2256810	3272180	3421900	3416830	2280340	3393170	3285410	3381570	3651350	2844430	3501520	10049.1	14629.6	16339	12538.6	14909.6	12711.4	16687.8	13649.4	13974	20213.9	19882.1	16040.8	19375.4	378293	363749	362798	344548	340128	359910	375689	365338	367364	358784	394090	522584	544992	636877	445407	465690	470118	420700	688680	674827	645851	649860	606508	638262	563464	621836	413746	638337	586680	79828.7	105506	90599.9	NA	96099.5	NA	83988.1	85962	NA	86445.7	166942	130020	117844	138163	142305
P30850	72350400	99398200	98913000	77627500	70056100	79010300	98407000	97326400	101227000	93340100	102773000	99170600	102333000	102147000	101627000	99463700	517621	412760	413424	506691	477573	495083	461989	451441	508174	469571	627685	457856	581984	19095900	20773500	21675000	19357300	22821000	20657200	18635400	25143000	20441600	20225300	19897300	26213800	29256500	29501300	15414500	15835300	15792400	15334400	20932500	20129500	20525600	19942800	20109400	20440700	20211600	20227300	16280900	20834300	20511900	4045700	3916640	3846850	4006020	4043090	4152030	3995140	4056060	3980560	4148510	5024330	5249500	5303680	4944930	4812370
P17169	39593800	45370000	50015600	40482900	37768200	37526700	46173300	47397000	47918700	39439600	47792700	45678400	48442700	51854600	44884900	46802000	216810	230151	188880	213223	214630	221823	232813	206526	204363	295849	307464	251850	297767	15081000	16469200	17369700	17325700	15855400	16185500	17001200	16418900	16253200	16734000	17996400	18211500	23148200	22991700	12406500	13999500	14043900	14137400	16643200	16626200	16560700	16915600	17136000	16173300	17082700	17582500	14073400	17290700	16631100	8629100	8292150	8325310	7370590	9504640	8477870	7887860	7880750	9425270	8207570	11117500	11173200	11383600	11855900	11622300
P39160	7192780	3938790	4454890	9395790	8273390	6655050	3867250	4293480	4386380	3067360	5394450	4061860	5277880	4201350	3795780	5269780	71197.4	72177.5	72622.8	75952.6	77712.4	85837.1	82830.6	64164.8	74848.5	54923.3	61875.9	47129.8	48665.5	3433590	3922070	3988080	4549060	3315670	3534200	4740580	3777060	4022490	3623250	3982810	1997500	2674140	2343320	3089040	3620270	3293660	3518640	2174900	2162660	2120110	2045020	2074880	2079740	1990030	1859200	3038550	1896230	2101360	741403	717643	662738	816053	810820	780937	858673	806599	743850	728235	519709	515542	485634	543642	456979
P0A6U8	78768300	78583900	69088400	84408500	80975300	81793000	79598100	74823700	74300200	67361600	68761800	75145400	72165300	78348000	73292600	70221600	361376	324870	353274	353891	378384	323608	311971	364938	399097	287673	335986	199820	387022	20828200	20825300	20996600	20801100	28058800	20933100	19703200	24937500	19068100	21085400	21883900	17544800	20297100	19812200	16785600	14842700	16347700	15333200	12620800	12983600	12729500	13544000	13896900	13325400	13874000	14202200	15982200	14437600	12778200	4927300	4651790	5446610	4015190	4937210	4578050	4385810	4270670	5416060	4662540	4371040	4119440	4321390	4568650	4518020
P0ABL1	506689	NA	NA	223492	563979	693980	342252	NA	NA	NA	NA	NA	NA	975051	NA	NA	8463.28	1354.9	2769.56	2807.66	6504.44	858.957	NA	1481.75	10340.7	3630.76	1612.49	NA	6004.33	1634990	NA	NA	342954	1962870	643129	NA	NA	NA	NA	NA	NA	NA	NA	593563	162719	293209	304042	186486	192105	159456	152023	205852	127320	297968	301754	369552	314928	181725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P37329	72658800	43292700	35846500	64032600	75044600	75786500	42533100	41601900	38201000	41712500	35153900	38440000	39743500	39471100	43099800	37677400	186142	139425	159648	322699	322033	132846	143071	225788	298867	117588	130555	135947	130354	14277600	15682800	12956400	18674600	11259600	14732900	14466800	10941900	17108400	13631100	13205600	5082920	5366460	5899040	7362810	7086960	7193590	7939470	3890840	3826450	3425640	3956010	3524350	4010670	3811290	3666810	6883400	3823770	3583340	1897470	1860410	1482520	2094200	1873940	2020710	2200390	2092960	1536650	2087000	912265	902690	830801	933528	942633
P76220	10499100	18530100	15482600	8879120	9995120	10359900	19310800	15743300	15091600	18062200	12022700	16756800	15752600	17885300	16878800	16088500	58847	44686.3	51234.6	44814.3	53658.5	47124.3	42598.5	32256.4	52609.8	56297.1	55812	31575.3	69030.2	3209790	3340140	2348330	3196170	5404130	3779900	2389290	3650770	2850760	3437660	3088430	3759490	3908810	4758370	2889780	2133530	3084680	2496930	3523610	3417560	3435230	3766640	3639720	3491970	3852680	4254060	2712830	4288060	4227380	830559	611007	718342	584634	602257	903898	690926	699913	758967	1027030	814494	911520	1004670	873262	880783
P21156	63720500	86205100	86199100	65945900	55205700	53061400	80053900	84028800	85473000	55162600	86542400	79372700	80292500	84425200	72931100	83399500	302041	432000	384444	321925	369493	409526	464257	396372	304931	526900	545480	454004	466637	18847700	21158900	26073400	21027300	22075600	21657000	21856500	21087300	20624100	21969500	22748700	35529300	36935300	37547600	12827900	14688400	14200700	13674200	22141700	21566300	21875700	21287200	21274700	20656000	20897800	21580300	13956700	20647900	20132300	4116950	3799730	4336110	3913640	4351160	4175190	4071980	3998070	4712750	4330570	6669010	6798070	6755420	6704500	6565770
P37349	12912300	41597600	37644900	11245400	11823800	11309400	34948700	33818700	36901900	29994600	35109200	37670300	36177600	36295600	33316600	35186800	84249.7	95496.2	91352.2	89878.9	101444	90162.1	87572.8	98332.6	108540	249620	274031	165551	310725	3585810	3679880	3525290	2768380	3488170	3393080	2738320	3659190	3283350	3119270	2951420	10321100	9004680	10596300	12127200	10113400	10273600	10254000	24999600	25761400	25199800	25748900	25324800	25154100	28143200	26981400	10450400	28897100	26820100	1848030	1730150	1976680	1673910	1848760	1954940	1688050	1698530	1942600	1832860	5083160	4162300	4632070	4835960	4440470
P0AG18	40448600	48356700	49926700	48151300	44632400	41791900	55622500	60398900	54914900	56608800	56341800	52096200	58958700	59222400	50224300	56902700	94128.5	101867	117258	103660	102324	97770.8	100295	95798.6	99727.6	111881	103370	126666	105221	14087900	12320100	11128000	10789400	12199600	11828800	10195700	8993110	11339500	11031300	11575400	14986200	9950160	11657900	17365300	18320100	18285100	14725100	20276800	23100500	19632700	22770000	20708700	21645000	22690500	20799000	17215400	20857200	22117500	3236160	3195400	3141700	3489960	3274750	3076210	3129720	3315890	2868480	3131590	3643800	3428930	3434340	3591520	3289440
P32125	2800790	2268760	2290520	1732980	1686280	1542030	2283930	2278980	1798740	2144860	2160810	2133370	2394370	2243660	2286270	2301420	14357.8	20921.1	21365.9	15382.2	18701.6	17923.5	20336.8	21245.1	16328.3	15869.6	15581.9	15147.3	15531.2	2265610	2059980	1925840	1606890	1879760	2023410	1704080	1764540	2208360	1963820	1790980	1814100	1344470	1417990	714174	693643	709423	654778	684474	694404	690000	762355	673104	679591	686729	687375	732468	648425	681165	200935	149844	162202	171027	175196	192726	176162	202298	193932	191976	209653	155247	155282	228658	173561
P62601	3412280	2655050	3038160	5832600	3641320	2912590	2585250	3820860	3119390	2654780	4052390	3151270	3861350	3094140	2687660	3336290	67323.6	82210	69204	79029.6	51696.3	87078.3	88368.5	61720.4	61789.3	57922.6	84917.3	62901	58882	1176230	1299880	1539080	1969050	1014610	1502390	2175710	1064580	1912810	1695950	1748360	1130140	1787430	1581300	1120770	1457970	1649020	1779890	1304900	1354050	1346250	1286740	1421390	1408280	1159790	1090720	1354070	1147830	1241550	508407	466553	458481	499875	498357	456308	664362	584946	416649	572316	477608	548584	416776	466678	467581
P0C960	12574200	13839000	12611500	11860600	12711600	14972200	14097500	13741300	14858100	15735900	12960900	14181400	13463600	13638000	15646500	13049400	245820	361228	358432	364438	366553	326918	359804	395508	371294	289180	375798	291470	333940	3428500	3387600	3848120	2933290	3865950	3345660	3398480	4025550	3310840	4265970	3652310	4652690	3717380	4074660	2844800	2614470	2636360	2612920	2502630	2579120	2597720	2410460	2493010	2429200	2411310	2348190	2577630	2474140	2672800	1221850	1235450	1460500	1173040	1202820	1222600	1136130	1273120	1318290	1370520	1285820	1316340	1263690	1238620	1023990
P30011	36443300	31784400	30722400	38772600	35999100	30888200	32294000	34960600	34868300	30552800	34678300	30656300	35136700	34517900	32115000	33472200	139594	159366	160136	154198	160573	161773	153114	125719	172635	132288	135903	108877	138112	4080620	3847840	3724760	3161870	3954110	3630350	3319660	3499090	3369540	3711140	3622040	3829410	3366000	3344860	4142180	3925420	3578680	3531320	3763680	3820040	3761400	3748400	3748560	3853250	3689450	3606040	3818300	3724870	3604700	1892550	1848590	1812710	1813760	1779860	1933020	1844500	1828700	1832840	1842670	1474520	1539830	1621280	1420290	1519620
P32695	15358800	16511100	16676900	16743500	14422900	16292700	16190300	15337800	14726500	13959500	15469200	15676700	15543200	15408300	15652100	14775500	142733	201083	184617	176783	183725	169789	208450	164578	178822	144877	201348	120143	178444	5482050	5990160	7072530	5179760	6347840	5721610	5426260	7088860	5770710	5817250	5964900	7495770	6426740	6754300	4216750	4143510	3863210	3944940	3751200	3775210	3857870	3725970	3768240	3787740	3618680	3672310	3992220	3682520	3783610	916148	871399	874843	928385	931006	877708	910563	909785	949902	908110	832175	902919	887380	846100	845704
P03813	6278660	5405850	6498630	5801630	5033000	6406830	6272620	5199170	6983770	6031100	5096990	5620900	5619560	5472430	5870210	5270290	41474.5	62466.7	65375.1	46784	58542.6	51678	65947.2	61227.7	45866.9	44776.8	44086	34970	40440.2	3173770	3389750	4056710	2949200	4220350	3665930	3086140	4252200	3196250	3242330	3636920	3396040	3047600	3625080	2449060	2490070	2347740	2420170	1967130	2045800	1981590	1912600	2047960	1986410	2078560	2060780	2484640	1878340	2039500	3149400	3199740	3026420	3108150	3411730	3228220	3188100	3270400	3057990	3269890	2815270	2690390	2733040	2720260	2505030
P77260	5059360	7180980	6111880	2469720	4949840	6751730	6905080	7237750	7230320	6538240	5653690	7042550	6652440	5915930	7113510	5848950	4184.45	5355.58	3138.69	4104.45	4309.64	3629.42	5191.21	4758.78	5063.51	9313.45	7236.19	6631.68	5968.34	481629	314867	245264	238012	349128	247518	348056	249091	404698	277270	276547	238277	299706	300826	397809	356126	350962	331078	389709	338315	399343	342237	365592	371186	361751	385154	366984	367544	377432	569368	576179	971984	298369	495018	574879	435627	410678	596252	394277	698700	591140	533861	623039	588311
P0AG90	50784900	49358800	51947100	53460800	50365200	55870600	48330700	49758800	48153500	51074900	49399200	50131700	49239500	49200700	50432800	50029000	302227	215459	210671	276208	259889	257564	230882	235709	277975	178197	240618	131115	257591	35157800	40167100	39998500	36410200	39017800	37131200	35195600	42397900	36429900	38061000	38278800	30715800	37451100	37458500	18604300	17669300	17642300	17700200	16740400	16372300	15532100	15870900	16310900	15942600	15817500	16369000	17412900	16931500	16381400	4017690	3966210	3905850	3531280	4106220	3995160	3754590	3640710	3970760	3895640	3662310	3741440	3752350	3791780	3821680
P0AFF6	95967300	111207000	107929000	89765700	88389000	96879900	104462000	110535000	104462000	106371000	108524000	110506000	107541000	102769000	109652000	105121000	648709	847335	809010	793871	769660	767041	889465	686316	760444	724908	889934	691322	809175	55801300	51074100	49941900	44601500	47163100	53410300	50662000	42346000	56367800	48976400	45810600	56339800	50352400	53210800	27101900	28408900	28047400	27980800	32613200	33818600	30893800	33246300	31784200	31992200	32138600	31635500	28431100	33296200	33842900	9743050	9842690	9289340	10095900	9389750	9850870	9872250	9828790	9398380	9874650	10156800	10805100	10278200	10109100	10125500
P31057	210181000	203418000	224302000	222529000	214046000	207236000	198356000	215119000	192919000	193248000	223481000	215126000	215042000	211852000	220846000	215603000	82139.1	106005	89014.1	74046.9	91235.2	79551.3	92441.3	100937	73297.7	102438	95925.1	109881	73938.3	34364900	36993200	44494200	31719100	46241800	43597000	33787900	37366300	37899900	39290400	38740400	40287000	42009500	44403000	25772700	26731800	26877500	25952200	26673200	27550400	27602700	26379700	26603800	28260800	26642400	27450100	26991300	28073000	26801400	8713760	8320870	9797660	7948260	8873480	8331520	8376470	8173510	9543210	7671710	8740910	8200400	8734440	8775340	8528700
P09373	1113920000	1564760000	1473850000	1044040000	1077190000	1070330000	1535080000	1384010000	1503410000	1289180000	1282660000	1357800000	1407500000	1686750000	1242460000	1653530000	2502380	2406420	2443880	2453880	2157330	2680670	2736930	2354200	2053970	3619820	3338380	2786960	3531700	217424000	241676000	200693000	289790000	355923000	275452000	267851000	330262000	240554000	272358000	259518000	311986000	314364000	380841000	178216000	161612000	232790000	197807000	244117000	255812000	254581000	254033000	264454000	250227000	301751000	286061000	214588000	321736000	287252000	91622000	82647000	91528800	73595900	86637100	89406200	86061100	92345900	88306100	108605000	112360000	97790700	117013000	106288000	102908000
P37595	15961400	12307600	11185200	13607000	15863100	14697800	12766800	13955600	11854400	11242100	12154500	13528500	13291700	13348500	12024100	13084000	202882	219236	229171	201438	227164	190507	212907	227379	216928	192358	188516	139041	185538	7152870	6908000	6312150	5103040	7284490	6278230	4508320	7853190	6269640	5688170	5351860	4937090	4238100	4131850	3184850	2728520	2773820	2464290	2509730	2376690	2540850	2289370	2402650	2575740	2546460	2472530	2881950	2409940	2331560	2802810	2559400	3013360	2299660	2610180	2747020	2539910	2496370	2635620	2565490	2054820	2039060	1933460	2070050	2090490
P40120	17516500	14142100	15345900	17162200	17346800	18921700	13840800	15492000	15311200	15247300	15611100	14477000	15397000	14123700	15302100	14659000	164972	185288	179440	182290	175550	177872	187181	184551	177415	157625	172655	153786	159644	4871060	5197510	5757400	5248940	5587810	5183340	5174450	5977400	5311480	5506650	5706440	4627990	5371940	4791640	3036400	3167440	3125760	2946960	2548400	2532690	2621900	2559980	2484740	2521780	2434250	2427740	3001660	2409030	2476960	1128860	1154540	1109310	1115680	1190250	1160170	1165400	1138220	1197180	1155730	1020460	989361	1041060	982902	988861
P0A6M8	1374710000	1469970000	1621490000	1442190000	1345830000	1516320000	1.54e+09	1652140000	1568760000	1676420000	1609250000	1600870000	1523390000	1536580000	1555250000	1627620000	1687220	1657960	1634570	1820420	1831470	1760230	1797270	1685410	1798040	1738410	2218560	1538170	2074250	258565000	289240000	298625000	273998000	298710000	284867000	271823000	331597000	295922000	283562000	290083000	283887000	331530000	360060000	203069000	219672000	216769000	209836000	232528000	237580000	217678000	221348000	231851000	227408000	220828000	222638000	214437000	231641000	239335000	152223000	141707000	153673000	134783000	158408000	148920000	141735000	139201000	167055000	146207000	166746000	168592000	176582000	169930000	164104000
P04036	39545800	84646300	78817300	32895800	32988000	35927700	77252400	75538200	82610000	75154100	69661400	79895900	78775600	80823100	79491300	73838300	513459	544051	515450	485008	564535	526653	529289	560172	614482	1284300	1144050	1002050	1152400	28953600	28726000	26557900	26749000	52289800	29756500	25196500	41962500	28397900	29687100	26084100	73408200	58451400	68325300	21061900	15766800	18021400	17323200	40706100	44586900	40696200	43795500	44442400	43430100	44636300	47060700	18508400	46459500	42925200	5554620	5019650	5889080	4675280	4853460	5351350	4842300	5021180	6262580	5507440	11665300	10662900	11528000	11911500	11162300
P0A812	14133800	13439600	13506200	14852100	12874000	15200400	14256100	14082900	13761800	14722400	13311900	14628100	12919700	14033400	15150200	13183000	80378.1	78460.8	87842.7	80331.3	87303.3	90722	85042.6	80633.4	75649.9	69727.7	70439.3	63000.7	66772.1	6585350	6718080	7504690	7143030	7192790	7230970	6678750	7645950	6302020	6927310	6749370	6158320	6156070	6265120	13445700	14465200	13711900	12628400	12182100	11502400	12756400	11704700	11686000	12040800	11630900	11714200	13670000	12056600	12164000	2856690	2897890	2706840	3224180	2836030	2937030	3196420	3048580	2611620	2943520	2350000	2478270	2426650	2390640	2416050
