Ref8537_QC1_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S11_20230414	Ref8537_S35_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_024_R3	20230516_EPL1_LiSc_SA_S610_RT_25_s2	20230516_EPL1_LiSc_SA_S610_RT_26_s9	20230516_EPL1_LiSc_SA_S610_RT_29_s24	20230516_EPL1_LiSc_SA_S610_RT_33_s44	20230516_EPL1_LiSc_SA_S610_RT_35_s51	20230516_EPL1_LiSc_SA_S610_RT_36_s56	20230516_EPL1_LiSc_SA_S610_RT_38_s68	20230516_EPL1_LiSc_SA_S610_RT_39_s72	20230516_EPL1_LiSc_SA_S610_RT_41_s81	20230516_EPL1_LiSc_SA_S610_RT_42_s89	20230516_EPL1_LiSc_SA_S610_RT_43_s92	20230516_EPL1_LiSc_SA_S610_RT_44_s96	20230516_EPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EPL1_LiSc_SA_S610_RT_48_QC4_LabD	CVT09_QC2_LabE_024	CVT09_QC3_LabE_025	CVT09_s3_002	CVT09_s10_003	CVT09_s13_004	CVT09_s16_005	CVT09_s28_007	CVT09_s31_008	CVT09_s36_009	CVT09_s50_011	CVT09_s59_013	CVT09_s61_014	CVT09_s73_016	CVT09_s77_017	CVT09_s84_018
P0A8D6	23.8823542295183	23.5655228216549	23.6957873172358	24.051273341712	23.8249599055351	23.9284363266996	23.9507278145316	23.90933388949	23.9921693988783	23.6867659504736	23.8341728084008	23.8024855997354	23.7626857639406	23.8684231907376	23.6761387293699	23.7986149762651	16.4840392920454	16.8901098707448	16.9125853130882	16.7954436031877	16.6752679285998	16.8646697998403	16.9813554463267	16.5226642803392	16.6649888602039	16.1758165617296	16.8034374450672	15.5178169960368	16.5594532745728	22.7887274915882	22.5946922697734	22.7429984968457	22.8431700398549	22.9288411025026	22.7186394789194	22.8173537587026	22.5276593092018	22.7924539182947	22.7034224631203	22.6215274162798	22.3846462273948	22.2721023544556	22.2402177683084	22.2598621978373	22.3383392299333	22.3865708794949	22.2755505126385	22.110850298848	22.164465663177	22.1234849022473	22.2241854296964	22.1047855686745	22.1521121263255	22.1249271540027	22.0852571882742	22.3755225926719	22.0983611273321	22.1756031517179	21.3759122920814	21.4074731683342	21.3956512760444	21.4620938287559	21.4691479285555	21.4490156117687	21.544180564696	21.4034011304931	21.3473596798981	21.4146697535057	21.3389539541017	21.3775229929051	21.3065857517085	21.3089866593099	21.4105559010363
P0AAX3	22.621196492663	23.2511258119516	22.9425041248206	21.8213496982493	22.2815904973968	22.3139065789233	23.5032211117228	23.2876842016368	23.3857839517973	23.1104457136544	23.2588966519541	23.3989132696047	23.2799143144377	23.1342417373669	23.2476621650712	23.1457897584105	15.6775407249122	15.4615945513412	15.1281111564939	15.4990236753406	15.6417977544478	15.136943064154	15.5095307001463	14.3661855889281	15.8133853976657	15.5700335613819	16.6349386413786	14.9982069645998	16.7382506264083	22.7681572617118	22.4113630581754	22.0718662465925	22.2479779125317	22.6057625326797	22.4809494186379	21.9673684067474	21.8099643384698	22.5724185151164	22.5258352403212	22.3215207824778	22.8736194610902	22.9843895993823	22.7675451777356	20.175980739271	19.8973831387227	20.2834003990482	20.3840902069969	21.1441565837181	21.0925597291292	20.6559394418932	21.0130240986218	20.9594586464127	21.0185696742797	20.9382974521036	20.7760345706903	20.3244794359911	20.9715631995802	21.0803335091594	19.711275424339	19.654676231793	20.2021812304388	19.6176199142214	19.7179976525272	19.1713893972911	19.4084417005456	19.5320172211522	19.6539314155514	19.4252712328721	21.0188616717613	20.715393970059	20.4524584392731	20.7011118285111	20.5810736666176
P00959	26.8822935849326	27.1327711256638	27.1841961600967	26.8042126717723	26.79327585591	26.8034245358738	27.0749007587144	27.1050658259415	27.1662997953408	26.7601366864687	27.2451318806885	27.0940001821969	27.2327537854273	27.2158791059287	27.0266068518591	27.1784231540335	17.6269352972126	17.7780065232489	17.7239142043142	17.7420791276114	17.7492409390223	17.8339215894524	17.7021388582733	17.9134036910234	17.8098811487904	17.9890784543418	18.062989476971	17.9491655671876	18.1690833404149	25.0111685508174	25.0301144550727	25.1092711368144	24.9075426064637	25.1026712908796	24.9921737218385	24.9060382271538	25.1921964774509	24.9347705015374	25.093528787617	25.0717868860868	25.0094994193644	25.475574749887	25.4380626125356	24.2472507206621	24.0916093875926	24.133539542663	24.1091515536584	24.4780988377615	24.4893829936912	24.4810590861364	24.4853959682389	24.4784445132208	24.4603024010131	24.5084776313922	24.5287719565111	24.1541644993567	24.4743713967516	24.4602023952914	23.2947256260153	23.2241707065606	23.3722550531914	22.9916332513921	23.3436861667332	23.2428013721238	23.117051401854	23.1209867448089	23.4395914860618	23.1501885677579	23.6159721638212	23.607621543587	23.6576695368615	23.654001804899	23.6230804013299
P0AEQ1	23.2155718056842	22.106332900575	22.1075370083012	23.1093683904725	23.1478806324111	23.426291375771	22.3426476586895	22.6732469557338	22.2568715055988	22.6562166584609	22.4159490632481	22.3649954409174	22.2726064363004	22.2304116084027	22.4744035817226	22.32979305411	17.5570597718179	17.7936668067835	17.4029204537524	17.8896346708325	18.0666831116673	17.532972238904	17.7863589763936	17.2116221742694	17.9213644529803	15.5448799351233	16.6772654250724	15.4633487512436	16.2373052059631	22.6929091662136	22.5683045413284	22.6189943656402	22.7170542558688	22.8947707751483	22.7174141162836	22.3513717060088	22.2690085063404	22.9474371839083	22.7599828368287	22.614238492543	22.0317960896817	21.5748013801817	21.7128443417863	21.1578366299197	21.4735739705424	21.2449421389629	21.1866704290228	20.4732816356388	20.4442101236481	20.4447763066924	20.5977161472175	20.5981706596091	20.5483026542804	20.4545884720347	20.2723359057952	21.3860708748243	20.2695992736126	20.6128289113057	20.5876438540263	20.5769289940929	20.5798683345086	20.7036653615199	20.5911095755324	20.5484908114429	20.5094154917325	20.4923030856327	20.3850703453126	20.395682651371	19.5101363594947	19.5988757793936	19.5054239139852	19.5958729959899	19.5104570588541
P25738	25.0498327658998	24.4735603460791	24.0457273380447	25.834618893991	25.9573127737804	25.5329857891387	24.5626262748271	25.1699771303529	24.4829553845961	24.8934233769603	24.9101303187999	24.9646303012249	24.8411544853193	24.4760972308166	24.3884732599324	25.2540736268431	19.0316150588358	17.7500134174295	17.5567679744043	18.816218063054	18.3424393247683	18.7124497533584	17.7849415083371	17.7570057916893	18.4310323227673	16.9457981566629	18.1093970870206	16.8433935823347	17.2512604859884	27.223033995068	27.0288527844051	26.8711712896802	27.0458314699182	26.8621285154438	27.1999936054148	27.9764325809904	25.9860676148638	27.5366924627527	27.2651264760363	27.2491349417647	26.1103110922437	26.431387355804	26.3243771118119	23.7351159394359	23.9528794986472	24.1264987336961	24.396844365271	23.3400358850456	23.5067356549447	23.1862910947735	23.4856907718242	23.4172529976094	23.2402920241944	23.3256710811359	23.1318170919656	23.925396882783	23.1522514150207	23.3824630779075	23.1177965358103	23.0363580971936	22.9265319957708	23.4980793251821	22.9939165482701	23.1999685270538	23.3489755516906	23.4510475716314	22.8983866073386	23.210102031303	22.3010825138598	22.8749404609923	22.5472061507479	22.6241519914008	22.3229623716867
P64596	26.0373094955989	25.4092782729858	25.5510461417218	26.0855116843054	26.2855816341184	26.1260811789291	25.6721615841535	25.8489979377251	25.7793575725517	25.9858700726836	25.8127363814496	25.6588818754045	25.7805019217973	25.6524215900095	25.705071783907	25.8017285843198	17.7725014460923	18.1304147101835	18.1576528597595	18.2180665242654	17.9691166653623	17.9202481668954	18.2720055050057	17.9595661879387	17.9468092053677	17.4958159991605	17.7589713875106	17.4246501903665	18.1084325702515	23.7441181352047	23.6856115806071	23.7505622476287	23.7731190796954	23.8364283452302	23.6883463660632	23.6935452343467	23.7546657166734	23.7144593499604	23.7319197526233	23.8449846026095	23.3133226100666	23.4894809970396	23.5549321321152	23.704246039749	23.6053171890985	23.7161248987294	23.7763358372055	23.3423709586445	23.2428420675919	23.3570413019407	23.3507298837589	23.3280980030408	23.2510015307642	23.2956226588392	23.3584773603634	23.7042249282715	23.2682375765992	23.3871390954543	22.6931814972696	22.6731455738811	22.8086904614789	22.5458779363797	22.7938672024518	22.7266726060172	22.6251068217353	22.6254591461882	22.8291362268612	22.5860109844942	22.5657273376082	22.4831116564559	22.5378662838183	22.5812507011994	22.5373354865757
P00452	26.4806878464855	26.2019480018814	26.3086523973215	26.60751149271	26.3964148753409	26.2205656448616	26.2472470982712	26.3164662630078	26.3216859229905	25.7331100994039	26.4623962406044	26.178312967503	26.3819039056038	26.3320894214508	26.0694655017138	26.3260689921673	17.4072179649095	17.3731965236501	17.28116936974	17.5320666997496	17.415774772466	17.4745060736926	17.38730215315	17.284914446534	17.2689348575199	16.9649499854037	17.5234088085944	16.7104163325199	17.4641388820643	23.8949594584918	24.0384026193622	24.1107133260141	24.1592711440347	23.759062442928	23.9116487238448	24.2287453093653	24.1826816784955	24.0443103978595	24.1313508295955	24.1878546399093	23.4792404863231	24.1314921371366	23.902845401211	23.4611396768981	23.6785262117378	23.5938880214316	23.5518499876126	23.4568607215201	23.3981043353627	23.4962393935886	23.3845197581705	23.3946940006541	23.3835708854399	23.3969945749135	23.40621227303	23.5752169960537	23.4021054344168	23.3516466853035	22.7673855487953	22.7209201461035	22.8164848834674	22.4716628122095	22.9642848075896	22.6826808933967	22.5678451611493	22.6157634251555	22.9992468634071	22.4953734484546	22.8272880382715	22.7470292337894	22.8663492420212	22.8183742627102	22.759365242155
P10100	24.5131367468055	24.4772404637822	24.2109878616355	24.2814362679986	24.515965903802	24.6658283778822	24.6094263084962	24.6390602299818	24.5130764916572	24.7062080580498	24.3552139659084	24.5853566311157	24.4673229500528	24.4954039483107	24.642843200374	24.4890338026478	18.4269117123426	18.5362472156881	17.8314247747144	18.5302577252716	18.5114824319381	18.4483421929072	18.2486132534637	18.0935258862504	18.4662876039213	17.4015295429583	18.6888922748704	16.9691728895208	18.3299539667421	22.8862097196583	22.7330418104087	22.9921296270362	22.7581801016464	23.1335991170882	23.0494597254091	22.8777473198946	23.0828185597648	22.8405217055853	22.8616586775251	22.988186777443	22.8173400950524	22.8806701618629	23.0457956494018	22.6125567282489	22.4909159834329	22.5628777720247	22.5970022737556	22.4676836533553	22.4340519368707	22.3464401491328	22.4598998357742	22.3429731202252	22.419726202214	22.3947986518368	22.4568256367068	22.5858712001206	22.4760935215598	22.5173219310182	20.4522874984803	20.3518191945757	20.4542169474967	20.3802686917976	20.4382822101927	20.4505266354315	20.3792323944473	20.5071229426329	20.4121232355196	20.5013318422177	20.4520763083571	20.4217587229277	20.4105817784637	20.4101987451305	20.3231163494915
P0AEG4	27.0158454798557	27.0706082370072	26.8251856078156	26.9687201349797	27.0586446366794	26.9800336460596	27.1695146306968	27.3596355666603	27.129669778649	27.2969899109095	27.0834882545511	27.1331926295431	27.1252121988665	27.0861538035407	27.1936070216036	27.1581348982571	20.0571932235381	20.1620790296904	19.7886036424392	20.1379867453334	20.0444421486229	19.8772931215773	20.0736944198415	19.5108684542395	20.1783171471456	19.5079494540761	20.0324655045792	19.6575749043536	20.2351330796602	26.3785790388777	25.9988286667351	25.9962854704021	26.1193145459504	25.9341203323456	26.243634673568	26.2556320750923	25.4876637901844	26.2162973733583	26.1613948708042	26.0777818413845	25.9457296746219	26.0063223114562	26.1774235681401	25.0282816157636	25.18531585383	25.2670982735892	25.2110918664274	25.2960289432844	25.3854350923577	25.1487954073272	25.3927795071009	25.3213797099859	25.3040854257204	25.384911644976	25.320581186151	25.202919538893	25.3207602040652	25.3126927104597	23.5100967501099	23.5644649184836	23.3687297125789	23.6618389740995	23.5016792843273	23.4760663200517	23.5658016998582	23.5843877348797	23.2849765563399	23.4778210028071	23.1801990354873	23.4235755449181	23.3109538682468	23.1804858875332	23.2227403739826
P19934	22.0014563017523	22.003869918067	21.7796736739498	22.010110092979	21.7408471756779	22.3447997661293	22.1692944134708	22.0642572699869	22.0514990537696	22.4676090324846	21.9708227954091	22.1392521837851	21.921347017651	22.0056903320618	22.2988501627384	21.9292475710434	15.1364424697485	14.7968761374954	14.6951521520825	15.2172723761047	14.8376032967752	15.1926973597209	14.5900606789609	14.8513635295903	15.5750280442139	14.9057442497013	15.0697770052459	15.2381695955057	15.3829448149457	21.9340838782012	21.7872633209244	21.7894023025458	21.7136499744466	21.7120676553391	21.7384411384132	21.5435340955178	21.6077998646214	21.7905242979514	21.7193980129061	21.6908266880685	21.7032048759182	21.6095593205583	21.2554977365052	20.6162975563383	20.5392610650397	20.5484531819735	20.5577179697473	20.4125160953582	20.4846832774394	20.4415785020603	20.5190007724406	20.4250109604706	20.48957164421	20.5166657152991	20.3691904915787	20.4895912428494	20.4803405508103	20.482351056159	18.7421219019649	18.6675135286184	18.6191273942906	18.763316124234	18.5561318011195	18.6802805346771	18.8098152214864	18.6729639315544	18.4762794672241	18.655107909296	18.4211443865302	18.6113706705757	18.4030286720092	18.3911386800379	18.3833583578475
