"MSP"	"ERS848745"	"ERS848744"	"ERS848743"	"ERS848742"	"ERS848741"	"ERS848740"	"ERS848738"	"ERS848736"	"ERS848734"	"ERS848731"	"ERS848730"	"ERS848729"	"ERS848728"	"ERS848727"	"ERS848724"	"ERS848723"	"ERS848722"	"ERS848721"	"ERS848717"	"ERS848715"	"ERS848714"	"ERS848713"	"ERS848710"	"ERS848709"	"ERS848708"	"ERS848707"	"ERS848706"	"ERS848705"	"ERS848704"	"ERS848701"	"ERS848700"	"ERS848699"	"ERS848698"	"ERS848695"	"ERS848692"	"ERS848690"	"ERS848689"	"ERS848688"	"ERS848686"	"ERS848684"	"ERS848682"	"ERS848681"	"ERS848680"	"ERS848679"	"ERS848678"	"ERS848677"	"ERS848675"	"ERS848673"	"ERS848672"	"ERS848668"	"ERS848666"	"ERS848665"	"ERS848664"	"ERS848663"	"ERS848662"	"ERS848661"	"ERS848660"	"ERS848659"	"ERS848658"	"ERS848656"	"ERS848655"	"ERS848654"	"ERS848653"	"ERS848652"	"ERS848651"	"ERS848650"	"ERS848649"	"ERS848648"	"ERS848645"	"ERS848640"	"ERS848635"	"ERS848633"	"ERS848631"	"ERS848630"	"ERS848629"	"ERS848622"	"ERS848621"	"ERS848620"	"ERS848619"	"ERS848618"
"msp_0605"	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	5394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	698	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1683
"msp_0612"	0	0	0	976	653	80	4127	0	0	0	0	0	22	0	0	0	0	0	0	0	757	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	1597	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	8	0	0	15	0	0	0	0	5407
"msp_0613"	0	78	0	0	0	0	0	0	224	442	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	108	0	0	214	486	0	0	0	0	50	12	0	0	0	114	29	0	0	0	0	0	0	0	0	0	0	39	39	0	0	0	112	267	64	2700	17	0	0	0	0	0	422	0	0	0	12	0	37	203	0	84	0	161
"msp_0615"	0	94	0	0	108	249	0	0	0	11522	22	74	432	0	0	0	10	0	0	0	2918	0	0	0	0	0	2466	0	0	3199	997	0	3315	0	216	0	0	700	411	0	0	0	0	46	0	0	6	0	2229	0	0	1758	0	40618	0	2354	54	0	3265	0	458	0	0	0	271	0	0	0	12	0	0	9	0	8	145	0	0	3192	0	3610
"msp_0618"	0	39	6	0	4	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0619"	0	0	598	367	324	0	0	0	184	0	0	0	28	58	0	136	0	328	1097	0	334	0	0	38	0	0	50	131	0	146	36	0	0	0	8	704	0	32	0	0	19	74	141	34	0	0	0	0	0	0	0	135	561	469	0	0	0	0	7	218	42	0	0	0	0	0	0	0	755	0	0	0	0	54	6	513	0	60	0	272
"msp_0621"	0	0	31	18	0	486	611	0	0	0	0	121	207	111	166	162	0	471	4399	34	21	1061	8	103	659	0	13	122	7	0	6	74	67	68	0	2224	158	0	757	1388	517	158	7	133	1608	185	0	4	0	15	0	16	63	953	1769	5	21	687	6	478	32	352	0	124	0	444	0	12126	88	29	0	56	57	4	0	171	48	658	832	0
"msp_0622"	0	171	229	0	318	239	1150	0	0	0	0	163	0	514	22	241	31	0	0	0	31	0	507	381	786	223	351	184	634	434	423	682	91	47	96	1095	0	181	352	0	189	101	0	4	903	539	0	0	0	0	0	428	77	363	0	0	135	0	52	283	0	0	662	0	0	0	0	7	5	0	0	0	0	1066	151	37	0	28	0	1456
"msp_0623"	0	252	0	0	395	38	0	124	0	2974	0	0	0	0	0	0	0	0	0	0	494	0	0	8	13	0	0	0	0	0	0	931	505	779	0	2020	0	891	0	0	0	89	0	33	0	0	0	0	0	3233	0	1102	0	0	496	0	23	0	0	340	0	0	0	3004	0	0	0	1352	0	0	829	0	0	0	25	518	0	0	0	245
"msp_0624"	0	200	250	0	472	0	109	0	0	0	0	0	0	0	0	0	0	5701	0	0	650	0	0	93	0	12	52	0	0	931	677	0	0	67	0	0	0	0	410	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	6	0	0	0	47	0	1909	0	115	0	0	0	0	0	0	0	0	0	0	0	663	647	0	0	0	0
