"MSP"	"ERS436842"	"ERS436841"	"ERS436840"	"ERS436839"	"ERS436838"	"ERS436837"	"ERS436835"	"ERS436834"	"ERS436833"	"ERS436832"	"ERS436831"	"ERS436829"	"ERS436828"	"ERS436827"	"ERS436826"	"ERS436825"	"ERS436824"	"ERS436823"	"ERS436822"	"ERS436820"	"ERS436819"	"ERS436818"	"ERS436817"	"ERS436815"	"ERS436814"	"ERS436813"	"ERS436812"	"ERS436811"	"ERS436810"	"ERS436809"	"ERS436808"	"ERS436807"	"ERS436806"	"ERS436805"	"ERS436803"	"ERS436802"	"ERS436801"	"ERS436800"
"msp_0150c"	0	0	0	0	0	0	0	0	0	0	9	7	5	13	0	0	0	10	0	0	8	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	60
"msp_0151"	0	0	1191	374	0	16	416	0	253	1187	0	575	0	12	0	43	288	0	11	778	11	172	0	9	0	605	85	0	0	1443	18	0	432	120	0	0	0	0
"msp_0152"	17095	1528	1090	5256	2807	1368	810	28638	664	1488	678	789	3358	0	1360	9	751	3310	7635	1568	0	6014	4050	1363	12279	11340	1509	493	1721	354	1077	1535	368	47	1105	5151	2472	6
"msp_0153"	0	0	0	19	0	0	0	0	10	651	0	0	60	7	0	6751	8	1464	0	0	5	636	322	9	558	128	0	0	12	0	65	403	0	20	29	6	0	2384
"msp_0154"	8819	9725	9550	2828	6941	10729	1924	6840	4672	11502	5980	6785	1863	26201	5294	30	4742	1864	11438	6	3	2962	4809	6766	1840	41168	23632	5591	1177	10	113	2787	5319	6773	2224	8488	4167	49
"msp_0158"	0	403	0	0	1533	802	0	0	6	3	291	0	16375	0	18081	0	3	0	0	3	0	0	0	144	0	0	0	53	0	0	0	0	0	0	0	136	0	0
"msp_0159"	0	0	0	0	0	0	77	0	4	369	90	0	0	0	0	0	35	0	0	181	0	52	166	0	0	57	0	292	0	106	0	0	47	0	11	0	0	0
"msp_0160"	0	0	0	0	0	0	3501	0	1210	0	1788	0	553	0	0	5	0	0	0	0	7965	4018	0	549	0	0	0	5411	0	0	0	0	0	0	0	0	0	0
"msp_0161"	0	8	3177	15	0	0	0	0	0	5	0	0	0	0	0	2	0	9	0	0	0	0	0	463	0	0	49	0	0	0	2585	0	64	0	5410	0	264	0
"msp_0162"	47	0	0	808	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	2912	0	0	0	0
"msp_0163"	1235	4	0	4369	721	424	83	0	0	0	0	0	0	1627	0	0	0	28	0	0	0	8	380	0	0	2909	0	70	0	0	0	39	0	0	0	493	18	0
"msp_0164"	1660	1602	0	0	1050	7177	812	289	1290	11	89	0	0	639	0	3	16	86	17	0	0	835	1100	1323	1935	9085	770	2217	120	0	0	1645	0	1797	445	571	698	0
"msp_0168"	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	11	13	3	0	16	9122	0	0	9	1246	12687	3	0	0	3	1397	1827	0	3603	0	7	0
"msp_0170"	4	0	0	8	0	0	0	0	0	25191	5	4	52	5	0	0	28911	4	0	11	0	4242	5	137	6834	0	5	9	37	25537	4	5	4	49	11293	37	0	6
"msp_0172"	211	501	1114	14	720	156	83	2088	179	324	1468	1077	408	266	347	2366	510	1614	2938	148	1124	81	4045	549	112	449	635	243	72	596	1339	1229	233	99	127	136	242	14311
"msp_0173"	0	0	0	0	0	0	6461	0	0	11	15784	4	4	0	0	0	151	0	0	4	0	1112	4	18	7	0	3280	0	3	1022	0	20149	1586	0	1561	0	0	22
"msp_0175"	0	10125	1025	6	0	0	0	86	516	13	56	712	5687	0	0	361	1601	0	0	0	0	35	0	1788	0	12	134	0	0	0	0	4	0	0	0	4788	0	8
"msp_0176"	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	1159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0178"	0	7	0	0	5631	0	6	0	9616	102	618	3	7	0	0	5	3	15	0	4	8	1878	0	23162	4528	0	0	3891	0	7707	2061	5	0	0	27	25	1646	36
"msp_0179"	0	8	0	0	0	68880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0180"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	8	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	194
"msp_0182"	0	6	0	0	0	0	0	1124	0	0	0	0	0	0	0	0	0	0	1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
"msp_0184"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	275	0	0	0
"msp_0186"	0	0	0	0	0	0	0	179	0	0	0	687	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0188"	890	1708	19	3891	740	2413	1047	9552	1262	3364	0	4989	1100	7007	1519	13	1500	5353	9362	57	49	33	19	165	0	34	1146	256	381	229	344	439	321	6661	2387	10256	381	12
"msp_0189"	1268	9	0	0	656	65	6	0	0	54	16	5187	66	1488	133	2746	0	0	0	0	0	9	0	11084	4397	0	0	9	27	3484	0	16	1790	0	54	14	0	36
"msp_0192"	0	0	0	0	0	0	10	0	0	6	1246	0	0	0	0	0	87	0	0	0	0	493	0	13	0	0	1563	0	0	0	0	12365	0	0	47	0	6	0
"msp_0193"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1250	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
"msp_0194"	3610	4	1582	5	2518	0	361	0	321	0	328	0	1840	856	0	0	5	33	25	0	0	225	0	5	2387	1452	10775	45	0	0	0	792	0	253	2119	11	2003	0
"msp_0195"	3	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	4	0	0	0	0	10	0	0	0	1295	1674	0	0	0	0	0	32	0	0	2504	0
"msp_0196"	25	19	7358	7	0	1468	2552	1602	4253	83	1568	1575	6	4	1765	10	1665	2693	500	2499	0	2557	4904	17697	16	4504	1545	4620	445	12895	5569	1417	1943	482	4039	558	22	28
"msp_0198"	0	0	387	0	0	73	584	0	108	0	0	156	0	0	0	352	93	0	0	0	0	684	0	0	0	0	138	0	0	224	0	224	197	12	0	0	19	0
"msp_0199"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	34427	6	0	0	1847	13	0	0	41	0	9575	0	0	4	4	5	21590	11686
"msp_0200"	0	0	0	0	0	0	0	0	0	0	0	16	0	10	0	158	0	38	16	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
"msp_0202"	0	0	0	0	19	0	0	0	1814	0	0	0	2922	4480	0	10	0	8	0	0	10	27	0	0	965	415	0	0	0	3606	0	0	0	3102	0	0	1531	0
"msp_0203"	472	0	0	0	0	1486	0	0	0	0	0	0	304	0	0	0	0	2862	0	0	432	14	0	0	0	0	902	0	0	0	0	0	0	0	0	0	0	0
"msp_0204"	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1788	0	48	0	0	0	0	0	0	0	0	0	0	528	0	8	21	0	0	0
"msp_0205"	0	0	13	0	0	3250	4816	156	1377	405	14667	6	4	0	0	0	25	17	0	8295	0	1415	0	2583	279	4	5095	1608	0	54	271	2519	7994	73	10409	50	7372	17
"msp_0206"	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	5	0	386	18	0	0	143276	0	0	18	89	17	140	0	12	16	0	13	6	49	12	125938	0
"msp_0207"	5	0	0	0	0	0	0	0	0	13	3	21222	4	2	0	0	17755	3	0	6	0	5	1472	94	21	0	0	0	29	0	0	3	4541	4	0	0	637	63
"msp_0208"	4453	2068	1206	360	3705	3626	792	9151	975	1440	498	16072	1003	3167	1386	9	2362	3690	5382	6006	1039	12215	3929	384	1817	8954	2449	757	398	3846	1454	604	4306	646	314	5530	721	125
"msp_0210"	0	0	0	0	0	0	8464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	38	0	0	0	0
"msp_0213"	2139	857	980	157	299	108	24	1337	211	354	18	61	533	1552	165	4277	501	7757	2333	276	97	146	816	141	570	724	248	93	381	996	2280	123	494	137	118	271	63	8858
"msp_0214"	12	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	5487	0	0	0	0	0	0	0	0	7598	0	0	0	0	1931	27	0	0	0
"msp_0215"	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6187	0	0	0	0	0	0	0	0	0	0	0	0	17	22	0	0	0	0	0
"msp_0223"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4226	0
"msp_0224"	5	25	8	325587	9	0	0	22	22	0	0	0	0	0	17	0	0	0	0	0	5688	0	0	0	6100	0	0	0	0	0	0	0	0	0	0	21	0	0
"msp_0225"	12	6705	12032	253	0	628	721	0	925	510	0	1723	3	0	905	3	1255	25	999	779	211	1588	1424	0	10	2982	170	1832	5	992	1899	9	1367	37	1126	0	12	726
"msp_0227"	211	5162	0	0	7077	191	16	0	1490	12	0	82	0	274	0	0	69	28	20	0	3	559	0	3006	6	1382	0	5690	153	0	0	17	539	14	1251	4143	24	9
"msp_0229"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	16	0	0	16	0	0	12	6	11	75875	0	14	12	0	7	0	49	12	10	0
"msp_0230"	0	0	0	0	0	324	215	0	353	10930	0	0	28	0	0	0	0	1082	2452	0	8	7	0	3	0	0	101	0	0	2229	0	0	6	273	127	640	4071	0
"msp_0232"	45	12	0	0	0	0	0	3180	0	0	0	0	109	9	6	0	0	0	2968	1466	0	0	0	0	0	0	0	0	9	0	581	0	13	97	0	0	0	1729
"msp_0234"	0	0	0	0	0	64	50	1472	0	0	0	0	0	0	0	0	80	0	0	0	0	43	4687	0	0	0	3060	0	0	5	14	73	0	0	59	0	0	0
"msp_0236"	2454	5553	2229	11	102	3474	571	0	2731	2413	1503	0	6	2004	0	1014	289	19	0	0	20	5337	0	499	0	1884	2505	1324	2972	0	0	3807	0	10	147	0	388	4
"msp_0237"	0	0	0	0	855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	41	0	0	0	0	0	0	0	28	57	672	0
"msp_0238"	455	0	0	0	0	0	4020	4254	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	1173	64	0	0	0	352	0	0	0	364	0
