"rowname"	"U_L1_D5_01"	"U_L1_D5_02"	"U_L1_D5_03"	"U_L1_D6_01"	"U_L1_D6_02"	"U_L1_D6_03"	"U_L1_F7_01"	"U_L1_F7_02"	"U_L1_F7_03"	"U_L1_M8_01"	"U_L1_M8_02"	"U_L1_M8_03"
"HMDB0000755|3-(4-Hydroxyphenyl)lactate (HPLA)"	13.071	13.114	13.014	12.953	12.967	12.673	12.849	12.859	13.309	13.104	13.284	13.613
"HMDB0000752|3-Methylglutaric acid"	14.396	16.049	15.287	15.061	14.64	14.208	14.995	15.725	14.441	16.536	14.55	14.113
"HMDB0000112|4-Aminobutyrate"	12.857	13.006	12.872	12.883	12.916	12.788	12.488	12.351	12.394	12.999	13.187	13.36
"HMDB0000267|5-Oxoproline"	13.899	14.543	14.008	15.477	15.465	14.766	15.139	15.609	15.226	16.524	16.572	16.377
"HMDB0001397|5-GMP"	14.946	14.865	14.849	15.053	15.079	15.123	15.339	15.219	16.111	15.422	15.721	15.793
"HMDB0000201|Acetylcarnitine"	19.521	19.48	19.593	19.776	19.641	19.893	19.261	19.208	19.652	19.928	20.074	20.026
"HMDB0000045|Adenosine monophosphate"	12.028	15.656	14.807	15.036	14.32	15.175	15.489	17.815	14.464	18.333	18.532	15.527
"HMDB0000517|Arginine"	14.01	13.903	14.095	14.339	13.646	14.174	13.682	13.707	13.561	13.743	13.816	13.953
"HMDB0000168|Asparagine"	13.545	13.838	13.553	13.387	13.928	13.439	13.493	13.649	14.411	13.991	13.765	15.105
"HMDB0000062|Carnitine"	17.786	17.683	17.783	17.656	17.647	17.915	18.013	18.053	18.36	17.757	17.83	17.936
"HMDB0000033|Carnosine"	9.477	8.888	8.982	8.617	8.656	8.962	8.609	8.495	8.863	8.985	8.519	9.125
"HMDB0003229|cis-9-Palmitoleic acid"	7.616	9.557	10.33	10.314	10.314	10.125	13.178	8.109	11.522	7.751	10.868	11.648
"HMDB0000904|Citrulline"	10.627	10.714	10.906	10.495	10.089	8.069	10.819	12.27	11.088	11.196	7.849	11.466
"HMDB0000626|Deoxycholate"	14.239	14.018	14.35	14.002	14.326	18.021	14.285	15.972	14.284	14.807	13.775	14.511
"HMDB0001999|Eicosapentaenoate (EPA; 20:5n3)"	13.008	12.89	13.001	12.661	12.896	12.069	13.305	13.72	13.492	13.352	12.348	12.791
"HMDB0000148|Glutamate"	15.887	15.848	15.771	15.542	15.427	15.416	15.938	15.812	16.181	16.062	16.286	16.188
"HMDB0000128|Guanidineacetic acid"	12.798	12.669	12.766	12.767	12.843	12.905	13.051	13.171	13.261	13.365	13.469	13.297
"HMDB0000177|Histidine"	15.483	15.936	16.638	15.182	15.965	16.623	16.479	15.156	15.071	15.324	15.385	15.689
"HMDB0000197|Indoleacetate"	11.256	11.407	11.268	11.219	11.791	11.567	11.533	11.429	12.11	11.256	10.903	11.333
"HMDB0000162|L-Proline"	15.632	15.714	15.739	15.567	15.491	15.568	15.984	15.91	16.321	15.877	16.219	16.065
"HMDB0000158|L-Tyrosine"	11.324	12.146	11.117	11.947	10.873	11.327	10.967	11.003	11.184	10.656	10.769	11.039
"HMDB0000214|L-Ornithine"	14.238	13.834	13.757	14.099	13.548	13.845	13.092	13.171	13.415	13.942	14.121	14.093
"HMDB0000222|L-Palmitoylcarnitine"	14.49	14.056	13.971	14.625	14.323	12.408	13.572	13.583	14.142	14.371	14.18	14.784
"HMDB0000202|Methylmalonic acid"	11.864	11.865	11.773	11.935	11.712	11.498	12.205	12.156	12.293	12.371	12.217	12.255
"HMDB0000812|N-Acetyl-L-aspartic acid"	13.968	14.044	13.944	11.925	11.904	11.743	12.163	12.205	12.386	12.651	12.734	13.027
"HMDB0000230|N-Acetylneuraminic acid"	8.936	9.6	9.171	11.924	11.599	11.649	11.988	11.925	12.312	9.821	10.353	10.05
"HMDB0000207|Oleic acid"	15.015	14.061	15.146	15.045	15.032	15.247	15.118	15.382	14.562	15.17	15.291	15.323
