MSP	SRS9032198	SRS9032197	SRS9032196	SRS9032195	SRS9032194	SRS9032193	SRS9032192	SRS9032191	SRS9032190	SRS9032189	SRS9032188	SRS9032187	SRS9032186	SRS9032185	SRS9032184	SRS9032183	SRS9032182	SRS9032181	SRS9032180	SRS9032179	SRS9032177	SRS9032176	SRS9032175	SRS9032174	SRS9032173	SRS9032172	SRS9032171	SRS9032170	SRS9032169	SRS9032168	SRS9032166	SRS9032165	SRS9032163	SRS9032162	SRS9032161	SRS9032160	SRS9032159	SRS9032158	SRS9032157	SRS9032156	SRS9032155	SRS9032154	SRS9032153	SRS9032152	SRS9032151	SRS9032150	SRS9032149	SRS9032148	SRS9032147	SRS9032146	SRS9032145	SRS9032144	SRS9032143	SRS9032142	SRS9032141	SRS9032140	SRS9032139	SRS9032138	SRS9032137	SRS9032136	SRS9032135	SRS9032134	SRS9032133	SRS9032132	SRS9032131	SRS9032130	SRS9032129	SRS9032128	SRS9032127	SRS9032126	SRS9032125	SRS9032124	SRS9032123	SRS9032122	SRS9032121	SRS9032120	SRS9032119	SRS9032118	SRS9032117	SRS9032116	SRS9032115	SRS9032114	SRS9032113	SRS9032112	SRS9032111	SRS9032110	SRS9032109	SRS9032108	SRS9032107	SRS9032106	SRS9032105	SRS9032104	SRS9032103	SRS9032102	SRS9032101	SRS9032100	SRS9032099	SRS9032098	SRS9032097	SRS9032096	SRS9032095	SRS9032094	SRS9032093	SRS9032092	SRS9032091	SRS9032090	SRS9032089	SRS9032088	SRS9032087	SRS9032086	SRS9032085	SRS9032084	SRS9032083	SRS9032082	SRS9032081	SRS9032079	SRS9032078	SRS9032077	SRS9032076	SRS9032075	SRS9032074	SRS9032073	SRS9032072	SRS9032071	SRS9032070	SRS9032069	SRS9032068	SRS9032067	SRS9032066	SRS9032065	SRS9032064	SRS9032063	SRS9032062	SRS9032061	SRS9032060	SRS9032059	SRS9032058	SRS9032057	SRS9032056	SRS9032055	SRS9032054	SRS9032053	SRS9032052	SRS9032051	SRS9032050	SRS9032049	SRS9032048	SRS9032047	SRS9032046	SRS9032045	SRS9032044	SRS9032043	SRS9032042	SRS9032041	SRS9032039	SRS9032038	SRS9032036	SRS9032035	SRS9032034
msp_0003	-9.695832731984027	-3.680487891593837	1.385253307079175	0.953625053417873	-9.695832731984027	-3.174946916684107	-9.695832731984027	-9.695832731984027	-0.4800456031303968	1.3391446228359252	-9.695832731984027	0.4148228589658731	-9.695832731984027	-9.695832731984027	-9.695832731984027	-9.695832731984027	-1.7127361064170672	-9.695832731984027	-3.5824569444493766	-4.163259323226317	1.116814318756673	-0.43603510552340685	1.676563537448412	-9.695832731984027	-9.695832731984027	2.5726873879775742	-9.695832731984027	-9.695832731984027	-3.1670783344835267	0.962570699341883	-3.3756559239472366	3.412663852945593	-9.695832731984027	2.937924117650167	-1.446454765906187	1.183852967860393	-3.2028602136299473	2.705920196098825	-9.695832731984027	-9.695832731984027	-9.695832731984027	-9.695832731984027	-9.695832731984027	-9.695832731984027	-9.695832731984027	0.579891413262033	-9.695832731984027	-3.4614312781822165	-0.8668654137341769	-9.695832731984027	-9.695832731984027	-9.695832731984027	0.984467007681183	-2.1383715041070466	-9.695832731984027	-9.695832731984027	-0.0681661559135569	-9.695832731984027	-9.695832731984027	-9.695832731984027	-9.695832731984027	-9.695832731984027	-9.695832731984027	4.100677152186373	-0.23958038483542676	2.019707645940019	1.1615944391859532	4.607666206156873	2.3350068001573843	-9.695832731984027	-9.695832731984027	-3.1064268541733067	-2.059516886662817	-9.695832731984027	-9.695832731984027	1.457876752286173	1.151245401529473	-1.7127361064170672	3.901977829440063	1.1000097373757431	-9.695832731984027	2.8651449063949412	-2.2443098742584966	4.971593810043313	4.402440251438273	-9.695832731984027	3.549778624524113	-9.695832731984027	-9.695832731984027	1.205656688159943	-2.156593418711417	-3.843094933733337	0.28649965293914326	-1.2697661373298867	4.160571685752263	-9.695832731984027	-9.695832731984027	-9.695832731984027	1.459593708422966	-9.695832731984027	-4.376200302956537	-9.695832731984027	-9.695832731984027	-9.695832731984027	-9.695832731984027	-9.695832731984027	2.50735701014381	-9.695832731984027	-9.695832731984027	-9.695832731984027	-9.695832731984027	-3.788306167645367	3.183021694128408	1.536484142216592	1.727651853710266	-3.8650816970189372	5.3064912641972235	-1.9948088018308465	-9.695832731984027	0.5311292092872231	2.278079783294676	4.074657184793033	-1.229210125344347	-9.695832731984027	1.507610002846739	6.319796686072364	5.070737328405244	1.257668726896133	-9.695832731984027	-9.695832731984027	-9.695832731984027	-9.695832731984027	-3.5983102851927566	-9.695832731984027	-9.695832731984027	-9.695832731984027	2.939587467452886	-9.695832731984027	5.0389153863136436	-4.680715286210097	-9.695832731984027	2.651116953228756	1.8058451383931602	-3.809413102959207	-1.0251979831629767	2.337262235392669	-5.137555191400686	3.449700045263103	4.307556876024483	-1.365528254023467	4.005425364583453	3.048537092980009	-9.695832731984027	2.004899756163469	-9.695832731984027	-9.695832731984027	-9.695832731984027	0.24989322576596296	-9.695832731984027
msp_0005	3.761003276365563	-2.9293880885922245	3.435297970658093	2.7062588317857923	-1.8429891312965043	-0.13673850139483745	7.914974864005673	-1.5572841161617073	1.8485343907425928	4.407709644695553	-2.0601082216200615	-1.9534990861218624	0.4077917007674725	-2.711244438469916	5.653115534904112	-2.2303368870197664	-4.227661029755137	8.378213081146873	-14.742083970611327	-8.634974864416456	2.9467191612614627	0.4138798965289925	-4.563463238911977	2.134816061506463	1.8347829299102925	-0.7129056738773374	-0.46505218743148724	-2.312674275617378	-0.7880798546671073	-5.254567588924058	-0.9177226576927973	-5.083544731007567	-4.6987109348440175	-3.4358291517332322	-4.6132596888955675	-3.6152674661181083	0.6542369317934424	4.815474323457023	5.026997456731452	-1.2983600677178972	0.09469836163291268	-1.1408006840341873	1.4452562553999924	-5.341109383646357	2.506321749592873	6.290405788207753	-3.9766806460368174	-6.595871745284997	-1.9644085802381515	-5.096435668257298	0.8113753100830028	-3.3044304282114294	5.878750177032963	1.2136104416208027	3.4370483676364225	4.994814677705692	2.5029947956020324	-2.4124644637150405	7.841160701238973	5.908073106858062	3.398059330246273	-1.4705855043251372	3.6356723244342524	-0.03653768533364721	-5.7860402678606375	-0.06779267818696733	1.8784898470228324	2.069888342632093	-0.8385412631397973	2.764473946037903	4.317395783446813	3.2014285290523627	4.0802032876530925	0.6325593232949527	4.911348065620703	1.8771046724429423	4.321930668753772	4.338819324161842	5.844126936409822	-0.9075341466648974	-3.4943397882410223	1.0521284280089827	1.4121036140432226	-10.284625943308988	-2.312717406142917	-3.8672026912766073	-2.1994559500777635	3.1913524328424723	4.617407459923933	-3.4533029644671034	-0.7709764381379773	-3.7043895068197723	-2.2952565290281806	-4.840379282071638	-1.8266741083806464	6.7753593740979134	6.245267319242133	6.188882482723992	-5.418773834228647	-5.792515353838267	-1.9265884947324383	-0.5568998551170772	-0.2134016470015272	-2.4512384697628034	-1.9929195574487952	-2.9873553868076845	-1.5202967406404373	1.4546730460147028	-0.6296964111809373	1.3188999074896328	-1.7285027384576364	-7.065130659256437	-7.403090522427897	5.375469962590653	-6.165692689688548	0.9038998073369529	4.658114182708503	-0.5570045286993275	0.6143486982672326	-5.147825805965228	-0.055403051424427474	5.994692829425933	5.602756495085783	7.571683006483372	5.254829198090703	-14.742083970611327	-2.4776471125116433	4.9061189234196725	-4.189174183685028	0.2889569596259425	-1.1149240489661973	7.011388200679093	-2.7514856412453623	4.2561798564649225	7.398612075642173	-1.2349015826503673	-3.7987778850202774	-0.010904640427517265	-5.218862445859887	-5.848682606593577	5.664427550975493	-3.9539740170007374	4.013400418456943	-1.2335788567607373	-0.11000806242569716	3.1252623144169025	-7.216161420357417	4.8071267515299425	-3.1977307172547484	-4.468128198042628	2.117443913225693	0.14205355976873246	0.9297833558434725	-7.280125166320867	-5.731488438851278	5.250364078157722	-0.41508563835581747	-1.7815267882983985	1.3771466863655624
msp_0007	2.062700408230623	-2.025835202885707	1.6508390076814528	-1.082797765783877	-2.247850062427187	-2.818273791820907	-3.3400106635868774	6.787370427918703	2.981226342254003	2.7533492172094025	-1.1666596546138472	-2.8990460827369873	1.7479950648161449	2.448048812073033	-2.595366688955977	-11.073519467419256	-1.796826458714817	-11.073519467419256	-2.059477663067447	-3.610061460298957	2.153513206697533	-1.1317996413670373	2.196286449105103	4.060665074694542	4.214640910351603	5.309988880235482	-3.3474754336985972	1.6988458189830888	1.6860773714418178	0.36488765258003986	6.799614396985593	-1.773206444153117	4.114985913109402	4.186398610267263	-0.4305086237374671	4.609466184674693	-1.994071943622067	-1.084010451150207	-1.5589508375896872	-1.2250036477496873	2.923586624637923	-1.251058693625017	1.7066099297515338	0.012729468818627798	-1.5474513636557372	-11.073519467419256	2.654019748136563	1.6677149405397387	0.20873387233358187	-3.247728976053227	0.5873602841859178	-2.107939230046817	2.471091973703813	2.0800881449840127	-11.073519467419256	-11.073519467419256	-0.03787768479799514	1.6213626249559219	-3.809710555883047	-0.05799983387029717	-1.116562363439387	-4.126970646525507	-2.759955062241877	2.370631051148513	0.2118705645850858	0.6562305639504978	1.1505742696555978	3.7411364149158928	2.787563632011553	3.387519467467143	5.028054095967313	-0.7755613140036872	8.590006577415233	1.7565211385204247	6.218210131672633	5.480329683199973	-1.2425797071820273	0.9895407811523793	-1.9128539136976372	5.666279070470483	6.080914924335243	0.9734046436476892	2.993426046974293	0.045299665223769825	-0.21659303640671723	3.9187292347266927	2.924668417261783	4.514286205024913	-2.660717085956727	4.666796737225743	-2.6135053634446472	-2.796521412782817	-2.6228211020124172	-1.3841200342725473	1.8268473516187018	3.061413436421853	-11.073519467419256	-11.073519467419256	-6.402067052183957	-0.9387099086565671	-11.073519467419256	-1.164090443908877	-4.927394296766687	1.3829167114018017	-11.073519467419256	-4.429407200661157	0.7380636394323519	-1.2650336423853772	2.043782154527723	-3.022776701778627	-4.780607720290117	-1.670820928324697	-3.2630920187603376	-4.099315260431737	0.957320064722154	-0.5518659625459073	4.422379940236183	-2.987104684412137	5.321672639587763	-0.22110559825519727	-4.456748735766237	0.42817818876689384	-0.09719496644904724	-11.073519467419256	-11.073519467419256	3.547525026348363	4.958016612279453	-0.3021234083518771	2.287155327159633	1.478916517781403	6.240750122357003	2.0820246194855727	-1.5988389592503571	3.951120948652113	-2.1098058435456073	1.6269428397978238	-2.613829920167737	3.078139545890973	-0.3196938865572172	2.8355325076209428	-11.073519467419256	1.9833037313674229	1.800353378858965	2.312489826415103	1.02883571276287	2.9916366825504728	1.7129851421503397	3.6812011097871027	3.5785529221704326	1.0509399100976657	0.5093691194951648	-1.036579838187257	-1.0060882161558171	-2.551705933962267	0.9074629412294772	-1.7752075532100973	2.792088856219003	1.5405256733340478	2.355460124475523
msp_0008	0.9511341296811662	-12.257386335508164	-12.257386335508164	-0.3214862897851077	-12.257386335508164	-12.257386335508164	-12.257386335508164	-12.257386335508164	-6.669076865986494	-12.257386335508164	1.2739912269488662	-5.779457566622664	-0.6100686754867157	-12.257386335508164	-12.257386335508164	-12.257386335508164	-4.544412501145964	-12.257386335508164	-0.4383834266103168	-6.913012340664154	2.712194961446486	-1.3891185616153539	5.2793355221685765	-12.257386335508164	-12.257386335508164	1.4034211533629262	-12.257386335508164	-12.257386335508164	-12.257386335508164	2.6978853784456662	-12.257386335508164	1.3967844934816263	-12.257386335508164	-0.5141792013737359	-1.1208224138522969	-0.9490134917451168	-5.596269637880344	1.8247916870382461	-0.7217376998400957	-12.257386335508164	2.015072969080426	-12.257386335508164	-4.262493009193514	-12.257386335508164	-12.257386335508164	-12.257386335508164	-12.257386335508164	-4.628972961647734	-3.571451783733564	-12.257386335508164	2.7641066217976964	-12.257386335508164	-12.257386335508164	-12.257386335508164	-12.257386335508164	-12.257386335508164	-0.5065808449105598	-12.257386335508164	-12.257386335508164	-12.257386335508164	-5.558021048644054	-12.257386335508164	-12.257386335508164	1.2684630468686662	3.007592172341976	-0.2592958348382357	-4.162164677424833	-0.24906439528158358	-5.966569340575634	-12.257386335508164	-12.257386335508164	-12.257386335508164	-4.941186904164224	-12.257386335508164	-12.257386335508164	-0.2195867556002513	-3.3262946853595237	-12.257386335508164	-6.157777840532224	-4.740856641398493	-5.645029740802344	3.1311914696436762	-1.9625567247266238	-4.9375129479203235	-0.9638710688570928	-12.257386335508164	-1.1786744828148636	-12.257386335508164	-12.257386335508164	-0.9536131288567757	-6.149635780826544	-12.257386335508164	-5.334927509370344	-12.257386335508164	3.513500796138916	-12.257386335508164	-12.257386335508164	-12.257386335508164	-1.465455646997324	-12.257386335508164	-3.1758140866728937	-12.257386335508164	-6.943052845869164	-12.257386335508164	-12.257386335508164	-5.971728769162034	-1.3678948036289138	-12.257386335508164	-12.257386335508164	-6.0004603146825835	-12.257386335508164	-12.257386335508164	1.975286214758916	-3.7646230598906136	-5.906461346754684	-6.426635300543074	1.0580511357765061	-5.787946950194164	-12.257386335508164	-12.257386335508164	-4.346820176466734	-0.9903769023808527	0.2091593665042782	-12.257386335508164	-0.9174968328519968	-5.354760509330834	1.5314886293060963	-3.162247456901414	-0.9748200941406567	-12.257386335508164	3.8795936213270865	-0.9480218593942478	-12.257386335508164	-12.257386335508164	-12.257386335508164	-12.257386335508164	-12.257386335508164	-12.257386335508164	-12.257386335508164	0.8710029390057563	-12.257386335508164	1.2096342893099963	-5.107467993171774	-2.301353381913384	-12.257386335508164	-3.4141361285973337	-12.257386335508164	-5.357715910238894	1.4957393679127262	-12.257386335508164	-5.054812894135994	-0.0034782652079538012	-12.257386335508164	-12.257386335508164	0.5134564155635342	-0.9858749258659047	-12.257386335508164	-7.518581616229134	-12.257386335508164
msp_0009	-3.8082004064288486	-6.751341224939769	-6.026624295038529	-5.5042873302882285	-1.7145700208420827	-7.321086380809639	-5.217535359615239	-6.742304294361129	-6.9825968374697585	-2.8693571281049888	-5.738467286210379	-3.7646828316927285	-2.430983162588695	-1.9574757987235216	-4.508495064695809	-13.755490932319159	-6.648956145482218	-13.755490932319159	-8.307737857896909	-13.755490932319159	-2.7194990860639368	-4.884909640190449	-2.534183732609496	-0.06566875758641877	-13.755490932319159	-6.100357492905329	-0.3855113655039788	-1.4060536041278078	-4.509127702365239	-1.3301060526108999	2.289548786383631	-4.490055615967599	-2.0571489215964727	-3.676364226791189	-3.8685868559724486	-2.676319189498763	-6.462044523493828	-2.0169577644895207	-4.081348661426499	-13.755490932319159	-2.4548171227577935	-2.0679753070571767	-2.081324520047375	-6.785669080984149	-5.061534701695349	-4.828461291753599	-13.755490932319159	-13.755490932319159	-2.611038421300831	-13.755490932319159	-5.7485232531855885	-8.124143958442769	-2.120471205504536	-0.6489338487979188	-5.0407617403137985	-4.944173585327759	-7.046529861676499	-2.0560637624560036	2.235323885226751	-13.755490932319159	-5.597888067719479	-4.831134266821639	-6.757068654909859	-1.4457891729045527	-2.673105395080496	-6.039635704742349	-2.417069753065746	-7.0193248151649685	-1.9514344512989337	2.7645348542653814	0.02066527519132122	4.616925724493561	-2.2712803258883056	-3.894880048829069	1.925325021731921	-5.275074856355109	-6.382528998273929	1.4211129551106914	-1.4726595504498257	0.03664108207238126	0.0985864074486813	-3.771486385493149	-1.8405545194176238	-6.382506675689688	-3.213345265317729	-2.1684133678773807	-5.447919195175828	-13.755490932319159	-2.6770851350073306	-2.6586103838330377	-1.4974810432160737	-5.508143327713919	-3.529073545062529	-6.656049304845629	-2.5903902581351685	-1.0244148346675608	-13.755490932319159	-1.5922313475578587	-6.227067547029598	-1.8984974006141107	-6.3856917443517185	-3.3519619176229885	-0.43607828625058875	1.6288487012659312	-13.755490932319159	-4.634994856351838	-6.490029151587819	-4.142691316014549	-2.0326567649465437	-6.108241152969098	-4.747898952377199	-5.071675676568109	-4.031411671593499	-2.7564779912890587	-6.627725772051028	-3.2388347009071587	-5.350241351621209	-1.2567883685070869	3.6534241738847113	-6.5569669518258085	-2.6695537536112726	0.37498602395527136	-0.6670777937454386	-6.169165641382759	-3.5961363310608587	-4.135219118640299	2.5578780639785617	-1.4430933998911888	-0.39790182392090867	-2.523222062879289	0.2998084150381213	-4.277560470602649	-6.266747557225729	-2.069475071089869	-0.8146641269399367	-1.1450085598914677	-4.265475877027409	-2.3037538516243408	-0.3659759152992188	-5.249223950566709	-13.755490932319159	-1.5336280797120496	0.37929498568693143	-4.336969711273219	0.5573950842149213	-2.4742329431452497	-7.434274149088889	-1.1294727827350526	-1.0311643102167758	-3.701108177408659	-3.6768878519223884	-3.5072344735840586	-13.755490932319159	-3.852771283357989	-2.6208498213576656	5.4213803403356415	-4.841885766892929	-4.779381880823509	-2.5452911512965186
msp_0010	-5.6101200913961735	-2.0983569888064335	3.3300508610644264	-10.840025438420295	-10.840025438420295	-10.840025438420295	-10.840025438420295	3.6563117047195766	-10.840025438420295	-10.840025438420295	1.181155098086718	-4.679984076102103	2.148501574080141	-10.840025438420295	-10.840025438420295	-10.840025438420295	-5.630471409114314	-10.840025438420295	-4.209443807618424	-10.840025438420295	-10.840025438420295	-10.840025438420295	-10.840025438420295	-1.4860526612819438	6.683973193145096	-10.840025438420295	1.2918929547157323	2.1924505040106763	0.8141540766844994	3.8954310646454364	6.0761665337150665	1.2764841370484952	6.1037497439211865	-4.338915200521933	-0.13087796879198366	2.3521019778136965	-10.840025438420295	1.4859260932732035	-1.3783319543178836	-10.840025438420295	-10.840025438420295	-10.840025438420295	-10.840025438420295	-10.840025438420295	-10.840025438420295	4.406453183740487	-10.840025438420295	-1.4055966823243837	-1.7133096170699837	-10.840025438420295	-10.840025438420295	-6.311671843510144	-0.8863341596833938	-10.840025438420295	-3.042799106373174	-10.840025438420295	-10.840025438420295	-3.4949757915649933	-10.840025438420295	-10.840025438420295	1.7970728675083254	-2.4857679986443637	-10.840025438420295	-10.840025438420295	-10.840025438420295	-3.4121526744556734	4.726349397519726	-3.2474654774041634	-0.8114844858284038	8.208054693322866	9.438065075184706	-1.3761101110617435	1.235611345579825	4.102372297652306	-3.7613925932160335	5.024517552139017	-0.8180579280812337	4.4834635700431065	-3.2137213942622838	4.645760242714516	9.967740605542986	2.3764796736832863	4.819637898623677	-10.840025438420295	-0.46582728899536363	-10.840025438420295	0.8605045825432404	-10.840025438420295	-10.840025438420295	2.4125142623171962	7.509664750764206	-10.840025438420295	-5.055106047599254	-10.840025438420295	0.08287317218049628	-10.840025438420295	-10.840025438420295	-10.840025438420295	2.010479305350893	-10.840025438420295	-1.0599250892310437	-10.840025438420295	-5.838583965377803	-5.840526461186504	-10.840025438420295	3.233998224742386	3.9058238411734463	5.416727316704386	5.009201533593696	-4.392814368493363	-1.2952104509799738	-10.840025438420295	-10.840025438420295	-10.840025438420295	-2.9701888980299636	-10.840025438420295	4.362234043994897	7.752435573660317	6.116197161470806	-10.840025438420295	-10.840025438420295	-10.840025438420295	-10.840025438420295	-10.840025438420295	-10.840025438420295	-3.822850235504924	3.9409833663354363	0.8923074565285664	-10.840025438420295	-0.8340215756910636	-10.840025438420295	-10.840025438420295	-2.1334868257721737	-10.840025438420295	4.218284967513107	-10.840025438420295	-10.840025438420295	-1.8358719333758038	-10.840025438420295	5.389955589939446	8.489227719397556	3.2765948624538863	5.218913880271346	-10.840025438420295	-10.840025438420295	-0.10598773140328355	1.5045804187020915	5.181470286912047	2.9719414050301065	-10.840025438420295	0.5139185448797364	0.6760258997973614	-10.840025438420295	-10.840025438420295	4.969853496410087	8.505092844634627	0.5619994357991493	3.5067435893863665	2.6044219842972764
msp_0011	2.107332612898932	-3.8056976412344485	2.319809776417802	-0.9196379397467482	-1.4634504665606483	-5.037410939844587	-11.717106733165098	1.6149287435873718	-1.3871494530952981	4.638306809757731	1.2284304220897448	0.4600179350394588	0.5113739647135818	0.03497793853377179	-11.717106733165098	-11.717106733165098	-6.819766319485009	-5.255115782579498	-1.3107749355684182	-3.189759352271738	-0.1723055221598332	-1.0592402790288082	3.7506565530893616	2.260280645005782	-11.717106733165098	3.889315650774222	2.812172651114782	2.462932358488872	0.49513892405246185	1.827038167407632	3.021317858878442	1.7140722723407218	3.7259569911797517	1.3237374138722517	0.13468620271680382	2.1421542636358017	-2.367663265202558	3.573802705396782	1.9705681040639618	-11.717106733165098	0.2863647253445131	-1.1883685668296082	-2.5104234038222684	-0.05531540006640018	-4.250406006492069	2.618960292333422	1.2804749030350788	-1.5280662699793781	-1.1514492395127283	-6.632151909653999	-4.001659470289189	-6.534318016608697	0.4353834693900558	-0.6843264486759731	-5.9005525131365975	-2.627378200865908	-1.6198053358933182	0.7514001388486637	-4.604258235859529	4.001590171974241	-0.041897099342294186	-1.6593184154061482	-11.717106733165098	3.5653737116491517	5.107450852296662	-0.011802484276747183	3.3003219452915817	3.1305728605347016	0.3915418330484394	5.199762442885502	5.5676219458270015	8.136125463936592	1.5540168102472318	1.3776701096942419	5.794109908629952	5.749720080297271	-1.4574067922428082	3.1750082024125916	0.7862960098267688	4.346961604012511	6.593045993090103	0.3641772237713464	1.764031395063672	2.7300388621853817	1.8949296969657619	0.5963081660742549	2.367347057580072	4.224184781611362	-2.2149224794014684	2.218381922728902	-1.1447703288807283	-2.2500821842474283	0.35563200042241283	-0.9057958458743383	2.507341612988912	4.720278884700791	-11.717106733165098	-11.717106733165098	-1.7710293838918383	-1.738654634745298	-3.409598621800558	-2.6516403368695682	-5.494051592561469	-0.48670261749578614	-11.717106733165098	-2.6548024159488484	-0.5038009326886291	-1.233060720191168	-1.2466026160206782	-5.183405721812079	-6.065795489008648	-2.098626060496568	2.0605934603279517	-1.4841903164351782	1.8081753912800618	1.4060563899632819	1.857225785010162	-0.9511542384919982	5.497495568754381	2.168044961589202	0.02007944537797679	-0.6006547404335761	-3.408707742631948	-0.5456650775783892	-1.1804051722121882	-0.08466814881463719	1.5316172552994418	0.20201949518558782	3.334014652679302	2.7881257696991417	4.879255058330642	0.8535539061841099	-3.8153353244186783	4.040042979040182	4.4855843614326325	2.753044566199622	2.4800229480688416	4.703939205399752	0.6885429823419478	3.674339661697812	-11.717106733165098	1.2591854554357458	5.110588285733572	0.5702204166891248	1.5233587285053618	0.8581384302444388	0.2516495907684358	2.2023720112689116	0.1675931637047908	-0.6095059918061612	-0.6849530552601052	1.6789817326508618	-3.1316455840030284	1.2535285895776929	1.9134009338180717	5.484567872013791	1.7671620046178018	0.8916715300150159	1.8353451814211519
msp_0012	1.0130516955118927	-1.2825685279105175	1.2645848068065806	-0.08515259591905144	-3.7553095756804873	-2.4235575097353177	-3.1080920308621973	-11.502066209896638	2.5776245035980825	3.1721878769891925	3.6627983892009026	1.5467207925347326	0.48231698250945343	1.6710154679561326	-1.3068416632739974	-5.245369524457687	-4.472952455607647	-4.460578166015137	-2.4999737934700876	-2.5717769938001473	3.5538087198863426	2.2570030998265724	5.950987510368163	4.548948523134473	4.813441853631283	2.7749274925472327	4.611126223608533	3.7327731907999224	0.3383000889539336	2.7679344230870226	5.099163599373923	1.3879957117586976	3.1614674986273723	0.055833770109458614	-1.4868619842181774	2.7880782168121723	-1.4388891358232474	2.9650584495332826	1.7408033100848925	-0.3863089889214164	0.3884526668731386	0.4637049624751543	0.9256201588448346	0.30269081840531564	-3.4869418256890374	-11.502066209896638	2.5895766696613727	-1.7492287555554773	-1.2051008365704976	-3.3797812008828774	1.1051818806087135	-0.9074092453355075	2.9872931781052223	-0.36932358861767345	-5.903644263831687	-3.0856637474557775	-3.2476408598182473	-1.0060145488868173	-3.9767883256657472	5.708462569445843	2.6813962033402223	-1.6984819494440577	-11.502066209896638	3.4465449439390823	1.7955840576794224	0.18670765157819158	-0.5369388239988974	3.2246492397581226	5.597260493863093	8.431852958362642	5.003798457683093	6.207097537652203	0.3803429987034766	0.8720411476473147	-4.345992708258017	3.9767252631710526	0.4836179706097521	3.3373837612853023	3.3743533305053526	4.187171354910412	-4.889709615190817	2.6900434882731026	4.937102661521953	1.7436455660363528	3.1497742607416526	1.7722953891731827	2.8347319750298725	4.878263451251463	-0.5038988260032474	2.8661454211017423	2.0239873871934626	-1.5950056234737073	1.5924983055637227	-2.8907608982526374	1.5445487089812326	5.375214000025323	4.969349972565643	-0.9938273092654174	0.3962547217474376	-2.5524975931235776	0.04824909492407459	-1.3274878650169772	-1.8235211626654877	-1.9317782796758873	-11.502066209896638	-0.7286684875836474	0.3393439115084056	0.1962722374036756	2.5799200048474025	-4.809540578945277	-4.154656241796447	-2.5540760573295773	0.1301935569482266	-1.6347985231192377	1.1750976593056865	2.6527231632171526	0.7412131207375217	2.231454595587403	4.640798767596933	1.0311414346319467	-1.8922249334315775	-1.6326485129664974	-0.14012604707769938	0.2185159443452016	-0.5310395860243374	3.0096487675267025	4.935810529670493	0.8652537824859337	-11.502066209896638	3.7837624800528027	4.945236231013843	0.9551877657265226	-1.2174527911288373	4.202106511088043	4.648599371840183	3.7393182851593023	3.6375112372590324	3.1843609402030926	2.7376710541996827	2.6287648739745024	2.3071754902759727	2.1531242637101826	5.833106868432023	3.4021468222519426	4.092830891646282	4.581642222007213	-0.7155248491467875	3.9813367236708226	2.4425322054300524	0.09415883513044959	0.6629790995945126	1.0504626293981316	-1.1562958171470372	1.6663385452855626	4.144436636765112	6.339389148307243	1.4981105801337466	3.2927100474587023	1.8816022734877325
