gene_ID	ERS2637868	ERS2637867	ERS2637866	ERS2637865	ERS2637863	ERS2637862	ERS2637861	ERS2637859	ERS2637858	ERS2637856	ERS2637855	ERS2637854	ERS2637853	ERS2637852	ERS2637851	ERS2637849	ERS2637848	ERS2637847	ERS2637845	ERS2637844	ERS2637842	ERS2637841	ERS2637839	ERS2637838	ERS2637837	ERS2637836	ERS2637835	ERS2637834	ERS2637833	ERS2637832	ERS2637831	ERS2637830	ERS2637829	ERS2637828	ERS2637827	ERS2637826	ERS2637824	ERS2637822	ERS2637821	ERS2637820	ERS2637818	ERS2637817	ERS2637816	ERS2637815	ERS2637814	ERS2637813	ERS2637811	ERS2637810	ERS2637809	ERS2637807	ERS2637806	ERS2637805	ERS2637804	ERS2637803	ERS2637801	ERS2637800	ERS2637798	ERS2637797	ERS2637795	ERS2637794	ERS2637791	ERS2637789	ERS2637788
msp_0289	-11.48433501759719	-11.48433501759719	-11.48433501759719	-5.8185289081794105	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-5.5165911082542305	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	-11.48433501759719	1.54741144731904	-11.48433501759719	-11.48433501759719	-11.48433501759719
msp_1479	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	2.458058479438954	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-5.986178665759105	-12.023520135984816	-12.023520135984816	-12.023520135984816	-1.7819599836124558	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-12.023520135984816	-5.402271042874486	-12.023520135984816	-12.023520135984816	-3.068457022687186	-5.079562147930655	-12.023520135984816	-12.023520135984816	-3.776587782884286
msp_0172	-5.6564649586313775	0.20064911236856664	-3.780839132244197	-0.6829015892475575	2.3348975630180027	-1.2352360987807272	-3.254390249603027	-1.3633167554338073	-3.073749903222437	-2.1533588540000075	-2.911771803600247	-2.4556081819080573	-1.6886114112012174	-3.996581821016017	-3.9536843499139875	-3.945997876992287	-1.8437056088942372	0.5730869389421016	1.3924117851496725	0.07729489976340365	-2.4052784398512674	-2.6048198218493175	0.6519264894136556	-2.539324573344947	-1.3833656129461174	-1.5045404304895373	-1.7751406356570074	-3.2835763011329275	1.8856969362771925	0.009872093778817592	0.8372053794455409	-3.463996192412047	0.3661960440299926	0.1364860882439246	-3.6549952856504273	0.0804697751783976	-5.177207682652547	-1.7818716315119572	-4.331545752844857	-4.608756542418368	-4.964424396677997	-4.0664541103464975	-4.264391438611957	-3.794347345683967	-2.2994817997940973	-2.2761440179618173	1.6139486282028705	-1.8308534304199973	-3.557373228646207	-3.5073300123380475	-2.1206951177064974	-1.8145003335552672	-5.085653993098737	-3.057402789616947	1.2806447942925545	-1.0787435246607573	-1.1821069176771175	-4.209253783723737	3.2904581611678627	1.6296337936470184	0.4130006099246916	-3.133403639649677	-0.9801195291974975
msp_0302	-11.235656914530136	-5.975794697902176	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-3.839591083040076	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	0.06007422253198391	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-1.1515035317936362	-11.235656914530136	3.8744787784607637	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-4.075375234250787	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-1.456500069545236	-11.235656914530136	-11.235656914530136	-4.840169809895457	-11.235656914530136	-4.284138154586387	-11.235656914530136	4.337294687775474	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136	-1.4744852369449863	-11.235656914530136	-11.235656914530136	-11.235656914530136	-11.235656914530136
msp_0072	1.413729701475511	2.78800472265303	3.31155234239894	-3.2004818648897198	-0.48723265074118005	-1.1136063033384502	4.93238833433362	-11.18905252682376	0.7776343105020773	2.74955423846788	3.87689093941503	3.83719358773738	1.3993140343347918	0.408839698071114	3.11222670077618	1.89207847023932	3.29091352497338	-3.43651440369538	-0.39790194746573004	1.5437930135965678	-3.10741876437559	0.38273927703345195	-0.5901737782486	4.57591809809852	5.09491303962002	0.614600737918501	4.46246540538778	1.586834015752191	0.692646640128797	2.30198069046134	4.42073933446504	1.9344563541564201	3.02239616625296	-5.34211629239596	0.41983307978547796	0.122270835084904	3.9768905569746003	-11.18905252682376	3.84339447096825	2.4485302028685	1.172814982438223	2.20176554020984	-2.5935395918224997	1.544735633987222	3.4748121542196	1.136493971304355	-3.5842829632922797	2.19906477195255	0.5833551578759699	-1.73146397664862	2.37711210959521	-3.19203791825357	2.32826700300148	-1.62012418394441	-3.3596532849599496	0.9583532517771269	2.14334766381873	0.29185957097831094	-11.18905252682376	0.873816909272184	2.12337919089663	4.75343561514752	2.30279042057888
msp_0194	-13.917418876189986	-2.591276997733747	-8.640743768727017	-13.917418876189986	-1.8865793440485747	-3.229765952051296	-2.521325885347804	-3.168485297825936	-13.917418876189986	-13.917418876189986	-9.171962409083015	-4.795398858256956	-1.9041748206952291	-3.994233433448426	-3.236684352589966	-3.078134279115666	0.6263195226626439	-13.917418876189986	-13.917418876189986	-13.917418876189986	-2.568574829112481	-13.917418876189986	-13.917418876189986	-3.873271012008746	-6.222548284486326	-1.623440958755182	0.37289111403560415	-6.018611050074236	-3.858237128985956	-13.917418876189986	-13.917418876189986	-13.917418876189986	-3.237373552154216	-1.8380469000058692	-2.783188665153423	-3.588518081165836	-13.917418876189986	-13.917418876189986	-3.265303363554086	-7.570455174453176	0.2305612710422542	-1.226393223035065	-5.578974170286186	-6.342102010318386	-0.598705631070436	-0.0941973621554959	-6.5911699097195555	-4.9807413094315365	-6.186589287186386	-6.362893125719786	-2.105957044076328	-13.917418876189986	-1.862238365286579	-3.868806776751046	-2.7173873104358197	-2.258132374171368	-13.917418876189986	-1.368737594627377	-4.466776501341506	-13.917418876189986	-1.5084791390016479	-0.08056151839229586	-4.321076639651486
msp_0397	-5.870670607815571	-12.54258139526074	-12.54258139526074	-12.54258139526074	-4.697144167069741	-12.54258139526074	-12.54258139526074	-12.54258139526074	-4.140418812634671	-12.54258139526074	-12.54258139526074	-12.54258139526074	-12.54258139526074	-3.7448722832735006	-12.54258139526074	-12.54258139526074	-12.54258139526074	-12.54258139526074	-12.54258139526074	-12.54258139526074	-2.7562221174958506	-12.54258139526074	-12.54258139526074	-12.54258139526074	-12.54258139526074	-12.54258139526074	-12.54258139526074	-0.46643102017247395	-12.54258139526074	-12.54258139526074	-12.54258139526074	-12.54258139526074	-12.54258139526074	-2.9730762940794806	-12.54258139526074	-12.54258139526074	-12.54258139526074	-12.54258139526074	-12.54258139526074	-12.54258139526074	-12.54258139526074	-1.7342531545100208	-12.54258139526074	-12.54258139526074	-12.54258139526074	-12.54258139526074	-4.074429416531391	-7.568211670388071	-12.54258139526074	-6.063550257149901	-12.54258139526074	-12.54258139526074	-12.54258139526074	-3.283053297367991	-7.379150825027721	-12.54258139526074	-12.54258139526074	-1.4850490284046889	-4.86714647797263	-12.54258139526074	-12.54258139526074	-12.54258139526074	-12.54258139526074
msp_0133	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	-2.9166840501120213	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	4.589091903901939	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	-3.7744679781066717	-4.887654715589921	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	-3.2892634504282015	-4.709946590915892	-10.702991821759422	-10.702991821759422	-1.0865621933757712	-10.702991821759422	-10.702991821759422	3.8011686224861787	-0.30240430743111135	6.093757346700609	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	5.729452906664239	5.483081044401729	-10.702991821759422	5.405958258132339	3.9549814528450287	0.42446687825637275	-10.702991821759422	-10.702991821759422	-1.0103736637369614	-10.702991821759422	-10.702991821759422	-5.497765552224931	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422	-10.702991821759422
msp_0275	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	5.743341397028537	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	5.073390437442887	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862	-9.618291572298862
msp_1377	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-1.757530560320895	-12.423303110015535	-12.423303110015535	-3.131037723730595	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-1.881905059987395	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-6.092224451992115	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-5.323552404302985	-12.423303110015535	-12.423303110015535	-12.423303110015535	-4.2638612686251545	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-12.423303110015535	-6.362421146758375	-12.423303110015535	-12.423303110015535	-12.423303110015535
