"file"	"lab"	"batch"	"condition"
"DDA_APT_D5_1"	"DDA_APT_D5_1"	"APT"	"DDA_APT"	"D5"
"DDA_APT_D6_1"	"DDA_APT_D6_1"	"APT"	"DDA_APT"	"D6"
"DDA_APT_F7_1"	"DDA_APT_F7_1"	"APT"	"DDA_APT"	"F7"
"DDA_APT_M8_1"	"DDA_APT_M8_1"	"APT"	"DDA_APT"	"M8"
"DDA_APT_D5_2"	"DDA_APT_D5_2"	"APT"	"DDA_APT"	"D5"
"DDA_APT_D6_2"	"DDA_APT_D6_2"	"APT"	"DDA_APT"	"D6"
"DDA_APT_F7_2"	"DDA_APT_F7_2"	"APT"	"DDA_APT"	"F7"
"DDA_APT_M8_2"	"DDA_APT_M8_2"	"APT"	"DDA_APT"	"M8"
"DDA_APT_D5_3"	"DDA_APT_D5_3"	"APT"	"DDA_APT"	"D5"
"DDA_APT_D6_3"	"DDA_APT_D6_3"	"APT"	"DDA_APT"	"D6"
"DDA_APT_F7_3"	"DDA_APT_F7_3"	"APT"	"DDA_APT"	"F7"
"DDA_APT_M8_3"	"DDA_APT_M8_3"	"APT"	"DDA_APT"	"M8"
"DDA_FDU_D5_1"	"DDA_FDU_D5_1"	"FDU"	"DDA_FDU"	"D5"
"DDA_FDU_D6_1"	"DDA_FDU_D6_1"	"FDU"	"DDA_FDU"	"D6"
"DDA_FDU_F7_1"	"DDA_FDU_F7_1"	"FDU"	"DDA_FDU"	"F7"
"DDA_FDU_M8_1"	"DDA_FDU_M8_1"	"FDU"	"DDA_FDU"	"M8"
"DDA_FDU_D5_2"	"DDA_FDU_D5_2"	"FDU"	"DDA_FDU"	"D5"
"DDA_FDU_D6_2"	"DDA_FDU_D6_2"	"FDU"	"DDA_FDU"	"D6"
"DDA_FDU_F7_2"	"DDA_FDU_F7_2"	"FDU"	"DDA_FDU"	"F7"
"DDA_FDU_M8_2"	"DDA_FDU_M8_2"	"FDU"	"DDA_FDU"	"M8"
"DDA_FDU_D5_3"	"DDA_FDU_D5_3"	"FDU"	"DDA_FDU"	"D5"
"DDA_FDU_D6_3"	"DDA_FDU_D6_3"	"FDU"	"DDA_FDU"	"D6"
"DDA_FDU_F7_3"	"DDA_FDU_F7_3"	"FDU"	"DDA_FDU"	"F7"
"DDA_FDU_M8_3"	"DDA_FDU_M8_3"	"FDU"	"DDA_FDU"	"M8"
"DDA_NVG_D5_1"	"DDA_NVG_D5_1"	"NVG"	"DDA_NVG"	"D5"
"DDA_NVG_D6_1"	"DDA_NVG_D6_1"	"NVG"	"DDA_NVG"	"D6"
"DDA_NVG_F7_1"	"DDA_NVG_F7_1"	"NVG"	"DDA_NVG"	"F7"
"DDA_NVG_M8_1"	"DDA_NVG_M8_1"	"NVG"	"DDA_NVG"	"M8"
"DDA_NVG_D5_2"	"DDA_NVG_D5_2"	"NVG"	"DDA_NVG"	"D5"
"DDA_NVG_D6_2"	"DDA_NVG_D6_2"	"NVG"	"DDA_NVG"	"D6"
"DDA_NVG_F7_2"	"DDA_NVG_F7_2"	"NVG"	"DDA_NVG"	"F7"
"DDA_NVG_M8_2"	"DDA_NVG_M8_2"	"NVG"	"DDA_NVG"	"M8"
"DDA_NVG_D5_3"	"DDA_NVG_D5_3"	"NVG"	"DDA_NVG"	"D5"
"DDA_NVG_D6_3"	"DDA_NVG_D6_3"	"NVG"	"DDA_NVG"	"D6"
"DDA_NVG_F7_3"	"DDA_NVG_F7_3"	"NVG"	"DDA_NVG"	"F7"
"DDA_NVG_M8_3"	"DDA_NVG_M8_3"	"NVG"	"DDA_NVG"	"M8"
"DIA_APT_D5_1"	"DIA_APT_D5_1"	"APT"	"DIA_APT"	"D5"
"DIA_APT_D6_1"	"DIA_APT_D6_1"	"APT"	"DIA_APT"	"D6"
"DIA_APT_F7_1"	"DIA_APT_F7_1"	"APT"	"DIA_APT"	"F7"
"DIA_APT_M8_1"	"DIA_APT_M8_1"	"APT"	"DIA_APT"	"M8"
"DIA_APT_D5_2"	"DIA_APT_D5_2"	"APT"	"DIA_APT"	"D5"
"DIA_APT_D6_2"	"DIA_APT_D6_2"	"APT"	"DIA_APT"	"D6"
"DIA_APT_F7_2"	"DIA_APT_F7_2"	"APT"	"DIA_APT"	"F7"
"DIA_APT_M8_2"	"DIA_APT_M8_2"	"APT"	"DIA_APT"	"M8"
"DIA_APT_D5_3"	"DIA_APT_D5_3"	"APT"	"DIA_APT"	"D5"
"DIA_APT_D6_3"	"DIA_APT_D6_3"	"APT"	"DIA_APT"	"D6"
"DIA_APT_F7_3"	"DIA_APT_F7_3"	"APT"	"DIA_APT"	"F7"
"DIA_APT_M8_3"	"DIA_APT_M8_3"	"APT"	"DIA_APT"	"M8"
