"rowname"	"U_L3_D5_01"	"U_L3_D5_02"	"U_L3_D5_03"	"U_L3_D6_01"	"U_L3_D6_02"	"U_L3_D6_03"	"U_L3_F7_01"	"U_L3_F7_02"	"U_L3_F7_03"	"U_L3_M8_01"	"U_L3_M8_02"	"U_L3_M8_03"	"U_L3_D5_04"	"U_L3_D5_05"	"U_L3_D5_06"	"U_L3_D6_04"	"U_L3_D6_05"	"U_L3_D6_06"	"U_L3_F7_04"	"U_L3_F7_05"	"U_L3_F7_06"	"U_L3_M8_04"	"U_L3_M8_05"	"U_L3_M8_06"
"HMDB0000201|Acetylcarnitine"	25.363	25.363	25.3	25.485	25.624	25.529	25.088	25.143	25.029	25.746	25.839	25.748	25.44	25.426	25.404	25.557	25.626	25.657	25.187	25.156	25.126	25.953	25.821	25.852
"HMDB0000532|Acetylglycine"	0	17.524	17.847	17.905	0	0	17.819	18.326	0	18.388	18.637	18.088	0	0	17.878	0	17.827	0	18.543	18.128	18.335	18.255	18.757	18.749
"HMDB0000045|Adenosine monophosphate"	26.622	26.638	26.433	25.989	25.989	25.929	26.076	26.154	26.081	26.601	26.853	26.72	26.557	26.491	26.356	25.823	25.845	25.958	26.036	26.033	25.961	26.705	26.65	26.683
"HMDB0000161|Alanine"	26.578	26.527	26.479	26.997	27.028	26.919	26.788	26.901	26.934	26.248	26.268	26.28	26.718	26.671	26.588	27.162	27.168	27.179	27.09	27.058	27.103	26.438	26.367	26.397
"HMDB0000208|alpha-Ketoglutaric acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0001043|Arachidonate (20:4n6)"	0	16.892	16.892	17.782	17.136	0	0	17.62	17.653	0	0	0	18.286	17.718	18.204	17.998	17.394	18.057	18.325	18.258	18.763	0	17.812	18.285
"HMDB0000517|Arginine"	27.632	27.641	27.567	26.549	26.674	26.581	27.135	27.14	27.078	27.089	27.067	27.062	27.557	27.565	27.513	26.584	26.708	26.605	27.208	27.095	27.085	27.154	27.064	27.028
"HMDB0000168|Asparagine"	25.876	25.893	25.825	25.972	26.029	25.986	25.963	25.999	25.932	26.035	26.04	26.013	26.071	25.991	26.001	26.139	26.18	26.167	26.14	26.109	26.059	26.251	26.193	26.226
"HMDB0000191|Aspartate"	24.054	24.06	23.963	22.754	22.786	22.737	23.303	23.303	23.227	23.02	23.075	23.094	24.005	23.978	23.981	22.702	22.76	22.751	23.157	23.179	23.104	23.184	23.025	23.051
"HMDB0000056|beta-Alanine"	22.59	22.567	22.555	22.749	22.836	22.67	23.226	23.134	23.18	24.408	24.391	24.335	22.825	22.648	22.475	22.746	22.896	22.849	23.246	23.21	23.209	24.337	24.357	24.309
