"file"	"D5"	"F7"	"M8"	"batch"	"batch_code"	"condition"	"lab"	"platform"	"protocol"	"datatype"	"rep"	"date"	"pseudo_sample"
"U_L3_D5_01"	1	0	0	"U_L3_01"	"B04"	"D5"	"L03"	"U"	"not_available"	"Metabolomics"	1	20200710	"client_04_L03_L14_D5_1_1"
"U_L3_D5_02"	1	0	0	"U_L3_01"	"B04"	"D5"	"L03"	"U"	"not_available"	"Metabolomics"	2	20200710	"client_04_L03_L14_D5_2_1"
"U_L3_D5_03"	1	0	0	"U_L3_01"	"B04"	"D5"	"L03"	"U"	"not_available"	"Metabolomics"	3	20200710	"client_04_L03_L14_D5_3_1"
"U_L3_D6_01"	0	0	0	"U_L3_01"	"B04"	"D6"	"L03"	"U"	"not_available"	"Metabolomics"	1	20200710	"client_04_L03_L14_D6_1_1"
"U_L3_D6_02"	0	0	0	"U_L3_01"	"B04"	"D6"	"L03"	"U"	"not_available"	"Metabolomics"	2	20200710	"client_04_L03_L14_D6_2_1"
"U_L3_D6_03"	0	0	0	"U_L3_01"	"B04"	"D6"	"L03"	"U"	"not_available"	"Metabolomics"	3	20200710	"client_04_L03_L14_D6_3_1"
"U_L3_F7_01"	0	1	0	"U_L3_01"	"B04"	"F7"	"L03"	"U"	"not_available"	"Metabolomics"	1	20200710	"client_04_L03_L14_F7_1_1"
"U_L3_F7_02"	0	1	0	"U_L3_01"	"B04"	"F7"	"L03"	"U"	"not_available"	"Metabolomics"	2	20200710	"client_04_L03_L14_F7_2_1"
"U_L3_F7_03"	0	1	0	"U_L3_01"	"B04"	"F7"	"L03"	"U"	"not_available"	"Metabolomics"	3	20200710	"client_04_L03_L14_F7_3_1"
"U_L3_M8_01"	0	0	1	"U_L3_01"	"B04"	"M8"	"L03"	"U"	"not_available"	"Metabolomics"	1	20200710	"client_04_L03_L14_M8_1_1"
"U_L3_M8_02"	0	0	1	"U_L3_01"	"B04"	"M8"	"L03"	"U"	"not_available"	"Metabolomics"	2	20200710	"client_04_L03_L14_M8_2_1"
"U_L3_M8_03"	0	0	1	"U_L3_01"	"B04"	"M8"	"L03"	"U"	"not_available"	"Metabolomics"	3	20200710	"client_04_L03_L14_M8_3_1"
"U_L3_D5_04"	1	0	0	"U_L3_02"	"B05"	"D5"	"L03"	"U"	"not_available"	"Metabolomics"	1	20200710	"client_04_L03_L14_D5_1_2"
"U_L3_D5_05"	1	0	0	"U_L3_02"	"B05"	"D5"	"L03"	"U"	"not_available"	"Metabolomics"	2	20200710	"client_04_L03_L14_D5_2_2"
"U_L3_D5_06"	1	0	0	"U_L3_02"	"B05"	"D5"	"L03"	"U"	"not_available"	"Metabolomics"	3	20200710	"client_04_L03_L14_D5_3_2"
"U_L3_D6_04"	0	0	0	"U_L3_02"	"B05"	"D6"	"L03"	"U"	"not_available"	"Metabolomics"	1	20200710	"client_04_L03_L14_D6_1_2"
"U_L3_D6_05"	0	0	0	"U_L3_02"	"B05"	"D6"	"L03"	"U"	"not_available"	"Metabolomics"	2	20200710	"client_04_L03_L14_D6_2_2"
"U_L3_D6_06"	0	0	0	"U_L3_02"	"B05"	"D6"	"L03"	"U"	"not_available"	"Metabolomics"	3	20200710	"client_04_L03_L14_D6_3_2"
"U_L3_F7_04"	0	1	0	"U_L3_02"	"B05"	"F7"	"L03"	"U"	"not_available"	"Metabolomics"	1	20200710	"client_04_L03_L14_F7_1_2"
"U_L3_F7_05"	0	1	0	"U_L3_02"	"B05"	"F7"	"L03"	"U"	"not_available"	"Metabolomics"	2	20200710	"client_04_L03_L14_F7_2_2"
"U_L3_F7_06"	0	1	0	"U_L3_02"	"B05"	"F7"	"L03"	"U"	"not_available"	"Metabolomics"	3	20200710	"client_04_L03_L14_F7_3_2"
"U_L3_M8_04"	0	0	1	"U_L3_02"	"B05"	"M8"	"L03"	"U"	"not_available"	"Metabolomics"	1	20200710	"client_04_L03_L14_M8_1_2"
"U_L3_M8_05"	0	0	1	"U_L3_02"	"B05"	"M8"	"L03"	"U"	"not_available"	"Metabolomics"	2	20200710	"client_04_L03_L14_M8_2_2"
"U_L3_M8_06"	0	0	1	"U_L3_02"	"B05"	"M8"	"L03"	"U"	"not_available"	"Metabolomics"	3	20200710	"client_04_L03_L14_M8_3_2"
