"file"	"D5"	"F7"	"M8"	"batch"	"batch_code"	"condition"	"lab"	"platform"	"protocol"	"datatype"	"rep"	"date"	"pseudo_sample"
"B1_DDA_TMO_Exploris480_B1_D5_1"	1	0	0	"TMO_Exploris480_1"	"B05"	"D5"	"L14"	"TFQ"	"not_available"	"Proteomics"	1	20191008	"client_04_L03_L14_D5_1_1"
"B1_DDA_TMO_Exploris480_B1_D5_2"	1	0	0	"TMO_Exploris480_1"	"B05"	"D5"	"L14"	"TFQ"	"not_available"	"Proteomics"	2	20191008	"client_04_L03_L14_D5_2_1"
"B1_DDA_TMO_Exploris480_B1_D5_3"	1	0	0	"TMO_Exploris480_1"	"B05"	"D5"	"L14"	"TFQ"	"not_available"	"Proteomics"	3	20191008	"client_04_L03_L14_D5_3_1"
"B1_DDA_TMO_Exploris480_B1_D6_1"	0	0	0	"TMO_Exploris480_1"	"B05"	"D6"	"L14"	"TFQ"	"not_available"	"Proteomics"	1	20191008	"client_04_L03_L14_D6_1_1"
"B1_DDA_TMO_Exploris480_B1_D6_2"	0	0	0	"TMO_Exploris480_1"	"B05"	"D6"	"L14"	"TFQ"	"not_available"	"Proteomics"	2	20191008	"client_04_L03_L14_D6_2_1"
"B1_DDA_TMO_Exploris480_B1_D6_3"	0	0	0	"TMO_Exploris480_1"	"B05"	"D6"	"L14"	"TFQ"	"not_available"	"Proteomics"	3	20191008	"client_04_L03_L14_D6_3_1"
"B1_DDA_TMO_Exploris480_B1_F7_1"	0	1	0	"TMO_Exploris480_1"	"B05"	"F7"	"L14"	"TFQ"	"not_available"	"Proteomics"	1	20191008	"client_04_L03_L14_F7_1_1"
"B1_DDA_TMO_Exploris480_B1_F7_2"	0	1	0	"TMO_Exploris480_1"	"B05"	"F7"	"L14"	"TFQ"	"not_available"	"Proteomics"	2	20191008	"client_04_L03_L14_F7_2_1"
"B1_DDA_TMO_Exploris480_B1_F7_3"	0	1	0	"TMO_Exploris480_1"	"B05"	"F7"	"L14"	"TFQ"	"not_available"	"Proteomics"	3	20191008	"client_04_L03_L14_F7_3_1"
"B1_DDA_TMO_Exploris480_B1_M8_1"	0	0	1	"TMO_Exploris480_1"	"B05"	"M8"	"L14"	"TFQ"	"not_available"	"Proteomics"	1	20191008	"client_04_L03_L14_M8_1_1"
"B1_DDA_TMO_Exploris480_B1_M8_2"	0	0	1	"TMO_Exploris480_1"	"B05"	"M8"	"L14"	"TFQ"	"not_available"	"Proteomics"	2	20191008	"client_04_L03_L14_M8_2_1"
"B1_DDA_TMO_Exploris480_B1_M8_3"	0	0	1	"TMO_Exploris480_1"	"B05"	"M8"	"L14"	"TFQ"	"not_available"	"Proteomics"	3	20191008	"client_04_L03_L14_M8_3_1"
"B1_DDA_TMO_QE-HFX_B1_D5_1"	1	0	0	"TMO_QE-HFX_1"	"B06"	"D5"	"L14"	"TFQ"	"not_available"	"Proteomics"	1	20180327	"client_04_L03_L14_D5_1_2"
"B1_DDA_TMO_QE-HFX_B1_D5_2"	1	0	0	"TMO_QE-HFX_1"	"B06"	"D5"	"L14"	"TFQ"	"not_available"	"Proteomics"	2	20180327	"client_04_L03_L14_D5_2_2"
"B1_DDA_TMO_QE-HFX_B1_D5_3"	1	0	0	"TMO_QE-HFX_1"	"B06"	"D5"	"L14"	"TFQ"	"not_available"	"Proteomics"	3	20180327	"client_04_L03_L14_D5_3_2"
"B1_DDA_TMO_QE-HFX_B1_D6_1"	0	0	0	"TMO_QE-HFX_1"	"B06"	"D6"	"L14"	"TFQ"	"not_available"	"Proteomics"	1	20180327	"client_04_L03_L14_D6_1_2"
"B1_DDA_TMO_QE-HFX_B1_D6_2"	0	0	0	"TMO_QE-HFX_1"	"B06"	"D6"	"L14"	"TFQ"	"not_available"	"Proteomics"	2	20180327	"client_04_L03_L14_D6_2_2"
"B1_DDA_TMO_QE-HFX_B1_D6_3"	0	0	0	"TMO_QE-HFX_1"	"B06"	"D6"	"L14"	"TFQ"	"not_available"	"Proteomics"	3	20180327	"client_04_L03_L14_D6_3_2"
"B1_DDA_TMO_QE-HFX_B1_F7_1"	0	1	0	"TMO_QE-HFX_1"	"B06"	"F7"	"L14"	"TFQ"	"not_available"	"Proteomics"	1	20180327	"client_04_L03_L14_F7_1_2"
"B1_DDA_TMO_QE-HFX_B1_F7_2"	0	1	0	"TMO_QE-HFX_1"	"B06"	"F7"	"L14"	"TFQ"	"not_available"	"Proteomics"	2	20180327	"client_04_L03_L14_F7_2_2"
"B1_DDA_TMO_QE-HFX_B1_F7_3"	0	1	0	"TMO_QE-HFX_1"	"B06"	"F7"	"L14"	"TFQ"	"not_available"	"Proteomics"	3	20180327	"client_04_L03_L14_F7_3_2"
"B1_DDA_TMO_QE-HFX_B1_M8_1"	0	0	1	"TMO_QE-HFX_1"	"B06"	"M8"	"L14"	"TFQ"	"not_available"	"Proteomics"	1	20180327	"client_04_L03_L14_M8_1_2"
"B1_DDA_TMO_QE-HFX_B1_M8_2"	0	0	1	"TMO_QE-HFX_1"	"B06"	"M8"	"L14"	"TFQ"	"not_available"	"Proteomics"	2	20180327	"client_04_L03_L14_M8_2_2"
"B1_DDA_TMO_QE-HFX_B1_M8_3"	0	0	1	"TMO_QE-HFX_1"	"B06"	"M8"	"L14"	"TFQ"	"not_available"	"Proteomics"	3	20180327	"client_04_L03_L14_M8_3_2"
