gene_ID	ERS436799	ERS436798	ERS436797	ERS436796	ERS436795	ERS436794	ERS436793	ERS436792	ERS436791	ERS436790	ERS436789	ERS436788	ERS436787	ERS436786	ERS436784	ERS436783	ERS436782	ERS436781	ERS436780	ERS436779	ERS436778	ERS436777	ERS436776	ERS436775	ERS436774	ERS436773	ERS436772	ERS436771	ERS436770	ERS436769	ERS436768	ERS436762	ERS436761	ERS436759	ERS436755	ERS436754	ERS436753	ERS436750	ERS436749	ERS436748	ERS436746	ERS436745	ERS436744	ERS436743	ERS436742	ERS436741	ERS436740	ERS436739	ERS436738	ERS436737	ERS436736	ERS436733	ERS436730	ERS436729	ERS436727	ERS436725	ERS436722	ERS436721	ERS436720	ERS436714	ERS436713	ERS436712	ERS436711	ERS436705	ERS436704	ERS436703	ERS436701	ERS436699	ERS436698	ERS436697	ERS436695	ERS436694	ERS436693	ERS436691	ERS436690	ERS436689	ERS436688	ERS436685	ERS436684	ERS436683	ERS436679	ERS436673	ERS436672	ERS436670	ERS436669	ERS436668	ERS436666	ERS436665	ERS436661	ERS436660	ERS436659	ERS436658	ERS436657	ERS436655	ERS436654	ERS436653	ERS436651	ERS436649	ERS436648	ERS436647	ERS436645	ERS436644
msp_0172	0.839191752885114	1.2195319731951502	0.019336886241827042	-1.8740241690674502	-2.31478754233556	-2.10798901432271	-0.48862302422341497	-0.18130788430078965	-4.4065142701968005	0.10591805096717904	-12.14069229263513	-5.39687582753211	-1.88471099663896	-4.10205755582447	-2.2094098523333097	-0.98610338045417	-1.67998543084204	0.776587388603307	-8.42530607778418	-3.3892321437460797	-3.7536156268721	-5.5770807092917805	-1.8302425667806301	1.43008043099148	-3.70894925232578	-1.9115558531055798	-0.41894344725094895	-2.6373061595992198	-1.7438461816892898	-0.48414219624861493	-2.9756216779100897	-1.3278740294418	1.7516794700842202	1.3789082298417399	3.53256822583899	-1.5971737684544398	-3.18304587964459	-0.09971769381777815	-4.01863683068324	-2.0318118745953297	1.2375826267876002	1.50011830047767	0.9217037213109401	-0.07700296666553655	-2.12403849720539	-3.69909083878163	-3.93609489598544	-2.62733770698347	-1.3331896280127	-2.65446435131378	-1.60461617093297	-0.298046547689807	0.704503847644742	-0.42388082466259697	-0.791690367916003	0.33970598578341005	-3.0670966066531697	-3.8693350252627696	-0.8587517187804029	-5.433926569571621	-3.2209315600650497	-3.33309504014639	-0.919484415082816	3.25905965530425	-0.767465057565341	-4.3114464091368605	0.291517759227617	-3.60997540959456	0.612537276078935	-1.26921481168461	-1.4414732497317502	-0.898125599543665	-1.83994784222237	0.522479919579671	-2.29300235261662	-4.361964246313151	-0.508435834823917	-3.3963848871807	-0.6870604305454779	2.66897677570081	1.37469104103588	-1.59644148408334	-0.43585196197940196	-1.7572402054424199	-5.81625561238757	-4.03657933532804	-0.735900275809525	-3.7865062320895797	0.20805496105597804	-3.24544101237208	-0.09971769381777815	-0.868368512136152	5.04592052449668	-1.8812281320808402	-2.38424997993102	-1.78008188389951	-4.91411591972234	-1.7901533886663201	-0.36781537205120995	-0.41519958265832996	-6.7327843751513905	-3.81272062964059
msp_0302	-11.966071127274232	-11.966071127274232	-11.966071127274232	2.755801747586228	-11.966071127274232	-11.966071127274232	1.9245087189156582	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	2.062972323553628	-0.8650757177282289	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-1.6517877421543619	-11.966071127274232	-11.966071127274232	-11.966071127274232	-5.868227219247802	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-5.213287066970822	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-7.655915044914192	-11.966071127274232	-11.966071127274232	-11.966071127274232	-6.571295796651212	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-4.838636264291652	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	0.9794979691054801	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-4.0213893340075915	-11.966071127274232	-11.966071127274232	-7.627116020826172	-11.966071127274232	-7.798031333082942	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	0.7672616318332112	-3.012994152435712	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	-4.2445174450281815	-11.966071127274232	-11.966071127274232	-11.966071127274232	-11.966071127274232	4.257979938235838	-11.966071127274232	-11.966071127274232	-6.558163209790492	-3.011653668495132
msp_0072	1.1859833489791147	-0.1795502640752733	1.2626294899920347	-0.7715052863741374	-11.749549551404137	3.3254354137938327	2.1378960411461927	1.1254835051782086	1.4608373015030627	0.4309133583111937	-5.721167191768407	2.4023817291752025	-0.3068177534514824	-0.9082703856829775	-1.4911639175085873	2.625018279076323	0.2531555934420391	-2.2700968757360176	2.2066727484806625	0.6016155895265857	-2.120658174022547	2.1533477823187326	-0.22057956643761928	2.8239333944727925	0.2583042184258489	2.176512721094433	-1.2447922712256974	2.053117922269503	3.127711854220353	2.0342637889347728	-11.749549551404137	-0.08487993261983634	6.423851768808243	-0.19594146766852333	-11.749549551404137	-2.5654379010284174	3.9212454084745625	0.4042554755429317	3.4138931173814124	0.2770826921541627	-11.749549551404137	2.3201933315422725	-1.2115632286185474	1.1564738472321028	0.7075194802389987	2.6644659255349525	2.8066005284015727	-2.0547546014208673	0.6273273221381547	2.1630220758777328	3.4984625577625525	3.0575472040619025	0.5267748012686747	2.6898569151780225	3.0334548604019025	3.2498576567370026	3.6633429901770427	0.28956754237507387	1.4789589140293926	0.9473077036501316	-1.4993485801907473	-1.0954655360136174	-11.749549551404137	-11.749549551404137	-0.6739077167388003	1.5766034231092727	8.021681492569513	0.5387841282787007	3.4973192446115227	-2.0445695018622474	3.2719550165494224	4.713685874272733	-1.2365764342729473	1.8931643794193627	0.8075948484089648	1.1281385181883057	1.7590958207455927	2.0317658460069725	0.6210399859222087	-2.4677002750543875	-3.2494351015682774	5.369799762058113	0.8120457076899186	1.9568398336578026	3.4606914117827725	2.3476799340332626	-1.5204614587970975	3.3208474085390525	-3.1731997206886775	2.0346043441892325	3.3398544784973727	0.2112982067912978	2.8079119955385528	1.8133234995348126	2.3079614513237825	3.6366970738178828	3.6837358819174026	2.3117679294935027	2.5922576451664727	1.6681310997906427	-2.5281199768153275	2.2191826581884526
msp_0194	-0.14482850737608954	-6.54013673565285	-13.445288023463108	-13.445288023463108	-13.445288023463108	-2.0627576130273555	-2.622566431738689	0.7234236196538506	1.2126549448702006	-13.445288023463108	-13.445288023463108	1.8035762477179207	-3.39186262576437	-2.6001993186357995	-13.445288023463108	-13.445288023463108	-9.13956538787603	-13.445288023463108	-6.74275868674337	-2.3670105723535633	-9.753667500141699	-0.19685535812329946	-13.445288023463108	-1.4075186533040551	-3.0419301449809995	0.6862821630575404	-2.0588574574247804	-0.5409322977491415	-1.2382827277439235	-13.445288023463108	-5.302282022424119	-13.445288023463108	-5.53891189818627	-5.8639674345446196	-13.445288023463108	-9.060774507827428	-1.4043134246457576	-2.3749323226533026	-2.2156098434484215	-13.445288023463108	-7.2510658601311295	-9.05633631159278	-8.119766039351779	-6.71071620607811	-1.3689394775299886	1.7398207198260007	-8.13168159195349	-3.71249901296485	-0.2171761405685595	-5.06585600515981	-13.445288023463108	0.6532728268019403	-13.445288023463108	-7.08282264506585	-13.445288023463108	-13.445288023463108	1.0172004174127307	-13.445288023463108	-0.39025150296244937	-1.8317523002718055	-13.445288023463108	1.1421092646786406	-13.445288023463108	-13.445288023463108	-13.445288023463108	-1.2738795239789016	-5.9722619543055	-13.445288023463108	-13.445288023463108	-8.142424834534589	-1.9629244698822794	-2.1661261067675897	-8.63257718129103	-7.650923530567639	-2.9227088044097296	-13.445288023463108	-0.2591885704430694	-13.445288023463108	-13.445288023463108	-2.7095091830613396	-13.445288023463108	-2.5763923234623096	-7.816949574875309	-7.63685364378616	2.2689524235537704	-13.445288023463108	-2.5396694453926494	-5.74507933244	-13.445288023463108	-1.0078136850840145	-13.445288023463108	-2.8218554968644995	-3.439675136918919	-3.8310508693204097	-1.4052265950307323	-2.1264724034571696	-0.24333066074153953	-2.5389373990910595	0.6652680573331107	-13.445288023463108	-2.4804583094611594	-0.03550392193348939
msp_0397	-12.98422766826657	-12.98422766826657	-12.98422766826657	-5.177744423712321	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-8.25729539863241	-12.98422766826657	-5.20753043171554	-6.27216090013237	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-6.885120824505741	-7.698055252102861	-12.98422766826657	-12.98422766826657	-4.168798935729171	-4.2471058294882	-12.98422766826657	-12.98422766826657	-8.16374194777183	-6.337605201068541	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-1.6674637455533325	-7.84345300526874	-12.98422766826657	-12.98422766826657	-12.98422766826657	-8.033451418843361	-12.98422766826657	-4.85600364289699	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-4.0726249328867405	-12.98422766826657	-3.2074373032672905	-12.98422766826657	-4.248423475494121	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-8.380842436370381	-12.98422766826657	-6.08272873585871	-1.6109198414806105	-12.98422766826657	-6.781850480751951	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-2.1565807093162803	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-12.98422766826657	-6.83238764575286	-12.98422766826657	-12.98422766826657	-12.98422766826657	-6.183264135475911	-0.5287577021473926	-12.98422766826657	-12.98422766826657	-4.205109106617021	-4.07474239427237	-2.8239414135836607	-3.5696724407085907	-3.7255096797680407
msp_0133	3.6411660458815103	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	-7.463986313295239	-12.1881226835108	-5.9003944575124105	-1.2903587881311898	5.77686039137391	-0.18842099662440925	3.7008476582335303	-12.1881226835108	-4.94768609886753	-12.1881226835108	-12.1881226835108	-12.1881226835108	0.9528624414294202	-7.9749252331994	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	-8.25442202758774	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	-4.04561876593058	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	-1.1883866454762397	-12.1881226835108	-12.1881226835108	-12.1881226835108	0.8676638068533602	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	2.33187987077677	3.1830418291283	-12.1881226835108	-12.1881226835108	-0.6067183293390898	3.8226020706130504	-12.1881226835108	-6.62056986104923	-4.442705034121669	4.09151876491752	2.6392362301550403	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	-7.4320475335824305	2.16001009942451	-12.1881226835108	-12.1881226835108	-12.1881226835108	-3.8588912089477896	-12.1881226835108	-12.1881226835108	-12.1881226835108	-6.108985774549799	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	4.836379715629681	-12.1881226835108	-12.1881226835108	-12.1881226835108	1.8124016660305702	-2.5602933999286197	-7.8324667082507595	-7.335092036512229	-4.80041822641123	-12.1881226835108	-12.1881226835108	-12.1881226835108	-12.1881226835108	3.1984688140201003	1.8499440802580402	2.4134771512205604	-12.1881226835108	-5.55209564242673	-2.92940469501227
msp_1377	-11.821093217491807	-11.821093217491807	-2.8132796569102365	-11.821093217491807	-11.821093217491807	-5.418603960096757	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-5.4583582538001965	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-3.2622192065447964	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-4.854767827017587	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-0.6101350224394185	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-4.880490217485867	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-4.3191946531488865	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-11.821093217491807	-5.386403446682906	-11.821093217491807
msp_2258	-7.549338142198799	-6.507401662927629	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-7.899376134390829	-3.7999271588377193	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-8.662819524001868	-5.888625144672229	-6.4995686636454595	-11.948631570305569	-7.636943211880439	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-5.766889645971129	-6.544376798221119	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-7.167436839917969	-11.948631570305569	-6.668409789848119	-11.948631570305569	-6.786011369486449	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-5.444412683717549	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-6.600623491303029	-8.4975760134942	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-5.953678774243639	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569	-11.948631570305569
msp_0565	-12.68721140630672	-6.580415447698539	-1.0391802821125697	-6.087250147777139	-12.68721140630672	-5.462127755638009	-7.067496083814599	-6.200942402765609	-7.113632790685229	-12.68721140630672	-12.68721140630672	-12.68721140630672	-2.974460928435569	-12.68721140630672	-5.924993150685759	-2.6412230201024487	-5.0229528100457985	-12.68721140630672	-12.68721140630672	-3.660699108816969	-12.68721140630672	-12.68721140630672	-5.601701768164839	-3.758559123408189	-12.68721140630672	-12.68721140630672	-8.267541933475318	-6.191220915096319	-3.563603935623569	-12.68721140630672	-2.996161828994869	-12.68721140630672	-0.38447719957449783	2.7877292589720213	-2.1060508771214987	-1.913222758315119	-12.68721140630672	-2.953956087395469	-6.894576624427478	-6.729795374947459	-4.569026723477439	-2.375215848166989	-6.788769590925579	-5.952639588921719	-3.703636567887029	-3.7718653605173587	-12.68721140630672	-7.405058501973129	-4.495906658063749	-12.68721140630672	-4.548342340532509	-3.2364391138615987	-2.8120889269512888	-6.232732916487769	-12.68721140630672	-4.871724613592849	-3.268689502390409	-4.140151139202748	-3.4180390496377187	-12.68721140630672	0.3256326920896432	-4.998683714350109	-12.68721140630672	-12.68721140630672	-5.391365202532379	0.6304973246637311	-5.475596605899639	-4.791758863170909	-5.237225503631939	-2.4659608792152286	-12.68721140630672	-6.839507218583939	-12.68721140630672	-4.130970425543939	-12.68721140630672	-12.68721140630672	-12.68721140630672	-8.285730347854638	-8.696846066426279	-6.646858452170079	-2.079738073782659	-12.68721140630672	-5.0809149338395585	-3.9317840743741788	-12.68721140630672	-3.594865686843309	-4.375551360418809	-12.68721140630672	-1.8587793117933789	-4.151980965281419	-3.4731617282622587	-12.68721140630672	-1.0439510507171448	-6.9965683854441485	-6.6649559789634685	-6.364839408501419	-12.68721140630672	-12.68721140630672	-5.914317570741479	-12.68721140630672	-12.68721140630672	-4.729888661284759
msp_0677c	-7.831507775037429	-12.792792331008638	-12.792792331008638	-7.963475432651259	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-8.350451040455738	-12.792792331008638	-12.792792331008638	-7.847925602157089	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-7.757664253729589	-12.792792331008638	-7.313272626636079	-12.792792331008638	-8.15412015027901	-8.040145294793849	-12.792792331008638	-12.792792331008638	-7.972306610513899	-12.792792331008638	-6.494431924648539	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-6.119303105760859	-4.518907603324669	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-5.685845372729069	-12.792792331008638	-12.792792331008638	-6.314822425778729	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-8.446300983081418	-6.549515761466779	-6.936226867316429	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-8.91642496488447	-12.792792331008638	-12.792792331008638	-12.792792331008638	-1.5254000466285111	-5.031736810172869	-5.479275926379619	-4.779887729504889	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-6.462604475416889	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-5.689687903999579	-12.792792331008638	-12.792792331008638	-12.792792331008638	-5.071238648762589	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-12.792792331008638	-8.802128254674258	-12.792792331008638	-12.792792331008638
