gene_ID	SRS2821229	SRS2821227	SRS2821226	SRS2821225	SRS2821224	SRS2821223	SRS2821222	SRS2821221	SRS2821218	SRS2821217	SRS2821215	SRS2821213	SRS2821212	SRS2821210	SRS2821207	SRS2821206	SRS2821205	SRS2821204	SRS2821020	SRS2821017	SRS2821016	SRS2821015	SRS2821014	SRS2821012	SRS2821011	SRS2821010	SRS2821009	SRS2821008	SRS2821007	SRS2821005	SRS2821004	SRS2821003	SRS2821002	SRS2821001	SRS2820998	SRS2820997	SRS2820996	SRS2820994	SRS2820993	SRS2820991	SRS2820990	SRS2820986	SRS2820985	SRS2820979	SRS2820976	SRS2820975	SRS2820974	SRS2820972	SRS2820971	SRS2820967	SRS2820965	SRS2820964	SRS2820963	SRS2820962	SRS2820960	SRS2820959	SRS2820958	SRS2820957	SRS2820956	SRS2820953	SRS2820952	SRS2820951	SRS2820950	SRS2820949	SRS2820947	SRS2820946	SRS2820943	SRS2820942	SRS2820941	SRS2820940	SRS2820939	SRS2820937	SRS2820936	SRS2820935	SRS2820933	SRS2820932	SRS2820929	SRS2820928	SRS2820926	SRS2820924	SRS2820923	SRS2820922	SRS2820918	SRS2820917	SRS2820914	SRS2820910	SRS2820909	SRS2820905	SRS2820904	SRS2820902	SRS2820901	SRS2820898	SRS2820897	SRS2820896	SRS2820895	SRS2820894	SRS2816074	SRS2816073	SRS2816072	SRS2816071	SRS2816070	SRS2816069	SRS2816066	SRS2816065	SRS2816063	SRS2816062	SRS2816052	SRS2816048	SRS2816045	SRS2816044	SRS2815679	SRS2815678	SRS2815677	SRS2815673	SRS2815672
msp_0172	0.9403625231038086	0.42939076377581875	-1.7988238311637312	0.5468956769893446	-3.8353962771867316	-1.6876839540026713	0.1411905210142086	1.1758235262486256	0.8257198765051447	-2.1808878767405915	-2.2577878731435814	-2.9494794211490314	-0.4607338535327514	-1.6082959530506216	0.7333764462177507	-0.19384919633597142	-3.0296624788571016	-4.7907008607496415	1.8278660458943936	-3.459903547396741	0.6882490333582166	-5.386153059844621	-1.9542226777937515	-1.3919772821896412	-0.9825420130088114	0.1724252519117686	-1.5935982035910614	-1.0421170246931712	0.5933796943431997	0.3314314672877887	0.9253368828843956	-4.602352674808281	-0.4795198682562114	-1.5935827512909113	0.5429686361952266	-3.1006876725538817	0.03152550347216865	-10.6049675523779	-1.0047246048769916	-0.5743546924148313	1.3611380750585327	-1.2684843422752015	-1.8464026489667513	-1.9916379741348011	-0.39961414158331143	-1.7481754971406214	-2.2081730793458814	0.3738382253530186	-2.1004285140799515	0.3010846230115587	0.9708570828517646	-2.8991322409969618	4.384270579287419	0.5461518412358226	0.8363859804450876	-1.7818758366728913	-0.7953875429127213	-3.6655950659766816	-0.9944257737525213	-2.2873205491703814	-1.7865211136197514	-3.5452600007265715	0.08970195310139872	-3.1355316081961115	-0.36232969437851126	0.9374297188862246	-1.1260269432676315	-2.9965466373311616	-1.1918360626435311	-3.505386012904891	-0.12630805318324145	-1.9013682969888914	-0.8614958000871815	-2.619872269282121	1.0301259487020227	-2.621632851661041	-2.2134749900098813	0.19430781399558872	-4.211569941973491	-3.7830150144094112	-10.6049675523779	-2.6753496192171813	-10.6049675523779	-2.8538837186463715	-3.5117996031445813	-3.681682518518671	-2.505893565867271	-0.6204845816864615	-1.8575431927886514	-2.701256201023422	-0.4109303310177814	-1.7691274524354812	-1.2060528844924514	-2.2039173930564915	-0.6584723874195713	-0.1783065231502714	1.2884083670155586	-2.4854689339834515	-4.792671119822061	-2.7517583058163915	-1.9156181091375815	2.4575692271317786	0.7837334924388506	-1.4915671664631112	0.7083519197426157	-10.6049675523779	-4.320994812491631	-4.394387697239901	-0.6188325356420612	-3.4203030467711812	-1.1851007792183812	-2.1459435009364314	-1.7286626656063615	-10.6049675523779	0.2801215040919087
msp_0302	-11.991692606267884	-11.991692606267884	-1.3080306622063342	-11.991692606267884	-11.991692606267884	-1.5799108748836943	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-0.02907959358908975	-11.991692606267884	-11.991692606267884	1.7185740341268156	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	0.40645925661642973	1.3811645301931057	-11.991692606267884	-11.991692606267884	-11.991692606267884	3.2714644259990355	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	3.1298176758944356	-11.991692606267884	-11.991692606267884	-11.991692606267884	-2.5927779383824343	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-4.377814208749474	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-0.47993642340731724	-3.284380593366554	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-0.15861782916799025	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	5.336481511045216	-11.991692606267884	-5.392796124301064	0.004640987764417348	-11.991692606267884	-11.991692606267884	-6.870251887726644	-11.991692606267884	-11.991692606267884	-11.991692606267884	-6.618251570542585	-11.991692606267884	-11.991692606267884	-11.991692606267884	-11.991692606267884	2.823594675331756
msp_0072	-0.5063026709292303	1.38960997960914	3.69536165124037	3.7618328634174905	0.7300469637409399	2.71342740091334	-1.0180042018357032	4.88890773020415	2.89909091849064	0.025566611334848832	2.48337919722219	3.29788154830028	-0.9373760754642582	-1.508176096187872	-0.9956679730886142	3.7670614387652703	4.03074171729875	-1.0281754283572813	0.9976505108005398	3.4735740231584504	1.88385414988574	1.4029862362031897	4.7692287451399205	5.73817632645141	4.51432419638876	4.29308347645451	2.4576563813986896	0.7633075969153498	-1.2228856830426282	-2.29727819769857	2.3880607042731894	3.46063526544369	-0.11973516024051717	-1.3652745111356483	-1.0889875734027363	-0.7511515158172821	1.7392844100099099	1.00888805098679	-2.07711961755862	0.44820418902743975	-5.78020407893374	1.5313700381490396	4.65115527428969	1.8639481495878398	2.29729809867655	-2.39710765557562	1.1532718788271	-0.8344759051364272	3.15013048729527	1.7955522071506198	-0.9045894405352801	1.1595222713590798	-3.4982523996087505	-12.59363094614937	-1.189076671151497	-4.72175234707312	1.9273644155167797	4.37340536893921	-1.6733425461595102	2.2484713843775994	-1.4828967143665222	4.45753598758291	-0.0037553791936921765	1.1393190277360299	4.78133696601573	5.15385849146048	0.7412325545768399	1.72071269249628	1.1760913147720697	1.3916458886224	3.2440236939850795	2.46457776636798	2.0391774564468497	1.3179180647274498	-0.19062059789910318	4.57619339346929	1.1590139187484898	3.78407391888617	1.98107807020471	-3.6295917507959006	2.1251266646098497	-5.77260320850708	2.95447190785261	-1.79782163444377	-0.9896585030557862	-1.2141346028885653	1.68172389862185	1.2792750240698498	-1.0077957168519682	-3.6929349892542502	3.1587880344222796	0.7866714547886997	4.39274490736933	2.0204333131272696	-3.0991094129648697	-12.59363094614937	-2.5056373742592504	2.60298203744234	0.4612765652827697	-0.23512904541153118	-0.6723355016677621	-4.26822520974208	-2.458605766532	-2.6610201018885906	2.18544973052742	-0.9439370059128682	-4.45375269923806	-5.47470987183227	-4.6032347670138	1.47161329662313	2.84901629426839	1.8369142886396899	-6.10918012706441	4.2180346795812	0.8695839756451398
msp_0194	-11.40804728205931	0.7695386778003128	-11.40804728205931	3.060821443920569	-0.2162766291353292	-2.169432520349721	0.5305220905464958	-5.961319511119621	0.35096586522466383	-11.40804728205931	0.1977326468838128	-0.7657823029452011	-11.40804728205931	-11.40804728205931	-4.952111311539121	-3.377987203352811	-11.40804728205931	-0.9591084921422912	-3.2871399264965913	-5.704686766056631	-11.40804728205931	1.2484676855718777	-11.40804728205931	-11.40804728205931	-11.40804728205931	-11.40804728205931	-11.40804728205931	-4.008460827268201	-11.40804728205931	-11.40804728205931	-4.713896038493202	0.3305344546780038	-3.1416950918240314	-11.40804728205931	0.1959314379514268	-11.40804728205931	-11.40804728205931	-5.099304565767631	2.252424261609369	-5.292757000628951	-11.40804728205931	-11.40804728205931	-11.40804728205931	-11.40804728205931	-5.184479929262912	-11.40804728205931	-11.40804728205931	-2.836854456139111	-11.40804728205931	2.972100099392519	-4.767915343294651	1.1133001366723687	-11.40804728205931	-11.40804728205931	0.3189020001061908	-11.40804728205931	-1.627580809049721	-1.5678367193942213	-2.173104371710241	-11.40804728205931	-11.40804728205931	1.1787878157290048	-3.7730614268222116	0.38891710602515084	0.59727101294437	-11.40804728205931	-11.40804728205931	-11.40804728205931	-11.40804728205931	-11.40804728205931	-11.40804728205931	-4.349128507097332	0.3596893332498398	0.2240581747844298	-11.40804728205931	-11.40804728205931	1.2871934948602757	-1.0247947904877412	-0.46759149334306116	-11.40804728205931	-1.8210492495585613	-5.574315935893662	-11.40804728205931	-1.761870011607491	-2.621773274105871	-5.155719756869231	-11.40804728205931	-1.1002745159410312	-11.40804728205931	-11.40804728205931	-11.40804728205931	-3.4625882201679916	-11.40804728205931	-11.40804728205931	-11.40804728205931	-11.40804728205931	-0.12793023728905717	-4.250438530432951	-11.40804728205931	-5.093052439732771	-11.40804728205931	-11.40804728205931	0.40416746777936285	1.8300897352609289	-11.40804728205931	-11.40804728205931	1.231888000980983	1.3630700206435438	0.2378448307858258	-11.40804728205931	2.0080832223964187	-11.40804728205931	-5.758760689035621	-11.40804728205931	-11.40804728205931
msp_0397	-11.80786745640432	-11.80786745640432	1.8775501073578282	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-3.6454945731308017	-11.80786745640432	-4.114218761468791	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-1.4723870531474117	-4.082330777973222	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-3.7202189611039516	-3.7065552010664518	-11.80786745640432	-4.884582422545091	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-6.3133810488897115	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-1.0925733039691516	-11.80786745640432	-11.80786745640432	-11.80786745640432	-4.356867979902342	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-4.992770499035882	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-4.385582387110352	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-3.0720483878778415	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	-11.80786745640432	2.8370880672756384
msp_0133	-13.38959758148927	0.49297557334874087	-7.462250285762009	0.4031537856633909	-3.030175669926189	1.109723681915051	0.35486966553143096	-13.38959758148927	-13.38959758148927	1.528995564594901	0.7284165541071708	-13.38959758148927	1.2992730895303308	1.6307569860154107	4.214132695991351	-13.38959758148927	-13.38959758148927	1.579431561597911	-13.38959758148927	-6.700147928147679	-6.892211311203769	-13.38959758148927	-13.38959758148927	-13.38959758148927	-13.38959758148927	-13.38959758148927	1.041150762413191	-6.309804723568609	-5.577746949100499	-13.38959758148927	-1.8427158364532121	-13.38959758148927	-1.46066433471246	1.580483537384411	-13.38959758148927	-2.885628331841179	-8.469326356418529	-5.556775165297369	1.426967792042871	-13.38959758148927	-13.38959758148927	-13.38959758148927	-13.38959758148927	-13.38959758148927	-13.38959758148927	-13.38959758148927	-2.333447180023269	-7.254047076909739	-13.38959758148927	-0.255318284709539	-13.38959758148927	-8.094052847716599	-13.38959758148927	-13.38959758148927	-13.38959758148927	-13.38959758148927	-13.38959758148927	-13.38959758148927	2.501994466522751	-13.38959758148927	-13.38959758148927	2.2229135538081213	-13.38959758148927	-4.192258962710129	-13.38959758148927	-13.38959758148927	-13.38959758148927	-7.7193341112938185	2.7410198624758415	-7.854091835517028	-3.2109836871132194	-13.38959758148927	-13.38959758148927	0.8752678913430609	-13.38959758148927	-13.38959758148927	2.575673069641951	-7.342985488635499	-5.074024534376809	-13.38959758148927	-13.38959758148927	-13.38959758148927	-13.38959758148927	1.1008709458568708	-1.12517502800467	-2.226531252645051	-13.38959758148927	-13.38959758148927	-2.800248189382959	-2.218279139475423	-13.38959758148927	-4.884148822079069	-13.38959758148927	-4.574577273485099	-13.38959758148927	-13.38959758148927	-13.38959758148927	-13.38959758148927	-13.38959758148927	-13.38959758148927	-13.38959758148927	-13.38959758148927	-6.127780247195989	3.713265857462021	-13.38959758148927	-13.38959758148927	1.3724161887419208	-4.186197709464719	-13.38959758148927	-13.38959758148927	-1.545017861297783	-13.38959758148927	-13.38959758148927	-13.38959758148927	-0.5708606690121381
msp_1377	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-0.4912606603083636	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122	-11.238842190241122
msp_2258	-2.689993033352607	-11.359693675614277	-11.359693675614277	-11.359693675614277	-6.675454072010638	-11.359693675614277	-5.6238184950707675	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-4.945896525425018	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-4.231543517024208	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277	-11.359693675614277
msp_0565	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-3.833640124201179	-2.0394773952001186	-9.656288046216519	-1.040561600803159	-9.656288046216519	-4.122470784263849	-9.656288046216519	-9.656288046216519	-9.656288046216519	-1.4212071730846891	-1.1917289958315291	-9.656288046216519	-9.656288046216519	-9.656288046216519	-1.1028308918156289	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-3.4715205857174087	-9.656288046216519	-3.3937537618726292	0.899875837583441	0.585958183011001	-9.656288046216519	-3.0903496598389992	-9.656288046216519	-0.4650050733910489	-9.656288046216519	-9.656288046216519	-3.468555964193679	1.7935718386143322	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-1.9896281300054186	-9.656288046216519	-9.656288046216519	-3.7415553089027593	-2.0493362187393487	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-0.8444050187543888	-9.656288046216519	1.3181480338202312	-3.546544395928019	-9.656288046216519	-3.6071166224490385	-1.6275479410501692	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-1.9027762631609093	-9.656288046216519	-9.656288046216519	-9.656288046216519	-2.074423937719189	-9.656288046216519	-2.072507027359099	-9.656288046216519	-9.656288046216519	-3.623480967324549	-9.656288046216519	-0.8593745381940487	-9.656288046216519	-1.8376065152750893	-9.656288046216519	-3.613656355405519	-3.250692600678639	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519	-2.3572370644072187	-0.579814213274739	-9.656288046216519	-9.656288046216519	-4.466352463823309	-9.656288046216519	3.3476995156350133	-9.656288046216519	-2.860570725917639	-9.656288046216519	-9.656288046216519	-9.656288046216519	-9.656288046216519
msp_0677c	-2.8780076084333324	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-6.1858062403385725	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-11.547708250695003	-0.7824022540349522	-11.547708250695003	-2.826333242526622	-11.547708250695003	-11.547708250695003	-11.547708250695003
