"rowname"	"Clinspect_E_coli_A_QC1_Slot1-6_1_8640"	"Clinspect_E_coli_A_QC2_Slot1-15_1_8649"	"Clinspect_E_coli_A_S5_Slot1-7_1_8641"	"Clinspect_E_coli_A_S7_Slot1-24_1_8673"	"Clinspect_E_coli_A_S14_Slot1-11_1_8645"	"Clinspect_E_coli_A_S20_Slot1-20_1_8669"	"Clinspect_E_coli_A_S23_Slot1-8_1_8642"	"Clinspect_E_coli_A_S29_Slot1-19_1_8667"	"Clinspect_E_coli_A_S34_Slot1-18_1_8666"	"Clinspect_E_coli_A_S39_Slot1-26_1_8675"	"Clinspect_E_coli_A_S42_Slot1-21_1_8670"	"Clinspect_E_coli_A_S47_Slot1-14_1_8648"	"Clinspect_E_coli_B_QC3_Slot1-23_1_8672"	"Clinspect_E_coli_B_QC4_Slot1-10_1_8644"	"Clinspect_E_coli_B_S53_Slot1-22_1_8671"	"Clinspect_E_coli_B_S58_Slot1-5_1_8639"	"Clinspect_E_coli_B_S62_Slot1-16_1_8664"	"Clinspect_E_coli_B_S66_Slot1-13_1_8647"	"Clinspect_E_coli_B_S78_Slot1-17_1_8665"	"Clinspect_E_coli_B_S85_Slot1-12_1_8646"	"Clinspect_E_coli_B_S86_Slot1-4_1_8638"	"Clinspect_E_coli_B_S91_Slot1-25_1_8674"	"Clinspect_E_coli_B_S98_Slot1-9_1_8643"
"P0A8D6"	16.4840392920454	16.8901098707448	16.6418682973981	16.9125853130882	16.7954436031877	16.6752679285998	16.5876237120578	16.8646697998403	16.9813554463267	16.5226642803392	16.6694941018775	16.6649888602039	16.1758165617296	16.6814717765021	16.6549576232835	16.8034374450672	16.8062726962359	16.3053777856275	15.5178169960368	16.5594532745728	16.6376013034314	16.5684861185671	16.4102293915398
"P0AAX3"	15.6775407249122	15.4615945513412	15.3481264448526	15.1281111564939	15.4990236753406	15.6417977544478	14.5083457019172	15.136943064154	15.5095307001463	14.3661855889281	15.9011685954603	15.8133853976657	15.5700335613819	16.6454192016697	17.0856799188157	16.6349386413786	16.9190495236769	15.0618479053611	14.9982069645998	16.7382506264083	16.2809882017516	16.3879163469932	15.5162755942246
"P00959"	17.6269352972126	17.7780065232489	17.5910182385498	17.7239142043142	17.7420791276114	17.7492409390223	17.7741822072722	17.8339215894524	17.7021388582733	17.9134036910234	17.7939398142096	17.8098811487904	17.9890784543418	18.0913733993549	18.0434545588948	18.062989476971	18.0966739810973	17.930263783155	17.9491655671876	18.1690833404149	18.0557696356811	18.0824401462447	18.0775198660621
"P0AEQ1"	17.5570597718179	17.7936668067835	17.6852963198477	17.4029204537524	17.8896346708325	18.0666831116673	16.8249214598208	17.532972238904	17.7863589763936	17.2116221742694	18.0228175013822	17.9213644529803	15.5448799351233	16.7150771891058	16.7411641108432	16.6772654250724	17.0531410414945	15.717397966333	15.4633487512436	16.2373052059631	16.5771750594537	16.396743572364	15.9660164497137
"P25738"	19.0316150588358	17.7500134174295	18.9141047885252	17.5567679744043	18.816218063054	18.3424393247683	17.3839404928532	18.7124497533584	17.7849415083371	17.7570057916893	18.8459647047905	18.4310323227673	16.9457981566629	18.0345518162757	17.9913612965753	18.1093970870206	17.6668827755895	16.4916433142211	16.8433935823347	17.2512604859884	17.9539917807786	17.3822187182309	17.2975969684813
"P64596"	17.7725014460923	18.1304147101835	17.8585092291144	18.1576528597595	18.2180665242654	17.9691166653623	18.1550356042448	17.9202481668954	18.2720055050057	17.9595661879387	18.1949203331589	17.9468092053677	17.4958159991605	17.8183824550412	17.8571244808201	17.7589713875106	17.6209500394151	17.6900798411667	17.4246501903665	18.1084325702515	17.9249110639917	17.7842450341945	18.1216346902288
"P00452"	17.4072179649095	17.3731965236501	17.4284174265646	17.28116936974	17.5320666997496	17.415774772466	17.1883763508728	17.4745060736926	17.38730215315	17.284914446534	17.5007485344667	17.2689348575199	16.9649499854037	17.2245858413737	17.3133347900297	17.5234088085944	17.2336664827073	16.8798464561855	16.7104163325199	17.4641388820643	17.3162815317462	17.2923036565258	17.2759516932873
"P10100"	18.4269117123426	18.5362472156881	18.5273051809657	17.8314247747144	18.5302577252716	18.5114824319381	18.081036063369	18.4483421929072	18.2486132534637	18.0935258862504	18.5089205321462	18.4662876039213	17.4015295429583	18.5591343204081	18.4223892243447	18.6888922748704	18.4768767049897	17.6249167984045	16.9691728895208	18.3299539667421	18.4340091640687	17.8429211499312	18.2172808972965
"P0AEG4"	20.0571932235381	20.1620790296904	19.7641961409849	19.7886036424392	20.1379867453334	20.0444421486229	19.8397097279064	19.8772931215773	20.0736944198415	19.5108684542395	20.1221328632134	20.1783171471456	19.5079494540761	20.0020540736791	20.0920241297305	20.0324655045792	20.0438416678613	19.6696152025702	19.6575749043536	20.2351330796602	20.1989365675574	19.6647857931567	19.9023574481474
"P19934"	15.1364424697485	14.7968761374954	14.8049679126875	14.6951521520825	15.2172723761047	14.8376032967752	14.5414173130802	15.1926973597209	14.5900606789609	14.8513635295903	15.1110215284537	15.5750280442139	14.9057442497013	15.2320273703339	15.1796836513019	15.0697770052459	15.4523120347567	14.7165354804814	15.2381695955057	15.3829448149457	15.0856010876688	14.7093477223152	14.6835045704739
