Dataset	Target	K	Method	Seed	ARI
ecoli	condition	2	BC_Fed	41	-0.001376932906715272
ecoli	condition	2	BC_Fed	51	-0.001376932906715272
ecoli	condition	2	BC_Fed	61	-0.001376932906715272
ecoli	condition	2	BC_Fed	71	-0.001376932906715272
ecoli	condition	2	BC_Fed	81	-0.001376932906715272
ecoli	condition	2	BC_Fed	91	0.20261515601783062
ovarian_cancer	condition	2	BC_Fed	1	0.056429900024941575
ovarian_cancer	condition	2	BC_Fed	11	0.3206203132662414
ovarian_cancer	condition	2	BC_Fed	21	0.2384814361441162
ovarian_cancer	condition	2	BC_Fed	31	0.3206203132662414
ovarian_cancer	condition	2	BC_Fed	41	0.2384814361441162
ovarian_cancer	condition	2	BC_Fed	51	0.051979520929885926
ovarian_cancer	condition	2	BC_Fed	61	0.3206203132662414
ovarian_cancer	condition	2	BC_Fed	71	0.3206203132662414
ovarian_cancer	condition	2	BC_Fed	81	0.3206203132662414
ovarian_cancer	condition	2	BC_Fed	91	0.3206203132662414
ccRCC_proteomics	condition	2	BC_Fed	1	-0.0002698925727955857
ccRCC_proteomics	condition	2	BC_Fed	11	-0.0002698925727955857
ccRCC_proteomics	condition	2	BC_Fed	21	-0.0002698925727955857
ccRCC_proteomics	condition	2	BC_Fed	31	-0.0002698925727955857
ccRCC_proteomics	condition	2	BC_Fed	41	-0.0002698925727955857
ccRCC_proteomics	condition	2	BC_Fed	51	-0.0002698925727955857
ccRCC_proteomics	condition	2	BC_Fed	61	-0.00013807522403811747
ccRCC_proteomics	condition	2	BC_Fed	71	-0.0002698925727955857
ccRCC_proteomics	condition	2	BC_Fed	81	-0.0002698925727955857
ccRCC_proteomics	condition	2	BC_Fed	91	-0.0002698925727955857
quartet_multiomics	condition	4	BC_Fed	1	0.020596625247788037
quartet_multiomics	condition	4	BC_Fed	11	-0.01718807315411623
quartet_multiomics	condition	4	BC_Fed	21	0.17391304347826086
quartet_multiomics	condition	4	BC_Fed	31	0.19118623295715673
quartet_multiomics	condition	4	BC_Fed	41	0.14492753623188406
quartet_multiomics	condition	4	BC_Fed	51	-0.026586039722671116
quartet_multiomics	condition	4	BC_Fed	61	0.007715164468539853
quartet_multiomics	condition	4	BC_Fed	71	-0.0024105224545406907
quartet_multiomics	condition	4	BC_Fed	81	-0.03307515176889261
quartet_multiomics	condition	4	BC_Fed	91	0.11578788942958912
ecoli	condition	2	AC_Fed	1	1.0
ecoli	condition	2	AC_Fed	11	1.0
ecoli	condition	2	AC_Fed	21	1.0
ecoli	condition	2	AC_Fed	31	1.0
ecoli	condition	2	AC_Fed	41	1.0
ecoli	condition	2	AC_Fed	51	1.0
ecoli	condition	2	AC_Fed	61	1.0
ecoli	condition	2	AC_Fed	71	1.0
ecoli	condition	2	AC_Fed	81	1.0
ecoli	condition	2	AC_Fed	91	1.0
ovarian_cancer	condition	2	AC_Fed	1	0.866153923171615
ovarian_cancer	condition	2	AC_Fed	11	0.8032895361331102
ovarian_cancer	condition	2	AC_Fed	21	0.7381001100833756
ovarian_cancer	condition	2	AC_Fed	31	0.5975468106428437
ovarian_cancer	condition	2	AC_Fed	41	0.7996815053457342
ovarian_cancer	condition	2	AC_Fed	51	0.47194163014808066
ovarian_cancer	condition	2	AC_Fed	61	0.7781051773525766
ovarian_cancer	condition	2	AC_Fed	71	0.5592157511700562
ovarian_cancer	condition	2	AC_Fed	81	0.6591832063865739
ovarian_cancer	condition	2	AC_Fed	91	0.6271776446656686
ccRCC_proteomics	condition	2	AC_Fed	1	0.8733550394884556
ccRCC_proteomics	condition	2	AC_Fed	11	0.8733550394884556
ccRCC_proteomics	condition	2	AC_Fed	21	0.8733550394884556
ccRCC_proteomics	condition	2	AC_Fed	31	0.8733550394884556
ccRCC_proteomics	condition	2	AC_Fed	41	0.8733550394884556
ccRCC_proteomics	condition	2	AC_Fed	51	0.8733550394884556
ccRCC_proteomics	condition	2	AC_Fed	61	0.8733550394884556
ccRCC_proteomics	condition	2	AC_Fed	71	0.8733550394884556
ccRCC_proteomics	condition	2	AC_Fed	81	0.8733550394884556
ccRCC_proteomics	condition	2	AC_Fed	91	0.8733550394884556
quartet_multiomics	condition	4	AC_Fed	1	1.0
quartet_multiomics	condition	4	AC_Fed	11	1.0
quartet_multiomics	condition	4	AC_Fed	21	0.680454523843484
quartet_multiomics	condition	4	AC_Fed	31	1.0
quartet_multiomics	condition	4	AC_Fed	41	1.0
quartet_multiomics	condition	4	AC_Fed	51	1.0
quartet_multiomics	condition	4	AC_Fed	61	0.66212470046516
quartet_multiomics	condition	4	AC_Fed	71	1.0
quartet_multiomics	condition	4	AC_Fed	81	0.6807065217391305
quartet_multiomics	condition	4	AC_Fed	91	1.0
