rowname	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s84_X018	CVT09_s93_X020
P06846	20.476102959890213	20.44293840253469	20.220260782021587	20.464165718672337	20.399421506855933	20.494605069225646	20.345605531511	20.432652821943783	20.43328613152733	20.42971293046353	20.35243706168385	20.5139891319239	20.386502783848695	20.407611318833588	20.39288041543788
P06959	26.454499174123363	26.40750493953747	26.356828917078488	26.56147648033943	26.45849320057371	26.548397662279548	26.435616159005104	26.44318736512395	26.592504742380466	26.403078339888104	25.411744682116623	25.478052678689764	25.480622077515036	25.32691718630244	25.417365543895446
P06960	21.178072875707738	21.57558231720294	21.011945590614904	21.459219354528077	21.11212585233729	21.117674670271654	21.07626543614826	21.00408266381537	21.637440417429385	21.470784406761126	21.788991045653148	21.805391096045028	21.84544129840198	21.55305255871947	21.7213694379304
P06961	20.246545277116784	20.21937593726337	20.104917681020467	20.322653180653692	20.28940597294733	20.322661445428974	20.131017235854028	20.23613557433844	20.213421975050434	20.268884539653047	20.135289077439325	20.30491368073395	20.228427596733493	20.252121381255733	20.264233864717216
P06966	20.90670030579291	20.64771095540103	20.693819483239402	20.54844141792831	20.642360088057416	20.69227605947218	20.764288937298865	20.521334666131963	20.467743273061455	20.708726573339252	20.380276646873938	20.45584797552504	20.289526863340125	20.316816776566373	20.207337577666273
P06968	23.284304120763153	23.053377559690997	23.41923751850111	23.179613523055203	23.25370723745367	23.294829207019447	23.329525668010305	23.40987169816119	23.067078131488103	23.02499282787815	22.994077331753143	23.01075271415192	22.895580706296606	22.9807521969399	22.992777529084957
P06971	22.838173012324074	22.556707472470165	22.936144032097992	22.872688392539082	22.83732756583758	23.051675539448063	22.971688470292737	22.983409576591914	22.58381311775693	22.43470205424519	22.747847557181945	22.88668779017365	22.748267406193143	22.72262787357079	22.780437843760318
P06974	17.128376496011064	16.524892250303026	17.391988657985973	18.350380872983706	18.227992011114168	17.848173259618	17.608652794751755	17.576163612382576	16.390702402669955	16.184252331612377					
P06983	22.410999641312095	22.374790196387863	22.452160924230398	22.418015159907387	22.444608441679566	22.47217428180243	22.446950466109737	22.474003596282497	22.3415835113138	22.523251951322	22.017490951954905	22.077595515757338	22.057950833638305	22.07481792870756	22.089596901165685
P06986	22.402308387108036	22.664175791355568	22.180467384335575	22.504992391237213	22.45544482883213	22.42417310185033	22.354136963327626	22.121665897631832	22.747102808945414	22.429442077427492	23.865839053425933	23.594977332442316	23.79528835444458	23.702253269748567	23.77943828155461
P06987	22.637580713766347	22.81618961055799	22.505543377591565	22.746150682869175	22.642913711846685	22.654967963051845	22.598885836101054	22.551240254402853	22.86784456611458	22.692725563281375	24.06687260009622	23.804659894566356	23.957772387468328	23.8049403110147	23.89981019901828
P06988	23.19591815450808	23.382038261981002	23.138646726522296	23.182258508581366	23.231804362875124	23.218275517725623	23.230779819650863	23.182620247145266	23.391636765067435	23.28932511278565	24.651498215143338	24.379993831926072	24.522850488307252	24.32071155164296	24.429228062351118
P06989	21.025413568284428	20.83849044493146	20.762938110750262	20.81764220661313	20.841311231852565	20.674223180686162	20.86253685230156	20.896178102510305	20.98216938081248	20.945668140690202	22.110298459587227	22.067678907301122	22.06996300857172	22.025321941648834	21.99101948646711
P06992	20.677021362982558	20.693087271236493	20.649080018628442	20.80405641863161	20.691214350092498	20.788441968624095	20.636526790359262	20.573158503110804	20.648487119533126	20.625595014645402	20.97746098705908	20.995637576388695	20.955395443672472	21.010233744342717	20.850141113650736
P06993	20.01167045956678	19.96342053589837	19.867040267226535	20.07546917555529	19.818180482250874	20.285263528144654	20.00095878326719	19.94842462871019	19.96358651836376	19.693610863905423	20.367862951531468	20.106592768060917	20.273303106653657	20.386387455398815	20.414432817679902
P06996	28.81720128909499	28.754357102691444	28.775692065943716	28.80954063564973	28.739069505038852	28.766697695056564	28.75722358786365	28.80604890344909	28.804851821884174	28.69644198943211	28.32837531454643	28.363929912476134	28.421995928414383	28.314531953377944	28.426939148768653
P06996;P21420	26.622182814037327	26.621802282126712	26.281279441858683	26.666377440909258	26.605603427598417	26.609428597959383	26.565782638891545	26.54816679151522	26.617241852619333	26.580871655336168	26.243735368372494	26.339217144599854	26.320952948862466	26.364823371999204	26.439928440148567
P06999	22.664748129619515	22.626888696511486	22.664224413740403	22.5639579144464	22.55094979468926	22.712045171327418	22.664482225108	22.66275265015746	22.56533048878613	22.555443265914978	22.675699781094284	22.626752215241336	22.527052806816723	22.54663369117007	22.590101852182677
P07000	17.7729365052001	17.97089744681991	17.14797505117732	18.269527173706678	17.74713412797533	17.914752899954344	17.664779047318234	17.122940401427094	18.2635772138632	18.378391360126102	18.02680239993733	17.820126060543842	18.30503124026548	17.886171610661307	17.91139650999928
P07001	23.395600059611276	23.56049755419422	22.939682528742704	23.634712013505343	23.391379933035935	23.485009331995045	23.232525589063137	23.280428450627543	23.691657423180285	23.451405547667758	24.56250265136253	24.35996549800977	24.464905680686822	24.508376841257576	24.570449514655078
P07003	23.18857037226997	23.119215170352124	23.151118883552574	23.273738464402868	23.1160578879485	23.30806953542879	23.22146626728627	23.151792960156175	23.153533636755455	22.964091630775762	23.06684859628803	23.12910224429104	23.092055997485016	23.08772599883879	23.048063953572814
P07004	22.890553093196765	23.025456517949785	22.730372243898948	22.888276080992355	22.967959241354183	22.805030535102276	22.845897459929205	22.79598648048608	22.927745497754966	23.112188468037317	22.796858030037118	22.75851573967724	22.756539127758977	22.80026272617112	22.807404750230862
P07012	22.876255709727253	22.811833793894518	22.68549317547825	22.741788301530445	22.837321168159576	22.677943794391638	22.73516401575076	22.743919986925288	22.791991515073043	22.777075318943997	22.8712118790874	22.850936801132903	22.79564725265792	22.842630032082862	22.79613198367316
P07013	17.906111564402114	17.873671484795857	18.073143340094347	18.080177809567754	18.17527676389472	17.970528842766058	18.214208433419657	18.234319863372654	18.071207395025958	17.295822792259795	18.259560995769977	18.27077354370513	18.284384243052475	18.386607107372225	18.120304936541988
