"rowname"	"DIA_BGI_D5_1"	"DIA_BGI_D6_1"	"DIA_BGI_F7_1"	"DIA_BGI_M8_1"	"DIA_BGI_D5_2"	"DIA_BGI_D6_2"	"DIA_BGI_F7_2"	"DIA_BGI_M8_2"	"DIA_BGI_D5_3"	"DIA_BGI_D6_3"	"DIA_BGI_F7_3"	"DIA_BGI_M8_3"
"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial"	17.9737215405196	17.7925344776146	17.7533377530788	17.6359444518233	17.5124077836766	17.854465728943	18.3986396130803	17.7976378170701	NA	NA	17.9370162282535	NA
"[Protein ADP-ribosylarginine] hydrolase"	18.5561242919832	18.1354035831439	17.6770832055179	18.345928690717	17.8849203379666	18.1675609050327	18.4102729245636	18.9105326544947	17.9805971503012	18.4692327250021	18.3291834084263	18.6481155069957
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"	17.9187221218056	17.8626738797367	17.9667045644615	17.1545627680749	17.4524389460609	17.9832016848895	18.4103313823779	17.5906453405672	17.502075656326	17.9501030873862	17.7923195008203	17.566665629408
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial"	18.8876273758137	17.4914429852294	17.6279426100746	17.6378403632265	18.7274292093639	17.7564615789093	18.5657137908176	17.9065453137709	18.3302857035275	17.7419726612388	17.5855519517712	17.9682522673769
"1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon"	19.8358054710143	18.4749167392518	18.9457628894677	18.3562444526354	19.2021129832149	18.6467946887335	19.4578152269469	18.5625285538604	19.4867432716468	18.7931039012583	18.9256134272041	18.4822200541671
"1-acyl-sn-glycerol-3-phosphate acyltransferase gamma"	18.0714593454974	17.511843557562	17.799179518126	17.4570471880584	17.5594981986667	17.451628848109	18.0287771148061	16.9369821482996	17.3165348052412	17.2080640697681	17.7922471598769	17.1443461094293
"1-phosphatidylinositol 3-phosphate 5-kinase"	18.0207119083049	17.4673683193224	17.3108319983993	18.8265033260595	16.7986043572455	17.1609313844076	17.1303617326303	17.4795255903907	17.3024662667797	16.3666917697316	17.9286033849112	17.2859221015465
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3"	NA	NA	NA	18.3525731947137	15.8784923785814	17.845067679158	15.1457106446985	14.9616741484598	15.967493667024	16.1662189261161	14.2181717387089	NA
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2"	19.7034399505403	19.2521159799478	19.0488616844435	19.0983582851729	19.2702716279366	19.182207340092	19.4969871898962	19.2267444752483	19.348850045766	19.2230084051419	19.0455656957026	19.2003891515233
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"	17.6919591638577	17.7752791006222	18.0409676248208	17.6412429437745	17.039686139683	17.6165242815866	18.0688792110224	17.9194910715496	17.4278750802494	17.768202190336	18.0727264770079	17.6462407043772
"1,4-alpha-glucan-branching enzyme"	19.5286840615915	19.4011742351693	19.9509340034426	19.6410667045155	19.0901277919265	19.5668744488367	20.4729874849865	19.7391834862256	19.0650525232509	19.4392335732319	19.984987434669	19.7846320196907
"10 kDa heat shock protein, mitochondrial"	22.7084127655056	22.3572994747154	22.4172659348725	22.1481934402486	22.2122639345355	22.3651855441243	22.8501068132596	22.2498458005002	22.2804111028528	22.3319578685715	22.4241823501334	22.1892294826528
"116 kDa U5 small nuclear ribonucleoprotein component"	21.2964038851027	20.8436987093618	20.649095330128	20.832145500024	20.8243798682673	20.8201825306066	21.2042695533625	20.9939837920228	20.8217858912873	20.7070964513471	20.7491363956565	20.9075230488443
