"file"	"D6"	"F7"	"M8"	"batch"	"condition"
"DDA_FDU_D5_1"	0	0	0	"DDA_FDU"	"D5"
"DDA_FDU_D6_1"	1	0	0	"DDA_FDU"	"D6"
"DDA_FDU_F7_1"	0	1	0	"DDA_FDU"	"F7"
"DDA_FDU_M8_1"	0	0	1	"DDA_FDU"	"M8"
"DDA_FDU_D5_2"	0	0	0	"DDA_FDU"	"D5"
"DDA_FDU_D6_2"	1	0	0	"DDA_FDU"	"D6"
"DDA_FDU_F7_2"	0	1	0	"DDA_FDU"	"F7"
"DDA_FDU_M8_2"	0	0	1	"DDA_FDU"	"M8"
"DDA_FDU_D5_3"	0	0	0	"DDA_FDU"	"D5"
"DDA_FDU_D6_3"	1	0	0	"DDA_FDU"	"D6"
"DDA_FDU_F7_3"	0	1	0	"DDA_FDU"	"F7"
"DDA_FDU_M8_3"	0	0	1	"DDA_FDU"	"M8"
"DIA_FDU_D5_1"	0	0	0	"DIA_FDU"	"D5"
"DIA_FDU_D6_1"	1	0	0	"DIA_FDU"	"D6"
"DIA_FDU_F7_1"	0	1	0	"DIA_FDU"	"F7"
"DIA_FDU_M8_1"	0	0	1	"DIA_FDU"	"M8"
"DIA_FDU_D5_2"	0	0	0	"DIA_FDU"	"D5"
"DIA_FDU_D6_2"	1	0	0	"DIA_FDU"	"D6"
"DIA_FDU_F7_2"	0	1	0	"DIA_FDU"	"F7"
"DIA_FDU_M8_2"	0	0	1	"DIA_FDU"	"M8"
"DIA_FDU_D5_3"	0	0	0	"DIA_FDU"	"D5"
"DIA_FDU_D6_3"	1	0	0	"DIA_FDU"	"D6"
"DIA_FDU_F7_3"	0	1	0	"DIA_FDU"	"F7"
"DIA_FDU_M8_3"	0	0	1	"DIA_FDU"	"M8"
