"file"	"D5"	"F7"	"M8"	"batch"	"batch_code"	"condition"	"lab"	"platform"	"protocol"	"datatype"	"rep"	"date"	"pseudo_sample"
"P_BGI_L3_B1_D5_1"	1	0	0	"P_BGI_L3_B1"	"B01"	"D5"	"L03"	"BGI"	"P"	"Transcriptomics"	1	20200618	"client_04_L03_L14_D5_1_1"
"P_BGI_L3_B1_D5_2"	1	0	0	"P_BGI_L3_B1"	"B01"	"D5"	"L03"	"BGI"	"P"	"Transcriptomics"	2	20200618	"client_04_L03_L14_D5_2_1"
"P_BGI_L3_B1_D5_3"	1	0	0	"P_BGI_L3_B1"	"B01"	"D5"	"L03"	"BGI"	"P"	"Transcriptomics"	3	20200618	"client_04_L03_L14_D5_3_1"
"P_BGI_L3_B1_D6_1"	0	0	0	"P_BGI_L3_B1"	"B01"	"D6"	"L03"	"BGI"	"P"	"Transcriptomics"	1	20200618	"client_04_L03_L14_D6_1_1"
"P_BGI_L3_B1_D6_2"	0	0	0	"P_BGI_L3_B1"	"B01"	"D6"	"L03"	"BGI"	"P"	"Transcriptomics"	2	20200618	"client_04_L03_L14_D6_2_1"
"P_BGI_L3_B1_D6_3"	0	0	0	"P_BGI_L3_B1"	"B01"	"D6"	"L03"	"BGI"	"P"	"Transcriptomics"	3	20200618	"client_04_L03_L14_D6_3_1"
"P_BGI_L3_B1_F7_1"	0	1	0	"P_BGI_L3_B1"	"B01"	"F7"	"L03"	"BGI"	"P"	"Transcriptomics"	1	20200618	"client_04_L03_L14_F7_1_1"
"P_BGI_L3_B1_F7_2"	0	1	0	"P_BGI_L3_B1"	"B01"	"F7"	"L03"	"BGI"	"P"	"Transcriptomics"	2	20200618	"client_04_L03_L14_F7_2_1"
"P_BGI_L3_B1_F7_3"	0	1	0	"P_BGI_L3_B1"	"B01"	"F7"	"L03"	"BGI"	"P"	"Transcriptomics"	3	20200618	"client_04_L03_L14_F7_3_1"
"P_BGI_L3_B1_M8_1"	0	0	1	"P_BGI_L3_B1"	"B01"	"M8"	"L03"	"BGI"	"P"	"Transcriptomics"	1	20200618	"client_04_L03_L14_M8_1_1"
"P_BGI_L3_B1_M8_2"	0	0	1	"P_BGI_L3_B1"	"B01"	"M8"	"L03"	"BGI"	"P"	"Transcriptomics"	2	20200618	"client_04_L03_L14_M8_2_1"
"P_BGI_L3_B1_M8_3"	0	0	1	"P_BGI_L3_B1"	"B01"	"M8"	"L03"	"BGI"	"P"	"Transcriptomics"	3	20200618	"client_04_L03_L14_M8_3_1"
"R_BGI_L3_B1_D5_1"	1	0	0	"R_BGI_L3_B1"	"B05"	"D5"	"L03"	"BGI"	"R"	"Transcriptomics"	1	20200618	"client_04_L03_L14_D5_1_2"
"R_BGI_L3_B1_D5_2"	1	0	0	"R_BGI_L3_B1"	"B05"	"D5"	"L03"	"BGI"	"R"	"Transcriptomics"	2	20200618	"client_04_L03_L14_D5_2_2"
"R_BGI_L3_B1_D5_3"	1	0	0	"R_BGI_L3_B1"	"B05"	"D5"	"L03"	"BGI"	"R"	"Transcriptomics"	3	20200618	"client_04_L03_L14_D5_3_2"
"R_BGI_L3_B1_D6_1"	0	0	0	"R_BGI_L3_B1"	"B05"	"D6"	"L03"	"BGI"	"R"	"Transcriptomics"	1	20200618	"client_04_L03_L14_D6_1_2"
"R_BGI_L3_B1_D6_2"	0	0	0	"R_BGI_L3_B1"	"B05"	"D6"	"L03"	"BGI"	"R"	"Transcriptomics"	2	20200618	"client_04_L03_L14_D6_2_2"
"R_BGI_L3_B1_D6_3"	0	0	0	"R_BGI_L3_B1"	"B05"	"D6"	"L03"	"BGI"	"R"	"Transcriptomics"	3	20200618	"client_04_L03_L14_D6_3_2"
"R_BGI_L3_B1_F7_1"	0	1	0	"R_BGI_L3_B1"	"B05"	"F7"	"L03"	"BGI"	"R"	"Transcriptomics"	1	20200618	"client_04_L03_L14_F7_1_2"
"R_BGI_L3_B1_F7_2"	0	1	0	"R_BGI_L3_B1"	"B05"	"F7"	"L03"	"BGI"	"R"	"Transcriptomics"	2	20200618	"client_04_L03_L14_F7_2_2"
"R_BGI_L3_B1_F7_3"	0	1	0	"R_BGI_L3_B1"	"B05"	"F7"	"L03"	"BGI"	"R"	"Transcriptomics"	3	20200618	"client_04_L03_L14_F7_3_2"
"R_BGI_L3_B1_M8_1"	0	0	1	"R_BGI_L3_B1"	"B05"	"M8"	"L03"	"BGI"	"R"	"Transcriptomics"	1	20200618	"client_04_L03_L14_M8_1_2"
"R_BGI_L3_B1_M8_2"	0	0	1	"R_BGI_L3_B1"	"B05"	"M8"	"L03"	"BGI"	"R"	"Transcriptomics"	2	20200618	"client_04_L03_L14_M8_2_2"
"R_BGI_L3_B1_M8_3"	0	0	1	"R_BGI_L3_B1"	"B05"	"M8"	"L03"	"BGI"	"R"	"Transcriptomics"	3	20200618	"client_04_L03_L14_M8_3_2"
