"MSP"	"SRS9032198"	"SRS9032196"	"SRS9032195"	"SRS9032194"	"SRS9032193"	"SRS9032191"	"SRS9032190"	"SRS9032188"	"SRS9032186"	"SRS9032183"	"SRS9032182"	"SRS9032181"	"SRS9032180"	"SRS9032179"	"SRS9032177"	"SRS9032176"	"SRS9032175"	"SRS9032172"	"SRS9032170"	"SRS9032169"	"SRS9032165"	"SRS9032162"	"SRS9032161"	"SRS9032159"	"SRS9032158"	"SRS9032157"	"SRS9032156"	"SRS9032155"	"SRS9032154"	"SRS9032153"	"SRS9032152"	"SRS9032151"	"SRS9032149"	"SRS9032148"	"SRS9032147"	"SRS9032146"	"SRS9032145"	"SRS9032144"	"SRS9032141"	"SRS9032140"	"SRS9032139"	"SRS9032138"	"SRS9032135"	"SRS9032134"	"SRS9032133"	"SRS9032131"	"SRS9032130"	"SRS9032128"	"SRS9032127"	"SRS9032126"	"SRS9032121"	"SRS9032120"	"SRS9032119"	"SRS9032116"	"SRS9032114"	"SRS9032113"	"SRS9032112"	"SRS9032111"	"SRS9032104"	"SRS9032102"	"SRS9032101"	"SRS9032098"	"SRS9032097"	"SRS9032096"	"SRS9032095"	"SRS9032094"	"SRS9032093"	"SRS9032092"	"SRS9032091"	"SRS9032090"	"SRS9032089"	"SRS9032088"	"SRS9032086"	"SRS9032085"	"SRS9032084"	"SRS9032083"	"SRS9032082"	"SRS9032081"	"SRS9032079"	"SRS9032078"	"SRS9032075"	"SRS9032074"	"SRS9032072"	"SRS9032070"	"SRS9032069"	"SRS9032068"	"SRS9032067"	"SRS9032066"	"SRS9032065"	"SRS9032058"	"SRS9032056"	"SRS9032055"	"SRS9032053"	"SRS9032052"	"SRS9032051"	"SRS9032050"	"SRS9032047"	"SRS9032046"	"SRS9032044"	"SRS9032042"	"SRS9032041"	"SRS9032039"	"SRS9032038"	"SRS9032036"
"msp_0003"	-12.0406322005623	-0.979561343585077	-1.31661179705138	-12.0406322005623	-5.44825489993857	-12.0406322005623	-2.84838822147978	-12.0406322005623	-12.0406322005623	-12.0406322005623	-4.02813983684074	-12.0406322005623	-5.89755819430563	-6.43211432483219	-1.17853221316849	-2.78244904356997	-0.723917859091938	0.206138120331542	-12.0406322005623	-5.55159354226006	1.05150319036128	0.58592892461339	-3.78953303018453	-5.52428128001931	0.37125634149916	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-5.87935891795841	-3.3136370838012	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-2.40284091367	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-2.74969998717027	-0.314957345663258	2.29300576787664	-0.0342163793683811	-12.0406322005623	-12.0406322005623	-0.894812794408253	-1.12162446021454	-1.3126603147318	0.455122381519375	-4.64916037077821	2.69624265505219	2.05678378410311	-6.31140455096215	-3.66051087767113	1.81484892120529	-12.0406322005623	-0.875072708160057	-12.0406322005623	-6.7049182864844	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	0.159806094793296	-12.0406322005623	-12.0406322005623	-12.0406322005623	-6.14177892401915	0.892168907845297	-0.811023597864658	-0.620461621119707	-6.43252411662256	2.85473861413378	-1.77338184423399	-0.0825834165382546	-3.58460053930576	-0.786962712953181	3.94023750419582	2.69278626086044	-1.07808349670188	-12.0406322005623	-12.0406322005623	0.579022844061061	2.64662907450773	-7.27557800548587	0.285798380401406	-0.550266041328043	-6.28980344599763	-3.37437795196459	1.13067436190266	1.8820371452629	1.53963378079697	-12.0406322005623	-0.329765266430145	-12.0406322005623	-12.0406322005623	-12.0406322005623
"msp_0005"	6.49338650397313	6.11672531903046	5.48231808271452	0.861030348228928	2.63696963378926	1.13056050609289	4.52640326468561	0.649820518919634	3.11938067376156	0.465079519023026	-1.49671803602298	11.11443199475	-12.0406322005623	-5.85704211257846	5.69765068207854	3.1137146020266	-1.91766581654024	1.96679316563455	0.29590129745151	1.87321778236831	-2.39843565642804	-0.741571392301595	-1.91008258454815	3.37932689434278	7.52706356122723	7.64045120433392	1.37689934291344	2.79484308629153	1.4353950569386	4.00125003128158	-2.63157266353601	5.13933367545131	-1.28053017967365	-3.96828971874422	0.634853193522336	-2.38728820370983	3.5818568483507	-0.592844819256571	5.97901624058931	7.70382997627016	5.21458398143306	0.295692581856366	6.39244244430344	1.17346936489413	6.25436993532482	-3.24980514768111	2.64379618630494	4.80148035889444	1.8384825158843	5.47606314264894	7.3771425006277	4.57066296876815	7.09535002943067	1.72601268708989	3.68834727284375	4.05315283129977	-7.51681285855568	0.38787747169457	-1.12865784008957	-2.18495996485544	0.873854422983695	8.85760704367158	-2.7072003526321	-3.12475736599996	0.791353152977997	2.13362836887937	2.44887843327568	0.232134538789776	0.50695594449505	-0.308581426838329	1.1784032868089	4.15365163448975	3.92996364684037	0.720894554877756	-4.37245633159212	-4.64801216739101	8.07421233628081	-3.46754743948278	3.37840153486261	7.25260954909404	-2.40610388525674	2.63018162598978	8.29358719378581	8.00652861513077	-12.0406322005623	0.190658671772429	7.61662247777931	-1.52370338383615	3.00054590876301	-1.11308571000054	-2.56483367953903	-3.40543763018449	-1.27303362953796	6.70353658532208	1.32984775867352	2.58705258788828	7.53435509286869	-0.576976466867611	4.69789515321264	3.58381505181134	-4.5685932135686	-3.12751715282339	8.14078226746779	2.28273989861388
"msp_0007"	1.12651581595888	0.663704764488564	-1.97537407878335	-3.21240040511213	-3.71335801788215	5.80664913602262	1.99053186927065	-2.1253029366989	0.7910184169377	-12.0406322005623	-2.73447509459799	-12.0406322005623	-2.99651911271727	-4.50002511417271	1.23587538147661	-2.10052783815002	1.17347611634323	4.32112216189326	0.638853208601459	0.678813811478375	-2.75665613386119	3.21208920130771	-1.3958955604446	-2.93758928088695	-2.04099564069658	-2.61393764479675	-2.21828244065756	1.95516688139186	-2.34329345889102	0.5940589093837	-0.94629008460172	-2.58290932906406	1.68160305011358	0.626475068657739	-0.860541414928372	-4.20717029236214	-0.310742096418919	-3.06493468927078	-12.0406322005623	-12.0406322005623	-0.994857749360963	0.660955458084957	-1.79100959425436	-5.15101151181847	-3.80955451351991	-0.920741752535978	-0.3007476627768	2.80416315217169	1.79602295586363	2.43054376721873	5.01544134858812	4.5053234799761	-2.13780180386036	4.63125727669732	-0.0589264186700543	1.96591350947382	-0.852392639685675	-1.18456235494039	-3.88899312224616	-2.39725745979286	0.858811381044145	-12.0406322005623	-7.35943878103149	-1.93955513271113	-12.0406322005623	-2.14211590939409	-5.93311980628851	0.397724822992838	-12.0406322005623	-5.41897578188304	-0.231800358306627	-2.23461682957361	-4.07992708706001	-5.99629939811908	-2.6467412666018	-4.17648697162612	-5.06911582317481	-0.0131070898686978	-1.74576634980401	3.34831304553253	-1.14791824437613	-5.43956659915395	-1.07492348761968	-12.0406322005623	2.54565344506538	3.95775157763051	-1.26018950870734	1.28404082093384	0.521939583762488	-3.59666526848082	-1.33426727422372	1.60963542419032	0.995670352047531	0.821926530287268	1.2073530401591	0.0573326868676184	2.73986405709313	2.53071809601076	-0.578704059158955	-2.02057701832064	-3.50870867078625	-0.157301199164325	-2.55363503288598	1.82134995657842
"msp_0008"	1.19881657164414	-12.0406322005623	-0.0301428258746359	-12.0406322005623	-12.0406322005623	-12.0406322005623	-6.47541174756798	1.49922290481468	-0.383180209024803	-12.0406322005623	-4.29828640289015	-12.0406322005623	-0.191508588134357	-6.62054137576734	2.97842756134072	-1.17398066995772	5.44038660599305	1.59842273914784	-12.0406322005623	-12.0406322005623	1.5971768476203	-0.304619821527667	-0.902342169773382	-5.35610845827018	2.05168272036227	-0.592951125266686	-12.0406322005623	2.23052008002748	-12.0406322005623	-4.1905990887675	-12.0406322005623	-12.0406322005623	-12.0406322005623	-4.48597265295539	-3.45664558102573	-12.0406322005623	3.04988989996913	-12.0406322005623	-12.0406322005623	-12.0406322005623	-0.279692160454212	-12.0406322005623	-5.05088792133411	-12.0406322005623	-12.0406322005623	3.05878088983969	-0.0324066886438592	-0.00217699519626756	-5.7739301552356	-12.0406322005623	-12.0406322005623	-0.0107242905638271	-3.03771666044907	-4.59163250710085	3.28271306065385	-1.80615688351836	-4.65173234601077	-0.747973640003776	-12.0406322005623	-12.0406322005623	3.72933158936036	-12.0406322005623	-1.23856972908988	-12.0406322005623	-2.94259806671626	-12.0406322005623	-6.7644744347062	-12.0406322005623	-12.0406322005623	-5.77736601787185	-1.15389124750383	-12.0406322005623	-5.872876339569	-12.0406322005623	-12.0406322005623	2.24599131197304	-3.55057079527919	-5.69298176471303	-6.43252411662256	1.16785959734873	-12.0406322005623	-4.14586742952704	0.415294305588162	-0.650514055300827	-5.17247259419514	1.71509233156966	-2.93645802597649	-0.794056562950315	-12.0406322005623	-12.0406322005623	-12.0406322005623	0.828985952795862	1.40586717776508	-4.90194949793487	-2.22249099949496	-12.0406322005623	-5.11539915217399	1.63177419833529	-4.95820368512902	-12.0406322005623	-12.0406322005623	0.632548603421941	-0.580225849336534	-12.0406322005623
"msp_0009"	-2.0624411321985	-4.33169500477119	-3.71505937110439	0.00285614739610226	-5.53478360405435	-5.0409483342695	-5.29110383299152	-4.01516293164514	-0.705990889047906	-12.0406322005623	-4.90479820366111	-12.0406322005623	-6.56343348816431	-12.0406322005623	-0.955183538848957	-3.17166456052829	-0.875004563704392	-4.40714426475716	0.215929922097448	-2.83435862344874	-2.79153320209757	-1.96869568503125	-2.15200307132796	-4.72369652333513	-0.29196450826376	-2.4543769925502	-12.0406322005623	-0.74126496268429	-0.478343458473698	-0.511879001630004	-5.06277787043369	-3.41494703060642	-12.0406322005623	-12.0406322005623	-0.998337981598219	-12.0406322005623	-3.96489541017266	-6.39935155865518	-3.48498615548468	-3.22176810905199	-5.32163021440999	-0.334500467219812	-3.59102578166492	-3.1735578309816	-5.12429833704121	-1.12373562738103	-4.31468754384012	-5.27460539610373	-0.260998428252633	4.48953095934163	3.40453098148	-3.56808751550126	-4.59612612404767	1.68359501955557	-2.12179586085914	-0.186083211730464	-4.59860613327447	-1.49934300624543	-3.91863477670627	-4.98693056106768	-0.876454482388154	0.0899073752188021	-4.50212605269398	-0.217392334625857	-4.65444000758571	-1.64801922483621	1.23961096034723	3.32562546562259	-12.0406322005623	-2.94277947415469	-4.77790454706839	-2.43030263729121	-4.48330658189315	-3.2845929357238	-3.36561610686201	-2.26266184422647	-1.04432733317768	-4.91615852282009	-1.75076304320323	-3.74201174986586	-4.80205736553556	-0.970555379384338	1.03716108260588	-1.83107308794547	-2.45507592911434	4.23958440538434	0.280815353081799	1.28095514217437	-0.798230049406356	-2.5663627442942	1.30139870143082	-3.79238862222879	0.160711907157711	2.08283872011206	-2.75993689848487	2.26786273912738	0.61115851211632	0.602981372772242	-2.08291399002078	-12.0406322005623	-2.12778562415508	-1.00362254897912	7.32520536230854	-3.1306459155079
"msp_0010"	-6.78061099129481	2.10942070308249	-12.0406322005623	-12.0406322005623	-12.0406322005623	2.44209691799092	-12.0406322005623	-0.0109754409043779	0.958031049756877	-12.0406322005623	-6.80235663510782	-12.0406322005623	-5.38022256660506	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	0.898961602097138	-0.426596749924278	0.0595180235399748	-5.54663917240294	-1.32975888613801	-12.0406322005623	0.295454844400891	-2.66680815992646	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-2.68023174644455	-3.01593200462363	-12.0406322005623	-12.0406322005623	-7.50257895001478	-4.40213240009612	-12.0406322005623	-12.0406322005623	-4.68891713282902	0.889356748900406	-3.7435986497996	-12.0406322005623	-12.0406322005623	-4.60268062380338	-4.41808627974102	-2.03649725806743	7.01758539335727	-5.19576435852957	3.81601737030889	-1.94676449390692	3.37724529992382	1.11064582273035	3.55862892951694	-12.0406322005623	-1.66729045283889	-12.0406322005623	-12.0406322005623	-1.11865647244431	-12.0406322005623	0.820008656236442	-12.0406322005623	-2.24405834964461	-12.0406322005623	-7.07712492985298	-7.05864689988984	-12.0406322005623	2.01070836184503	2.70246514834566	4.21364737164603	-5.68274189249769	-2.74753626258809	-12.0406322005623	-12.0406322005623	-12.0406322005623	-4.17409668579281	-12.0406322005623	3.05467366261936	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-5.05794565801113	2.70722499324509	-0.299250162417267	-12.0406322005623	-2.02450068126732	-12.0406322005623	-12.0406322005623	3.93054973829394	2.05546619203635	4.00699165567858	-12.0406322005623	-12.0406322005623	4.00663974529874	1.69061509804374	-0.807641586711012	-12.0406322005623	-12.0406322005623	3.67157208651965	7.49345240560405	-0.642232394345213
"msp_0011"	1.81473657591065	1.97626101894905	-1.16859637493349	-1.78440999022831	-5.28936487982334	1.27779598593052	-1.73423958499925	0.913382139974883	0.197983873062189	-12.0406322005623	-7.11476110601078	-5.54426382215743	-1.6041934175901	-3.43591245173881	-0.446367289315795	-1.38438185380935	3.37142898911825	3.54403638115205	2.04651846871087	0.131465339217283	1.37418523750198	0.993015942912102	-0.18711285589486	-2.66758593939372	3.26041446682272	1.55905138942842	-12.0406322005623	-0.038467513639495	-1.63707201109482	-2.97914991928617	-0.370746466056947	-4.64197558749588	0.951645728773245	-1.92566481942398	-1.57710990540518	-6.94819852155887	-4.2564745155981	-6.84798414872978	-6.38057336927217	-2.94335397659868	-1.93320254428173	0.434580066278688	-0.0725713724310497	-2.04019176467994	-12.0406322005623	4.61835702329949	-0.325193496087425	2.8371868869601	0.043592345567492	4.8863743746579	5.23492816611557	5.41830110424056	-1.70902180493063	3.95552745554523	-0.0245669439556582	1.3801079236028	2.47596127853041	1.57054725040207	-2.69920457614405	-1.27537665884869	2.18289283560062	-12.0406322005623	-2.08442761139723	-2.09590911504629	-3.71668369691754	-2.9860694720878	-5.85621894092222	-0.8283029043298	-12.0406322005623	-3.00096954220703	-0.830077270849157	-1.55905767380811	-5.5963141116834	-6.63593846512401	-2.43096094895953	1.79101793530686	-1.81042292903311	1.48133499077447	0.855603633921454	1.4267528551972	1.88483846035372	-0.319309046002146	-3.7428206625559	-1.45371618969506	-0.44294277875716	1.17494243126151	-0.112456506934831	2.97448502005607	2.47473734870947	2.14073067819899	0.31753779877847	3.09201801180814	0.915139481114831	4.77574728714854	0.108686343496409	1.19544242260801	1.90462149964933	-0.236635665050522	-1.12941984259401	-3.50246655362107	0.940139344488161	1.49220702801813	5.35000781868573	1.44001044431953
"msp_0012"	0.505412016852951	0.705997220010805	-0.549137292553834	-4.2913194666843	-2.88999467795947	-12.0406322005623	2.01547674914166	3.13271042530761	-0.0461140204833174	-5.78989280671127	-4.98223092386664	-4.96463779683237	-3.0084689803191	-3.03292072742787	3.06472128219106	1.71682011699638	5.35671848641528	2.21460836442266	3.1013160968129	-0.240411495880302	0.833068831678544	-0.489926687202302	-2.02370276688912	-1.95383830608867	2.43662949364773	1.11424855558111	-0.951057799466065	-0.151420069441669	-0.200094870943169	0.24162190174575	-0.227780535745092	-4.09367720369181	2.04570662673224	-2.36184482225602	-1.84578772053753	-3.91066948225375	0.635636256962447	-1.4358442879459	-6.5982183335662	-3.61668828105755	-3.77610245080962	-1.53787859718021	2.43574822561986	-2.29438523630282	-12.0406322005623	1.09146561772148	-0.341723918363345	2.7162226544358	5.03426507989999	7.90342443842427	-5.11842255495207	3.43026589348455	0.0170023884363195	3.58069698428504	2.08624696320138	4.33813396644846	1.27452351380716	2.61035125574267	-2.25921735296211	-3.47528856344796	1.00505946923741	-1.56509779839132	-0.132176434496332	-3.12475736599996	-0.473830210976243	-1.87696850233318	-2.40121206571135	-2.48840272819575	-12.0406322005623	-1.28990584212349	-0.201973359434424	-0.344766222916522	-5.43759437949902	-4.94361957003436	-3.10144480999817	-0.354435403422287	-2.17607100892757	0.633216960782859	1.88721581172039	0.0957134644841802	0.53289032989409	-2.44663820198476	-0.689309066837774	-1.01938248451711	2.43632403864051	4.36409211460332	0.335737879304965	-12.0406322005623	3.25533371732127	3.08317803926029	2.15161894512621	1.83141190728959	1.59403680334136	5.28322531761587	2.72554797108049	3.54987369690399	3.4685467799181	1.82324616285802	0.0034390016076047	-1.74224575990766	1.13790893814519	3.50819620929278	5.98978899257907	0.955918622896656
"msp_0013"	4.80929295922608	-1.18666307333742	-1.8095105014095	-6.04085129078062	4.45225962951826	-6.72604492561327	-12.0406322005623	1.52526622965886	-12.0406322005623	-12.0406322005623	-1.29181726169814	-1.53697097387063	-12.0406322005623	-6.11611226306445	2.44322459757043	-12.0406322005623	0.0015048048897433	-1.47318333093361	-1.09207961057607	-12.0406322005623	1.35597482645661	1.37688147858739	5.1642705699446	-5.52428128001931	-12.0406322005623	-12.0406322005623	-1.7370830321776	-0.888807410266217	3.84082265158194	-12.0406322005623	-4.99618401398005	-12.0406322005623	-12.0406322005623	0.0836577311146811	-6.04428941811435	-12.0406322005623	2.33583035160273	0.748846280155933	0.118959866266763	-3.54289774655257	2.52962886634029	-12.0406322005623	-12.0406322005623	-3.50483441046161	-1.19833288942554	0.94861216350669	4.35003967824211	1.87890459916667	-4.69642137299987	-12.0406322005623	2.09954331472904	-12.0406322005623	-0.179239298278768	-12.0406322005623	1.81856762143428	1.89597182850521	-12.0406322005623	-12.0406322005623	2.86847225980463	1.12843455368672	3.23694195515869	-6.84100565907146	2.65940420434975	3.57390117531114	0.58306665234569	1.30556742434817	-12.0406322005623	2.1105768244635	-3.73664050510137	0.369618508723996	0.668861659758842	3.14701069371257	-0.97184746445922	-2.81713139164258	-2.56719702390704	-4.60871586698701	-0.52434889970606	-12.0406322005623	-2.8640631741768	-4.40848574283874	-4.22028276614976	-3.14890160118141	0.581439234810089	-3.72896608598732	1.52030038700186	-12.0406322005623	-12.0406322005623	-12.0406322005623	2.73147123170433	-2.94213415617686	-12.0406322005623	-12.0406322005623	1.810338916049	-12.0406322005623	-0.305196753036135	-12.0406322005623	-4.92423865937655	1.0007955433694	2.29868830304929	1.9872050836401	0.932672591059485	-12.0406322005623	-2.60418930421342	-5.76695630925435
"msp_0014"	-12.0406322005623	-4.58669462774434	-3.06461889168945	-12.0406322005623	-12.0406322005623	-4.4865734567779	-12.0406322005623	-1.72811275468723	-12.0406322005623	-5.47175887001878	-4.90479820366111	-12.0406322005623	-3.7435986497996	-12.0406322005623	-2.66804845199264	-7.94573506141699	-6.03154348131542	2.21303172904845	-12.0406322005623	-12.0406322005623	-7.80280329741391	-12.0406322005623	-12.0406322005623	-7.16809116415953	-4.03677411258934	-1.8623112815585	-6.09440719186625	-2.83067981688718	-2.59696439959871	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-0.693055496423641	-12.0406322005623	-6.23697193408705	-12.0406322005623	-6.19149916450308	-12.0406322005623	-2.51325505980627	-4.79062954187934	-12.0406322005623	-5.89755819430563	-12.0406322005623	-5.31466085157483	-7.70753469256526	-5.72907473007079	-12.0406322005623	-3.32807103745733	-12.0406322005623	-12.0406322005623	-5.93693657111139	-6.08548313061934	-6.58480103579666	-2.44292165679914	-6.27407579425864	-12.0406322005623	-4.59360288211122	-5.97611200270877	-0.471498777724346	-12.0406322005623	-12.0406322005623	-2.76114964517886	-4.20425152149063	-12.0406322005623	-12.0406322005623	2.92751450503169	-12.0406322005623	-2.28906878049605	-5.79374224140291	-12.0406322005623	1.62778498891126	-6.28095640988685	-12.0406322005623	-3.55572947687883	-3.13653676145827	-12.0406322005623	-3.89437191146382	-3.47234330735805	-12.0406322005623	-4.4711373904688	-12.0406322005623	-1.90083412202427	-12.0406322005623	-3.63533618766709	-3.67167703060979	-12.0406322005623	-5.38349728528044	-12.0406322005623	-12.0406322005623	-12.0406322005623	-3.59436695102212	-5.48180203786814	-5.97324369520855	-5.21317122352979	-2.45167253337459	-4.01837008334988	-0.621677098061726	-7.73871943958228	-3.72421230604442	-12.0406322005623	-12.0406322005623	-6.96469781618166
