"rowname"	"DDA_APT_D5_1"	"DDA_APT_D6_1"	"DDA_APT_F7_1"	"DDA_APT_M8_1"	"DDA_APT_D5_2"	"DDA_APT_D6_2"	"DDA_APT_F7_2"	"DDA_APT_M8_2"	"DDA_APT_D5_3"	"DDA_APT_D6_3"	"DDA_APT_F7_3"	"DDA_APT_M8_3"	"DIA_APT_D5_1"	"DIA_APT_D6_1"	"DIA_APT_F7_1"	"DIA_APT_M8_1"	"DIA_APT_D5_2"	"DIA_APT_D6_2"	"DIA_APT_F7_2"	"DIA_APT_M8_2"	"DIA_APT_D5_3"	"DIA_APT_D6_3"	"DIA_APT_F7_3"	"DIA_APT_M8_3"	"DDA_FDU_D5_1"	"DDA_FDU_D6_1"	"DDA_FDU_F7_1"	"DDA_FDU_M8_1"	"DDA_FDU_D5_2"	"DDA_FDU_D6_2"	"DDA_FDU_F7_2"	"DDA_FDU_M8_2"	"DDA_FDU_D5_3"	"DDA_FDU_D6_3"	"DDA_FDU_F7_3"	"DDA_FDU_M8_3"	"DIA_FDU_D5_1"	"DIA_FDU_D6_1"	"DIA_FDU_F7_1"	"DIA_FDU_M8_1"	"DIA_FDU_D5_2"	"DIA_FDU_D6_2"	"DIA_FDU_F7_2"	"DIA_FDU_M8_2"	"DIA_FDU_D5_3"	"DIA_FDU_D6_3"	"DIA_FDU_F7_3"	"DIA_FDU_M8_3"	"DDA_NVG_D5_1"	"DDA_NVG_D6_1"	"DDA_NVG_F7_1"	"DDA_NVG_M8_1"	"DDA_NVG_D5_2"	"DDA_NVG_D6_2"	"DDA_NVG_F7_2"	"DDA_NVG_M8_2"	"DDA_NVG_D5_3"	"DDA_NVG_D6_3"	"DDA_NVG_F7_3"	"DDA_NVG_M8_3"	"DIA_BGI_D5_1"	"DIA_BGI_D6_1"	"DIA_BGI_F7_1"	"DIA_BGI_M8_1"	"DIA_BGI_D5_2"	"DIA_BGI_D6_2"	"DIA_BGI_F7_2"	"DIA_BGI_M8_2"	"DIA_BGI_D5_3"	"DIA_BGI_D6_3"	"DIA_BGI_F7_3"	"DIA_BGI_M8_3"
"[Protein ADP-ribosylarginine] hydrolase"	18.4133810637759	NA	NA	NA	18.6787043865625	18.396429764287	NA	NA	NA	NA	18.2761960795185	18.7309342640401	18.2684402100801	18.6795720605464	18.5527858906565	18.7922757047813	18.0570213980342	18.5859085287751	18.3973435759084	18.6195735088664	18.3273457420766	18.6887725762433	18.4273782236224	18.9059889187755	18.7901800510992	18.5321919132406	18.3566203277343	18.6219926407111	18.7977148309518	18.7862696200624	18.2353515420445	18.7021951715744	18.3594966713505	18.3450370077179	17.9162017393241	18.8591548225554	18.3421797235098	18.7501510499027	18.2757574584833	18.6208958661662	18.4961695083772	18.8387465994425	18.4361800448926	18.7245705892524	17.9724002041281	18.6941369267795	18.2815378429359	18.869680524496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.4644726665366	18.5045764582827	17.9903028229034	18.629382308484	18.2694457062594	18.4673694902021	18.3049847024169	19.0612575371126	18.2908560727927	18.8275502080904	18.6185336402286	18.8736747250567
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"	NA	NA	18.5961839618499	NA	NA	18.266752279829	18.4257846740617	NA	NA	18.6430430718348	NA	NA	17.5351104102378	17.8292433597867	18.6075766967193	16.5230547992664	17.8797408873634	18.2204107831861	19.2930365755272	18.1017655030739	18.0278062524129	18.4621436638835	18.9717369974055	18.1874827210658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.7278038154334	18.3824339334463	18.2225182551784	17.2918985071548	18.1044223839618	18.9753281418541	18.6418884713982	17.368160909883	18.1955479431082	18.482072305808	18.2640275228898	17.9830064598124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.9688382575084	18.3736145160249	18.4216919429964	17.5797841469913	17.9787320755031	18.4247780312083	18.4468109213806	17.8831379843345	17.9541023399669	18.4501883316239	18.223437493772	17.9339926086184
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial"	18.7426817433565	18.463857766407	18.5911413917863	18.2990395877523	NA	NA	NA	18.5517355455183	NA	18.762399802522	18.1054385394447	NA	18.5077402444528	17.5181132423124	18.4609798147518	18.2480107087312	18.3934989313416	18.7084022224863	19.0269565026235	18.0408750364899	18.1207427177734	19.0750009894677	19.164943104188	18.9384354675593	18.4267767781094	18.2730732801964	18.3997948408851	18.3430609762602	18.5870576545464	18.4224229265771	18.5892146071198	18.7703095158525	18.3703368948252	18.9997955660917	NA	NA	18.2104163347593	18.4274273804976	18.9389174633931	18.2286055520955	18.7273664268718	18.0526528982018	18.7593032652533	18.4991123389369	18.6211760463579	18.453925043106	18.780681577883	18.5041146548218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.0617409351035	18.1263810451046	18.2069274121965	18.1870591657299	19.3777197623931	18.3220353488151	18.7261907534073	18.3230353811252	18.9063098107554	18.3660553290635	18.1406673683099	18.4595766701743
"1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon"	19.2642804169658	18.8545352443298	19.0271450298625	18.5260045082857	19.2994070952882	18.7142791157941	19.1876637978255	18.4423707054384	19.2325038490839	18.8358159901879	18.961623917671	18.4394597215382	19.3711000711911	18.9637182559503	19.1089913983976	18.4213309990716	19.3126665313635	18.8827007032364	19.1462264200213	18.4767161065144	19.399884358766	18.8463101706969	19.1130423690441	17.7424020080174	19.3742893590552	18.8757143844747	19.0913495862626	18.2274051685425	19.4387613893683	18.8066113001621	19.0431073201319	18.2506122661521	19.3163237528772	18.7737629885455	19.0881758526723	18.4989760240261	19.5004947836849	18.7646323478941	19.0999066817522	18.4563340838235	19.2660412043618	18.7172661186599	19.1822043492167	18.2567390165408	19.3950834188646	18.9078285021446	19.1703101041259	18.0682487812019	19.2688488930524	18.5834011303354	19.1763025386361	18.6214885115523	19.3223542093002	18.5300064164394	19.355596339139	18.9503313413741	19.2249181040095	18.8046632808354	18.5562289678411	NA	19.4798185771217	18.5797543459446	18.9946472384072	18.3753628019564	19.3223030830617	18.6822680054569	19.0881917363543	18.4489181680323	19.5326669256923	18.8870861159006	18.9506283905605	18.4434440037821
"1-acyl-sn-glycerol-3-phosphate acyltransferase gamma"	19.6170340531054	NA	21.3123212780822	NA	19.618471642337	19.7134417080951	20.5320849936862	19.3660183542673	19.6543667525706	19.7974067971718	20.00996917395	NA	19.2470668385907	20.6509862398149	20.4606962065158	19.8787379288341	20.2119955669144	19.096910237137	20.1025776257841	19.8535332315618	19.5632753178902	20.2363564202505	20.2519607657486	19.662441662901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.4718106785296	19.895310899756	19.0675491841319	19.9177280014604	18.906342108631	19.481617747656	21.8844522958513	19.3124394836433	19.7411650750382	19.4088364231378	19.9779474872943	22.151338656813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.1590976387409	20.0603063513909	20.2916890542016	19.9197907245155	20.1233134856496	19.9307273519685	20.1027788113495	19.2669969496076	19.8060836464228	19.7456714715465	20.2608873103693	19.5491952461804
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2"	18.7257484885325	18.9015624252721	18.6001340485659	18.6912484120327	18.8335193099832	18.8762417940606	18.7185240868022	NA	18.5823903535534	18.8539528741363	18.4872266292281	18.8799192342411	20.1918261764061	18.3635865806059	19.0335659056063	19.0969181993959	18.6161911917626	18.4375747591469	19.2872935424912	17.5294480776709	18.4225839376567	18.5630501745567	19.0409728741933	18.2003818634404	18.8285882722791	18.9863132643824	18.5380298120578	18.5104358263705	18.9695420684536	18.5964819513364	18.8425981179891	18.6778561561022	18.8491520962894	18.4810934072377	18.6480709252026	18.8552313852325	18.7140712950285	18.8519440236953	18.7458932064772	18.7103656661707	18.9047025598141	18.8318074311832	18.451284462209	18.7282440823143	18.4534065763439	18.7382212735848	18.7385574454019	18.9148952607104	19.0226022162737	18.599125322071	18.4974616346313	18.8591119085772	19.5575721387499	18.6819678873892	NA	18.6825222128798	18.6501574742136	18.5517641553549	18.4673517364958	18.5131421110756	18.8533835332021	18.862884063195	18.6036765099374	18.6234071110483	18.8963922043378	18.7236111333698	18.6332941758579	18.6190645659746	18.9007041763659	18.8229210963386	18.5765111356133	18.6675435776927
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"	18.362652144345	18.233812258003	18.4762687059286	18.0392144470423	NA	18.0521637957941	18.321059623526	18.3624321979224	17.7684877680461	17.8413645506644	18.2994960551465	17.9930111244199	18.0726383317084	18.1502813302968	18.4675032336535	18.8329848015698	17.3546626783577	17.9692768323632	18.7058065009903	NA	18.3193205262144	NA	NA	17.2904723598595	NA	NA	NA	NA	18.1977646343796	NA	NA	NA	17.9656033363967	17.9984444610333	18.3289307994234	NA	19.6753581720678	17.5523014556795	18.2852529902694	17.6077982144982	17.6848841689223	18.9484178454677	18.331660044995	18.1435211057175	17.2443475890809	17.6878941868052	18.299425012574	18.2868847734342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.7879092564447	18.3320536937946	18.5417889602399	18.1122982795751	17.6118132260094	18.1039345847896	18.1511927069093	18.2578176722011	17.9257357207745	18.3141213914579	18.5496784268438	18.0594016404718
"1,4-alpha-glucan-branching enzyme"	19.214269086691	19.5250574899742	19.9925083674227	19.7262147349686	19.3389325586252	19.4742945521773	19.8849347222835	19.56765759139	19.1948524962275	19.6099278208682	20.0800342339173	19.6679976821519	19.08601380559	19.6126613602389	20.0329934295454	19.6486825523114	19.1942842324706	19.5363854422668	19.9832673974798	19.724087558509	19.273052013913	19.6065307433773	19.9285545689713	19.6501682320242	19.2751399538748	19.6378354538427	19.9953911651125	19.7293363197657	19.1648955963937	19.5278919150486	19.9834770836304	19.7066667370899	19.1795430218411	19.4807523764006	20.0076548811576	19.5880968325393	18.9710200792636	19.7127869501585	20.056647403623	19.6356100082577	18.9776563949669	19.4741790595233	20.1678201442978	19.5758290668519	19.2880325527776	19.7671425683031	20.0420086335938	19.6079484750803	19.1350511199266	19.628781686141	20.1095381309071	19.6602377067393	19.2382069295107	19.5759794144243	19.905220493832	19.5828164496323	19.3031836142239	19.4707768590114	19.9236210798667	19.7432678524817	19.1723901540565	19.5057048282197	19.9995113387397	19.6598780401941	19.2100108781309	19.6020407519177	20.1030569807514	19.6252660867551	19.110669163654	19.5329087742318	20.0096953843829	19.7455489556633
"10 kDa heat shock protein, mitochondrial"	22.12549303358	22.2113749276945	22.2617174893761	22.0527903307208	22.1812943214119	22.2710742639674	22.2229381647549	21.9425006428598	22.1707374246732	22.2629743006239	22.3032535905953	21.985207762386	22.0760608437752	22.2523863329453	22.3196284345781	22.023817968743	22.1018327783649	22.2321891943557	22.2981755054145	22.0202645297754	22.1241129233371	22.3029870021634	22.216628055544	22.0232726836479	22.1515126199596	22.2094354921615	22.267423925981	21.9676431685429	22.2562333211539	22.2566283182256	22.2964667645306	21.9757199821489	22.1987219135306	22.1894746994166	22.2486185891288	21.9734774578643	22.1493078440543	22.2509199105795	22.2491813304803	21.9812097713759	22.1604746882225	22.2629298593852	22.2845407983562	21.9727134979766	22.1723177603058	22.2280619729784	22.2655636566272	22.0141351623023	21.9566687990496	22.1186942938663	22.2499583007995	22.0562086780367	22.1658952995873	22.2750362281767	22.2428720240297	22.1452200435821	22.1953516935008	22.2602112891111	22.3449854938627	21.9802541090415	22.1725570389299	22.2822682487251	22.2862814511289	21.9874429568865	22.1525852016992	22.2207900281646	22.3006144899838	21.956366581989	22.1464659242152	22.2460712505307	22.2693284808066	21.9705845995847
"116 kDa U5 small nuclear ribonucleoprotein component"	20.9159559013678	20.7652003657717	20.7686489156465	20.7815235684018	20.828361838704	20.7501241699443	20.6789132892679	20.7639912417149	20.9285330749295	20.8056349524944	20.7136058599074	20.8340378379607	20.6148169363017	20.7443579092668	20.7674803750225	20.7978471371172	20.9034418764455	20.7109786825755	20.7220595853814	20.8295447680256	20.7980526902665	20.840545100922	20.8937666291647	20.9116393256214	20.8952430769426	20.7094063812063	20.6108144353878	20.8447442116028	20.8413885771573	20.8134413383941	20.7586414633742	20.8126755733277	20.9269309263165	20.8287956581107	20.7653869087882	20.7270624655024	20.8696347249339	20.789538322413	20.6675101120473	20.7414367788349	20.9068222706818	20.7762046819672	20.7632094481291	20.794363668735	20.8647900217205	20.7835068159717	20.800412374606	20.7771017960706	20.9454823858885	20.8893450757015	20.6461503472256	20.8894312402009	20.8215230514594	20.7835544868289	20.7292245828625	20.8081858226624	20.8366412344487	20.6754315307913	20.693268001973	20.8162932560681	20.8795338518126	20.8876531766571	20.63709653967	20.7903807099475	20.8836868287166	20.7947727079325	20.7737629233724	20.8194902667972	20.8068264059353	20.7401955265919	20.7132682196154	20.8078638590618
