rowname	DDA_FDU_D5_1	DDA_FDU_D6_1	DDA_FDU_F7_1	DDA_FDU_M8_1	DDA_FDU_D5_2	DDA_FDU_D6_2	DDA_FDU_F7_2	DDA_FDU_M8_2	DDA_FDU_D5_3	DDA_FDU_D6_3	DDA_FDU_F7_3	DDA_FDU_M8_3	DIA_FDU_D5_1	DIA_FDU_D6_1	DIA_FDU_F7_1	DIA_FDU_M8_1	DIA_FDU_D5_2	DIA_FDU_D6_2	DIA_FDU_F7_2	DIA_FDU_M8_2	DIA_FDU_D5_3	DIA_FDU_D6_3	DIA_FDU_F7_3	DIA_FDU_M8_3
Asparagine synthetase [glutamine-hydrolyzing]	19.891372277400034	20.064317459535832	20.181326286578734	19.720068891462933	19.803541276397333	20.014972912777633	20.275511817441334	19.807145782933233	19.976571280470633	20.035710149904734	20.141858106284133	19.590997458207934	19.684810331084115	20.054783197520617	20.251450661241115	19.744597252532817	19.909789170495916	20.068129140243716	20.310009110606018	19.665728343062018	19.856193579069416	20.014483151782816	20.235009563832417	19.70841019792312
7-dehydrocholesterol reductase	18.719958917829807	18.756354340112406	18.988159658697906	18.724251350417205	18.780447297667607	18.89658984319591	18.842796575514207	18.833307406347906	18.756865655898107	18.751393437894706	18.967301181460005	18.95635583270211	18.67526841138789	18.808180683153587	18.96784942601089	18.89275931771089	18.83090350772859	18.60614533965519	18.903201004831487	18.89926888096349	18.77547754676709	18.866127047121488	18.89832395417399	18.850276378233488
Glycolipid transfer protein	18.398640070907966	18.588739305410865	18.270513641658166	18.592129516945963	18.193262981080565	18.321515760322566	18.477697137471864	18.834651239517964	18.359653232729165	18.292608657864065	18.513504850182265	18.544018180090564	18.27171591449885	18.36120775441755	18.41451044069645	18.82792015785345	18.39641588370015	18.50330423696585	18.539535822656248	18.82953310648395	18.214655363577148	18.36005767517695	18.139170132535348	18.52890808562065
39S ribosomal protein L44, mitochondrial	18.80021281906903	18.675606783923634	18.640373095413732	18.963696955868933	18.776978749831134	18.722274272756234	18.608510329053132	18.699248296955833	19.25373184817113	18.985701576521134	18.503170376856033	18.655265597172633	18.70133708178695	19.18101520835275	18.649929013833052	18.671865913715152	19.08958025775295	18.73968259986345	18.77158323569525	18.44725001956915	19.10550728018465	18.721853975144352	18.79325460500065	18.41191151069455
Protein deglycase DJ-1	21.46808351780463	21.60048821560203	21.47377387218453	21.47350250522883	21.38510296168493	21.62406545753823	21.58697093802523	21.55205535531613	21.44920715527693	21.55186246375773	21.55593467736233	21.48285924281223	21.43984196111356	21.51292371191156	21.57530847002976	21.588385687873263	21.40990529467216	21.56511148422356	21.58386694209556	21.520490266882863	21.43260428445416	21.556966192696763	21.530670517072164	21.48783154956866
V-type proton ATPase subunit H	18.139576228405545		18.85261482586194	19.803491766846946		19.075066814492544	18.739409824839242	18.879442964055045	19.547110114260747	18.69180092932234	19.443449820457843	19.587314520979547	18.80559456864543	19.156996646717026	19.162663527881428	19.104832267151828	18.670467335817527	19.26420773264593	19.051568148530627	19.207107813087326	18.82634601597583	19.24013815187053	19.039385771626428	19.15207566756093
26S protease regulatory subunit 4	20.372454921305007	20.410017430138108	20.412795307973106	20.33530739363181	20.253997014283208	20.259452635232208	20.500013772831707	20.28966262610591	20.279276107391908	20.35957478181711	20.145368002363906	20.12714093174751	20.179487715743893	20.283318927550194	20.43824133194209	20.345205824173494	20.264307279053593	20.326014827668494	20.495385731143493	20.309965987226594	20.098106454827192	20.348469592632394	20.388302046892594	20.268255205967794
Pleckstrin homology domain-containing family F member 1	18.167857484775304	18.000312428225705			18.656956303427606		17.9281376828702		18.3683031915077				17.822658664222615	17.840023160660213	18.267724937353314	18.195408476715112	18.155318553353215	18.209864647353115	18.241958465366615	18.138619723632413	18.422542068440613	16.784841092960814	17.885468260332214	17.976579001773313
Ras-related protein Rab-1B		19.677549120347106	19.561328964731107	19.21432897071781	19.049498093300006	19.793670094533606		19.33935113599391	20.633278838038407	18.949420507139106	19.010815859493405	19.288194600225108	19.645329791060988	19.53767573851659	19.60550425159709	19.65185002566309	19.47877544023879	19.46776353558159	18.13712414052209	19.67567352818719	19.29648873262939	19.82219138305049	19.47481198923839	19.54560722305079
7,8-dihydro-8-oxoguanine triphosphatase			18.50714561541214	18.78254509097904									18.085116814197182	18.396269693689682	18.154920374363783	19.111515548465782	17.968206798511183	17.805396569627582	18.99609155694178	18.910424545800584	18.574305453048684	17.924220058811784	18.185463346225582	19.233918500401582
Splicing factor 45	18.95160978971381	19.11562262873461	18.89103202114671	19.078532392361108	19.10172612302871	18.814159799914208	18.71842072816111	19.04296012880981	18.97406024150941	18.633177897654807	19.00763211095421	18.72747437115901	18.965127311224656	18.809100438260057	18.92871358287576	19.146452671338157	18.811025906174056	18.954865182011655	18.77450300405526	19.155831593454256	18.903222936237157	19.221440172412958	18.757618402154456	18.628507032950058
Apoptosis regulator BAX	20.06750961576002	19.75253519123822	19.758876038274423	19.88432835352702	19.97885182514512	19.991719930893222	19.63002190161822	19.75655470001982	20.20296959107322	19.91075917145062	19.58545789469852	19.85669657897172	19.92196606813772	19.88812450622412	19.67576698298622	19.81361884162612	19.83455770234702	19.87213903092422	19.75480826491962	19.967539854668722	19.969731103495622	19.877030037907822	19.92746659687602	19.873531802556922
Density-regulated protein	20.06856515459024	19.85338342555204	19.64997425211194	20.00618156373714	19.591331053274537	19.44548642810434	19.603150506511838	19.845973209921137	19.666891200530237	19.345607729537438	19.97525896459844	19.71992990763214	19.683988868661938	19.719685813172138	19.702340047480238	19.84945867288284	19.85383796439654	19.65968628753414	19.607249178129038	19.71530374334644	19.83803426625584	19.72615549850564	19.798444663408638	19.617548392327638
Dipeptidyl peptidase 9	18.494466084969357	18.780370576125154			17.993485437615654	19.383571502206657	18.515537746956856	18.200250089213654			18.877748202131457		18.502685092200707	18.683113920718903	18.7487235415714	18.832693107461502	18.813666440639906	18.196998282699305	18.752996841034907	18.745225449598706	18.615466571755206	18.310510447304004	18.314656455971203	18.847210867344607
Thrombospondin-1	17.982817070892573	18.74196526522747	18.18270889346187		18.439660770084274	18.93779246292717				18.964685642365872	18.379474505679372		18.007277605893147	18.87492437503725	18.046455815069248	17.979164312120947	18.248811309948646	18.94547391482755	18.431882086004247	17.832020810870546	18.087017599459248	18.710488937248048	17.749895159931047	17.839959907214748
Pre-mRNA-processing factor 39													18.323303270382	17.4691482942283	18.2937318596111	17.7417285245184	18.2855759463961	18.2814536466936	18.2528918897791	18.3241917877247	18.5437772736461	17.7053477710022	18.4421478679321	18.0216134074586
SAM domain-containing protein SAMSN-1	18.445594986139348		19.122245659271748			16.90287247062635	18.05028949202005				18.48047838295825		17.646565366208016	17.77977218690542	18.644376960220022	16.910868569009622	18.366728984618916	18.122734013453417	18.41803938549492	16.65640304461462	17.84144051399742	18.70445757637122	18.29524922058102	16.78757441679612
Glucose-6-phosphate isomerase	21.56441943494312	21.63816108369502	21.49912865700122	21.51704968261582	21.47086146405592	21.662611577467818	21.637912634065017	21.503283239192918	21.46821454276012	21.46556834651572	21.61725701632902	21.50477128772172	21.387207709672204	21.638195613060102	21.592470618884903	21.558382190533603	21.449766893834305	21.484812954537702	21.618703641211702	21.588806918415703	21.471437270933702	21.551516538667304	21.655156381337203	21.552782235275004
Interferon regulatory factor 8	18.928123764550918	18.33435423462062		18.43379558415122				19.34454970704502				19.200141324105317	18.81313499087984	18.68570052347144	18.631192845883138	19.06316288218844	18.55409217519654	18.41629818919024	18.35322676635714	18.91152700978114	19.14887442917944	18.75556025674064	18.60795893317534	18.99813842814514
Golgin subfamily A member 5	18.156325040887197	18.376613820272397	18.5273671382443	18.4682294832283	18.7541289093555	18.356469331088597			18.318613845230303		18.689874211310297		18.453226958818206	18.395579424246407	18.528397119822504	18.566960775789504	18.178538043255106	18.453093614431104	18.659617438874804	18.341116588305905	19.031949030713104	18.074588584134904	18.414543280766505	18.159189376358906
Platelet-activating factor acetylhydrolase IB subunit alpha	19.683429166792894	19.788650784044794	19.590555938643195	19.880900286718294	19.697164799622495	19.889641874674496	19.686537758619195	19.838887570546493	19.832948329352195	19.880344705498196	19.900464393818893	19.932123856516792	19.64897361644463	19.708728393904828	19.759245294236326	19.982034096883126	19.781292007256127	19.848686378100727	19.747887024710426	19.808532721922226	19.91364739970063	19.78997321713893	19.823303641151227	19.789345673398728
Leucine-rich PPR motif-containing protein, mitochondrial	20.341006515910077	20.06341019635768	20.382411319444678	20.13653475099168	20.35921372687638	20.02194960747578	20.26912762432058	20.15118853545988	20.345570763935477	20.10323902667998	20.317223871766778	20.081272826657777	20.311087713231995	20.063268731886495	20.287740256690093	20.181391642018095	20.382959875546693	20.058933897127993	20.291298207206495	20.152103015348892	20.358408940697394	20.054221869800894	20.338791835369395	20.091942780952294
U3 small nucleolar RNA-associated protein 15 homolog	18.84559333250229	18.770129858058688	18.78903519899889	18.89815110052759	18.859281124391988	18.67130767833169	18.73461559639129	18.57810831660109	18.924744695963888	18.57622388209159	18.74324817887019	18.352032460205088	19.047183830488155	18.734434365297755	18.675791183846854	18.587847283145155	18.852126387281555	18.680845272928156	18.589515586336955	18.445508116973755	19.119777811251456	18.669487560824855	18.681944598346757	18.658009426212356
5(3)-deoxyribonucleotidase, cytosolic type	19.199761848965117	19.145473958824915	18.805208183498518	19.172183154493716	18.761542770001316	19.225132933279216	18.738680134150915	19.599996885024215	19.152337560009215	18.614546882975716	18.538111179709315	19.279894621653217	18.9513573865316	19.031628192321502	19.2167516929124	19.1250783750339	18.9624323117839	18.8524754459343	19.0694632721552	19.3574165456156	18.7025568225732	18.785326638167	18.8804859406575	19.297897488899302
E3 ubiquitin-protein ligase CBL-B						17.708183720711826			17.814011510388326				18.369242288651737	17.338801680294438	17.890924257410735	16.432486010708935	17.902743201682537	17.829250964798735	17.995354353330637	16.948918850079938	17.780743459370235	17.354273021639536	17.369606609848436	18.752009267272836
Striatin	18.665745416976492	18.281797410510993	18.390750487152193	18.714215124655393	17.72976773758469		19.653211565900293	18.98402994189719	19.468242625516794		18.69987534068349	18.658990257215493	18.39731738182086	19.024915709253957	18.750172250824257	18.389974048994258	18.474670637305255	19.071422656376658	18.871854659203557	18.873800973476758	18.675034231016856	18.835739883649556	18.324146840705556	19.119999344774158
Striatin-4		18.64306488246091	18.885277634334308	17.403192887034606	18.864581536063508	16.86884810122161		19.16956109761241	18.656836956570906		18.90497647191861	17.17235120491241	18.576366389100556	18.22052991248986	18.094271069376155	18.510420109268658	18.163354128696156	18.51819959677446	18.362847054658058	18.673404921170356	18.191193161266458	18.370756889676258	18.009255944275157	17.801050239976057
