rowname	Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S5_Slot1-7_1_8641	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S23_Slot1-8_1_8642	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S42_Slot1-21_1_8670	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_QC4_Slot1-10_1_8644	Clinspect_E_coli_B_S53_Slot1-22_1_8671	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S62_Slot1-16_1_8664	Clinspect_E_coli_B_S66_Slot1-13_1_8647	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	Clinspect_E_coli_B_S86_Slot1-4_1_8638	Clinspect_E_coli_B_S91_Slot1-25_1_8674	Clinspect_E_coli_B_S98_Slot1-9_1_8643	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_014_R2	BBM_673_P283_01_VEB_015_R2	BBM_673_P283_01_VEB_016_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_018_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_020_R2	BBM_673_P283_01_VEB_021_R2	BBM_673_P283_01_VEB_022_R3	BBM_673_P283_01_VEB_023_R3	BBM_673_P283_01_VEB_024_R3	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_28_s17	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_31_s33	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_34_s48	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD	CVT09_QC1_LabE_X023	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_QC4_LabE_X026	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s50_X011	CVT09_s55_X012	CVT09_s59_X013	CVT09_s61_X014	CVT09_s67_X015	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018	CVT09_s90_X019	CVT09_s93_X020	CVT09_s99_X021
P0A8D6	16064200	15419800	14120300	14822100	14458100	14861500	16902900	13796900	11430200	14096000	13508800	11247100	16240500	16400600	14825800	14341700	16460400	11952700	14924100	13022500	13456600	12828100	12625000	13905500	130121	181670	153914	162464	168312	153072	129328	145544	195996	124416	165348	108428	90262.8	155698	142598	139603	156247	101545	62132.1	117107	128935	128576	131966	6872060	5727700	6514270	6904130	7444460	6443400	6881030	5832970	6960900	6428390	6091220	5209100	4550000	4921700	4797990	4895130	4509700	4888780	4888910	5333670	4036020	4123530	4864500	3726370	4153330	4144850	4148850	4264220	3955880	4149590	4517010	3991530	3846130	3531480	3570250	3819440	3609130	3808470	3582230	3625120	3648440	3441540	3343920	4240140	4353330	3487670	3693690	2904130	3142060	3452170	2549190	3255640	3531910	3159140	3275810	3318820	3416150	3515140	2865740	2917730	3256150	2732220	2755730	2920450	2543100	2723640	2732980	3018710	2631760	2660870	2955030
P0AAX3	5318550	5366190	10146800	7674530	5673340	4165130	3091340	4708990	9172670	6045120	4754120	7509330	5886560	4204420	12236000	11103200	10978900	8929070	11407200	10924500	11459300	9334090	9963990	10422700	35358.8	46826.3	34312	43866.2	36230.4	47955.5	24875.5	35387.7	49499.2	44398.4	59331.3	57332.3	48436.1	88155.4	121970	85335.8	114420	28940.2	31004.4	93932	84275.7	83079.6	46130.5	4935530	4273810	3218930	3639080	4631710	4501330	2891360	2591040	4414660	4577880	3960690	5754610	4637410	6029210	4471900	6315690	3291060	5512970	5192780	4722610	4291560	5212460	5450120	844068	814272	1100930	1057640	979760	1040280	881315	906319	1123340	1042150	2618860	2702840	2979870	1959740	2441560	2527630	2444380	2569930	2300040	2006170	1362990	1188050	2342080	2461510	1544640	807350	784064	1432320	1208700	842317	893838	709670	577096	790135	794421	747163	779052	709914	1466890	1931200	1541710	1490360	1343440	1552030	1766430	1910260	1232510	1474110
P00959	122193000	128130000	146706000	154752000	121824000	126164000	116874000	105014000	90902400	118054000	113703000	66225000	119338000	112266000	143216000	145710000	152250000	110313000	161171000	147929000	155302000	158235000	140507000	151989000	186059	216311	187438	204279	198790	206063	200077	220467	224640	237734	215233	212220	244342	258106	257392	270691	255088	224282	219948	292564	278415	256318	271613	33129100	33392000	36145300	30798200	35290800	32453100	30219200	38445800	31312900	33993600	33804500	33725700	42137900	44576300	46858200	46273000	45238100	45769900	46592100	38820500	38876900	43372300	44829100	18359100	16788600	16933400	17087300	17453800	17674700	16732600	16144700	16269100	18811200	21946600	22056900	20415600	21498100	21788100	20669100	22087600	21681100	22568300	22514400	18254200	17314900	21935800	21642000	10763700	8275610	7927670	10815100	8686620	6581300	8596310	8048330	7765440	7164560	7117170	9303860	8941180	7654740	10730600	10721600	10622900	11307500	11135000	11010800	10903700	11297700	10767600	10875600
P0AEQ1	10078600	9327040	3882460	4074950	12364500	11262200	9398370	10096800	17220200	13161300	9991760	13587200	10188500	11732600	5028510	6153290	4830930	6145840	5404520	5283110	4716210	4313780	5696030	4874320	137106	239811	187542	211141	240629	244237	105666	191658	237282	162219	269764	197721	57456.7	92288	76593.1	90248.5	114214	42300.5	43637.6	63169.8	88558.2	103237	54187.5	6639310	4818710	5103360	3831370	7292200	5517780	3692970	4268210	6031090	4965120	4840190	3981840	2867730	3165660	2128160	2337310	1896150	2733350	3475550	3013640	2265290	2369090	2623000	2224940	2824680	3411550	3020920	2490040	2582150	2799210	2710180	2433890	2198340	1446760	1385000	1474720	1363070	1495690	1640610	1505590	1579070	1431180	1258600	3092000	2863310	1214390	1550720	499954	1126210	1069140	408165	1093310	1221900	1083810	1077680	1036690	1070380	1028420	931668	920148	936891	490284	501895	571820	453811	495986	524832	471510	476081	448269	506353
P25738	34953500	23165500	22526100	19159600	67738300	57215000	58098300	46794600	39917800	56578800	63829900	125469000	52273100	40509800	28661300	36439800	22935500	29641800	27726700	29358300	31063400	22335800	21333100	38428500	544496	234310	493502	173178	365283	213304	260821	495455	190667	261027	522898	401334	73400.6	310708	258982	257461	245332	117234	81120.1	154590	200201	142744	165178	157679000	121491000	107463000	133523000	119214000	123662000	222674000	69702000	189591000	166167000	129046000	74848500	49557600	83042300	87196100	79088800	59155400	78778100	73278200	87884200	83141800	60300100	83398200	14243100	15438500	18893500	15867500	17816900	13826200	17470800	20334300	22375300	13312400	10606100	11144400	9868600	9283110	11167500	11965400	10258200	9358450	10846800	9478800	14292400	14961000	9037390	10210000	5345040	8981000	8612600	5477340	7808840	11963300	8373980	9922470	10832200	10564200	11608800	7917210	7693230	9512950	6820170	5255010	7622300	5962860	6340650	6347400	5203400	5709650	5910720	5839510
P64596	67771300	57249300	44537000	47841000	73582000	71292000	68618800	66387100	86494600	66377400	75143600	108076000	71102200	71021700	51984400	60351200	57468000	68897000	56013100	55896800	57404800	51380400	50685700	58468600	274675	298801	266846	284256	310809	299062	298424	307056	352940	258806	322761	309909	144771	247077	258998	223749	213370	197984	143794	269713	248235	231521	270059	13070300	13010800	13602400	13257300	13742100	12820000	12853900	13370900	13052000	12911000	14417400	9676880	9559690	10207800	11276400	11291300	11142600	10811100	10629900	9668110	9689140	11353400	11536100	8810180	8849480	8784850	9414070	9247530	8326700	8858040	9943290	9753120	8926330	7019660	6913140	7052140	7102860	7338970	7343620	6980830	6660400	6938240	7204340	9433720	9491130	6950670	7455480	5248120	5943200	5609220	4988290	6388810	5241820	6192090	5963940	6023660	5539530	5526280	6521150	6271890	5441950	5158780	5219410	4917110	5372830	5152020	5476560	5076520	5171500	5347070	5199470
P00452	84539900	88141400	68961700	76012900	73428100	86646500	94343200	66325800	46715200	74974300	83707600	41296200	90665800	70661200	71781300	75680100	77783000	51817500	84177400	69292200	79580700	77879000	67172200	77607700	161245	171372	175682	155627	178751	159911	144122	164621	152672	156090	171424	146153	147487	146894	145293	187082	137792	121095	96155.8	176531	160599	155131	152737	15236900	16474400	17396100	18506000	14015100	15103300	19546300	19335300	16764100	17828600	18612100	12096000	14216100	15079500	16994900	17864700	19937500	15509500	15742300	12450300	12295100	14722100	15364300	11215400	13389700	11225500	12508000	12812600	11298100	13224500	12926600	12186600	11605300	11252900	10756300	9419620	11423100	10948300	10473100	10927800	10852000	10934100	10929000	13131300	12470100	10844700	10695500	6542970	6014770	5868200	6350720	6321420	4803860	7020510	5588860	6888550	5163510	5222600	7308760	6095600	4821530	6429050	6387740	6204870	6721510	6587360	6466490	6193700	6692050	6379170	6505490
P10100	17174200	14975700	17294700	13275700	22165400	16242200	14579800	20433300	28265100	19709400	17740000	26275800	18612900	20034500	19308500	19714400	17942000	20998500	16752000	18769000	16630200	17467500	20274900	17586200	337103	316527	355694	228057	385912	385887	288061	341067	312023	262975	378110	348897	138391	366244	346118	379210	377960	199870	78086.2	321506	344326	247745	292697	7614500	6932430	8053420	6773850	9180250	8113960	7735590	9320680	8132810	7718070	8168180	7337340	7687580	7782610	7750700	7797300	8015040	8517030	7999710	8477800	6755880	7865100	8235880	6159580	5509830	5815930	5431850	5792920	5615380	5529170	5641750	6011970	5946450	5272770	5332240	5138400	5038430	5447600	5340020	5081620	5235910	5390430	5651600	5781450	5633940	5641460	5575280	1324280	1399980	1248170	1257940	1423560	1310170	1296910	1338490	1256290	1284970	1348860	1218180	1372920	1398480	1232310	1345470	1246820	1283180	1235300	1217380	1141110	1249230	1219510	1213570
P0AEG4	135595000	107499000	139264000	117891000	134315000	112358000	128265000	131902000	140125000	133525000	135202000	176488000	149124000	130049000	152358000	171460000	143828000	162178000	140808000	144318000	144366000	144037000	145442000	152535000	1028080	1151490	871997	819193	1080310	1168200	930559	933343	1086380	784635	1176340	1218510	578291	1076980	1147590	1097620	1087780	822242	688885	1266880	1153530	744440	999565	85360800	64302400	63557000	68343400	57913400	75962300	77158700	44338200	78104800	69355800	66838900	63240100	49979700	62199800	65278100	63819500	51875400	62462900	63235500	67080800	49614700	65925700	68550600	53972500	61056000	69132400	62381500	64624500	57785800	64857200	61445600	62492800	55564900	65924700	70116600	70679900	60150200	70413200	71433000	66987700	66430800	68904600	66977100	59415800	61878500	66564300	66337200	8291180	9518590	10014000	7618770	8587190	10675400	9372200	9458440	9553290	9964710	10077600	8119830	8169300	9341470	8846250	7689580	9177790	7598330	8280780	7556900	7826850	8120110	8070340	8385700
P19934	3164640	3033270	3221390	2825120	3400160	2356030	3455410	3552220	5763040	3611880	2133990	2448790	3170880	3620720	3379000	2953010	3285670	4097160	2732420	3557320	2889570	2716550	3508210	2688230	82131.3	127147	100574	157547	132280	128348	155100	112363	109212	125670	128979	140092	162126	133918	144954	151937	177514	94159.9	131712	133533	137340	133954	165739	3532360	3388990	3287570	3081130	3183750	3161830	2903100	2972290	3187250	3101530	3109470	3204710	2566640	2804680	2527590	2905350	2578060	2872870	2940540	2977640	2247080	2470030	2226660	1305200	1218340	1311720	1205830	1270740	1200770	1284760	1246470	1281220	1338760	1192200	1261650	1322840	1187390	1270880	1223630	1183160	1257850	1262130	1165490	1231420	1176530	1248110	1295680	353435	413333	415169	360852	340505	401576	340747	406253	367493	371445	410680	310772	381071	356271	324829	364412	368499	326721	309638	299322	345591	326025	320399	337986
P0A8I8	25419500	26588800	26838800	27530100	22065000	23931500	22739900	23166500	25993800	23991800	23520200	34144800	22406700	23293500	23549700	22812300	27532300	26567500	25068200	23158600	25251600	23643400	25705900	27130700	53685.3	75181	44195.8	76394.2	67440	64927.6	63347.7	61562.1	77233.1	63908.1	71503.5	72553.7	63662.4	74210.3	72372.1	65621.4	65029.2	60112.5	54185.2	66191.1	69520.9	71775	62020.2	2659480	2752870	3179190	2181240	3012220	2747330	2476180	3375180	2526300	2479400	2693950	3438740	3293790	3130250	3035120	3249400	3051290	3160730	3450530	3297790	3400570	3154220	3085320	3476060	3154430	3189830	3252040	3069970	3607600	3147090	3050790	2806190	3404020	3369240	3251160	3192990	3426110	3416900	3306480	3158010	3161710	3211440	3357260	3052430	2917710	3353040	3354410	773813	718938	699706	819024	668646	673888	774815	708888	652674	685574	725259	779410	701561	729345	811926	729584	789977	786792	816576	734634	764198	763806	779629	774377
P0A8T7	259689000	270744000	319191000	328552000	257529000	254402000	278803000	273269000	239912000	273743000	238921000	119773000	266638000	266787000	323680000	316056000	322728000	296977000	321402000	307162000	314506000	315390000	307620000	310592000	1298830	1379190	1194320	1228870	1366340	1296650	1380480	1353500	1398880	1471840	1387680	1378310	1381000	1413500	1617890	1673660	1394360	1479990	1301540	1786680	1756380	1620090	1767360	71315700	78484000	82860400	84535700	85657100	76222300	81561600	102065000	75926800	82234800	82650100	80504200	94992400	95896200	106525000	104713000	118880000	99724900	98768500	80215300	94597200	100516000	103321000	48549700	49874000	44289000	49113800	50527400	47368500	49687200	50596000	49858900	50656800	55653100	54171100	46905100	56057900	52238200	50516200	53152800	52693500	52431800	54373900	51352800	50954500	55873000	57593600	22761900	19012700	18399300	21755400	18818400	17334300	19792400	18653600	19568600	17962900	18017600	20671900	19810800	18669600	21398400	21811700	22138400	22286200	22705800	21207000	21079700	22672700	22281700	22836100
P0A794	22952000	23742400	21373100	19062800	19335200	20156800	19704100	22172700	21818200	20537900	20155800	17340600	21361500	20916600	20703400	19587900	20806100	18309500	17491400	20917200	19206500	20627700	22675500	18474100	302624	469444	358800	457450	401076	488756	390494	387981	408842	424289	368985	404141	332147	346072	403065	361853	443784	269668	282489	343345	326567	356903	312375	13584500	16596500	15682100	13229400	17512700	14691600	12206800	18652100	14529800	14951500	14012900	12745500	13905400	13486800	12045500	12875700	13096000	12759900	12394700	13203300	12444200	12046800	11734300	8788620	8523300	8483880	8845200	8245500	9436440	8569110	7960560	7114720	9042940	7824260	7472280	9087200	7732390	7330690	7579300	7934360	7447340	7991600	7933960	8321770	8952020	7713510	7390100	6031830	7793290	6973300	6598460	7527790	6389910	7373320	7298400	7255320	7058260	6960640	7436340	7659990	7321370	6077230	7037140	6207450	6465580	6374590	6399830	6002270	6386300	6450380	6363490
P0A7J3	1696630000	1.507e+09	2063940000	1972890000	1642670000	1622900000	1587400000	1528380000	1403940000	1533340000	1662930000	2092900000	1700930000	1510280000	2118340000	2454420000	2174130000	2192660000	2380420000	2087390000	2264350000	2127410000	1943200000	2227940000	3464760	2882350	3116830	2709700	3452860	3362330	2909170	3045660	3168850	2940740	3605740	3212000	3688540	4486620	4454580	4651320	4220760	3921590	2546610	4715090	4679920	4123100	3425500	906459000	833401000	754190000	794328000	829391000	843986000	798508000	637918000	805385000	785598000	749149000	1079070000	784469000	878098000	760158000	761937000	688930000	805565000	873919000	920221000	716721000	946649000	998021000	230515000	239621000	285243000	227934000	243137000	234430000	249956000	233430000	199155000	239259000	315995000	358497000	321270000	311046000	357137000	339473000	301129000	338223000	333665000	313066000	245140000	235772000	311605000	328202000	160046000	137694000	132618000	162463000	133604000	143228000	128859000	139620000	131244000	135061000	140345000	131434000	128269000	138978000	168117000	173250000	170256000	158233000	158691000	159643000	165690000	154342000	157270000	159883000
P00935	63590400	64907300	68161300	62892600	71048000	65623600	57701600	58918500	68124600	63896500	56659000	31739700	61463700	62106900	66118700	70412000	62772200	65747300	63623500	58696200	63410700	69999900	57193500	66531400	177055	175255	181844	154991	164332	226996	156337	202606	205867	177631	197973	226064	185453	173021	197916	162619	177725	194719	192777	178224	179484	192754	198657	14677800	13968600	15750900	14055400	31129900	14668200	12408300	20211800	12556700	13837100	15233100	18293400	19207700	18255800	18599900	17762800	16906900	17693000	17845300	16600100	21965700	18992100	16206900	9582400	9004460	9414340	9012370	8170910	9984660	8507540	8565330	8801900	9219920	8557520	8458410	7388350	8261550	8964360	8107790	8663230	8624980	9027220	9415490	8705960	8734780	9334710	8271190	6475190	6254050	6222790	7090370	7269220	6253450	6583520	6147940	5843070	5742380	5700320	6985900	7531890	5805950	6578970	6207410	7099490	6235200	6946310	6552170	6534580	6627370	6604930	6799640
P0AG84	41906200	44815800	25462700	31545800	34898500	33391800	62025300	41345400	30521600	38139700	38783800	37994100	40708900	42572900	29733300	29903700	24987700	30105100	26765500	32583900	31384300	27876600	27082500	31136300	131570	209277	187871	156563	179091	132599	127077	225777	233133	129313	157121	152018	81427.9	129495	108614	124063	120845	100208	102570	90218.2	100205	108693	102024	12768400	13594900	13851700	21417900	11200300	14412800	21440100	10995500	18144500	14860500	15470800	9456080	9779160	8397610	11397800	8872530	10580000	9972840	10224500	9046730	9305720	7653050	9891930	14623300	19386800	14033500	18717900	22099900	13634700	20927400	28298000	25271400	14499500	11399800	11214400	9264100	10812800	10625000	11425000	11580000	11389900	9864460	9679170	17403600	18174000	8971350	11561300	2433410	4025010	4327990	1905080	3518410	5649370	4099560	4255030	5329370	5786940	5520970	3199400	3396150	5184580	2373130	1781610	2789680	2039260	2256290	2271720	2463720	2284660	2555720	2485030
P0A9M8	203672000	199441000	164881000	156415000	219373000	199574000	226377000	256068000	226426000	237318000	196584000	103516000	223360000	250878000	165662000	149482000	139692000	179302000	117391000	157146000	142036000	176576000	140005000	158197000	1191940	1139270	1193520	1123030	1215470	1281570	1169420	1271650	1231190	1195850	1247670	1295860	886579	879844	1029600	813385	929889	560317	669957	1083900	941500	795701	980989	76016500	79602000	81554200	91606400	90888400	79735000	79657700	91035600	76250400	81199900	81845000	48925600	49058400	50861200	59074300	52680700	56801000	56401700	60236100	49897800	61035000	63719400	63860800	39509200	42189000	38955000	41550600	43177000	39539600	42615600	42311400	42093400	42073400	25129900	24297100	23862600	25099700	26583100	26131900	28576700	26584200	31741500	33296700	42643500	44193900	32423000	30408400	14651500	20772000	20255300	15619400	20051100	18979800	21246600	20910300	20777100	19999300	20192800	21445200	21050600	21681300	13032100	12864400	12911800	11233000	13064600	13284500	13695100	13702100	14185100	13078800
P0A9Q7	239647000	257250000	1613130000	1573840000	210721000	223176000	360532000	249071000	158749000	242398000	230928000	145728000	260647000	254887000	1696650000	1460240000	1331930000	1484160000	1055730000	1567110000	1508950000	1640140000	1282670000	1654200000	798302	785613	746026	791794	861085	635421	801599	886413	949829	811331	802527	650403	4427310	4424530	4774220	4098070	4272090	3817320	4202840	5394970	4775600	4516310	5239900	33127900	37034800	40992900	53703800	37592500	44163300	56108200	44146800	47363600	46438800	49997700	240100000	250119000	263268000	312322000	266421000	329287000	298585000	306200000	245132000	298912000	314953000	314538000	31314900	44266400	31092600	41020400	48140300	27073700	46305300	51841700	48332800	29824200	217871000	205385000	181325000	201624000	226730000	232083000	250301000	233227000	265551000	265687000	44326900	45142800	263581000	261031000	134789000	22131400	21950500	130590000	18933200	22228600	21927000	19968100	25460200	23272100	23020600	18537200	15310100	21841700	119408000	112118000	121553000	96026700	128421000	122125000	123507000	129823000	135002000	127397000
P67087	10729500	10254100	9027230	9276970	9960050	9204340	8940140	8775100	8594700	9346680	9894110	9496190	9739380	9389780	8751570	9506260	9173200	8438970	9563570	9264710	9709660	9270180	8909390	9812360	125330	164014	125090	155503	136829	136921	130863	127358	152506	137187	126890	159180	128499	142434	102840	115895	134099	109024	106857	115093	122582	124311	111152	9393420	8352460	7594080	6460960	8147160	7832610	6640760	6631540	7459210	7374100	7521540	6774560	6211450	6211680	5602320	5612720	5027820	5792900	5936080	6802390	5733290	5683180	6049980	3382800	2692550	3301400	2900150	2713000	3361390	2825150	2758620	2648220	3341800	2694450	2701910	2991040	2694940	2742250	2847300	2668240	2799100	2781300	2571270	2873590	2832930	2705610	2627550	1791880	2028060	2035980	1773850	2024580	1975750	1952500	2036950	1900790	1935350	1932380	2020700	2139400	1970470	1825420	1733770	1732520	1723370	1708770	1843970	1861560	1747590	1672610	1719510
P0AEJ2	41906200	45587400	57684200	67863000	24346500	34929100	71858500	69866000	31324400	66104900	35189200	32686900	62510600	53790300	65764200	49775600	61527700	57994100	83649800	87262300	98445900	77488100	25865600	109769000	275962	313935	412458	246655	390466	232331	206383	300501	407603	172471	294777	197515	316342	502633	447396	529613	420015	300357	290221	483666	633142	395973	424300	15653100	15802500	20229700	49090900	19145100	22149400	28459100	12057500	22984200	24328800	27680500	37149400	43417100	43900700	32504100	35550000	43419700	40411700	35435900	48036800	43699500	33581600	39510000	5808330	15369000	7575880	15921300	13799000	5346550	15646700	16725200	15306300	5221110	16520500	18306800	25072700	16679400	16412900	20215600	21050400	20247200	24236600	16780000	12586500	13824400	15193900	19229700	7453000	5070870	5466520	5895240	3073820	5863020	6078310	6091510	6563430	6175990	5277870	2952810	2385430	5629180	5169540	9183170	7601830	6730590	4793840	7944730	6196180	9393720	5961490	7889510
P08142	47698100	50488600	49926600	46209300	52681900	44286700	46734400	50401900	42917500	55183600	40485900	24328500	48569200	51122000	49285100	47926800	46495100	47779300	47603800	49204800	45061400	44150300	54413600	42475200	441710	497714	480776	567399	479114	540322	608623	552747	551353	644426	543727	543393	558996	436042	520732	589325	495276	523366	583579	513787	541616	617186	561018	26759500	28427400	31676800	20796400	31945800	27775100	25726900	34781000	28290800	28413000	28995800	27952400	32935000	31466000	31518700	30785500	34220800	32377300	32264300	29181900	30003800	28506600	29171300	16451700	16792800	15923800	16098500	16185400	15979800	16480500	14985100	15371500	15265800	15146400	15261000	12767700	15277100	14978200	13472300	14922000	15050000	13727500	13775600	16336900	16771600	14396700	14505300	6001480	7482210	7113470	5664030	7279760	6432600	6743640	6807900	6803690	7000310	6600400	7332970	6863000	6958170	6003950	5392100	6287440	6447910	6333830	5974520	6015120	6164890	6297920	6507210
P76576	22792300	20170700	23905400	22839900	25612300	22499500	24704000	26146100	26686000	26748300	22615300	21533900	23018600	23454500	26025000	26704100	25327100	27977900	24269900	26671600	24834800	23073100	26774800	24638500	361274	462304	356271	368502	374021	416590	432089	450461	439045	378824	404264	435954	307095	459292	435287	457477	456518	309684	319557	409498	403161	268789	410172	11412300	9537100	10870300	7302690	11649900	10864500	9489480	12002400	11330600	10671800	9277490	9765260	8412240	10583900	8544650	9086470	11066900	10176700	9906480	11104900	7544600	9220120	8656480	6491690	6211820	7195710	6169020	6266670	6343360	6122490	5553430	5652100	6863990	6474540	6237260	6700060	6496920	6552580	6256200	6314930	6347960	6532770	6234770	6699300	5697460	6294600	6268090	2221420	2151970	2161100	2131430	2129200	2135870	2152450	2246720	2136680	2021860	2215760	2102410	2322210	2062730	2275340	2039710	2134600	2107950	2089120	2102060	2083340	2127580	2245120	2225100
P0AET8	109184000	112180000	81437300	92379800	114822000	133651000	133233000	106724000	97095500	114608000	131010000	99475200	126545000	110560000	98630200	101175000	99429400	89194600	94242800	89720300	105368000	103580000	80704300	100931000	732542	699225	640410	610411	610382	636975	476043	766141	802370	451366	582351	686627	457601	668267	586030	582982	556640	400735	469935	613680	430852	461871	543718	36910800	38789200	43573300	39434500	48872100	43085600	42852200	42206000	37883800	47521600	46434900	34545300	30329000	42901100	39714700	35238700	41222600	41090300	44166300	41044700	43647800	40956800	41322500	12737900	13233400	12479100	12923100	14111900	12337200	13765900	14998400	13780000	12620200	11245700	11044900	12605900	10877900	11644900	12677500	11607800	12027800	11852500	11770000	14132900	13387700	10900200	11220200	4481700	5532290	5258980	4356680	5583830	4890170	5593180	5357040	5928380	5482060	5320050	5538900	5372100	5492360	4587800	4834860	4829510	4554470	4622500	4846160	4759000	4860120	4868180	4787300
P0AFI5	965678	1304520	1112380	1320020	353925	712232	699420	842427	795781	758671	555711	685567	756770	1048240	1247290	1079700	1497910	1178600	1086860	978475	1400700	1229480	980930	1168370	7700.11	14209.7	8260.54	18304.9	11446.5	10803.1	17446.3	11803.6	13790.8	15861.2	10424.5	12661.6	22692	21940.5	15608.9	16831.3	17179.6	22936.7	25977.8	13589.7	19474.6	21260.7	24149.4	983794	880704	981867	1253430	956520	1215680	949403	807839	1248120	1182840	866676	1724770	1496230	1453860	1377250	1301840	1231020	1361880	1384230	1600950	1512500	1438780	1467680	708143	636114	664344	604186	740918	615265	729006	713007	759336	776045	1017050	1053260	1063480	1217210	1030970	985830	1047100	948866	1106200	1161680	687087	770594	1053340	1013090	392651	532786	385486	401806	394773	300753	392885	441100	254647	508996	371862	299753	303890	412393	429307	421223	456778	287077	283735	289009	445867	367849	369040	366893
P25888	4696930	5201350	16101100	19138900	4143970	4413740	5384770	5084790	3895580	4364320	3567550	3691300	4005120	4933360	16138400	18815900	15786400	17432900	18026500	14557900	16347600	14259600	15555100	15725700	14907.5	22758.5	16694.1	24958.5	16871.7	19761	22207.5	18144.7	23329.5	24434.6	18938.7	24137.2	99275	140511	106799	125517	138986	118275	95972.8	93641.1	112304	122355	109293	1112220	1079040	1136720	1204430	1337740	1255050	1258600	851910	1151900	958479	1063610	5249560	5599450	5242550	5675530	5621820	5443760	5255500	5714610	4840460	4514760	4181490	5506990	1693520	1817530	1861620	1962750	2008130	1776230	1819880	1999820	1886670	1710750	7569830	7826100	6462230	7385100	7842530	6714310	6945700	7213570	6207160	6052400	1908050	1815150	7066040	7963470	1896730	477429	581877	1555750	395468	609256	504371	499186	433665	537597	518596	426241	456412	542948	1764850	1578650	2009910	1699210	1827900	1612030	1798490	1485250	1646980	1732360
