rowname	CVT09_QC2_LabE_024	CVT09_QC3_LabE_025	CVT09_s3_002	CVT09_s10_003	CVT09_s13_004	CVT09_s16_005	CVT09_s28_007	CVT09_s31_008	CVT09_s36_009	CVT09_s50_011	CVT09_s59_013	CVT09_s61_014	CVT09_s73_016	CVT09_s77_017	CVT09_s84_018
P0AFI5	220011	169000	182252	155242	170564	158328	187191	147927	180403	144776	190345	209392	199341	153974	187614
P25888	495150	583209	433530	537376	537247	490073	495776	514730	410165	556682	1372430	1719570	1601000	1432370	1555520
P16659	7621340	7357740	7829240	6574280	7649300	7043970	6943510	6768970	7990670	7097690	7802530	7855930	8208810	7804430	7715300
P0ABQ0	1252520	1186510	1327820	1077680	1296820	1216320	1172570	1132990	1243130	1124040	960957	938388	952035	956906	964184
P0ADC3	506186	561355	506172	507547	565548	489809	566750	565840	542908	481248	576269	635368	625173	566011	623885
P10121	2530360	2473750	2464550	2484970	2533360	2508790	2550520	2472700	2349490	2479550	2402620	2416220	2387460	2363500	2353620
Q46871	5067020	5111120	4629420	5843910	5334630	5501610	6013060	5798960	4161520	6081600	5881350	5591280	4939040	5204760	4767810
P76541	1540730	1454740	1742510	1469360	1608310	1503690	1491170	1562230	1464790	1478220	1113420	1203130	1287990	992511	1099590
P60293	844803	820005	780036	688696	777876	741991	713056	697811	790705	726968	899300	872660	795949	844916	848809
P77674	2772880	2945790	2472880	3975350	3458210	2838360	4112780	3802370	2936920	3291790	403226	577656	508401	458975	457341
P33232	7500870	8192340	7492820	8093340	8054400	7365830	7533780	7210720	7462880	6877810	5510120	5031470	5086760	5395120	5174530
P08337	285639	201557	326132	189049	312748	240360	285457	225541	289017	280905	364171	337436	363391	340652	345615
P0A9W3	9430880	9200660	8764720	9867730	9116900	9275430	9983230	9807050	8958450	9362610	7029900	7572670	7317630	7179430	7169360
P45955	1442900	1441950	1541190	1449080	1538460	1621080	1435320	1399100	1446280	1534910	1300920	1351630	1338440	1581400	1829560
P29131	1471140	1348880	1392130	1352380	1404870	1497040	1468970	1444810	1446530	1400490	1361220	1323640	1282230	1335830	1287590
