rowname	CVT09_QC2_LabE_024	CVT09_QC3_LabE_025	CVT09_s3_002	CVT09_s10_003	CVT09_s13_004	CVT09_s16_005	CVT09_s28_007	CVT09_s31_008	CVT09_s36_009	CVT09_s50_011	CVT09_s59_013	CVT09_s61_014	CVT09_s73_016	CVT09_s77_017	CVT09_s84_018
P45470	4127320	4821420	3516770	7147490	4493550	4445010	6277150	6399440	3252100	5808470	2348150	3150480	2283400	2601570	2869140
P0A8E5	202767	169497	196918	209410	170473	190601	193861	189629	183782	183328	121507	159822	149602	152093	140693
P45464	2891420	2792470	2706530	2838130	2785870	2841210	2962770	2770030	2694630	2751410	2084050	2019780	1959190	2049740	2029070
P0A9H7	896762	872334	895308	721349	943015	893741	835922	859585	871138	901721	1388060	1141490	1138270	1196850	1229240
P75864	1422370	1311510	1540760	1248340	1501250	1392300	1352120	1310280	1593680	1366240	1588890	1679650	1735620	1644750	1649590
P0A7B5	1969000	1843750	1980000	1692400	1786720	1909640	1786240	1756980	1992480	1827710	1804220	1719030	1785910	1858640	1757050
P14294	488028	474681	440274	401513	444222	362087	353325	347171	460088	349820	479473	451763	470401	481545	490223
P17846	7230750	6771140	7514600	7235900	7217570	7342300	7208010	7069880	7730930	7347870	7485880	8597480	8908340	7806210	7846330
P77625	1359600	1474880	1303940	1482720	1339110	1435140	1371650	1456490	1387060	1387420	1672680	1765060	1615920	1675030	1709660
P0AFR2	164076	169164	204214	97551	182680	147891	165004	147467	185478	158636	NA	58780.9	36208.7	63837	57571.1
P33570	6676610	6755140	6085030	7915500	7116070	6650990	8089700	7769520	6185470	7363320	5927000	7175360	6511790	6310580	6390910
P60757	9437070	9332650	11245700	7824480	10245100	9013390	8776790	8054510	11478400	8884530	29917500	23785200	27494200	24944900	24750900
P33363	2141280	2152990	2021190	1955810	2101450	2113260	2088200	2072380	2142500	2150080	1719270	1680100	1735470	1705940	1708190
P0A8F0	54385100	56291700	51093100	57382600	49684400	50100400	53633500	51549400	51604100	51937700	48510600	52372700	49359800	46995900	48264500
P36771	880800	848025	1023170	698446	881378	887335	735757	747658	1056250	777182	630467	672507	688606	687386	717449
P69831	10631400	11460800	9826830	8066460	15692900	12091700	10635500	10538600	15141600	11256400	2462720	1950320	2469080	3030060	3510240
P24228	650221	603141	699059	708908	743638	685949	677067	650222	645162	700852	798340	807099	847602	835417	862379
P0ADF6	NA	NA	NA	NA	NA	NA	111645	NA	NA	NA	605855	551545	622280	602041	597855
P12996	809492	760081	819829	904136	678965	753807	768015	809191	872710	773861	982334	1186610	1009530	978772	1098630
P0A6P5	6010780	5599860	5870970	5611790	5805520	5717440	5943450	6009930	5529160	5983130	6408450	6810430	6681150	6300040	6240130
P0ADS6	4036400	4172800	3701080	4606780	3632520	4139310	4505160	4436090	3300090	4306390	3487190	3606230	3236620	3341290	3183170
P0AB91	21018800	20245300	21316000	20517800	20685500	20746100	18990000	20029600	21956400	20656600	39864000	38414200	40086100	39186200	37980500
P55734	1808030	1782860	1890760	1700150	1825240	1716580	1939390	1923650	1361500	1690260	1616020	2141430	1885250	1838000	2001280
P00968	12875400	12676700	12756400	12847900	13099300	12319000	11927800	11787600	14034300	11973600	17526700	19373900	19410500	16773400	16937900
P0AEX9	8027310	8071910	5666970	10604700	8052940	7234760	10044600	8970760	6137540	7507490	5284210	4944860	5121890	6862860	5953190
P36938	4976250	5015830	4986460	4374270	4914320	4826930	4656220	4612430	5100670	4658930	3684940	3738220	3700490	3785760	3624350
P03018	1968970	2042260	2368880	1515580	2115940	1989000	1591280	1550440	2245700	1610330	2168080	1953530	2078050	2134620	2120130
P0A993	7194100	7167680	7616890	5911220	7045960	6893790	6282040	6200720	8016420	6752550	4128420	3364980	3399460	3630890	3696060
P0AG07	7751380	7214900	7244410	7469230	7214300	7656560	7594700	7332910	6753760	7255370	7249420	7145610	6934540	7109060	6954030
P33219	5834630	5775140	5424870	7151970	5402010	6003740	6913720	6788360	4864300	5755350	4046680	4894690	3734360	4052200	3930740
P0A715	7213580	7055730	7774870	6756060	7422540	7082090	6860110	6739850	7720540	6593580	6617570	6488260	6672870	6716160	6584420
P0AB77	3979620	3759370	3715850	3606800	3693760	4129110	3629440	3797270	3983020	3965050	1134170	1299400	1288380	1310470	1503030
P0A9W0	409039	495783	557982	393794	450734	500206	427501	391210	481198	419051	590343	463288	404041	508954	510966
P12758	7817980	7949070	7827920	7364760	8481230	7378560	7534960	7125270	8378100	7190760	7677530	7198070	7448640	7661550	7584440
P75745	1304800	1250110	1129820	1297480	1261280	1256950	1310210	1322680	1195040	1289810	970699	1020300	997660	1053330	984178
P75960	3152710	2898450	3279520	3060910	2943800	3217710	2828030	2849700	3445410	2993960	2576160	2642270	2731330	2604160	2530270
P0A6P1	31300800	30448700	30853300	33778000	31543000	30907500	31293400	32372700	30490500	31953100	36619600	38321200	36584600	35100500	34020500
P45425	258243	263454	204657	229008	250993	251599	256114	255168	200523	239870	146553	163990	139814	133735	153064
P0AC53	4332740	4278250	4584280	3969860	4673430	4320610	4201020	4176450	4838870	4205690	4980060	5003720	5051080	5029460	5125460
P43671	1978320	1857820	1984900	1831710	2047610	1894440	1790450	1893270	1988500	2050760	2262260	2188870	2347000	2207130	2155980
P45577	4711010	4850460	4624050	5120750	4456400	4583020	4793590	4872150	4430790	4811080	5334450	5537540	5107390	5295980	5205600
P76004	2528420	2592710	2453050	2619750	2507930	2439370	2425090	2553140	2570770	2545740	1728220	1811420	1931520	1806420	1771080
P0A968	17077100	16568100	17668300	17513000	17884300	16458700	15670800	16367600	15218300	15472900	4464500	3821260	3839170	5012410	4300450
P75777	1444640	1266410	1397080	1211210	1388190	1394680	1292120	1317550	1383490	1367390	1101400	1191830	1116780	1204770	1187880
P0A759	3603390	3493610	3656270	3111840	4228110	3680150	3525260	3856460	4019800	3597110	3536610	3446270	3450670	3461610	3259310
P39385	1620170	1452410	1745100	1895280	1973670	1853440	1807760	1815020	2055820	1850650	1677910	1708360	1599140	1707710	1647720
P0A7X6	5839620	6420080	5652920	5775560	5661410	6086780	5939280	6052840	5926690	6156080	6488780	6884820	6282340	6624750	6440670
P0A7L3	17987300	16903800	24701100	9853280	24057100	18079400	12852700	12560700	25499700	13897100	32984800	30609600	32783100	33412400	33708300
P0AEN1	2036390	2050510	2455260	1359790	2472610	2151550	1658980	1427280	2593280	1435120	2123310	2233510	2275420	2329980	2567100
P64606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P75809	937010	981976	1226840	888194	1036460	996282	1072530	1034180	992918	1089530	1143920	1159160	1201190	1172740	1180430
P42604	290945	269747	196817	381143	284708	335606	341768	341243	230498	342587	209288	255300	206673	213154	187038
P75954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P06971	4450910	4295270	3689430	4581400	4445680	4317960	4675040	4752080	3581640	4666180	4073660	4418100	3990940	4207430	3987620
P0A7I0	1262530	1180510	1257990	1309020	1174510	1296100	1319970	1305720	1173680	1372900	1336760	1471860	1417130	1395960	1463600
P27302	15714800	15025200	15860800	14152200	16246300	14896400	14125300	14567900	18178000	14743800	12838600	12415100	13649300	12882200	12476900
P22731	2501370	2556820	2197450	2396770	2596090	2395100	2546000	2514930	2555120	2526720	2742210	2408530	2476740	2601520	2488020
P0A7Y8	1580360	1748720	1837300	1704800	1737960	1571000	1660360	1683990	1632740	1518180	1905410	1816250	1815120	1806620	1829090
P76440	2993910	3048330	4104430	1815940	2483030	2851570	1751280	2125340	3772520	2335410	1196460	1461630	1153450	1032410	883703
P75682	208356	207050	204042	183822	205571	195444	228016	179630	193989	197004	NA	NA	NA	247454	NA
P0AE52	6349330	6660920	5791030	7364900	6471640	6634900	6998250	7030510	5400590	6695690	5986460	6348180	5641650	5822820	5868000
P60438	44486400	44030900	43342600	45511000	44477000	43565700	42716900	44521600	42637300	45224600	55379400	58177500	55169200	53685300	51834300
P0A9P0	81125300	79910500	86359400	68108400	89263200	79203400	72567200	69646400	95087700	70944200	38725800	37518200	38965300	38572800	37177400
P0A7V0	38780600	38295200	37345300	40350800	37882500	37488900	37042200	39656000	37807600	38490200	49760900	50442400	51080500	49035500	47462600
P68679	47321100	43667900	46093900	52598500	43355700	50476900	49885100	49213400	40403900	48107800	59620100	58561000	52079100	49896900	48063700
P05793	53457900	52143800	52788200	52376500	55374500	49425000	53437500	54885700	53978000	52983700	124172000	110592000	114844000	122924000	110274000
P17315	11437400	12691900	7869470	13498600	14843300	15783500	12541500	11160000	7448400	10813700	17107700	13979200	8326090	14170700	10680100
P09394	546780	568460	519301	546469	579747	545041	524350	530867	511941	521703	404051	489024	452730	530695	556902
P45523	15845300	16280100	14381700	19066800	15483400	16797800	17224400	17742400	13529700	16209400	13061500	14314300	13313300	13283600	13574900
P12998	681130	640634	627780	622379	649263	737726	647500	687026	560018	625201	717555	799732	686328	765742	764404
P00954	6945510	6617340	6978310	6590240	6863750	6763330	6748420	6755620	7047810	6921560	7790360	7658930	7758900	7784030	7593030
P00914	864245	885986	773275	1072810	1024390	1000690	1058810	1055750	731377	948044	790410	913808	884874	827016	988409
P33590	2272820	1890490	2367900	1623850	1742510	2585880	1911790	2109660	2166030	2950470	1634780	1519580	1848200	1844510	1969670
P0AEB2	4255520	4152750	4154600	3900740	4390660	4139430	4086520	4017320	4456250	4277230	5014580	5122260	5240200	5009450	5078800
P37617	170796	236714	356553	257459	190589	496875	245768	270303	134592	177036	111544	256956	242807	108128	123112
P76235	507267	473237	484782	491669	559971	529235	543197	522975	555074	470896	434188	546360	592707	627443	584523
P0AF63	5551510	5625680	6491130	5354940	5611830	5909870	5665780	5503140	5640100	5740750	6040280	5844970	4800790	5690790	5588300
P0AFR0	423499	371429	437625	470646	468383	433534	422553	424773	433419	407912	521444	517919	516496	491882	486090
P0A944	292172	274723	284998	284755	299404	275920	265515	277206	241722	258197	340212	325341	326730	337825	335707
P10408	4149130	3982560	4300340	3395630	4420670	3736860	3656470	3662150	4482190	3796080	4330380	4190640	4476070	4317940	4371250
P28904	74227.2	68562.2	74512.8	113617	84333.9	70277.8	91614.8	78564.5	104892	56680	232953	255043	305203	300769	270974
P0A7E1	7809050	7355690	7425540	8100400	7325620	7730430	7896000	8103790	7757840	8685510	8665900	10040600	9251590	8820590	9106510
P77243	1328760	1528830	950573	1082980	1556910	1308340	1365770	1232800	1328460	1142660	1142390	979522	NA	1267890	968110
P0A9J4	254266	221992	248848	214799	271976	243380	237829	226851	250502	244341	329531	277234	278654	331559	333290
P26647	793657	767819	786360	649848	812212	743680	735351	687576	766090	707931	940703	928525	904279	930370	987234
P0A9J8	2411230	2324340	2274530	2027290	2367280	2371230	2374550	2238410	2230800	2388300	3858840	3729640	3444340	3866200	4067130
P0AB14	7018640	7045980	7327650	7974590	6702820	7578800	7692230	8207630	6378130	7793550	5093150	7007480	6350720	6391220	6549150
P10346	2460290	2599150	2475750	2580170	2714900	2355490	2615960	2474690	2681900	2401450	2060570	1903080	1882970	2034670	1892290
P27249	1304760	1287450	1468090	957434	1512360	1374160	1093770	1063890	1398890	1179240	1395420	1299090	1349430	1432100	1491390
P23917	1554300	1465300	1483570	1494340	1553430	1493700	1500870	1454460	1577900	1515410	1134510	1299680	1270180	1163850	1217900
P31475	881316	737106	918130	677445	944561	805862	752733	744793	881283	784401	1150220	1087110	1239050	1208750	1199930
P27828	895699	778305	781822	807115	895388	867905	826005	860283	828592	837651	1168000	1175450	1249860	1234880	1169330
P37691	390460	300734	266459	279254	428096	316692	261848	235053	451348	399859	624426	534384	650991	588958	510562
P27431	3146370	3115490	3413030	3050730	3177960	3261230	3035250	3116320	3361490	3158960	2936850	2997860	2919920	2935940	2843870
P76015	2419290	2256830	2209610	2268930	2405020	2189530	2342550	2229450	2287230	2108490	2750790	2486590	2610030	2817030	2668080
P0AFM2	14458500	16652100	12126100	21738800	16927500	15536800	19430400	19645600	13683600	17216600	8805590	12401900	10855800	10090100	10396200
P07648	635444	652590	690743	493858	591590	615627	509408	512652	642925	589798	651445	600323	677664	637320	667526
P0A988	2273120	2265400	2635770	1796110	2479840	2292180	1886880	1944280	2570240	2037890	2220980	2128300	2102960	2208340	2221190
P75736	3988570	3881690	4332920	3497540	4064080	4100670	3650890	3668000	4229690	3687730	3413220	3380480	3266930	3539950	3613110
P0AF96	3468950	3006060	3185780	2863240	3019100	2956870	2663590	3087570	3121160	3021560	3815800	3853740	3724990	3872720	3795400
P26648	627272	655869	639407	521600	582438	573634	568839	569262	638983	545468	554596	578380	600347	566540	618361
P39830	1200560	1262710	1051430	1263390	1326540	1273100	1351150	1345840	1236080	1341930	1139050	1302150	1187170	1168530	1153800
P02358	35078300	35353000	36892400	39111600	32367700	36728300	36018800	36161100	31254000	35414200	41700300	41942900	38678700	38845800	38886300
P77187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P30863	1279750	1273600	1371190	1204540	1505090	1256180	1131690	1269530	1333010	1122310	924523	743767	774267	861044	753979
P21369	833393	832522	803051	828068	778813	783296	825566	819177	832968	742074	776515	896685	825113	801144	782574
P42641	1488150	1360240	1373010	1435480	1380310	1362530	1389910	1450080	1569090	1442610	1607810	1704650	1646990	1584810	1658120
P31979	3813290	3728210	3816640	3784400	3973350	3589050	3734710	3719230	4204060	3360400	2531830	2448090	2707390	2527090	2377870
P0A6L2	15536400	14062600	15295600	14026700	14846100	15058700	14757100	14306200	15540600	14556600	13739900	13200800	13564400	13319400	13116600
P76339	55426.9	NA	76692.4	34877.8	59171	47624.2	65496.3	61270.4	57902.4	50412.1	105864	52904.9	74676.2	68071.2	72909
P0C018	46218000	44844500	46376400	48436300	44904800	48326500	48409800	45793600	41567800	47114200	58979600	54873000	53318100	51520200	51506400
P0A8N3	4526540	4133400	5046780	3436080	4715400	4359260	3698940	3651630	5049010	3854590	5318670	5063430	5226980	5261720	5161960
P0AD10	651292	626542	660547	598841	607049	697722	659958	648060	615140	641375	810009	738033	692549	722797	759885
P33913	341626	355309	346596	317348	370277	362865	359038	300697	339157	328492	289184	288973	276895	227456	245205
P04693	6957970	7239860	6474820	6151210	7212670	6341220	6555870	6283120	6870220	6006100	7472200	7009940	7398000	7254530	7233210
P05804	NA	30151.4	75091.6	100899	67954	112726	106030	69270.6	55457.5	51951.4	NA	NA	NA	17073.7	NA
P25553	64253600	69502900	60539500	62013400	80212600	62765900	68532900	63116700	70617000	55941300	6071480	6464360	5503820	6540930	5898980
P76403	2270360	2152110	2348490	1815560	2319440	2181940	1898070	1933270	2515130	1966310	2481320	2496980	2649900	2642970	2533780
P0A8G0	921448	994080	1021410	937320	975782	976003	959949	1033740	992515	992002	1050350	1174970	1090800	1122260	1105780
P0AE88	11831300	11471100	11533700	11842100	10747700	11948300	12149200	12149100	10392800	12149400	7898270	8182970	7847270	7690480	7724010
P77562	526322	555145	537214	520984	537152	563236	467302	538894	550028	557279	539828	464269	418384	472664	469087
P0A9A2	424344	460857	417244	443863	394010	391365	398119	415422	345443	419001	213118	293318	221331	265193	251398
P0A847	1806560	1799580	1650960	1806710	1726750	2005830	1940870	2026270	1707360	2119740	2223010	2895920	2478520	2329560	2471500
P77615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0A6R0	7558390	7115170	8007320	6683620	8249940	7742630	7049870	7022570	8556850	7384530	8357480	8659310	8987400	8528060	8442650
Q47679	520480	523373	536448	471816	539171	561084	559473	532684	541175	534860	516831	555395	525268	533291	490252
P32173	648741	648388	702169	550223	590425	609223	623504	611673	626384	620728	620067	615485	622665	584534	610852
P76062	906286	966419	811506	961307	846620	888879	947822	1068430	702747	949900	789072	854696	850162	772699	841901
P27126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0AAG8	2422130	2343350	2232280	2277130	2690150	2434980	2564900	2383040	2381730	2238340	485518	490764	202629	271726	342548
P21514	2047540	2065570	2389360	1631430	2303140	2127190	1924710	1830100	2592400	1979930	569002	930307	349356	520945	558610
P76245	344222	269499	348908	227549	368183	318580	243046	237293	322372	251470	530510	400386	472874	443104	431933
P16384	1391230	1441850	1441230	1387350	1323610	1475830	1438490	1426470	1436400	1346670	1691650	1685820	1525640	1670930	1556760
P37774	2307010	2214190	2093120	2312570	2326310	2128170	2200430	2382670	2037340	2281850	2290480	2836380	2477810	2443230	2305640
P37636	1483120	1382550	1128670	1664750	1403080	1371190	1688480	1870700	1099420	1977750	1111280	1380750	1256560	1432610	1395930
P64540	2601550	2700000	2578900	2652740	2581180	2775440	2625200	2651580	2026590	2614690	3033260	2797010	2702020	2595790	2682780
P0ABT2	32061000	32167800	34962500	35266800	27884900	34072400	38129000	40557500	27723100	40228700	19603400	25881200	26016600	22675200	24948500
P0ACP5	6515610	6208090	5598160	5782230	5664230	5699500	5807770	5305110	5835470	5926600	4184870	4279830	4508690	4550540	4345020
P0A6W0	118948	142868	181896	108274	144072	167140	104326	116848	186327	122891	251835	206192	215864	232559	238904
P0A6L4	3095790	3229510	3081180	2968440	3374570	3311400	3588490	3243620	3173460	2768860	1184780	1069640	1053700	1294440	1185110
P23909	1286370	1175090	1235240	1177630	1215930	1263600	1207750	1185190	1233560	1207140	1166670	1131560	1198090	1137160	1116160
P0A8J8	4286910	4256340	4280040	4071950	4267130	4116080	4209140	4106180	4327630	4123410	4405480	4488090	4486610	4454550	4586080
P77737	4397500	4288480	4601370	3339880	4297000	4994020	3850930	4098640	4749240	5336020	4613660	5020940	5450520	5259390	5596660
P22188	3537660	3403760	3293340	2988140	3492470	3243180	3138640	3029390	3424550	3213820	3276410	3339980	3467070	3357340	3199510
P30136	6974970	7155910	6122890	7300720	7586550	6534370	7189030	6987670	6343320	6353050	6154900	5643960	5774900	5807680	5671960
P77690	266741	285393	268558	195084	255558	261386	284726	238366	285019	241042	159220	159935	147959	173285	153339
P0AG59	5626570	6147720	5606190	6775140	6116100	5504750	5385860	6246290	6024380	6498810	9628890	8188530	9061940	8644660	7334510
P76507	184484	224904	NA	272322	353923	164248	248415	324965	303498	201843	305856	371705	331573	351255	370572
P0A7S9	37338300	33734500	38485700	39204400	37186200	33779000	36235900	36507700	39028700	37143700	50215200	46888600	49094100	46664800	45754500
P31069	987196	1024050	776039	1224190	985665	951885	1117570	1242570	903519	1090470	1306200	1446500	1174420	1225850	1268190
P27300	261431	267429	241369	360803	274363	254147	262761	287647	235079	335695	274594	355687	375799	416459	357577
P52612	671664	734730	682530	732646	638721	755110	770463	686180	531910	774613	610508	750587	484354	484902	708958
P77529	1915700	2278800	1705430	2049880	2121480	2279280	2084880	2071260	2149280	2121810	2299030	2629890	2333630	2606290	2598320
P00547	14008000	13749000	13952200	16188900	14833100	17134200	16639600	16868900	15044300	17542500	11428700	11282500	10873000	11499400	10943800
P0AES0	3120780	3127810	3485510	2574170	2973010	3030010	2706970	2703140	3667840	2911710	4864830	4754500	5650190	5211590	5253620
P0AAP3	1293080	1424040	1215220	1219560	1244340	1277360	1265070	1293420	1173650	1265000	1419340	1302110	1179180	1266250	1308080
P0A805	61978400	64217600	60690300	73066700	61381900	63636200	65885400	66930800	54205900	61710800	59563600	62714500	57066800	57402800	58159600
P08244	2369430	2206140	2344120	2130930	2250340	2210580	2133220	2102180	2430000	2126200	2349900	2382580	2344110	2231040	2362880
P26608	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P63183	318000	381958	336248	299164	405386	330532	343255	320294	400315	296125	624295	535395	543907	663278	629870
P0AEK4	14236000	12925700	15451500	11452000	15061100	13553100	12529500	11415200	15209000	12315300	14686700	13950200	14787600	14558900	13759400
P31697	1745000	2349800	1822880	2068710	1283480	2160830	1822840	1882760	1165490	2011050	976388	1162730	1372660	1385160	1425060
P77395	2480750	2404510	2659040	1888230	2674460	2593880	2332480	2131430	2437600	2419520	3016520	2864820	2876680	3105420	3081300
P18811	132294	126804	153754	118994	177699	122574	126351	122865	125630	119818	104087	105528	112581	85199.5	97929.9
P0A790	7027190	6642080	6819790	5771400	5202680	6472460	6998890	6251010	6094060	6722550	8515860	7306450	7271700	7791790	5027760
P60752	1309120	1220690	1268720	1104680	1319020	1274340	1265350	1156060	1348700	1264550	1481500	1498210	1488250	1471070	1503480
P39342	2500050	2507640	2252810	2797660	2482160	2526450	2785480	2719630	2359570	2597660	1864400	2029040	1773580	1952200	1772080
P68767	6418660	6264350	6343890	5772950	6657340	6370890	6219650	6217680	6571990	6344670	6206010	6178220	6131030	6267830	6112660
P45544	372709	369551	375346	281178	370329	328889	330082	320975	360105	299719	377197	301469	272645	347285	337161
P76594	2543640	2630640	2585730	2559780	2775730	2521220	2593870	2504350	2695000	2450150	638278	900575	825149	895279	820090
P0AF12	6264180	6281550	6537440	6225460	6331260	6045030	6128610	5956210	6075700	6078690	6999550	7195810	7095470	7025880	6907990
P0AFB8	711055	714291	762594	675006	777352	664572	701978	666127	755265	628139	910634	955445	984497	945281	901941
P27111	NA	117870	NA	NA	159752	NA	NA	NA	NA	NA	344841	321243	117508	217082	315927
P77804	4944910	4804490	4852570	4802670	4884180	4751380	4992940	4899590	4896380	4994270	4478780	4765920	4787600	4357910	4294530
P77247	3010540	2912290	3291120	2475610	3194330	2938730	2916310	2710710	3069380	2652660	2824180	2696790	2631510	2610310	2451670
P69908	5194330	5130320	4120740	6653180	4798120	4822720	6894510	6704500	3630470	6772140	2567410	3484670	3340110	3595400	3689150
P0AEC5	1618590	1461530	1593200	1137000	1669960	1397890	1500670	1560620	1761890	1555450	1545120	1505770	1664890	1378930	1504110
P08395	1390470	1377240	1268600	1356490	1331820	1371970	1402420	1323070	1414950	1429020	1353420	1440820	1436780	1356760	1406630
P0A6T1	8541280	8453750	8354530	7884270	9036600	7996250	8245710	8341840	8518180	7901570	13812400	14876400	15107100	15138200	14883900
P0A873	1062320	1033520	915472	1011760	1072690	1026850	990834	1067820	992692	1012790	1134030	1038320	1078930	1057960	1082180
P0AEA8	715901	696327	715576	679690	762909	674358	661859	699408	759298	690998	669356	673576	686838	701922	674202
P0A9F3	2863580	2820880	3015680	2461610	3221440	2837270	2708250	2505930	3139360	2685110	3211340	3328900	3468470	3433320	3392320
P36562	840398	724159	889563	685887	879892	869054	700259	823656	893907	796612	760034	816963	855920	757008	862431
P0AB89	10495500	10579900	10954700	9474470	10957600	9883270	9138520	9340310	11078900	9557980	12591300	13087700	13001500	12971700	12941900
P00811	1747310	1829950	1505650	1606320	1636610	1700880	1717140	1610960	1713090	1641210	1797680	1700600	1641280	1769010	1817350
P41409	1576180	1454980	1792120	1369880	1553510	1570040	1430730	1378720	1685380	1426060	481334	415897	504397	484930	454749
P0ABZ6	19197100	18191700	19381400	18005200	19488700	19614300	19001200	19048400	19476200	19110100	17250800	17075200	17007300	17804000	17156800
P0AF93	93220300	85084200	112679000	80556400	94120900	102104000	82185200	77491500	99198200	84033300	59669300	55556900	54415600	55900200	52239300
P37661	2152290	2059950	2154430	2375530	2122100	2097950	2282080	2231070	1937020	2095990	700710	914359	787251	822678	872381
P0ABD5	6425410	6094960	5872890	6274640	6105900	6249510	6492340	6472960	6042120	6498350	6068930	6265910	6172440	5878470	5954050
P05020	9137610	8722780	8623650	9394000	8922560	8729430	8997160	8736060	9103600	8841400	7476790	7615730	7558080	7281040	7101860
P24554	571417	541305	574911	494980	535081	570976	538577	522853	559341	521876	707068	711935	672678	718277	701070
P33940	1973680	1955680	2054790	1427860	2294580	1983920	1593290	1553860	2263300	1539410	1038760	1010740	961133	1185350	1033900
P10907	290024	338579	214750	309425	260571	270255	366035	311372	280714	311317	79165.3	148119	134082	128545	98193.7
P0A6I6	270228	288762	298720	275725	353889	293493	358614	296962	335317	247666	424680	481636	541894	538773	467646
P0A8A2	3140400	3123700	3079610	3132830	2946700	2994520	2890320	2893410	2909890	2795920	4218300	4402590	3976560	4262570	4123910
P39172	42341600	37881800	45846100	26756900	34918100	16062000	30787100	31357900	37430800	35772000	84587100	79791000	82895400	76304100	71265500
P0ABH7	127756000	124895000	139218000	109533000	141033000	117636000	114660000	111532000	140308000	104210000	38593900	32714600	37173900	41104500	33905000
P0ADG7	18330300	17036400	18083200	17908100	18692500	17164100	16497400	16690400	20467900	17357600	27349800	27604400	29429700	26149300	25115900
P76237	289908	299892	325371	313742	305947	320552	307613	317701	329860	309272	199898	157341	166381	168192	165100
P0A6X1	270062	307669	279053	231832	287207	273906	319298	356951	390347	265642	207749	258051	324069	338145	294758
P0DMC7	3967120	4313990	4350150	3532800	4286180	4060280	3731420	3483590	4138050	3656280	4809630	4727460	4466030	4911740	5116700
P32176	739024	537467	1237740	841695	712175	817608	785221	988272	715374	860699	885201	900828	505669	774432	875250
P03023	285509	292445	289895	238420	297328	273321	266102	285835	315037	249543	292788	287893	263173	285827	274914
P36655	1035470	1070810	862478	945150	1039060	995096	988008	1029400	990104	978897	962890	1131490	1058810	1035760	1098430
P30749	1024030	1099560	1033650	1137240	1104720	1127160	1174400	1137530	864054	1124810	1009640	1043800	963042	1019160	1004060
P36928	207284	223604	174874	245555	190434	226477	207364	192146	203096	199378	411379	417453	442734	381549	402479
P0A8N5	1058220	1051000	1229010	641878	1102670	1034180	768830	826581	1203890	945424	906246	864685	881642	960535	911386
P31060	1357080	1344740	1348030	1334940	1464290	1301160	1491820	1365960	1275710	1365470	2238810	1987090	2003220	2170360	1990420
P14175	6462720	6935130	5704530	8119600	8142040	6798830	8219620	7736090	6676040	7253490	9707850	11139800	10203200	9961520	10165100
P77712	690591	824307	884996	533020	859644	786902	753824	726640	707315	604250	371412	334898	372961	395518	381031
P0ACR4	2037170	2086760	1889510	2324190	1959920	1919880	2207680	2173390	2153050	2288160	2254590	2488070	2322900	2209810	2195870
P08178	8080600	8067480	8730290	8184310	9630840	7700840	8093090	7622540	9641310	7640030	9616240	9555250	10460200	9841820	9797340
P52007	1092360	978648	949559	1123480	906762	1019500	1022500	1043020	1038610	1060920	1190520	1093850	935428	966068	1066900
P65556	1870560	2047280	1655920	2078120	2021690	1958330	1984980	2098740	1948820	1925780	1973600	2023760	1988200	2053100	1909440
P0AD68	918528	886650	927353	847189	916824	864097	958044	845368	885855	934475	1083150	1148010	1031890	1057010	1097910
P0AED9	418629	430228	430633	392122	423724	403839	430665	401378	392664	418292	531820	514829	499966	553733	538498
P39384	677508	583245	828406	357267	602058	727399	459875	559271	776710	689374	537312	506088	671969	608668	616359
P0ABU5	10575600	10772200	10805300	8918720	9889170	10415700	9620300	9373830	10128000	9609470	6708740	6593240	6125110	6437400	6700960
P42593	1223850	1277000	1137780	1268380	1182760	1179300	1375590	1268000	1084890	1121060	170968	368235	342950	379791	423507
P04391	5146300	4869000	5915530	3870930	5084870	4180370	3948930	3883220	6389410	4052970	5767230	5645490	6206820	5954680	5554560
P15993	552090	496521	416638	519943	568497	493772	516610	632737	560445	571441	552181	499282	527444	491115	509479
P16676	1919350	1660870	2279820	1744180	2138110	2117270	2046110	1933180	2084020	2128310	2801440	3208550	2943450	2906830	2795180
P22256	9523080	9895960	9396920	9391100	10182300	8978970	9995570	9376850	9430690	8668150	3801860	4339090	3795550	3913760	3731920
P0ADY1	4962590	4855980	4706450	4758260	4733960	4823340	4660750	4757080	4882210	4738600	4078940	4011060	4094350	3936060	3898230
P04949	3611520	5785690	2508410	7986410	12718200	17832500	14219100	13136900	2391430	13879000	345845	228050	248191	293614	144104
P0AFX4	1976070	2113010	2223530	2115310	2211730	1970350	2097390	1805430	907344	1730100	1479460	1342210	1206230	1382020	1362190
P18776	1449610	1411400	1627720	1032280	1203600	1490100	911809	1060780	1449120	1158840	1433890	1416560	1592100	1749250	1874920
P04805	6157720	6076530	6403050	5886940	6365720	6600840	5967720	5924880	6651060	6042170	5375950	5922010	5878250	5516940	5556360
