rowname	CVT09_QC2_LabE_024	CVT09_QC3_LabE_025	CVT09_s3_002	CVT09_s10_003	CVT09_s13_004	CVT09_s16_005	CVT09_s28_007	CVT09_s31_008	CVT09_s36_009	CVT09_s50_011	CVT09_s59_013	CVT09_s61_014	CVT09_s73_016	CVT09_s77_017	CVT09_s84_018
P0A8D6	21.3759122920814	21.4074731683342	21.3956512760444	21.4620938287559	21.4691479285555	21.4490156117687	21.544180564696	21.4034011304931	21.3473596798981	21.4146697535057	21.3389539541017	21.3775229929051	21.3065857517085	21.3089866593099	21.4105559010363
P0AAX3	19.711275424339	19.654676231793	20.2021812304388	19.6176199142214	19.7179976525272	19.1713893972911	19.4084417005456	19.5320172211522	19.6539314155514	19.4252712328721	21.0188616717613	20.715393970059	20.4524584392731	20.7011118285111	20.5810736666176
P00959	23.2947256260153	23.2241707065606	23.3722550531914	22.9916332513921	23.3436861667332	23.2428013721238	23.117051401854	23.1209867448089	23.4395914860618	23.1501885677579	23.6159721638212	23.607621543587	23.6576695368615	23.654001804899	23.6230804013299
P0AEQ1	20.5876438540263	20.5769289940929	20.5798683345086	20.7036653615199	20.5911095755324	20.5484908114429	20.5094154917325	20.4923030856327	20.3850703453126	20.395682651371	19.5101363594947	19.5988757793936	19.5054239139852	19.5958729959899	19.5104570588541
P25738	23.1177965358103	23.0363580971936	22.9265319957708	23.4980793251821	22.9939165482701	23.1999685270538	23.3489755516906	23.4510475716314	22.8983866073386	23.210102031303	22.3010825138598	22.8749404609923	22.5472061507479	22.6241519914008	22.3229623716867
P64596	22.6931814972696	22.6731455738811	22.8086904614789	22.5458779363797	22.7938672024518	22.7266726060172	22.6251068217353	22.6254591461882	22.8291362268612	22.5860109844942	22.5657273376082	22.4831116564559	22.5378662838183	22.5812507011994	22.5373354865757
P00452	22.7673855487953	22.7209201461035	22.8164848834674	22.4716628122095	22.9642848075896	22.6826808933967	22.5678451611493	22.6157634251555	22.9992468634071	22.4953734484546	22.8272880382715	22.7470292337894	22.8663492420212	22.8183742627102	22.759365242155
P10100	20.4522874984803	20.3518191945757	20.4542169474967	20.3802686917976	20.4382822101927	20.4505266354315	20.3792323944473	20.5071229426329	20.4121232355196	20.5013318422177	20.4520763083571	20.4217587229277	20.4105817784637	20.4101987451305	20.3231163494915
P0AEG4	23.5100967501099	23.5644649184836	23.3687297125789	23.6618389740995	23.5016792843273	23.4760663200517	23.5658016998582	23.5843877348797	23.2849765563399	23.4778210028071	23.1801990354873	23.4235755449181	23.3109538682468	23.1804858875332	23.2227403739826
P19934	18.7421219019649	18.6675135286184	18.6191273942906	18.763316124234	18.5561318011195	18.6802805346771	18.8098152214864	18.6729639315544	18.4762794672241	18.655107909296	18.4211443865302	18.6113706705757	18.4030286720092	18.3911386800379	18.3833583578475
P0A9B2	26.4571614134967	26.4025413656968	26.3194411472529	26.2573489223814	26.3840190419997	26.3132810866922	26.3285996745303	26.3160708747143	26.2530349279167	26.3992246536026	27.5955748889275	27.5989285245816	27.5570728639082	27.6399765528078	27.5764487091187
P0A8I8	20.4523176659743	20.4736284671091	20.4107991305305	20.5223478160791	20.6015568110713	20.4132704997591	20.2960177369721	20.4624583379789	20.5850230373442	20.4547691791135	20.4486023230799	20.6658771594211	20.6489806911238	20.5868654370788	20.5671000974939
P0A8T7	24.4588266131803	24.4150619206086	24.467155005679	24.3362264996498	24.5021407912893	24.4316949974465	24.38504005531	24.3784467446473	24.56509277878	24.4432832777367	24.6498589495038	24.6676700911272	24.7190846174592	24.6153155451405	24.6033374771748
P0A794	21.8714495721018	21.7391749106087	21.885340385693	21.6842957556016	21.8504546987682	21.8358869525019	21.7891117146933	21.7226532962112	21.8840065129545	21.7767936418553	21.6849591669902	21.5875522973582	21.6100732180408	21.6223387522675	21.5352317044192
P0A7J3	27.0600991276612	27.0036529264966	27.0377074717729	27.1217883329843	26.9665765631314	27.088076425783	27.034992771547	27.1158091851165	27.0027627480263	27.0809498887855	27.386188654684	27.3665636785259	27.280916152846	27.2492344239409	27.2651801417373
P00935	22.6412319634041	22.6096923203582	22.8347823438	22.575517088627	22.739308845587	22.618322316287	22.5182852820824	22.5531750618916	22.8561302715489	22.5330511612903	22.5792008282596	22.7954039664218	22.7743422926039	22.7023933876727	22.6874602651337
P0ACF4	26.4493528961131	26.501254081476	26.4355341982384	26.7267770503136	26.4000753185055	26.4764186635178	26.5684411091196	26.4826215582775	26.1227817947463	26.4400780384051	25.9548771566217	25.818169927024	25.7810800113529	25.8826294306036	25.7470902035122
P0AG84	21.9170252809351	22.0037841545484	21.7298430941106	22.3969527790181	21.9179831454424	22.0038767789282	22.4255411902583	22.3496127558708	21.5341062146011	22.2760107812938	20.8524182575464	21.3784811423142	21.1056489543526	21.1538105303322	21.2905836394808
