"file"	"D5"	"F7"	"M8"	"batch"	"batch_code"	"condition"	"lab"	"platform"	"protocol"	"datatype"	"rep"	"date"	"pseudo_sample"
"P_ILM_L5_B1_D5_1"	1	0	0	"P_ILM_L5_B1"	"B04"	"D5"	"L05"	"ILM"	"P"	"Transcriptomics"	1	20190816	"client_03_L05_L04_D5_1_1"
"P_ILM_L5_B1_D5_2"	1	0	0	"P_ILM_L5_B1"	"B04"	"D5"	"L05"	"ILM"	"P"	"Transcriptomics"	2	20190816	"client_03_L05_L04_D5_2_1"
"P_ILM_L5_B1_D5_3"	1	0	0	"P_ILM_L5_B1"	"B04"	"D5"	"L05"	"ILM"	"P"	"Transcriptomics"	3	20190816	"client_03_L05_L04_D5_3_1"
"P_ILM_L5_B1_D6_1"	0	0	0	"P_ILM_L5_B1"	"B04"	"D6"	"L05"	"ILM"	"P"	"Transcriptomics"	1	20190816	"client_03_L05_L04_D6_1_1"
"P_ILM_L5_B1_D6_2"	0	0	0	"P_ILM_L5_B1"	"B04"	"D6"	"L05"	"ILM"	"P"	"Transcriptomics"	2	20190816	"client_03_L05_L04_D6_2_1"
"P_ILM_L5_B1_D6_3"	0	0	0	"P_ILM_L5_B1"	"B04"	"D6"	"L05"	"ILM"	"P"	"Transcriptomics"	3	20190816	"client_03_L05_L04_D6_3_1"
"P_ILM_L5_B1_F7_1"	0	1	0	"P_ILM_L5_B1"	"B04"	"F7"	"L05"	"ILM"	"P"	"Transcriptomics"	1	20190816	"client_03_L05_L04_F7_1_1"
"P_ILM_L5_B1_F7_2"	0	1	0	"P_ILM_L5_B1"	"B04"	"F7"	"L05"	"ILM"	"P"	"Transcriptomics"	2	20190816	"client_03_L05_L04_F7_2_1"
"P_ILM_L5_B1_F7_3"	0	1	0	"P_ILM_L5_B1"	"B04"	"F7"	"L05"	"ILM"	"P"	"Transcriptomics"	3	20190816	"client_03_L05_L04_F7_3_1"
"P_ILM_L5_B1_M8_1"	0	0	1	"P_ILM_L5_B1"	"B04"	"M8"	"L05"	"ILM"	"P"	"Transcriptomics"	1	20190816	"client_03_L05_L04_M8_1_1"
"P_ILM_L5_B1_M8_2"	0	0	1	"P_ILM_L5_B1"	"B04"	"M8"	"L05"	"ILM"	"P"	"Transcriptomics"	2	20190816	"client_03_L05_L04_M8_2_1"
"P_ILM_L5_B1_M8_3"	0	0	1	"P_ILM_L5_B1"	"B04"	"M8"	"L05"	"ILM"	"P"	"Transcriptomics"	3	20190816	"client_03_L05_L04_M8_3_1"
"R_ILM_L5_B2_D5_1"	1	0	0	"R_ILM_L5_B2"	"B06"	"D5"	"L05"	"ILM"	"R"	"Transcriptomics"	1	20200205	"client_03_L05_L04_D5_1_2"
"R_ILM_L5_B2_D5_2"	1	0	0	"R_ILM_L5_B2"	"B06"	"D5"	"L05"	"ILM"	"R"	"Transcriptomics"	2	20200205	"client_03_L05_L04_D5_2_2"
"R_ILM_L5_B2_D5_3"	1	0	0	"R_ILM_L5_B2"	"B06"	"D5"	"L05"	"ILM"	"R"	"Transcriptomics"	3	20200205	"client_03_L05_L04_D5_3_2"
"R_ILM_L5_B2_D6_1"	0	0	0	"R_ILM_L5_B2"	"B06"	"D6"	"L05"	"ILM"	"R"	"Transcriptomics"	1	20200205	"client_03_L05_L04_D6_1_2"
"R_ILM_L5_B2_D6_2"	0	0	0	"R_ILM_L5_B2"	"B06"	"D6"	"L05"	"ILM"	"R"	"Transcriptomics"	2	20200205	"client_03_L05_L04_D6_2_2"
"R_ILM_L5_B2_D6_3"	0	0	0	"R_ILM_L5_B2"	"B06"	"D6"	"L05"	"ILM"	"R"	"Transcriptomics"	3	20200205	"client_03_L05_L04_D6_3_2"
"R_ILM_L5_B2_F7_1"	0	1	0	"R_ILM_L5_B2"	"B06"	"F7"	"L05"	"ILM"	"R"	"Transcriptomics"	1	20200205	"client_03_L05_L04_F7_1_2"
"R_ILM_L5_B2_F7_2"	0	1	0	"R_ILM_L5_B2"	"B06"	"F7"	"L05"	"ILM"	"R"	"Transcriptomics"	2	20200205	"client_03_L05_L04_F7_2_2"
"R_ILM_L5_B2_F7_3"	0	1	0	"R_ILM_L5_B2"	"B06"	"F7"	"L05"	"ILM"	"R"	"Transcriptomics"	3	20200205	"client_03_L05_L04_F7_3_2"
"R_ILM_L5_B2_M8_1"	0	0	1	"R_ILM_L5_B2"	"B06"	"M8"	"L05"	"ILM"	"R"	"Transcriptomics"	1	20200205	"client_03_L05_L04_M8_1_2"
"R_ILM_L5_B2_M8_2"	0	0	1	"R_ILM_L5_B2"	"B06"	"M8"	"L05"	"ILM"	"R"	"Transcriptomics"	2	20200205	"client_03_L05_L04_M8_2_2"
"R_ILM_L5_B2_M8_3"	0	0	1	"R_ILM_L5_B2"	"B06"	"M8"	"L05"	"ILM"	"R"	"Transcriptomics"	3	20200205	"client_03_L05_L04_M8_3_2"
