rowname	20230516_EPL1_LiSc_SA_S610_RT_25_s2	20230516_EPL1_LiSc_SA_S610_RT_26_s9	20230516_EPL1_LiSc_SA_S610_RT_29_s24	20230516_EPL1_LiSc_SA_S610_RT_33_s44	20230516_EPL1_LiSc_SA_S610_RT_35_s51	20230516_EPL1_LiSc_SA_S610_RT_36_s56	20230516_EPL1_LiSc_SA_S610_RT_38_s68	20230516_EPL1_LiSc_SA_S610_RT_39_s72	20230516_EPL1_LiSc_SA_S610_RT_41_s81	20230516_EPL1_LiSc_SA_S610_RT_42_s89	20230516_EPL1_LiSc_SA_S610_RT_43_s92	20230516_EPL1_LiSc_SA_S610_RT_44_s96	20230516_EPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EPL1_LiSc_SA_S610_RT_48_QC4_LabD
P0AE52	22957600	24941100	24648700	26088100	24576900	26117400	23918100	25980600	26541500	26363900	26006800	24087500	25072100	24593100	25382200
P60438	201864000	212998000	197700000	193729000	283674000	297584000	288595000	301923000	286051000	297438000	279601000	282258000	203988000	300195000	299382000
P0A9P0	183482000	208645000	190598000	188188000	82266100	83839100	85510300	85680500	81678900	83885500	86428900	83072900	200308000	87970500	86392800
P0A7V0	79272500	87097600	83424700	71895700	115032000	115351000	111377000	113627000	110153000	116674000	113716000	105755000	78978000	109615000	115615000
P68679	118009000	124289000	116509000	114593000	148966000	161113000	173933000	184946000	176564000	171661000	187293000	160568000	130023000	167006000	209883000
P05793	77108400	92962600	93139700	91993700	191344000	185979000	186927000	181804000	199606000	194938000	196707000	175455000	91933000	176895000	190187000
P17315	14487200	30244000	22953700	26958000	24915800	27186300	25923800	25152500	32825500	32469400	42435000	25798800	26412200	24458800	29317400
P09394	2279640	1732430	1749560	1903590	676917	644742	639848	710635	715058	716232	659980	657228	1929170	776134	823197
P45523	33303300	36008300	37712200	38813300	35329300	38064800	33991300	39686200	38644300	35196400	38654500	35328100	38612600	35693900	37705600
P12998	1126750	1353490	1253660	1261200	1481330	1355310	1271960	1302770	1334070	1432090	1279010	1191360	1176720	1214470	1371170
P00954	11762200	11360800	11379300	11270400	14047800	13898600	14002800	13210000	13355800	13445100	13624400	13747100	11971000	13490300	14362900
P00914	634183	777134	777037	835899	708042	782717	738781	730322	684270	694416	633967	643727	679014	671311	720073
P33590	7449320	4328430	6034290	4902030	4700300	4734750	4741040	5532690	5666290	5676600	7022270	7268820	5464510	6833930	5718290
P0AEB2	12421300	12815200	12632200	12326700	15729200	15756200	15983600	14666500	14781700	15234100	14914900	15360500	13227600	16051100	15914400
P37617	1450160	1705800	1433540	1657420	1173770	990396	1283860	1136760	1222550	1016770	1307910	1299790	1520780	1200530	1225000
P76235	1073990	1614210	1579200	1726640	1338840	1204310	1361880	1329600	1300060	1259720	1084130	1067890	1477370	1242210	1308290
P0AF63	1989440	1670220	1727700	1623700	1921900	1749500	1903220	1876380	1895070	1850780	1975110	1922500	1678400	1855270	1984230
P0AFR0	669449	658166	673984	622229	727332	717258	737304	716780	708763	726037	672093	672290	648735	696797	675203
P0A944	746831	766508	754637	737928	918270	908593	831232	952482	795818	824941	882797	782679	744839	787773	803816
P10408	9843830	10786400	10801200	10380300	11626100	11574300	11127400	11376700	11866300	11448600	11353900	11354700	11143500	11383700	11664600
P28904	1936570	2250530	2082000	2172150	5644660	5501650	5978570	6888640	6303190	6233610	7246880	6995430	2003140	8066270	5906540
P0A7E1	19141500	18746000	19682500	20048400	23827800	23098300	22687600	23332800	24942000	24558100	24881800	25793600	18579900	25165800	24790200
P77243	3192380	4089590	3542640	4031760	1836420	2593150	2692720	2981950	1505460	1180810	2660200	2664730	3464840	3199830	2760190
P0A9J4	1656010	1613020	1630230	1473490	2085460	2033980	2094490	2052600	2279890	2272310	2066280	2172390	1713430	1905850	2028970
P26647	1595640	1690080	1650080	1553510	2009740	1894270	1975380	1869160	1787910	2113240	1837500	1849920	1694330	1929240	1929380
P0A9J8	9260790	10662200	11670800	10773100	16531200	16554900	16272700	16207700	16948500	16846000	17357300	17772100	10968100	16872300	15871100
P0AB14	15315300	16592400	18308600	18915200	16029000	18019500	16017400	19827800	19999900	18650500	21482400	19710600	16648300	17560300	17065700
P10346	5538760	5960350	5341970	5680020	4342570	4536270	4636840	4643260	4605750	4872380	4503540	4627970	5722470	4698400	4734250
P27249	2221060	2230610	2218830	2057150	1942920	1945320	1804490	1838290	1952870	1942000	1929310	1939880	2207000	1879950	1685580
P23917	3030160	3008470	2998680	3088230	2314410	2108260	2660780	2319800	2279150	2167920	2397420	2316010	2823980	2194310	2281640
P31475	1657500	1758870	1754400	1636240	2335220	2286210	2689660	2412910	2417380	2371900	2625330	2626190	1650750	2537040	2459540
P27828	2583990	2700210	2688660	2680490	3812380	3636340	3844420	3603230	3758630	3784440	3767860	3670230	2573560	3669600	3679410
P37691	5993780	5575990	5860740	5706400	7147670	6591520	7169470	5732350	6583910	6389920	6395460	6892500	5701270	7065270	7430230
P27431	7911340	7569440	7687040	7056290	6673120	7180140	6904550	7050200	6775630	7095400	6650680	6525220	7609110	6662780	6687020
P76015	5944550	6191460	5762850	6115280	6689980	6478520	6651070	6837950	6819840	6925190	7220630	7238150	5932300	8198780	7540960
P0AFM2	29380300	49645500	45611800	43076500	32676200	30212500	28378800	33173100	30352000	30576600	27218300	27472300	43757000	30377000	34699400
P07648	773876	714405	749966	703286	717735	692725	718551	670923	685076	678465	650641	692232	714589	699661	665591
P0A988	5604180	5057440	5065210	4892140	4558650	4456280	4825450	4577900	4970730	4731290	4856510	4843700	5184520	4675130	4662230
P75736	4750880	4698830	4623290	4598040	3270600	3566750	3428840	3400190	3547350	3510320	3519190	3463250	5066440	3728870	3596790
P0AF96	10626300	10808600	11574800	10041700	15189400	15625800	15208800	16354000	15360300	16752600	18249400	17692700	11556700	16841700	15314200
P26648	2426690	2322490	2269320	2283480	2357990	2268220	2319760	2232750	2223460	2325010	2304330	2252360	2397730	2342360	2278280
P39830	1984140	2400380	2343600	2329850	2052700	2120920	2014490	2012860	2033820	1955610	1800660	1920320	2217730	1920370	2038260
P02358	74835200	80110000	79783900	76673500	100029000	108140000	93917900	115245000	104186000	110697000	105433000	101857000	78148200	103309000	103231000
P77187	212878	235160	222877	352911	307648	217492	366898	NA	341287	156545	326767	294532	301871	299774	331892
P30863	2001310	2050640	2024130	2016430	1169040	1203490	1210430	1165750	1184380	1177420	1148150	1074780	2055740	1103730	1143740
P21369	2689560	3015870	2943440	2617640	2855430	3194580	3063160	3269390	2924340	3081260	2977180	2964420	2667340	2885450	2787310
P42641	10233900	9287400	9509780	9281860	11299900	11305700	11380500	11935800	10998800	11094800	10765300	10746400	9311270	11172700	11140400
P31979	15265000	16990800	14984500	15027100	10737000	10555900	10988900	10456800	10333200	10283600	10138100	10094100	15435500	10234500	10248900
P0A6L2	38284400	35479200	34849700	33646500	34511700	33363000	35500400	34666300	32796900	33483000	34673300	34758300	35602600	34875000	33873000
P76339	1036350	1218830	1254560	1124470	1271720	1211400	1344160	1254000	1218510	1163720	1204580	1255810	1199520	1167640	1085660
P0C018	167792000	176346000	167413000	169043000	239875000	235532000	227562000	256174000	252908000	259803000	260269000	240947000	176846000	243247000	255966000
P0A8N3	20995100	18756300	19941700	18144100	23637100	23152700	24262800	24389800	24506800	2.3e+07	24186600	24359600	20904100	24272000	22922800
P0AD10	2434020	2438820	2545110	2376380	3075090	2920760	2953720	3212450	2997720	2982820	3114640	2800820	2588550	2893270	2929680
P33913	1380270	1421620	1393870	1371970	1032580	986044	1084570	1025480	1089750	1023560	1045630	1077050	1390780	1036850	1034520
P04693	17012600	18768000	18735000	18674900	19217700	19565800	19198200	19186500	18835200	18719800	18580100	18768600	19174500	18410100	17491000
P05804	890908	1088880	972013	1011420	293970	342634	334997	338205	420384	461012	359234	487519	963653	392448	335607
P25553	97067600	145880000	118673000	127517000	9313780	8940870	9043460	9576210	9573640	9368030	6387720	5068250	121312000	5032130	9229810
P76403	4735770	4562260	4568360	4536530	5352680	5114110	5332880	5220350	4904740	5107990	5012060	5400770	4599880	5288450	5050800
P0A8G0	4352640	3850220	3829720	4048700	4396710	4250370	4427050	4375170	4515670	4213940	4470220	4537970	3991240	4570400	4548390
P0AE88	21937300	21469000	22014900	19182100	17209400	17193400	16177600	17687400	16915100	17882400	17982400	17374600	21806300	16311500	17397500
P77562	2238810	2317700	2301010	2182320	1966850	1999340	1963100	1958040	1963180	2119840	1830170	1879650	2094970	1953740	1978000
P0A9A2	1602920	1733640	1469080	1355960	893432	824519	996443	937030	861972	784764	969393	945917	1731780	1242000	1213090
P0A847	7742360	7821190	7996950	8185890	10547700	10401200	10729500	10060600	10358600	10694200	10604200	11047200	7359550	10708400	11403700
P77615	398150	477083	385758	409256	352306	395281	363743	293102	343044	392532	368089	348934	384052	323470	341625
P0A6R0	18812700	18664000	18718800	18413700	20169800	19524200	19431700	20061000	20862000	20178900	20662000	20531200	18999800	19913600	20066400
Q47679	1032070	1035140	998097	940715	968256	995049	966757	961956	1013870	980122	923126	918424	996602	913080	979832
P32173	3036710	3031120	3108130	3074090	2674990	2887790	2759680	2680740	2883380	2705330	2545870	2559860	3147700	2741470	2828950
P76062	3070610	3219380	3483630	2959250	3344850	3416010	3351610	3440690	3471110	3735790	3772670	3241350	3469500	3216880	3463740
P27126	509738	579684	583864	469830	812503	748056	845613	746060	804486	852226	777624	878905	509220	732752	687414
P0AAG8	28426400	32547900	28984000	30578700	1590730	1571160	1718110	1843720	1773830	2102120	1349050	969506	28449200	988886	2127720
P21514	3985770	4326630	3770440	3598020	1643080	1605050	1454260	1440130	1461090	1516740	1533220	1596670	3793280	1282930	1328460
P76245	905587	819696	845182	829723	1146980	1060100	1026340	1094150	1012040	1113810	1013540	977485	936161	1057020	1094280
P16384	1140350	1276190	1217900	1395490	1450120	1434830	1399550	1391720	1476410	1402440	1397100	1398540	1244350	1377640	1396520
P37774	6715080	6801140	6152290	6230260	7070360	6573100	6957180	6899340	6620550	6416640	7027730	7021620	6356020	7167700	6996180
P37636	6170930	6196920	9376610	9527790	5525670	5679230	4838590	6036810	7331710	6386370	6628360	7211990	7256590	6366390	6795590
P64540	9250060	11239500	10285200	10209000	13047000	12718300	11038200	12099500	10693000	11100900	13116600	11004700	10716800	11627600	12976200
P0ABT2	76944500	99297300	144527000	131008000	86654400	86549100	82360800	89678300	90969800	95319400	73835800	75975100	114346000	72865600	92383200
P0ACP5	2939690	2847000	2832060	2859440	2136660	2189220	2230600	2164750	2171630	2041830	2250740	2243610	2931010	2226490	2192140
P0A6W0	837332	850775	837879	807853	1070910	1023420	1095120	1116940	1087610	1185190	1087180	1054370	924844	969174	1071600
P0A6L4	6217750	7104020	7138340	7866300	2408000	2203710	2388120	2524900	2612470	2748310	2541970	2398900	7320110	2445820	2555900
P23909	3556680	3476180	3265490	3218980	3121890	3092610	3178640	3159860	3111640	3125320	3154770	3245990	3366270	3341790	3160970
P0A8J8	11359600	11903800	11494400	11191800	12437000	12490600	12133000	12427700	12370900	12527800	12139100	12162300	11989000	12443800	12711400
P77737	24817500	18719400	23581200	21417000	24551900	25283000	27530600	27294400	27879000	27494200	31623100	33550300	21580200	37087400	28225200
P22188	4893460	4674890	4584080	4611500	4823210	4796000	4840880	4836740	4965780	4942330	4998110	4842300	4752240	4897740	4627630
P30136	7214160	12537800	11452800	11119300	9063220	8978760	9538850	8522100	8965650	8977760	8554550	8628680	11161600	8546480	8700850
P77690	886051	860800	808617	822021	558782	587747	568794	653829	610896	618953	671848	603369	858665	642925	570763
P0AG59	22291100	25812300	24164500	22014800	34996200	35991900	36698400	36149600	38846100	39233400	37691300	34177800	24220100	34956400	38831000
P76507	6330920	7905280	8450440	7178880	11127800	9941780	9319080	9930400	8725550	9727500	7905840	9375730	6126940	8515260	8676700
P0A7S9	112350000	121288000	110602000	93413400	167851000	178549000	159061000	171554000	163615000	177067000	170659000	167199000	108008000	165933000	169579000
P31069	1977230	2219180	2453810	2781920	2804870	2906990	2579280	2929430	2971160	2873980	3130450	3012610	2405140	2829880	2953420
P27300	701383	722559	681367	677004	826493	842728	837459	867249	863512	806092	773730	801691	672114	807563	823828
P52612	1009600	1864670	1507550	1518980	792842	1018760	684820	1046610	813635	893772	801542	NA	1456900	1016150	758209
P77529	12570300	13046600	13449500	11488000	16798100	14960400	13954300	13651300	15237900	14766100	12227600	16107900	11429300	15861000	15763800
P00547	25156800	23548500	25007700	22633200	17755900	17326800	17889600	17654100	17352900	18909400	18777700	17730500	21182000	17388700	18601000
P0AES0	3028720	2377180	2470880	2279380	4276980	4363500	4325440	4398740	4239620	4402600	4456130	4517340	2425160	4671150	3802940
P0AAP3	2803900	2771960	2833280	2796220	2797710	2895240	2804010	3005930	3123200	2968830	3298910	2944970	2563780	2739130	2945240
P0A805	142747000	161048000	170262000	180604000	179876000	187890000	1.65e+08	191950000	181611000	164447000	188441000	170811000	175664000	172251000	170651000
P08244	13629000	13214300	12684100	12182100	13328300	13298200	13466600	13144200	12951600	13027000	12859400	13091900	12200200	13504300	12718300
P26608	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P63183	356234	518327	518245	492873	596811	601854	593825	597524	627112	655905	569300	680863	469042	643208	561343
P0AEK4	77647900	79628000	77446400	76305400	77590000	76218500	78921200	78066400	77897600	80207800	76596100	74685100	82529800	73637100	77591800
P31697	2023650	3778610	7945010	6366590	3159870	4500530	4012470	4954860	3562670	3331880	2320270	2623650	6763520	2991660	3796990
P77395	10557400	11357800	11527800	11113600	12656900	13723400	10058300	11848700	11499000	11309800	12027200	11071000	10368800	11225300	10579300
P18811	1291880	1295310	1211700	1207880	1043090	1101070	1051790	1055310	1030250	1005390	1033530	979754	1171750	1089060	1129400
P0A790	15586600	12145700	13390000	13979600	16813000	16618000	16597400	15519900	16139400	16004800	15462700	16357200	12796600	18672800	16903700
P60752	6711490	6794470	6640120	6689290	7382810	7112260	7038460	7131860	7209910	6975190	7090780	7162120	6249910	7111340	7248310
P39342	3492110	3776390	3687460	4097040	2468950	2451920	2474590	2335970	2490610	2394300	2390890	2253920	3658650	2358160	2491070
P68767	13945500	14420200	14532400	14100100	13502200	13218300	13284900	13036900	13487200	13247500	13058000	13071100	13683100	13095500	12672200
P45544	1005590	1018150	952975	927318	788415	832823	851903	808198	833141	843750	856051	807080	1022060	835699	860870
P76594	3576910	3841080	3444460	3466560	754235	783827	814161	777454	805133	769788	750575	766932	3342820	838739	855944
P0AF12	17082100	18029200	17102800	18524000	18494700	19411100	17741200	19443600	19782200	18437800	19691700	19588000	18657100	19045100	19140500
P0AFB8	4571490	5052310	4780420	4701370	5761480	5772720	6050100	6149530	6023040	6177640	5777970	5593790	4838450	6098810	6411570
P27111	204582	246007	240060	230088	340496	309216	311603	332699	379802	344717	320543	341605	290412	331550	334211
P77804	12655900	14142800	13878600	14646200	12538600	12973300	12479300	12609500	12910700	12599400	12418200	12400500	14231300	12885200	13471100
P77247	9321760	9752860	9384670	8561050	7832380	7398740	7901160	7734460	7848930	7928810	7751630	7577840	9340950	7289110	7058190
P69908	23118500	26245000	38232100	46166800	14636600	15354900	13018900	20138800	22070300	22639900	18226600	19814300	27017500	17129700	20454500
P0AEC5	830785	865347	882446	880251	814851	793311	788522	775892	786842	764185	789926	787342	857342	802290	748936
P08395	2617330	2594510	2604360	2667310	2587090	2676450	2558490	2471570	2562800	2535730	2513110	2491500	2637390	2583470	2685290
P0A6T1	23365000	27612900	27039000	27924600	46240600	44865500	44814900	46999200	52189900	48091700	51745000	51449700	28456200	51189400	49953100
P0A873	4191230	4244360	4196750	3895710	4379220	4459550	4446670	4524400	4131540	4708650	4425520	4439750	4032780	4525040	4527480
P0AEA8	2258420	2052370	1993940	2084640	1921380	1897790	1997430	1930820	1941530	1880950	1842800	1903630	2072360	1968980	1930500
P0A9F3	7685970	8490960	7961930	7928520	8889700	8826510	8571940	8638540	9125100	8679710	8551660	8873430	8376090	9115200	8486280
P36562	849978	718951	730454	770099	719224	701544	699783	686712	713673	722091	720888	702718	736843	693262	724943
P0AB89	25782600	25851900	25523800	25790600	29843300	29289000	30581000	29521300	29812200	30561300	29942400	29971700	26252100	29854200	29333200
P00811	2008040	1996070	1974570	1907480	1943740	1985330	2062240	1886780	1924490	1997860	1906090	1864400	1943860	1989020	1977500
P41409	7051420	7017260	6612990	6698360	2104150	2109000	2268220	2143670	2207280	2187400	2206920	2192910	7365650	2392630	2381010
P0ABZ6	21674700	20377500	20886300	21278000	18881200	19114100	18098800	19505500	19175000	18972700	19309100	18754300	20952000	19237500	18892300
P0AF93	147026000	122615000	128230000	138285000	83971200	84516100	68638200	68012100	67040000	64263800	76056500	68920800	110589000	65190500	57814800
P37661	1986460	2153730	2058780	2080920	899137	879802	914228	904665	984802	974599	924370	968905	2031970	969095	1011460
P0ABD5	24278100	24691100	23604200	22366600	24088900	25158200	24491600	23706800	22432600	24561400	23538100	23606100	23946900	24418600	24537200
P05020	36503700	38546000	36616300	35169700	32655400	32608500	32089100	31287000	30670700	32257500	31724200	31788100	35755800	32738100	32315200
P24554	1842810	1556200	1672570	1635820	2210820	2114580	2167650	2110710	2170460	2140400	2131160	2166560	1620390	2114350	2043420
P33940	6412670	6911480	5782260	5649940	3324220	2796110	3355290	3348530	3414280	3826490	4662240	4508230	6419360	4367480	3550360
P10907	1729600	1908300	1896010	2071740	1209360	1049840	1126490	1163260	1213530	1061250	1062560	1052010	1819980	941842	1112330
P0A6I6	778547	867165	841213	776859	1232850	1259360	1242310	1173550	1275070	1161420	1173270	1125600	771998	1071520	1137200
P0A8A2	7371270	8931040	8886960	7826980	12776900	13451300	11616800	13728100	13503700	13562900	13969000	12936400	8963880	13398400	13088300
P39172	77140200	55146800	101875000	74196500	259860000	276862000	166739000	252713000	254298000	259574000	252851000	245951000	116313000	258846000	268368000
P0ABH7	446970000	547819000	474211000	451411000	139437000	141064000	143692000	146945000	150608000	155432000	150343000	138142000	511819000	138449000	135399000
P0ADG7	47841200	46115500	43315900	42876100	71423600	72517300	73184500	71753100	70130500	69268000	75468200	72582900	45588400	74329000	72999300
P76237	878202	896670	947500	904651	584605	585676	530956	502790	513788	502712	532827	576661	909973	538699	487656
P0A6X1	1482180	1197640	1213430	1195410	1281490	1195230	1314710	1330460	1320680	1216540	1272890	1403250	1363360	1327690	1344190
P0DMC7	9269890	9606140	9870400	9543400	11569000	11649400	10698800	11663800	11534300	11463300	11514000	10946300	10039800	11178700	10921800
P32176	1085750	1150900	1115290	1436010	889309	735960	706838	813095	753325	674025	666265	780410	1150340	668854	714601
P03023	1307950	1328190	1270060	1298420	1225060	1250270	1206700	1180490	1272040	1192800	1209290	1162400	1306030	1156000	1175910
P36655	3095690	2961830	3090080	3058690	2849830	2722430	2848710	2609830	2681120	2680250	2556180	2828290	2770360	2855930	2866960
P30749	4895560	4423940	4811600	4981450	4180460	4423800	3858000	4464220	4223660	4340500	4713150	4469900	4877530	4306640	4042280
P36928	466423	531369	492749	500905	984910	983171	839985	918151	1015310	963493	915856	892514	506628	939547	999116
P0A8N5	3582440	2622290	2953190	2651540	2658600	2673710	2719260	2723510	2892700	2783680	2884850	2857500	3235860	2830510	2726430
P31060	1994140	2413540	2466410	2566600	3770690	3743600	3538780	3437610	3733790	3612600	3418620	3257400	2315160	3213660	3298950
P14175	38726600	67739600	64486600	64456900	83299100	78933400	72713500	79105200	76933300	76926000	69490100	70612300	57877300	69291700	78935400
P77712	3756080	4213740	4221610	4471130	1326130	1340760	1542660	1417850	1307690	1407540	1137800	1422040	4180190	1105790	1283070
P0ACR4	1092780	1168100	1166510	1180590	1291190	1263950	1301240	1268200	1285320	1307210	1276910	1153930	1232770	1324510	1380310
P08178	21371700	24836800	23857500	22575800	25237700	23586900	24718000	23701400	24038300	24002000	23951500	24158100	24064100	24183400	23450600
P52007	3602570	3533210	3507950	3382330	3509770	3808010	3384530	3699440	3584450	3886690	3693010	3709660	3378300	3630610	3684760
P65556	1772730	2064890	1947740	2010860	2138600	2234630	2016100	2192300	2037330	2249070	2076100	2095960	1904390	2112910	2176930
P0AD68	2356010	2553670	2403610	2493080	2946020	2960570	2849160	2871770	3043050	2777290	2932190	2990700	2556550	3020290	2882770
P0AED9	3651820	3625750	3617380	3442640	4384040	4319650	4473690	4229680	4380800	4304070	4470380	4383590	3549030	4309780	4380080
P39384	2289720	1139830	1493650	1244020	1777530	1691770	1837320	1891050	2056380	1903620	2445440	2581540	1635440	2606480	2191260
P0ABU5	14448200	14357900	14512500	13397600	10394000	10719300	10504300	10886300	10290800	10828900	11998600	11385900	14969700	11302600	11073900
P42593	3894540	4838780	4193570	4618240	797651	782790	934151	815464	803613	775372	361232	440483	4241960	389081	926297
P04391	13700600	12261700	11837500	10880700	14055700	15100000	14675500	15620600	15351500	15633400	16824100	16879800	13796700	17719800	14577900
