"rowname"	"20230516_EXPL1_LiSc_SA_S610_RT_25_s2"	"20230516_EXPL1_LiSc_SA_S610_RT_26_s9"	"20230516_EXPL1_LiSc_SA_S610_RT_29_s24"	"20230516_EXPL1_LiSc_SA_S610_RT_33_s44"	"20230516_EXPL1_LiSc_SA_S610_RT_35_s51"	"20230516_EXPL1_LiSc_SA_S610_RT_36_s56"	"20230516_EXPL1_LiSc_SA_S610_RT_38_s68"	"20230516_EXPL1_LiSc_SA_S610_RT_39_s72"	"20230516_EXPL1_LiSc_SA_S610_RT_41_s81"	"20230516_EXPL1_LiSc_SA_S610_RT_42_s89"	"20230516_EXPL1_LiSc_SA_S610_RT_43_s92"	"20230516_EXPL1_LiSc_SA_S610_RT_44_s96"	"20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD"	"20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD"	"20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD"
"P0A8D6"	22.2598621978373	22.3383392299333	22.3865708794949	22.2755505126385	22.110850298848	22.164465663177	22.1234849022473	22.2241854296964	22.1047855686745	22.1521121263255	22.1249271540027	22.0852571882742	22.3755225926719	22.0983611273321	22.1756031517179
"P0AAX3"	20.175980739271	19.8973831387227	20.2834003990482	20.3840902069969	21.1441565837181	21.0925597291292	20.6559394418932	21.0130240986218	20.9594586464127	21.0185696742797	20.9382974521036	20.7760345706903	20.3244794359911	20.9715631995802	21.0803335091594
"P00959"	24.2472507206621	24.0916093875926	24.133539542663	24.1091515536584	24.4780988377615	24.4893829936912	24.4810590861364	24.4853959682389	24.4784445132208	24.4603024010131	24.5084776313922	24.5287719565111	24.1541644993567	24.4743713967516	24.4602023952914
"P0AEQ1"	21.1578366299197	21.4735739705424	21.2449421389629	21.1866704290228	20.4732816356388	20.4442101236481	20.4447763066924	20.5977161472175	20.5981706596091	20.5483026542804	20.4545884720347	20.2723359057952	21.3860708748243	20.2695992736126	20.6128289113057
"P25738"	23.7351159394359	23.9528794986472	24.1264987336961	24.396844365271	23.3400358850456	23.5067356549447	23.1862910947735	23.4856907718242	23.4172529976094	23.2402920241944	23.3256710811359	23.1318170919656	23.925396882783	23.1522514150207	23.3824630779075
"P64596"	23.704246039749	23.6053171890985	23.7161248987294	23.7763358372055	23.3423709586445	23.2428420675919	23.3570413019407	23.3507298837589	23.3280980030408	23.2510015307642	23.2956226588392	23.3584773603634	23.7042249282715	23.2682375765992	23.3871390954543
"P00452"	23.4611396768981	23.6785262117378	23.5938880214316	23.5518499876126	23.4568607215201	23.3981043353627	23.4962393935886	23.3845197581705	23.3946940006541	23.3835708854399	23.3969945749135	23.40621227303	23.5752169960537	23.4021054344168	23.3516466853035
"P10100"	22.6125567282489	22.4909159834329	22.5628777720247	22.5970022737556	22.4676836533553	22.4340519368707	22.3464401491328	22.4598998357742	22.3429731202252	22.419726202214	22.3947986518368	22.4568256367068	22.5858712001206	22.4760935215598	22.5173219310182
"P0AEG4"	25.0282816157636	25.18531585383	25.2670982735892	25.2110918664274	25.2960289432844	25.3854350923577	25.1487954073272	25.3927795071009	25.3213797099859	25.3040854257204	25.384911644976	25.320581186151	25.202919538893	25.3207602040652	25.3126927104597
"P19934"	20.6162975563383	20.5392610650397	20.5484531819735	20.5577179697473	20.4125160953582	20.4846832774394	20.4415785020603	20.5190007724406	20.4250109604706	20.48957164421	20.5166657152991	20.3691904915787	20.4895912428494	20.4803405508103	20.482351056159
"P0A9B2"	28.2491846837103	28.4584629060814	28.4784784590228	28.406292571207	29.6433766224463	29.5662471395291	29.6052097887283	29.640843694338	29.7381246354947	29.6630030113361	29.7527541943563	29.7253409281741	28.5611911162522	29.668817602679	29.7544341228825
"P0A8I8"	20.8593588549912	20.771447557074	20.6749801301116	20.5697814547476	20.787606089985	20.7299177563882	20.7935953718949	20.8377895990824	20.7408265930648	20.6351654423327	20.736547271717	20.8139768559863	20.7062902779712	20.7948092842183	20.8185946592154
"P0A8T7"	25.592557065326	25.6381875263565	25.6492751481713	25.6386902239212	25.8095532484115	25.7636484219958	25.8197419324493	25.7048871537153	25.7501354091018	25.7168680137802	25.728353188866	25.7775202088314	25.6718350577047	25.8206356273498	25.8515878839269
"P0A794"	23.0737565174189	23.038864748999	23.0115507705085	22.8452507508892	22.8653356939378	22.8385284126327	22.8978107504266	22.7892789093749	22.914937994096	22.865280938296	22.9236354187516	22.8984382755672	23.05597446217	22.8844630747009	22.8065936734547
"P0A7J3"	27.8045942703706	27.8194045221814	27.8240931719277	27.6317516313845	28.2227991398236	28.3769393878391	28.2015835067617	28.3897167662766	28.1412217538737	28.3225414266119	28.3312395626622	28.2259917381686	27.8440447926458	28.1797807971142	28.2742833051335
"P00935"	23.4215224706555	23.3732512290596	23.2190068800344	23.3176207290305	23.3052028616815	23.2601465658286	23.2268801761323	23.3442146239793	23.3234050135884	23.2962810623008	23.3542321609792	23.391105107422	23.2998759644697	23.4172529976094	23.2558895524312
"P0ACF4"	27.2168690561032	27.1935506263085	27.2531539834444	27.2736432373233	26.7971533880326	26.8348479113803	26.812058196012	26.9240424499962	27.0354857800762	26.8261680933469	27.0360100723526	26.8972605185489	27.2240098465144	26.8444100144674	26.903514412412
"P0AG84"	23.8479496678801	24.2097838319506	24.3673238269737	24.5668992590579	23.4835889806171	23.4185017109205	23.4164156257573	23.3707395472637	23.5130644403256	23.5092028345915	23.3203780427675	23.2773623266325	24.1218357502837	23.1934664052301	23.4681561625951
"P0A9M8"	25.0776453593998	25.1791771359791	25.1774064589315	25.165475797832	24.4200707245626	24.378744389608	24.4312295245278	24.5076552935036	24.6021086900945	24.5133295463702	24.7527634440994	24.8226377337839	25.2316739854643	24.8059819456733	24.6970025356754
"P0A9Q7"	24.7990450095828	25.2654609596838	25.3713180202722	25.4001486282084	27.5075312974976	27.4403537313887	27.4199791384967	27.5726882583423	27.7116686538041	27.6271448755462	27.7870911583558	27.7975986986437	25.289957797844	27.7882368611551	27.7740446323181
"P67087"	21.7362871350861	21.4403774955588	21.419368737597	21.3987019466861	21.4183035337518	21.4267059867052	21.438124814109	21.4072397523302	21.4164130484784	21.4390435616746	21.435390491923	21.342636808707	21.5206369028753	21.3984357923043	21.3882748564254
"P0AEJ2"	21.5525537184195	22.870537432744	22.6815639966392	22.8472825813382	22.9808543035007	23.1373207727917	22.9659991231511	22.9895992686836	23.3410952821352	23.2594139890397	23.5597705714623	23.0133325566945	22.7276720512921	22.8573838426828	23.2317831002664
"P08142"	23.9281742460843	23.9080696853271	23.9029833670558	23.823580655869	23.8575300217219	23.8429341899145	23.8907452060491	23.8018050436485	23.822773863692	23.8076630820541	23.6935239656971	23.7280313499062	23.9595010979727	23.7735718698403	23.8179138569667
"P76576"	22.5338829118331	22.405913751728	22.4192915753379	22.340948642776	22.5154486428037	22.4623734604954	22.5039998971091	22.5201452991532	22.4745248878526	22.4805870869619	22.518263667792	22.4686956286473	22.3872732249036	22.461646804752	22.5008652148858
"P0AET8"	23.6232925500506	23.7181231133614	23.7680582954348	23.7101346206098	23.4329822362	23.4164413982937	23.4079502568914	23.4913784990322	23.5608435801034	23.5692715456588	23.5274302334784	23.5484790523391	23.73614878936	23.4217150705304	23.4263425687537
"P0AFI5"	19.0218664891145	19.0545539762161	19.1159047294006	18.9290445317406	19.5665037694041	19.5234088085944	19.6819641208594	19.4907529664078	19.4993301129956	19.4533048004989	19.5732274201508	19.682862602092	19.1656578076366	19.6069906971219	19.5486620131372
"P25888"	19.8266912303751	19.8546675351466	19.8945824371643	19.8751448827133	21.8239207342417	21.8645443673494	21.8144893718738	21.8819175315919	21.7272482546869	21.7591152849545	21.5747320992276	21.5023957712879	19.866794449567	21.7315634927553	21.9231620665295
"P16659"	23.9288880780532	23.8640361030259	23.8466974320787	23.8567514952093	23.9891314799669	23.9822182725504	23.9646567386564	23.9695481296627	23.9652206218142	23.9422857586695	23.9651325295975	23.9823575582386	23.9093705165736	24.0238352162513	24.0299460153038
"P0ABQ0"	21.9166536185368	21.9138594431532	21.8132840833656	21.8760072609708	21.5388254887207	21.4498367976239	21.5367262508615	21.4429303381275	21.5026677002907	21.5265087908465	21.4921319105908	21.4329975232238	21.9000132682964	21.535787002421	21.5484814041675
"P0ADC3"	20.6133146641876	20.7296688671019	20.7040032391035	20.6905112861965	20.8232754887505	20.8166899461465	20.8664926289412	20.828677306657	20.8287935027885	20.7786514795572	20.756230532707	20.82628934147	20.6333305217403	20.787606089985	20.8037590536352
"P10121"	25.2379511258513	25.1935506263085	25.1769881707211	25.1320179936004	25.2186270867465	25.2036440289978	25.1791049834737	25.2429699601618	25.166560310573	25.1890205303716	25.1780906690602	25.1956470483681	25.2335439064133	25.2133076148499	25.2265568370156
