rowname	Ref8537_QC1_20230414_1	Ref8537_QC1_20230414_2	Ref8537_QC2_20230414_1	Ref8537_QC2_20230414_2	Ref8537_QC3_20230414_1	Ref8537_QC3_20230414_2	Ref8537_QC4_20230414_1	Ref8537_QC4_20230414_2	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414
A5A614	19.597216764965232	19.635269341860393	19.29085319603955	19.22962011095507	19.171996708398208	18.826061151699705	18.47446194698894	18.69793547241294	19.733266006513123	19.802674452555607	19.43120223896184	18.86515751565141	19.531032167289972	19.297367524074783	19.933153861644755	20.724881355922445	19.516255569097048	18.86130817944067	18.970576331226642	19.37412124702014	18.892730500295546	18.992881082244654	19.10354961918901	18.76246114598649	19.144779692801357	19.086911446006926	18.670320970934174	18.396722021050156
O32583	20.139397865111768	20.3215091416031	20.41263107379612	20.328264381820937	19.988188186113284	19.886440407498263	19.057256605692892	20.19234145777557	20.263071528141282	19.808808842864543	20.40863688036316	20.583554234325213	19.090882651940795	20.211400890042455	20.580119183066884	20.680521001601605	20.61396362034975	20.5204810938638	19.867207473479553	20.527434763307205	19.91899790952378	20.523647642014673	20.67949699876445	20.344715321403704	19.646943245630283	20.314639029369978	20.14520343922007	20.467521612334643
P00350	26.463989704882042	26.544298251821587	26.494510395181077	26.533335245269207	26.670131083460014	26.666737089670235	26.707914227131845	26.730103107303073	26.665000215413706	26.58467220089619	26.495443956851044	26.51853267235075	26.372371391485146	26.53840699678504	26.542286981453355	25.858273254627967	26.663450467727394	26.53510683854443	26.669087981443653	26.737741292077366	26.89897212815334	26.662130024404235	26.895271081559198	26.80005088135797	26.724305783278083	26.762097975789395	26.776246467881272	26.77698033597278
P00363	24.184708645187197	24.191333352386756	24.266510210816413	24.2585052649562	24.262118497612793	24.310225529825352	24.115835277048614	24.113553714102064	24.169824676368567	24.11678683910106	23.516248087981065	23.97699919264343	24.289192952905335	23.975943315950026	23.792100544345658	23.096976551994253	23.87170117832882	24.128616958260338	24.118877392934095	23.849444069025555	23.92757995635383	24.02743105243929	23.72406949173681	23.937093360453094	23.864364586690648	24.135403428240927	23.962609549571756	23.842930688506087
P00370	25.57338826531586	25.588576497186583	25.497630716730928	25.473595223016233	26.18038596731906	26.135361096829214	26.029373077249733	25.978250003732096	25.478536167775534	25.431608956964283	25.31534792983577	25.39393770539342	25.48050104648719	25.188548276284305	25.22063191687849	24.293246119784897	25.32000003139533	25.20545269809818	26.21191573884874	26.080506371	26.077196948759042	25.445185600023233	25.937674979078434	26.042727167733375	26.212359170611762	26.440685829703153	25.525232641832122	26.11004743956592
P00393	23.93274656276183	23.945271738368305	23.9815598630827	23.97986808097029	23.86228543826124	23.86701190010584	23.965350714180058	24.001743683882548	23.709352277497484	23.947459328221008	24.033663513905775	23.592561206573457	23.005372177835365	23.76587224213975	23.900401489426844	22.906000129916354	24.00611938182766	23.700813886520436	23.830773001039976	23.977953383054718	23.745587829246652	23.456614444908077	23.89753474449886	23.73815773732449	24.001386824469098	24.067467102964365	23.633206181202148	23.95678250300947
P00448	26.248894878148846	26.27358468753115	26.164053510842322	26.24775338701779	25.604514316808597	25.63959041663178	25.51863496057159	25.61316437387423	26.15516100052242	25.882899967587115	26.86738038023958	26.641254890814036	26.195005238220993	26.55493354347891	26.32435866777148	26.962297842995437	26.642091417277854	26.749865541559224	25.733630058712603	25.523911276317122	25.86902224491823	25.71729059396051	25.91510576902481	26.07924894448096	25.792977866920978	25.597197227519022	26.01394364875346	25.894679616026032
P00452	24.21710397412586	24.2457032742917	24.277291379527878	24.26324663535409	23.92326691140335	23.93294346844695	24.063715846472586	24.02714758252091	24.013803840644417	24.25261304218449	24.3753901025661	23.867041744840456	23.361363626609286	24.04386771784656	24.202830182679268	23.18348061977277	24.31803002223733	23.95838982156053	23.981079622729897	24.057385565265125	24.096926448682062	23.510910991631413	24.210904517983902	23.930164534000397	24.129890158526223	24.09870592909096	23.885335853014293	24.093671369134828
P00490	23.245085613702607	23.277781750563594	23.37376225199356	23.367670212327393	23.97361280081069	23.988107440863917	24.098311187826916	24.10930793871917	23.119082868261252	23.188293540758625	23.5818503966843	23.226367379462964	22.69126470269533	23.261274112404294	23.158889413542152	22.363178005374678	23.36537701432531	23.227454306126194	24.02257768546989	23.876702298608887	23.969738782321667	23.675426394167392	23.842896116743056	24.07619889835717	24.00375512172578	24.017326687488076	23.963637622626504	24.065949434031108
P00509	26.306694585928188	26.409492017816945	26.259188087167235	26.27059698791507	25.782571217782365	25.77697111040327	25.91525720090915	25.920870247010505	26.008509682232607	26.418405835804933	26.350193465343708	26.05508318318524	25.694263150455903	26.096867937028854	26.338084357436045	25.75978206222635	26.378094627260737	26.10761608080879	25.829773738954962	26.031599879099712	26.059093674999755	25.82578095625947	26.165065796602853	25.91767278330252	26.163290351049238	26.003547803132008	25.88558373595176	26.095804549032728
