"MSP"	"SRS2821229"	"SRS2821227"	"SRS2821226"	"SRS2821225"	"SRS2821224"	"SRS2821223"	"SRS2821222"	"SRS2821221"	"SRS2821218"	"SRS2821217"	"SRS2821215"	"SRS2821213"	"SRS2821212"	"SRS2821210"	"SRS2821207"	"SRS2821206"	"SRS2821205"	"SRS2821204"	"SRS2821020"	"SRS2821017"	"SRS2821016"	"SRS2821015"	"SRS2821014"	"SRS2821012"	"SRS2821011"	"SRS2821009"	"SRS2821008"	"SRS2821007"	"SRS2821006"	"SRS2821005"	"SRS2821004"	"SRS2821003"	"SRS2821002"	"SRS2821001"	"SRS2820998"	"SRS2820997"	"SRS2820996"	"SRS2820994"	"SRS2820993"	"SRS2820991"	"SRS2820990"	"SRS2820986"	"SRS2820979"	"SRS2820976"	"SRS2820975"	"SRS2820974"	"SRS2820972"	"SRS2820967"	"SRS2820965"	"SRS2820964"	"SRS2820963"	"SRS2820962"	"SRS2820960"	"SRS2820959"	"SRS2820958"	"SRS2820957"	"SRS2820956"	"SRS2820953"	"SRS2820952"	"SRS2820951"	"SRS2820950"	"SRS2820949"	"SRS2820947"	"SRS2820946"	"SRS2820943"	"SRS2820942"	"SRS2820941"	"SRS2820940"	"SRS2820939"	"SRS2820937"	"SRS2820936"	"SRS2820935"	"SRS2820933"	"SRS2820932"	"SRS2820929"	"SRS2820928"	"SRS2820926"	"SRS2820924"	"SRS2820923"	"SRS2820917"	"SRS2820914"	"SRS2820910"	"SRS2820909"	"SRS2820902"	"SRS2820901"	"SRS2820898"	"SRS2820897"	"SRS2820896"	"SRS2820895"	"SRS2820894"	"SRS2816074"	"SRS2816073"	"SRS2816071"	"SRS2816070"	"SRS2816066"	"SRS2816065"	"SRS2816062"	"SRS2816052"	"SRS2816048"	"SRS2816045"	"SRS2816044"	"SRS2815679"	"SRS2815673"
"msp_0765"	0	11	0	0	0	0	48	13	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	13	9	0	0	0	21037	13	0	0	0	7777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0766"	0	1336	0	0	0	267	0	0	249	0	0	0	0	15	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	1402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	110	0	0	0	0	0	0	33	0	0	0	0	0	0	142	0	0	0	0	0	0	0	316	0	0	101	0	0	0	0	0	41	0	0	0	0	0	0	0
"msp_0767"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3870	0	258	0	0	0	0	0	110	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	71	0	0	56	0	23	0	0	0	0	420	380	0	0	0	0	0	0	0	14	0	0	0	0	72	0	0
"msp_0769"	20	2469	1587	765	3461	706	3055	10103	4288	308	4836	65	1043	536	3336	1411	938	297	427	571	815	62	116	269	1255	74	43	0	734	0	136	222	226	139	735	148	69	279	267	128	28	651	708	183	1824	258	169	95	101	204	1048	1210	463	281	183	283	652	496	188	775	849	189	221	408	3208	591	367	3802	1313	392	790	140	432	367	107	477	104	383	76	270	187	0	86	96	725	199	81	1792	474	0	291	33	93	450	16	484	143	349	71	82	53	281	642
"msp_0772"	0	0	11	79	0	0	28	0	0	14	0	0	79	0	0	54	0	0	0	0	0	0	5	9	0	10	0	0	18	21	0	0	34	0	0	0	18	0	5	0	0	0	32	49	0	0	0	73	0	0	811	27	0	0	0	0	0	0	0	0	7	35	40	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	18	0	0	0	0	9	0	0	0
"msp_0773"	0	0	12	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1287	957	0	0	0	11	0	0	0
"msp_0776"	0	0	46	0	0	0	0	0	0	21	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	82	0	27	0	0	26	0	0	0	150	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	18	0	0	0	0	0	7	0	0	0	0	24	54	0	201	0	47	0	0	0	0	0	0
"msp_0777"	0	0	3803	63	109	714	4881	0	660	451	0	390	0	72	0	419	251	11	16	14	778	1016	433	0	0	1268	395	23	19	19	75	49	488	425	13	2336	1315	0	2535	0	0	0	106	0	15	533	0	13972	5908	23	39	2695	7483	12	206	458	0	15	0	66	0	408	0	0	0	2994	0	0	0	0	0	551	0	0	1369	0	0	0	0	0	450	2053	68	387	0	0	120	0	10437	7813	8435	650	956	535	4832	0	1180	1424	4423	3568	196	0	0
"msp_0779"	0	0	122	0	58	0	0	0	0	17	1158	0	0	0	17	0	0	0	0	0	0	11	9	7	7	0	0	0	0	0	0	0	0	0	11724	0	0	0	0	0	0	0	0	27	0	0	18	0	9	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	10	0	0	0	1570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17780	8	0	0	0
"msp_0780"	0	1275	81	0	1149	2126	11	2625	624	19	10	0	0	704	22	946	1446	1207	0	0	610	18	0	229	1251	0	46	0	0	0	0	234	4116	43	9	0	0	68	270	0	0	877	629	0	27	804	85	270	0	0	0	0	35	0	770	1056	814	47	295	913	9	25	0	4850	437	0	293	435	33	0	0	107	0	165	16	191	0	88	272	52	35	61	0	0	0	76	0	415	346	0	2071	463	0	0	0	0	0	0	0	0	0	0	89
"msp_0781"	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0792"	51	0	6	0	0	0	0	0	0	0	0	1003	0	10	0	0	0	0	83	0	0	0	5	0	0	76	0	0	0	0	14	51	0	0	0	0	0	8	9	210	470	0	0	45	53	31	5536	0	0	0	18	0	0	0	9	11	43	0	0	41	14	0	107	19	19	48	0	0	46	33	0	0	757	0	116	309	0	0	0	0	0	0	0	0	0	59	12	0	0	0	0	655	0	146	30	0	0	0	0	0	0	0	0
"msp_0794"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	376	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0802"	0	0	0	0	0	0	171	0	25	0	0	0	0	29	0	44	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1234	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	728	0	0	0	0	0	62	8	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0
"msp_0804"	0	0	184	0	0	0	0	0	0	0	0	799	0	0	0	0	77	0	0	0	0	570	0	0	0	0	862	0	0	0	16	30	0	0	8537	67	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	1657	0	0	0	0	0	0	36	0	1813	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	5104	967	0	0	0	0	0	0	0	0	0	545	0	504	0	0	524	0	0	0	0	0	0
"msp_0814"	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0817"	0	0	15	0	426	0	0	0	0	0	96	15	535	0	16	0	0	84	0	398	0	1658	0	0	0	152	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0	0	0	0	0	617	0	0	57	21	0	0	1196	0	0	0	344	0	0	0	5	0	0	10	11	0	0	200	37	0	0	41	0	0	124	0	0	0	277	0	0	0	0	0	0	0	0	39	0	0	0	0	101	16	38	0	20	0	1391	0	34	0	0
"msp_0818"	17	0	24	0	0	0	170	0	0	0	0	19	3762	6231	0	67	0	0	0	0	0	2267	0	0	0	1116	0	19	0	6	15	0	685	0	0	381	19	0	0	0	0	0	15	0	45	245	0	33	8938	10	13	0	0	12	16	1246	0	0	0	0	7	5459	0	0	0	0	0	0	275	0	0	0	0	0	0	0	36	3094	245	0	0	29	0	3621	0	0	0	0	7126	0	0	0	0	0	0	0	1625	5338	8371	0	0	0	0
"msp_0820"	0	992	1599	0	5162	1124	1987	429	1198	955	610	1371	854	1469	0	1017	1322	719	392	462	915	495	602	118	174	1454	164	17	739	10	207	718	1147	569	316	224	0	174	880	784	301	849	892	131	2766	885	501	412	488	569	6	2084	1584	0	745	641	2040	927	729	363	311	555	605	0	428	0	355	901	0	170	660	513	545	629	367	168	195	7	395	371	874	418	399	223	0	628	1571	182	2458	52	0	922	473	871	414	1008	384	441	1261	115	407	2786	787
"msp_0821"	0	0	0	0	0	14	0	0	0	0	0	0	0	7814	0	0	0	0	8	0	6	0	0	0	0	8	0	9	0	10	13	7	10	236	0	0	0	0	0	0	0	0	0	0	0	0	0	32	8735	0	6	0	9	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	7008	0	0	216	0	0	0	0	0	0	0	0
"msp_0828"	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0831"	0	43	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0
"msp_0832"	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2117	0	0	6287	33	13	0	0	56	60	0	0	7	18	145	10	15	0	0	15	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	664	33	0	0	0	52	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1044	0	0
"msp_0835"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0841"	0	0	211	0	0	0	0	0	0	0	0	3820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	64	0	9742	0	0	1054	0	0	0	129	0	0	0	0	0	1017	0	0	0	0	0	0	0	0	523	0	0	0	0	0	0	0	0	1799	0	0	0	0	0	0	0	85	0	0	0	0	0	16	0	425	0	0	0	31	0	0	0	0	72	15675	288	240	0	2662	0	0	0	27851	0	0
"msp_0842"	0	0	0	0	0	0	0	0	0	0	0	0	0	1069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0844c"	0	0	0	15	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	15	0	46	0	16	47	0	0	0	0	0	0	72	37	0	0	0	0	0	20	0	0	162	0	0	39	0	0	0	0	0	0	0	19	0	0	0	0	93	0	0	0	0	0	0	25	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	42	0	0	0	0	0	12	485
"msp_0845"	0	2149	0	0	0	39	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	11	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	9179	0	0	0	1106	0	0	0	0
"msp_0847"	0	0	0	0	0	0	0	0	0	0	0	0	0	586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3757	0	0	0	0	0	0	0	0
"msp_0848"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	345	0	0	0	0	0	0	0	0	0	0	0	0
