"MSP"	"SRS2821229"	"SRS2821227"	"SRS2821226"	"SRS2821225"	"SRS2821224"	"SRS2821223"	"SRS2821222"	"SRS2821221"	"SRS2821218"	"SRS2821217"	"SRS2821215"	"SRS2821213"	"SRS2821212"	"SRS2821210"	"SRS2821207"	"SRS2821206"	"SRS2821205"	"SRS2821204"	"SRS2821020"	"SRS2821017"	"SRS2821016"	"SRS2821015"	"SRS2821014"	"SRS2821012"	"SRS2821011"	"SRS2821009"	"SRS2821008"	"SRS2821007"	"SRS2821006"	"SRS2821005"	"SRS2821004"	"SRS2821003"	"SRS2821002"	"SRS2821001"	"SRS2820998"	"SRS2820997"	"SRS2820996"	"SRS2820994"	"SRS2820993"	"SRS2820991"	"SRS2820990"	"SRS2820986"	"SRS2820979"	"SRS2820976"	"SRS2820975"	"SRS2820974"	"SRS2820972"	"SRS2820967"	"SRS2820965"	"SRS2820964"	"SRS2820963"	"SRS2820962"	"SRS2820960"	"SRS2820959"	"SRS2820958"	"SRS2820957"	"SRS2820956"	"SRS2820953"	"SRS2820952"	"SRS2820951"	"SRS2820950"	"SRS2820949"	"SRS2820947"	"SRS2820946"	"SRS2820943"	"SRS2820942"	"SRS2820941"	"SRS2820940"	"SRS2820939"	"SRS2820937"	"SRS2820936"	"SRS2820935"	"SRS2820933"	"SRS2820932"	"SRS2820929"	"SRS2820928"	"SRS2820926"	"SRS2820924"	"SRS2820923"	"SRS2820917"	"SRS2820914"	"SRS2820910"	"SRS2820909"	"SRS2820902"	"SRS2820901"	"SRS2820898"	"SRS2820897"	"SRS2820896"	"SRS2820895"	"SRS2820894"	"SRS2816074"	"SRS2816073"	"SRS2816071"	"SRS2816070"	"SRS2816066"	"SRS2816065"	"SRS2816062"	"SRS2816052"	"SRS2816048"	"SRS2816045"	"SRS2816044"	"SRS2815679"	"SRS2815673"
"msp_0003"	-12.0304947197495	-3.12948426682077	1.0635054796457	-12.0304947197495	-1.45967461708195	-0.423715500036757	-1.70224558507659	-4.31572457510053	0.0375089855394131	-1.71071525422591	0.728884310143501	-1.42054034902244	0.580279687518131	-6.73984374380213	-12.0304947197495	-0.0452553822981365	0.181124564055354	-12.0304947197495	1.95332110925814	-3.80253503198268	-1.86190609540903	-5.13367642110343	1.02816083136247	-12.0304947197495	-12.0304947197495	-1.72414399773326	-2.31465195501542	-1.68339014187776	-0.596709122498327	-2.23040193802556	-2.09163877882925	-2.4617552005407	4.46190348375035	-2.0805179748407	-12.0304947197495	-3.24075044034068	0.651579374121665	-4.814468679617	-2.06917912677864	-12.0304947197495	2.48585703684938	-4.88780116072413	1.59298799604596	-6.12380192197868	0.878180072258711	-12.0304947197495	-0.406518733464017	5.5393240729356	-1.58713913622034	1.94816708326713	-2.83706901134012	-12.0304947197495	-4.84618372841975	-3.81303044827428	2.3596490870525	-1.33897735617969	-12.0304947197495	2.19547642900842	-3.30833744256518	-5.11111838436596	-12.0304947197495	-1.60518511475664	1.97529852043618	-12.0304947197495	-12.0304947197495	-12.0304947197495	-0.89104376212831	-12.0304947197495	-3.55750672287014	1.60668219493272	0.117832559195266	-1.30102337502664	1.93493068027482	-12.0304947197495	-2.8965430392052	1.0549269522702	-6.54650567531518	-3.77662575185983	-12.0304947197495	3.09621228871332	-4.37303425194268	-3.0869755330667	0.89069209189322	-3.69344698432678	-3.18458179802759	-5.75452741517948	-0.125827293703672	-3.23289172154558	-0.161155855813057	2.88126065294599	3.68251140726233	1.71487750393451	-1.64962144804951	-3.07534933519037	-1.18793349395924	0.913213549483654	-1.31296599574997	1.47681055382339	-12.0304947197495	1.09179228231202	1.46861937205001	1.02904229401369	-5.72494851533181
"msp_0005"	2.78356859939501	-0.072997949730774	-1.212409767946	-0.636824721893538	0.746907042967545	1.17893684111327	0.0980736274923915	1.90303226687399	-1.25329639925495	-1.49339628485224	-0.215277402449257	-2.50439459993546	-2.79732390720238	-3.53217738541038	1.41682627057873	-6.43525367770952	-3.84809310576673	-1.66231963726214	2.44628660802577	5.59545111701448	4.15117074505086	2.45442756252842	0.159595253259323	5.32958474166941	3.72903723465925	2.80927001680204	2.84355081220092	10.1919861785426	2.65713812367243	4.0884236539058	4.51423600030859	0.177399059233375	1.13406838702484	0.040977219879994	4.78302381186423	2.76463016378666	0.750622370934877	-2.32893191735407	2.19097411215679	-1.55297462116372	4.88649025956213	-2.62621822273791	-4.52383680584009	2.29426987091609	3.26430049375305	1.64363676737529	-1.41652205250709	1.21546935407389	4.87488200959359	2.27671106898968	5.30941817370903	5.70529096619991	-0.420738539168835	2.87260724658222	2.24417746885244	2.44713625795845	1.12040767177999	-4.10707211369861	-2.51440370818027	-0.0268109659366959	1.2386920699611	0.281927633020058	-3.28695621855418	3.83391373996224	-0.929753253237819	1.54245679763718	-1.64164779967851	2.25131352527578	0.00355598400351461	2.3963355196008	-0.680298697837213	2.32150444791815	3.25908305004914	-1.18369161827302	7.78250930740374	5.1000037213908	-0.621796154381241	-4.47030308129822	3.85197594702137	-3.54052620432638	-0.353196375626613	-1.20459098630724	1.83813511432686	-0.0695221700167303	-0.806541106892555	2.4028764058204	1.08119957141253	-1.5776328269946	-2.22788254297525	1.31378021306615	1.82105067281225	-0.953667995148392	-3.56627096010576	-0.308098372573709	-1.37238662534895	-1.34616337559199	0.312582901756141	-7.5365451105699	0.299001395874256	2.36037258221032	-1.04864001011032	-2.75442135765851	-1.62424370686018
"msp_0007"	-5.0433231881797	1.52793577624281	-3.32400862554145	0.54814779408353	-0.510172887355536	2.13251118384831	-0.715103572077694	-3.36048208763616	1.51475269790121	-0.699879439846651	-0.17910951761252	-2.67407502986942	3.29450967249966	1.21886318408647	-0.438082423667732	1.80830534452167	0.184840473193773	-0.44055109251545	5.23758248984331	1.70529378930353	0.576245579089657	1.68179922247428	2.07019101506289	-1.96524962765405	-0.762139004951705	1.4769074926433	0.192946793291963	0.808467548962535	0.650037754918174	6.08822039143057	-0.0987638563620641	1.97240432234226	3.10502246220456	-0.0991662348556767	0.761791989711736	-0.831017330662859	-0.569326216132239	3.19790823071218	0.135222392373622	0.502723509793369	3.38092508530291	1.8628600736352	-0.51595694971863	3.53847738536445	2.44462360071066	-0.0521098382554337	3.3846829217832	3.52225676009663	1.67777844762506	1.74671011527181	6.24695466565608	2.7442165549562	0.0403622721951286	4.00231489182005	3.33958552904347	-3.63511926606376	0.0597216023882207	-2.21399599411804	-3.38153240326655	2.0539174138912	5.5932372600831	0.428475660294229	3.62830004531617	1.18366970400905	1.20980869099087	1.41958741044666	3.80327553334785	-0.10869981073824	1.72393393701157	1.33330141971974	2.962968057315	0.759553790366923	1.9592790322191	2.81272365343376	-0.439213975523802	1.45045754711015	5.57905465496622	2.27514747767315	-0.493597028380249	0.565121826091507	1.52681249881208	1.07709370685735	1.64143390188143	1.91688585631995	0.729065760910064	-0.428847328257617	0.267425337296805	2.37651244162701	1.51982794063967	2.48672725063261	-0.117224298858106	3.48429931600403	2.14899075230334	3.03068432581078	-1.16131273948031	0.750226780508682	-1.38331248452836	2.18407607477098	1.70428380377981	-0.188877207169723	3.20119771407602	-1.40402496591012	2.06413296464311
"msp_0008"	-12.0304947197495	0.40704848133618	-1.55347756577984	4.49639401695273	-1.014873933808	0.497912607928209	0.844562345166324	-0.943956815937506	0.891459186931658	-1.05178469366153	0.325165864145615	0.756278592297768	-0.0801253236506042	1.00435104974799	-6.82283767260456	0.606691911153004	-2.16206698966236	-12.0304947197495	0.657826398542143	-3.31848367391044	-3.48011453414899	0.840419222963566	-12.0304947197495	-2.82849006071153	-12.0304947197495	-12.0304947197495	-2.65707946072059	-3.63955194694693	-12.0304947197495	-12.0304947197495	-3.04295867337747	-2.64310718474865	0.0991753666084365	-1.09292332682018	-12.0304947197495	0.72672330229385	-12.0304947197495	-12.0304947197495	-3.6119734609843	-12.0304947197495	-12.0304947197495	-4.02671640248308	1.27672199862376	-12.0304947197495	1.88060498820677	-12.0304947197495	2.03537226858729	-6.24441101001417	-1.36834321280829	-3.61049156041639	-4.61952903567895	-12.0304947197495	3.04365305374037	-12.0304947197495	-3.92602334658553	-1.14531526069432	2.42747567409574	1.19412345397117	-2.78529812678007	-2.29357602169627	4.33186068823033	-4.47736676347858	4.29156159689159	-3.38938611060105	-5.06565611684034	-0.0558809504855925	-1.13448318225955	-2.75343589263759	0.603649394801645	-12.0304947197495	-1.93329032944361	0.00280490264118433	-4.41970363313645	-5.85969610030689	-5.51551950044259	1.59294813162313	-12.0304947197495	-1.44626527815604	-1.25509956589036	1.8392561506925	-2.85922617185398	-1.2817151776711	-0.475796586629673	2.15447884074365	-12.0304947197495	-12.0304947197495	-2.47887419708097	-12.0304947197495	3.11525067717063	-2.54865021865209	-6.73206854659852	-1.29394961336439	-12.0304947197495	0.243960313057408	1.30174614330887	-12.0304947197495	-4.23251724654502	-2.01567835216808	-12.0304947197495	1.7570319773754	-12.0304947197495	0.111924894482846	-12.0304947197495
"msp_0009"	-1.78302373383682	-2.05769571914635	-5.90752013323373	0.463453057224122	-12.0304947197495	-3.69092597138194	-3.86553828302888	-1.49113844598982	-4.06413864809325	-4.25625440689683	-5.52821244880932	-12.0304947197495	-3.2335397047036	-5.82461692863495	-6.06158930285156	-3.46160530768881	-5.18287869183632	-5.18572704164399	-0.764948614322577	-2.48349693838212	-1.78443508654701	-4.34738383297654	-2.88098399103137	-0.486504104550708	-1.45263785549528	-5.08278295423314	-12.0304947197495	-2.0574575141277	-2.65593786905905	5.59797293818731	-3.24184647446244	-5.0841783734926	-1.41850714986003	-3.94339562898411	-5.31710286781292	-1.99025603872361	-0.426258886852329	-1.39879765953793	-5.02482855468595	-1.47821716638422	-3.23592656804759	-3.55295702129188	-3.29252066100625	0.904699443071559	-3.95522223729339	-4.35666575680567	-4.70261820147424	-2.90563932938213	-2.59092959015167	-3.99030885698029	1.69891301145628	-1.65202394121433	-4.95642171422664	-0.663949461426086	-2.80333460394364	-4.26282520981685	-4.28207068334562	-3.78070507984227	-3.54010326993236	-12.0304947197495	1.04391516232552	-3.28705143903507	-3.7331917339741	-0.524611619733359	-0.943105525139052	-2.0123360195023	-3.50387725379069	-4.54912143041063	-1.61861626846172	0.37466152017781	-2.74690197995262	-6.48496794699038	-0.0241668073415765	-1.32720049468542	-12.0304947197495	-3.25736711069186	-4.98319492032766	-5.51276213721526	-12.0304947197495	-5.87776000696951	-5.48664238300109	-5.19271811464875	-1.0230630528952	-12.0304947197495	-3.81857233978784	-5.13956990476878	-3.22558930507419	-3.56517615369071	-3.27810174454411	-0.301807134174122	-1.75080433559304	-3.93610868882004	-3.85753496794691	-3.11479695867722	-4.96450820960272	-4.16373095239612	-12.0304947197495	-4.81469052196813	-6.23619676769738	-2.97899973951208	-12.0304947197495	-3.49262755611954	-4.80077449907306
"msp_0010"	-12.0304947197495	-2.17877161089272	3.20146533912114	1.10419426854992	-6.13016136526127	-4.07859041557627	-4.303447846021	1.26363143507103	-1.49058956164294	-4.39644118865049	-5.52821244880932	-2.84782228325987	-1.90031486949052	0.242448956633802	-1.06172054100377	-6.33047167664731	-4.13874654039211	-12.0304947197495	-2.80852724334578	2.00394517598196	1.17843303675579	-2.274748544724	-2.31433529099141	-1.54548136890026	4.26275926887195	-3.33360714021008	-1.57283852380993	0.230906807526783	-3.23485899079606	5.16352263483203	-0.901323662940636	-2.35719081064718	-3.09845951186209	-0.568056717675401	-5.79704091522625	2.78003512547081	-5.66163561041216	1.53716496227612	-5.70390234841952	-5.21355916060559	-5.18807802921706	2.22580318878027	-12.0304947197495	-1.24435805303754	2.09803231083044	-0.179357525922302	-12.0304947197495	2.13988513879308	6.20617970072973	1.91397531240182	-1.17979078916073	-12.0304947197495	-1.8416039589288	3.97705198363774	2.80502275796985	1.06800714253758	-6.69734112099551	-6.74790370954021	-5.46046848933318	-1.17744811694766	6.13101286059609	-1.66748715682286	-12.0304947197495	1.41962288392374	0.570365540172489	-6.36115848091122	2.02960068504847	-7.05493887834474	3.20746146949145	-5.65935000197367	-6.79779368053054	-7.14462445251966	-3.93638712289307	3.24194373345802	-5.66577087109738	2.04667974854771	-3.88594311830457	-3.40156237634774	-12.0304947197495	-12.0304947197495	2.97358902947868	-0.237272841529324	-3.6557205992592	-3.0883217581895	-2.63687510089621	-6.63174200958635	-1.02567861139808	1.44368700891564	0.286863822345564	0.209170956474472	1.48867125702471	0.891678894267647	3.7520427336869	-3.96040598463776	2.69534317823607	0.480285990908794	-5.60677452652869	2.56937762399118	-7.42433686065267	-1.05555125908734	1.42429622867779	-5.64212739584176	-5.38093900771476
"msp_0011"	-3.7869375855307	1.62620620869033	2.87623793672255	3.76896591356626	-1.28694511371149	2.71065855015829	1.53230469899433	-0.360088245083157	2.5212666063452	0.231522204543763	-1.62064594473851	-1.0688964706219	1.63008030365983	-0.134257993062371	-1.19933695237173	-0.0582729579177371	2.0206778165731	-2.91369707247482	3.32721209499219	1.71631198562573	1.65627197087986	0.739834054294373	3.26012311704518	3.59964647608393	-1.05830561807871	1.34460801851456	-1.027420488161	0.315778913618119	0.0156286754117669	5.76068758907839	0.864375579688663	0.214228139512818	2.57082115659309	0.230906807526783	2.25769141835661	1.95632442372587	2.2287270765953	2.47723269743501	0.226417303559177	2.12712867846054	0.0395430349375405	0.46053729712013	1.49274137336199	2.23824204237018	1.33601280378668	-1.37350172680923	3.27993134338037	1.68267656706923	1.81408608868615	0.990678635541568	5.40000856218204	3.39457611574536	1.41908151315745	2.29178113492409	4.24955669316829	0.472896716542602	2.91112300199665	1.41618809913298	0.832967752738527	-0.196692052764601	4.08014871984553	0.0827480602588861	3.02078349553554	0.933426025213373	1.08134062588772	2.34259559921794	5.02526751821027	1.53218194846347	1.69575618281123	3.19043152632104	-0.420055947765434	0.191468678864586	4.30813164333779	4.11489735462743	1.83065926728054	-0.192975848423146	2.64253596881581	0.0864410355932492	-2.22767166193213	3.40461692814147	1.30151295770295	0.322366835389692	3.999090896143	0.495742627347139	0.900829495465113	-0.199514096678653	0.129950463730193	-3.40612517592892	2.1457861208409	5.24958820399763	0.295510781993203	1.82751462252048	-0.166252516393942	0.869823276832634	-4.26506295031615	-0.248125208219208	2.81076740384434	0.65287454921849	3.13787825150725	1.69588936798615	5.1063371745398	2.73496824403387	-0.0938435084582738
"msp_0012"	-3.7869375855307	0.614686900332399	2.32310210124008	2.98696480084966	-0.37580234085763	2.2444257637942	0.785172309313724	2.40048987601856	1.47847275833625	0.124973059020526	0.229386270854273	0.397882204033666	-0.114123236798492	0.483023376532608	-2.19651410046952	0.224614973996365	1.76340132318515	-1.21402131456068	3.53059052986222	2.79557915607758	2.30732616747101	1.92117400064218	1.45064395165594	4.87252998377921	1.82895041772136	1.66998849899339	1.4447978449347	7.35927336681703	1.74281063475285	7.68845747010547	2.62302292501191	-0.542880899555082	3.06261374788514	0.891790218603066	1.48268235029902	2.39608376379452	3.07292194295786	2.03582241162605	1.56794400058982	3.02781512786787	-5.4336502298935	1.59285128977842	1.94317785558066	2.16943645492585	0.785125187493107	0.132186350838549	0.0127423929903931	3.93484538986743	2.91897514653328	1.43137265900748	4.06135213630878	2.7469269432816	1.42252686047621	1.7863161354468	1.05136673686724	0.342714330658672	1.98075258263567	2.99697472087336	0.0152730355628947	2.44986603658397	4.92479461031246	1.21982812359903	2.10740479993715	2.32185972985733	1.89520542478983	3.21725147351562	2.22343658089264	1.70269894137812	1.4760259974635	3.5461300447997	1.58591860196223	2.15188365836423	3.92319567397424	2.30056959419636	2.21083401852357	2.0231550331128	3.73518804263089	1.29445915968589	0.899174440840477	3.24990759759514	0.162201127560269	2.02231484003835	4.39026489425675	1.9394581302081	2.24875342847906	1.58236964740897	1.62991138918736	1.26344111099647	0.624380372623439	3.89329867287234	3.53653862998816	2.45954513005098	2.07453781224297	1.57658939003183	1.99121465768395	0.653178920269327	1.62119403117256	0.10465741820223	1.20765132514221	2.71377241725941	2.80414716852439	2.38191515259207	0.695322400161186
"msp_0013"	-6.03199604727372	5.61297876499619	1.19348665178648	1.86398549883566	4.54154151566074	-2.93494778550753	2.37500520267191	-3.62001787987418	-6.76237921708779	-2.81632860104773	-2.71786278226581	4.4049194010186	5.45874365646191	4.11882757482475	0.428517452019984	4.13473754640618	-4.32346865820934	-1.47689572867313	5.46762009626867	-3.54030282374571	-4.11842330370318	-1.01268792968762	4.27076036627591	-4.40856166180406	-7.21312645035411	-2.96058608602357	-3.15575067600416	-1.28937608962564	1.3251362228822	-2.35578571159018	-2.50618640253142	2.80176884415785	-1.77579991479741	2.3594277255532	2.92786270790502	-6.13707486897313	-3.68924283016328	4.1767035239652	-12.0304947197495	-6.82422520844223	-12.0304947197495	-12.0304947197495	-7.14510026455763	-4.63694671572033	-12.0304947197495	-12.0304947197495	4.41478735689138	-4.26415429067192	-2.24069091718407	1.82299109775667	-3.27676179620696	-12.0304947197495	2.07905479272226	-4.39557149182042	-0.418701771125489	1.82515424852808	4.27260774605871	-6.17534919166303	4.22523841400624	-0.960527819869308	-1.78150682529355	-12.0304947197495	-1.24997730826952	-0.683159799800696	5.24980582090046	-4.30051580538384	-0.259454269022697	-6.33643272055028	2.23268851946759	-1.44813781318551	3.3360300777774	-12.0304947197495	-4.41970363313645	1.94446346698398	1.32175409177216	0.826988749558542	5.17119145788683	-4.86642227124841	-3.9376894753656	-12.0304947197495	-2.04133647840711	1.8262975946615	-4.31875599605445	-2.45501507965486	-12.0304947197495	-12.0304947197495	3.4566354034956	-12.0304947197495	-7.44872993422965	-12.0304947197495	3.31880521501996	-4.32677748082762	6.69500269740144	-4.8626069590341	-2.61063784324194	6.44789422412167	1.56571367574535	-0.79408300058287	1.70057163541159	-12.0304947197495	-4.59354458207788	0.912565233453145	-5.72494851533181
"msp_0014"	-6.03199604727372	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-5.5668519575124	-5.64090064849367	-4.66599940660188	-12.0304947197495	-5.85344519753522	-12.0304947197495	-3.44803139707408	-12.0304947197495	-4.80213663157663	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-5.52831644530955	-4.61843009984597	-12.0304947197495	-6.23240187238099	-5.2953824239536	-6.81093811158662	-12.0304947197495	-12.0304947197495	-2.16837399426097	-6.98626779184339	-12.0304947197495	-5.18008809495664	-6.64593184554504	-5.17946721574716	-12.0304947197495	-6.2375442389636	-3.80309310777561	-3.57746509566264	-12.0304947197495	-12.0304947197495	-4.00584856618854	-12.0304947197495	-6.54986761880391	-6.11181461337317	-0.964158056597462	-7.41506405689616	-12.0304947197495	-12.0304947197495	-3.48931032846973	-3.01497113576374	-12.0304947197495	-12.0304947197495	-0.487565295954681	-4.39430125334117	-4.05315754758222	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-7.578203342018	-12.0304947197495	-1.90915260304399	-12.0304947197495	-12.0304947197495	-4.56921885301983	-6.57132575034068	-12.0304947197495	-12.0304947197495	-12.0304947197495	-3.7316627446163	-12.0304947197495	-12.0304947197495	-7.14462445251966	-3.65721120811736	-12.0304947197495	-12.0304947197495	-7.10322736933408	-12.0304947197495	-12.0304947197495	-12.0304947197495	-7.20881206763496	-12.0304947197495	-6.94001614046732	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-6.67128353269238	-5.90829823952439	-4.52502812173063	-6.28329375403606	-4.35404771907886	-12.0304947197495	-5.99564703620806	-12.0304947197495	-5.38962922503699	-4.88218505894832	-12.0304947197495	-6.56891897563274	-12.0304947197495	-3.60460815141712	-12.0304947197495	-6.82154456132509	-12.0304947197495
