rowname	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_023_R3
P0A8D6	6872060	5727700	6514270	6904130	7444460	6443400	6881030	5832970	6960900	6428390	6091220	5209100	4888780	4123530
P0AAX3	4935530	4273810	3218930	3639080	4631710	4501330	2891360	2591040	4414660	4577880	3960690	5754610	5512970	5212460
P37766	4730430	2793980	3804050	4189290	3354240	3538910	4488450	2132090	4025750	4214530	3312640	2663490	3166940	2277710
P06993	4490940	4135990	5450140	5698950	4358460	4322770	6065550	4695560	5069980	5154140	5063790	5382860	7241570	6487140
P00959	33129100	33392000	36145300	30798200	35290800	32453100	30219200	38445800	31312900	33993600	33804500	33725700	45769900	43372300
P25738	157679000	121491000	107463000	133523000	119214000	123662000	222674000	69702000	189591000	166167000	129046000	74848500	78778100	60300100
P00452	15236900	16474400	17396100	18506000	14015100	15103300	19546300	19335300	16764100	17828600	18612100	12096000	15509500	14722100
P0AEG4	85360800	64302400	63557000	68343400	57913400	75962300	77158700	44338200	78104800	69355800	66838900	63240100	62462900	65925700
P19934	3532360	3388990	3287570	3081130	3183750	3161830	2903100	2972290	3187250	3101530	3109470	3204710	2872870	2470030
P0A8I8	2659480	2752870	3179190	2181240	3012220	2747330	2476180	3375180	2526300	2479400	2693950	3438740	3160730	3154220
P0A8T7	71315700	78484000	82860400	84535700	85657100	76222300	81561600	102065000	75926800	82234800	82650100	80504200	99724900	100516000
P0A794	13584500	16596500	15682100	13229400	17512700	14691600	12206800	18652100	14529800	14951500	14012900	12745500	12759900	12046800
P0A7J3	906459000	833401000	754190000	794328000	829391000	843986000	798508000	637918000	805385000	785598000	749149000	1079070000	805565000	946649000
P00935	14677800	13968600	15750900	14055400	31129900	14668200	12408300	20211800	12556700	13837100	15233100	18293400	17693000	18992100
P12999	198810	263428	272053	175264	182137	173250	108743	277018	316199	NA	66416.2	333995	334321	161913
P0AG84	12768400	13594900	13851700	21417900	11200300	14412800	21440100	10995500	18144500	14860500	15470800	9456080	9972840	7653050
P0A9M8	76016500	79602000	81554200	91606400	90888400	79735000	79657700	91035600	76250400	81199900	81845000	48925600	56401700	63719400
P0A9Q7	33127900	37034800	40992900	53703800	37592500	44163300	56108200	44146800	47363600	46438800	49997700	240100000	298585000	314953000
P67087	9393420	8352460	7594080	6460960	8147160	7832610	6640760	6631540	7459210	7374100	7521540	6774560	5792900	5683180
P05042	10784400	11763600	14997400	8093400	13827400	11163800	8431740	15310700	11062000	11711400	11434900	4839360	4836530	4827340
