"MSP"	"SRS9032198"	"SRS9032196"	"SRS9032195"	"SRS9032194"	"SRS9032193"	"SRS9032190"	"SRS9032188"	"SRS9032187"	"SRS9032183"	"SRS9032182"	"SRS9032181"	"SRS9032180"	"SRS9032179"	"SRS9032177"	"SRS9032176"	"SRS9032175"	"SRS9032172"	"SRS9032170"	"SRS9032169"	"SRS9032165"	"SRS9032162"	"SRS9032161"	"SRS9032159"	"SRS9032158"	"SRS9032157"	"SRS9032156"	"SRS9032155"	"SRS9032154"	"SRS9032153"	"SRS9032152"	"SRS9032151"	"SRS9032149"	"SRS9032148"	"SRS9032147"	"SRS9032146"	"SRS9032145"	"SRS9032144"	"SRS9032141"	"SRS9032140"	"SRS9032139"	"SRS9032135"	"SRS9032134"	"SRS9032133"	"SRS9032132"	"SRS9032131"	"SRS9032130"	"SRS9032129"	"SRS9032128"	"SRS9032127"	"SRS9032126"	"SRS9032125"	"SRS9032124"	"SRS9032123"	"SRS9032121"	"SRS9032120"	"SRS9032119"	"SRS9032116"	"SRS9032114"	"SRS9032113"	"SRS9032112"	"SRS9032111"	"SRS9032105"	"SRS9032104"	"SRS9032103"	"SRS9032102"	"SRS9032101"	"SRS9032098"	"SRS9032097"	"SRS9032096"	"SRS9032095"	"SRS9032094"	"SRS9032093"	"SRS9032092"	"SRS9032091"	"SRS9032090"	"SRS9032089"	"SRS9032088"	"SRS9032086"	"SRS9032085"	"SRS9032084"	"SRS9032083"	"SRS9032082"	"SRS9032079"	"SRS9032078"	"SRS9032077"	"SRS9032075"	"SRS9032074"	"SRS9032072"	"SRS9032070"	"SRS9032069"	"SRS9032068"	"SRS9032067"	"SRS9032065"	"SRS9032058"	"SRS9032056"	"SRS9032055"	"SRS9032053"	"SRS9032052"	"SRS9032051"	"SRS9032050"	"SRS9032049"	"SRS9032047"	"SRS9032046"	"SRS9032044"	"SRS9032043"	"SRS9032042"	"SRS9032041"	"SRS9032038"	"SRS9032036"
"msp_1567"	0	0	0	0	21	0	0	0	18	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	57	0	0	0	0	53	0	13	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1570"	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	2608	5	0	0	0	0	0	0	0	0	44	110	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	48	12	0	18	125	12030	71	0	0	0	0	0	0	0	26	10	28	0	0	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	15	2848	0	0	0	0	0	0	6	17	130	70	2595	0	15	0	0
"msp_1581"	33	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1584"	7	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	292	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	6	0	0	0	0	0	7	0	201	12	0	0	0	0	0
"msp_1590c"	0	0	0	114	615	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	47	1186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	210	0	0	0	0	0	0
"msp_1599"	44	0	5987	46	931	0	24	26	5031	12025	0	275	1912	8	0	35	16	51	1624	731	203	196	3572	0	20	199	10	451	89	114	782	522	797	1073	540	397	7518	1373	2144	129	171	869	2715	78	223	112	25	26	45	65	24	20	76	117	15	17	1913	586	38	37	4291	43	2208	24	1076	0	1969	52	104	0	105	23	204	20964	94	316	376	5030	996	0	336	1433	8	0	32	32	0	147	5	42	98	124	151	11	0	58	0	43	2068	23	69	32	170	8	21	966	95	684	48
"msp_1600"	0	0	0	0	0	0	0	0	0	0	0	0	0	6	109	0	82391	0	0	0	0	0	0	0	0	0	0	4784	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	95	0	0	0	0	0	0	0	0	27	0	20	0	0	6239	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	37	7945	0	0	0	0	0	0	117	508	3904	407	1017	0	10	0	0
"msp_1601"	0	0	27	0	169	0	12	0	27	0	0	0	26	0	0	0	0	0	33	0	0	0	0	0	10	75	0	0	0	0	60	0	18	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	24	0	0	0	75	94	0	21	0	0	402	0	108	0	0	207	71	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0
"msp_1608c"	0	0	84	0	36	0	22	0	628	49	15	0	24	0	74	75	0	0	165	120	23	0	78	34	0	107	0	40	41	0	0	62	0	303	15	89	0	0	94	0	0	0	201	0	0	210	26	23	0	0	14	0	0	0	0	0	0	0	0	0	160	0	195	0	0	0	0	107	0	15	0	0	0	120	2400	52	231	297	593	100	39	51	0	34	0	0	28	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	65	265	0	0
"msp_1621"	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	74	0	0	0	0	0	156	0	0	0	0	353	0	0	0	130	0	9	0	123	0	0	0	0	0	0	0	72	0	0	0	0	0	0	22	1135	0	7	0	0
