"MSP"	"SRS9032198"	"SRS9032196"	"SRS9032195"	"SRS9032194"	"SRS9032193"	"SRS9032191"	"SRS9032190"	"SRS9032188"	"SRS9032186"	"SRS9032183"	"SRS9032182"	"SRS9032181"	"SRS9032180"	"SRS9032179"	"SRS9032177"	"SRS9032176"	"SRS9032175"	"SRS9032172"	"SRS9032170"	"SRS9032169"	"SRS9032165"	"SRS9032162"	"SRS9032161"	"SRS9032159"	"SRS9032158"	"SRS9032157"	"SRS9032156"	"SRS9032155"	"SRS9032154"	"SRS9032153"	"SRS9032152"	"SRS9032151"	"SRS9032149"	"SRS9032148"	"SRS9032147"	"SRS9032146"	"SRS9032145"	"SRS9032144"	"SRS9032141"	"SRS9032140"	"SRS9032139"	"SRS9032138"	"SRS9032135"	"SRS9032134"	"SRS9032133"	"SRS9032131"	"SRS9032130"	"SRS9032128"	"SRS9032127"	"SRS9032126"	"SRS9032121"	"SRS9032120"	"SRS9032119"	"SRS9032116"	"SRS9032114"	"SRS9032113"	"SRS9032112"	"SRS9032111"	"SRS9032104"	"SRS9032102"	"SRS9032101"	"SRS9032098"	"SRS9032097"	"SRS9032096"	"SRS9032095"	"SRS9032094"	"SRS9032093"	"SRS9032092"	"SRS9032091"	"SRS9032090"	"SRS9032089"	"SRS9032088"	"SRS9032086"	"SRS9032085"	"SRS9032084"	"SRS9032083"	"SRS9032082"	"SRS9032081"	"SRS9032079"	"SRS9032078"	"SRS9032075"	"SRS9032074"	"SRS9032072"	"SRS9032070"	"SRS9032069"	"SRS9032068"	"SRS9032067"	"SRS9032066"	"SRS9032065"	"SRS9032058"	"SRS9032056"	"SRS9032055"	"SRS9032053"	"SRS9032052"	"SRS9032051"	"SRS9032050"	"SRS9032047"	"SRS9032046"	"SRS9032044"	"SRS9032042"	"SRS9032041"	"SRS9032039"	"SRS9032038"	"SRS9032036"
"msp_2368"	0	0	0	17	0	0	0	0	0	17	25	0	0	35	0	0	0	31	0	0	0	0	0	0	0	0	8	0	0	6	0	0	7	0	9	0	10	0	8	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_2370"	0	0	0	0	0	0	0	0	9	22	5	0	0	17	0	0	0	1453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	19	0	0	0	0	0	0	0	16	18	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	11	0	0	15	0	0	0	7	25	0	0	6	0
"msp_2373"	0	0	74	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	66	0	0	0	0	0	0	0	6	0	19	0	0	0	33	0	10	0	11	0	0	0	0	0	0	0	0	0	0	20	42	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	14	0	0	0	0
"msp_2375"	0	0	59	17	9	0	0	0	0	2162	56	0	0	0	0	0	8	0	0	0	0	0	16	12	0	36	0	0	7	0	10	19	0	0	9	0	0	70	123	15	9	0	202	0	55	31	0	0	0	0	0	0	0	0	0	0	0	9	6	9	0	90	0	0	0	0	92	0	394	0	0	0	0	9	0	0	10	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	20	0	0	0	0	0	87	0	0	131	0
"msp_2379"	0	0	7	0	5	5	0	0	4	96	0	7	0	0	0	0	26	0	26	4	0	0	14	0	0	12	10	0	19	7	0	5	16	25	15	0	7	0	0	32	13	0	16	0	18	9	0	4	0	8	4	0	248	5	0	8	0	15	109	0	10	13	9	15	0	11	67	23	12	30	0	7	0	10	16	14	60	0	23	0	0	0	0	11	0	7	43	57	0	0	0	4	47	34	0	4	15	3	25	5	0	0	0	0
"msp_2381"	0	0	0	0	8	0	14	0	0	5	0	0	0	23	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	9	0	0	0	17	0	0	0	0	0	0	10	0	0	8	0	0	0	0	5	4	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	36	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0
"msp_2389"	32	0	0	52	150	23	23	0	12	38	165	7	14	591	0	0	7	0	0	0	0	61	42	30	0	0	63	0	56	0	19	22	102	38	106	102	24	40	0	8	8	0	42	12	134	0	0	17	0	27	0	0	0	10	0	0	0	12	380	31	0	0	0	17	0	0	23	180	16	30	16	17	39	0	0	13	31	0	0	0	0	22	51	0	0	0	14	9	0	0	0	12	0	58	7	12	18	0	31	119	19	0	44	0
"msp_2400"	0	0	281	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	96	0	39	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	256	0	7	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	21	0	28	0	0	0	9	0	0	0	0	0	0	0	44	10	41	0	0
"msp_2424"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	944	13474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	636	0	0	0	584	0	0	0	0	0	0	0	0	0	0	0
"msp_2427"	0	0	22	0	88	0	0	0	0	822	18	0	20	0	0	0	37	0	10	0	11	0	0	22	0	0	0	0	0	0	0	23	12	0	55	438	8	540	30	111	19	0	136	19	122	172	0	7	0	11	18	69	33	0	40	12	0	86	12	0	0	52	0	26	0	0	66	252	339	13	0	0	49	13	0	0	0	0	0	0	0	0	0	13	0	26	0	11	0	93	0	108	0	0	35	0	0	0	12	0	0	0	65	0
