"rowname"	"Ref8537_QC1_20230414_1"	"Ref8537_QC2_20230414_1"	"Ref8537_QC3_20230414_1"	"Ref8537_QC4_20230414_1"	"Ref8537_S4_20230414"	"Ref8537_S8_20230414"	"Ref8537_S11_20230414"	"Ref8537_S18_20230414"	"Ref8537_S21_20230414"	"Ref8537_S26_20230414"	"Ref8537_S35_20230414"	"Ref8537_S37_20230414"	"Ref8537_S45_20230414"	"Ref8537_S49_20230414"	"Ref8537_S52_20230414"	"Ref8537_S60_20230414"	"Ref8537_S65_20230414"	"Ref8537_S69_20230414"	"Ref8537_S75_20230414"	"Ref8537_S79_20230414"	"Ref8537_S82_20230414"	"Ref8537_S88_20230414"	"Ref8537_S94_20230414"	"Ref8537_S100_20230414"	"Clinspect_E_coli_A_QC1_Slot1-6_1_8640"	"Clinspect_E_coli_A_QC2_Slot1-15_1_8649"	"Clinspect_E_coli_A_S5_Slot1-7_1_8641"	"Clinspect_E_coli_A_S7_Slot1-24_1_8673"	"Clinspect_E_coli_A_S14_Slot1-11_1_8645"	"Clinspect_E_coli_A_S20_Slot1-20_1_8669"	"Clinspect_E_coli_A_S23_Slot1-8_1_8642"	"Clinspect_E_coli_A_S29_Slot1-19_1_8667"	"Clinspect_E_coli_A_S34_Slot1-18_1_8666"	"Clinspect_E_coli_A_S39_Slot1-26_1_8675"	"Clinspect_E_coli_A_S42_Slot1-21_1_8670"	"Clinspect_E_coli_A_S47_Slot1-14_1_8648"	"Clinspect_E_coli_B_QC3_Slot1-23_1_8672"	"Clinspect_E_coli_B_QC4_Slot1-10_1_8644"	"Clinspect_E_coli_B_S53_Slot1-22_1_8671"	"Clinspect_E_coli_B_S58_Slot1-5_1_8639"	"Clinspect_E_coli_B_S62_Slot1-16_1_8664"	"Clinspect_E_coli_B_S66_Slot1-13_1_8647"	"Clinspect_E_coli_B_S78_Slot1-17_1_8665"	"Clinspect_E_coli_B_S85_Slot1-12_1_8646"	"Clinspect_E_coli_B_S86_Slot1-4_1_8638"	"Clinspect_E_coli_B_S91_Slot1-25_1_8674"	"Clinspect_E_coli_B_S98_Slot1-9_1_8643"
"P0A8D6"	23.8823542295183	23.8362549675378	23.5655228216549	23.6957873172358	23.9147628528448	23.9699520712804	24.051273341712	23.94285845201	23.5553184005509	23.9174514816994	23.8249599055351	23.7627769906741	24.0365425582458	23.9284363266996	23.9507278145316	23.90933388949	23.9921693988783	23.6867659504736	23.8341728084008	23.8024855997354	23.7626857639406	23.8684231907376	23.6761387293699	23.7986149762651	16.4840392920454	16.8901098707448	16.6418682973981	16.9125853130882	16.7954436031877	16.6752679285998	16.5876237120578	16.8646697998403	16.9813554463267	16.5226642803392	16.6694941018775	16.6649888602039	16.1758165617296	16.6814717765021	16.6549576232835	16.8034374450672	16.8062726962359	16.3053777856275	15.5178169960368	16.5594532745728	16.6376013034314	16.5684861185671	16.4102293915398
"P0AAX3"	22.621196492663	22.3917239769738	23.2511258119516	22.9425041248206	22.7370735952283	22.1840205617234	21.8213496982493	22.3853863769691	23.1925125592238	22.5831071058698	22.2815904973968	22.6464888356558	22.5225633334816	22.3139065789233	23.5032211117228	23.2876842016368	23.3857839517973	23.1104457136544	23.2588966519541	23.3989132696047	23.2799143144377	23.1342417373669	23.2476621650712	23.1457897584105	15.6775407249122	15.4615945513412	15.3481264448526	15.1281111564939	15.4990236753406	15.6417977544478	14.5083457019172	15.136943064154	15.5095307001463	14.3661855889281	15.9011685954603	15.8133853976657	15.5700335613819	16.6454192016697	17.0856799188157	16.6349386413786	16.9190495236769	15.0618479053611	14.9982069645998	16.7382506264083	16.2809882017516	16.3879163469932	15.5162755942246
"P00959"	26.8822935849326	26.9362160214202	27.1327711256638	27.1841961600967	26.8462885472702	26.9271661476462	26.8042126717723	26.7054198794221	26.4361190497014	26.8003170587093	26.79327585591	26.1123231293357	26.8477227210473	26.8034245358738	27.0749007587144	27.1050658259415	27.1662997953408	26.7601366864687	27.2451318806885	27.0940001821969	27.2327537854273	27.2158791059287	27.0266068518591	27.1784231540335	17.6269352972126	17.7780065232489	17.5910182385498	17.7239142043142	17.7420791276114	17.7492409390223	17.7741822072722	17.8339215894524	17.7021388582733	17.9134036910234	17.7939398142096	17.8098811487904	17.9890784543418	18.0913733993549	18.0434545588948	18.062989476971	18.0966739810973	17.930263783155	17.9491655671876	18.1690833404149	18.0557696356811	18.0824401462447	18.0775198660621
"P0AEQ1"	23.2155718056842	23.1810048082044	22.106332900575	22.1075370083012	23.327207234805	23.3616396972755	23.1093683904725	23.281358439566	23.7769080703224	23.5875728981151	23.1478806324111	23.6739305579656	23.2049501791955	23.426291375771	22.3426476586895	22.6732469557338	22.2568715055988	22.6562166584609	22.4159490632481	22.3649954409174	22.2726064363004	22.2304116084027	22.4744035817226	22.32979305411	17.5570597718179	17.7936668067835	17.6852963198477	17.4029204537524	17.8896346708325	18.0666831116673	16.8249214598208	17.532972238904	17.7863589763936	17.2116221742694	18.0228175013822	17.9213644529803	15.5448799351233	16.7150771891058	16.7411641108432	16.6772654250724	17.0531410414945	15.717397966333	15.4633487512436	16.2373052059631	16.5771750594537	16.396743572364	15.9660164497137
"P25738"	25.0498327658998	24.7990746623285	24.4735603460791	24.0457273380447	25.9248172143657	25.6451021818191	25.834618893991	25.4194343222725	25.2094752305008	25.6988631784656	25.9573127737804	26.994693962783	25.7384313453899	25.5329857891387	24.5626262748271	25.1699771303529	24.4829553845961	24.8934233769603	24.9101303187999	24.9646303012249	24.8411544853193	24.4760972308166	24.3884732599324	25.2540736268431	19.0316150588358	17.7500134174295	18.9141047885252	17.5567679744043	18.816218063054	18.3424393247683	17.3839404928532	18.7124497533584	17.7849415083371	17.7570057916893	18.8459647047905	18.4310323227673	16.9457981566629	18.0345518162757	17.9913612965753	18.1093970870206	17.6668827755895	16.4916433142211	16.8433935823347	17.2512604859884	17.9539917807786	17.3822187182309	17.2975969684813
"P64596"	26.0373094955989	25.8393821944209	25.4092782729858	25.5510461417218	26.106520210118	26.1734182844049	26.0855116843054	26.0201723856483	26.3253331136026	26.0260854643546	26.2855816341184	26.586762952387	26.0978541942297	26.1260811789291	25.6721615841535	25.8489979377251	25.7793575725517	25.9858700726836	25.8127363814496	25.6588818754045	25.7805019217973	25.6524215900095	25.705071783907	25.8017285843198	17.7725014460923	18.1304147101835	17.8585092291144	18.1576528597595	18.2180665242654	17.9691166653623	18.1550356042448	17.9202481668954	18.2720055050057	17.9595661879387	18.1949203331589	17.9468092053677	17.4958159991605	17.8183824550412	17.8571244808201	17.7589713875106	17.6209500394151	17.6900798411667	17.4246501903665	18.1084325702515	17.9249110639917	17.7842450341945	18.1216346902288
"P00452"	26.4806878464855	26.5523543628734	26.2019480018814	26.3086523973215	26.2590062423091	26.5373843683695	26.60751149271	26.1072807804256	25.6476046651977	26.2757987776314	26.3964148753409	25.5510666835067	26.5502345071778	26.2205656448616	26.2472470982712	26.3164662630078	26.3216859229905	25.7331100994039	26.4623962406044	26.178312967503	26.3819039056038	26.3320894214508	26.0694655017138	26.3260689921673	17.4072179649095	17.3731965236501	17.4284174265646	17.28116936974	17.5320666997496	17.415774772466	17.1883763508728	17.4745060736926	17.38730215315	17.284914446534	17.5007485344667	17.2689348575199	16.9649499854037	17.2245858413737	17.3133347900297	17.5234088085944	17.2336664827073	16.8798464561855	16.7104163325199	17.4641388820643	17.3162815317462	17.2923036565258	17.2759516932873
"P10100"	24.5131367468055	24.2926210172225	24.4772404637822	24.2109878616355	24.8550695837309	24.4130031446993	24.2814362679986	24.7451599535083	25.136421378396	24.6234376864658	24.515965903802	25.0770544675463	24.5703259313645	24.6658283778822	24.6094263084962	24.6390602299818	24.5130764916572	24.7062080580498	24.3552139659084	24.5853566311157	24.4673229500528	24.4954039483107	24.642843200374	24.4890338026478	18.4269117123426	18.5362472156881	18.5273051809657	17.8314247747144	18.5302577252716	18.5114824319381	18.081036063369	18.4483421929072	18.2486132534637	18.0935258862504	18.5089205321462	18.4662876039213	17.4015295429583	18.5591343204081	18.4223892243447	18.6888922748704	18.4768767049897	17.6249167984045	16.9691728895208	18.3299539667421	18.4340091640687	17.8429211499312	18.2172808972965
"P0AEG4"	27.0158454798557	26.734214173453	27.0706082370072	26.8251856078156	27.0158667427062	26.8221125409253	26.9687201349797	27.0386810032211	27.0905921998747	27.0535164458373	27.0586446366794	27.4968839412824	27.1591363819926	26.9800336460596	27.1695146306968	27.3596355666603	27.129669778649	27.2969899109095	27.0834882545511	27.1331926295431	27.1252121988665	27.0861538035407	27.1936070216036	27.1581348982571	20.0571932235381	20.1620790296904	19.7641961409849	19.7886036424392	20.1379867453334	20.0444421486229	19.8397097279064	19.8772931215773	20.0736944198415	19.5108684542395	20.1221328632134	20.1783171471456	19.5079494540761	20.0020540736791	20.0920241297305	20.0324655045792	20.0438416678613	19.6696152025702	19.6575749043536	20.2351330796602	20.1989365675574	19.6647857931567	19.9023574481474
"P19934"	22.0014563017523	21.8534885103804	22.003869918067	21.7796736739498	22.1487992855448	21.7948608330454	22.010110092979	22.2755817700957	22.8212951940489	22.2102075866131	21.7408471756779	21.8214664860313	21.9084453979015	22.3447997661293	22.1692944134708	22.0642572699869	22.0514990537696	22.4676090324846	21.9708227954091	22.1392521837851	21.921347017651	22.0056903320618	22.2988501627384	21.9292475710434	15.1364424697485	14.7968761374954	14.8049679126875	14.6951521520825	15.2172723761047	14.8376032967752	14.5414173130802	15.1926973597209	14.5900606789609	14.8513635295903	15.1110215284537	15.5750280442139	14.9057442497013	15.2320273703339	15.1796836513019	15.0697770052459	15.4523120347567	14.7165354804814	15.2381695955057	15.3829448149457	15.0856010876688	14.7093477223152	14.6835045704739
