"MSP"	"ERS2637868"	"ERS2637867"	"ERS2637866"	"ERS2637865"	"ERS2637864"	"ERS2637863"	"ERS2637862"	"ERS2637861"	"ERS2637860"	"ERS2637859"	"ERS2637858"	"ERS2637856"	"ERS2637855"	"ERS2637854"	"ERS2637853"	"ERS2637852"	"ERS2637851"	"ERS2637850"	"ERS2637849"	"ERS2637848"	"ERS2637847"	"ERS2637846"	"ERS2637845"	"ERS2637844"	"ERS2637843"	"ERS2637842"	"ERS2637841"	"ERS2637840"	"ERS2637839"	"ERS2637838"	"ERS2637837"	"ERS2637836"	"ERS2637835"	"ERS2637834"	"ERS2637833"	"ERS2637832"	"ERS2637831"	"ERS2637830"	"ERS2637829"	"ERS2637828"	"ERS2637827"	"ERS2637826"	"ERS2637825"	"ERS2637824"	"ERS2637822"	"ERS2637821"	"ERS2637820"	"ERS2637819"	"ERS2637818"	"ERS2637817"	"ERS2637816"	"ERS2637815"	"ERS2637814"	"ERS2637813"	"ERS2637811"	"ERS2637810"	"ERS2637809"	"ERS2637807"	"ERS2637806"	"ERS2637805"	"ERS2637804"	"ERS2637803"	"ERS2637802"	"ERS2637801"	"ERS2637800"	"ERS2637798"	"ERS2637797"	"ERS2637795"	"ERS2637794"	"ERS2637793"	"ERS2637792"	"ERS2637791"	"ERS2637789"	"ERS2637788"	"ERS2637787"
"msp_1090"	0	130	0	265	0	198	109	37	0	213	32	0	41	0	119	0	0	0	0	114	89	21	0	301	219	0	155	184	438	5	0	248	0	0	26	0	0	1090	0	0	133	0	0	12	172	0	0	0	0	23	0	24	0	0	0	0	0	75	55	201	0	0	0	0	138	476	0	34	0	0	0	16	0	0	0
"msp_1091"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0
"msp_1093"	388	0	0	0	0	0	19	0	0	4071	0	0	353	0	0	4337	0	0	0	457	0	0	0	0	0	0	0	0	91	0	58	17	0	0	0	175	0	367	0	29	0	0	0	0	1597	0	171	0	0	0	0	0	9	0	0	0	0	650	0	0	0	1145	0	0	0	0	0	0	0	0	0	0	0	12	0
"msp_1094"	0	330	0	0	0	0	0	0	0	0	236	0	0	0	0	103	0	0	0	0	0	0	0	0	0	354	109	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	15	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	349	0	0	0	0	65	0	14
"msp_1100"	0	1288	0	0	0	584	256	0	0	411	811	0	24	0	0	0	0	0	0	16	4	0	328	0	0	0	0	33	0	0	0	553	0	0	1211	364	0	24	0	0	0	0	0	0	23	0	16	0	14	197	19	75	0	0	33	577	307	55	16	0	0	30	0	1576	32	0	0	0	0	0	0	568	15	671	0
"msp_1114"	0	408	0	54	1653	0	0	0	0	0	0	400	0	0	0	0	571	0	0	0	0	0	0	0	407	0	0	0	0	0	0	253	0	0	618	0	0	0	0	0	0	0	0	344	216	0	0	0	200	0	0	132	0	0	0	0	92	0	270	187	0	59	0	0	0	0	0	31	0	0	976	212	0	0	0
"msp_1120"	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	80	0	0	0	472	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	66	0	0	25	0	0	0	0	0	0	725	0	0	0	0	0	0	0	0
"msp_1126"	0	0	0	0	0	43	0	0	0	0	0	81	29	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1391	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
"msp_1127"	0	0	182	5	0	30	0	21	31	631	0	0	0	0	0	0	0	0	0	0	0	0	377	20	0	0	0	1463	26	10	0	67	0	0	54	6	42	27	0	0	0	0	0	0	0	24	0	55	0	0	0	0	0	0	16	0	23	0	5609	52	0	0	27	0	473	0	0	96	10	0	0	52	0	0	0
"msp_1128"	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1321	0	0	690	0	0	91	0	0	0	1143	0	338	0	0	0	0	0	0	26	0	0	22	0	155	32	0
