"MSP"	"ERS2637868"	"ERS2637867"	"ERS2637866"	"ERS2637865"	"ERS2637863"	"ERS2637862"	"ERS2637861"	"ERS2637859"	"ERS2637858"	"ERS2637856"	"ERS2637855"	"ERS2637854"	"ERS2637853"	"ERS2637852"	"ERS2637851"	"ERS2637849"	"ERS2637848"	"ERS2637847"	"ERS2637845"	"ERS2637844"	"ERS2637842"	"ERS2637841"	"ERS2637839"	"ERS2637838"	"ERS2637837"	"ERS2637836"	"ERS2637835"	"ERS2637834"	"ERS2637833"	"ERS2637832"	"ERS2637831"	"ERS2637830"	"ERS2637829"	"ERS2637828"	"ERS2637827"	"ERS2637826"	"ERS2637824"	"ERS2637822"	"ERS2637821"	"ERS2637820"	"ERS2637818"	"ERS2637817"	"ERS2637816"	"ERS2637815"	"ERS2637814"	"ERS2637813"	"ERS2637811"	"ERS2637810"	"ERS2637809"	"ERS2637807"	"ERS2637806"	"ERS2637805"	"ERS2637804"	"ERS2637803"	"ERS2637801"	"ERS2637800"	"ERS2637798"	"ERS2637797"	"ERS2637795"	"ERS2637794"	"ERS2637791"	"ERS2637789"	"ERS2637788"
"msp_0003"	0.841847431025144	-12.0304947197495	-3.38797947019617	-0.598452356691529	0.915754025851289	1.15478149080671	-12.0304947197495	-12.0304947197495	-0.725834045681744	-12.0304947197495	-0.745320508905384	1.76487295096459	1.19885899369505	2.24333462336913	-12.0304947197495	-4.93457582123604	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-2.1688533372255	3.3002001077828	-0.201591243365419	-12.0304947197495	0.0244737641749599	-12.0304947197495	-4.56298224091933	-0.198011736148453	1.24565974405902	0.988554727350142	-12.0304947197495	2.62198960462411	0.740826044588543	-0.788990041775473	-0.951557188511453	-6.28190293989139	-12.0304947197495	-12.0304947197495	0.557828016623465	-4.49194969612814	-1.35917826836914	-0.414384942623644	-12.0304947197495	1.54611684317517	-12.0304947197495	0.530947411538867	2.66864239177284	1.43238079275851	1.41217579945338	4.51677662602958	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	1.14799784133449	-1.60623227247609	-0.386824202903955	4.18785179593929	0.425173260656436	1.02213885082781	-1.24992360004295	-4.41735133260777	-1.84981136631841
"msp_0005"	-4.21028604597463	-6.04880722993554	-3.80686816221262	-2.69072251815824	1.76086430423548	-2.33675594052724	-3.66140451106526	-1.75372409048194	-4.01802572786908	-6.34242933257046	-0.810986118548675	5.57575169614666	-6.44590437247754	-3.22261267114966	-2.07891570979402	-2.48803002049361	-12.0304947197495	-6.5733697299986	-6.94911834528671	-12.0304947197495	-2.77039460107536	-1.20236916388189	-4.52005911917997	-2.88033010057365	-1.43936496752252	-3.72819568047287	-12.0304947197495	-6.51524148917119	0.736046992181058	-4.43507865922919	1.66548517628422	-2.50435313924305	-3.2183479377049	-12.0304947197495	-1.75645685148246	-2.91406996704171	-6.97012281655312	0.485580430761857	-5.26715610198528	-4.92531268049042	-5.82579600309741	3.21683838705604	-12.0304947197495	-2.2562938824813	-12.0304947197495	-5.55856375622848	-3.72597137697531	-2.11334300015184	1.3078937686214	-2.10681016439055	-6.06736654539655	-1.782954073736	-6.71449390833821	-1.69657647938676	-5.15855635924198	-0.510050736559182	5.23859467715229	-12.0304947197495	-1.21247166583776	1.87289343179058	0.167499135816735	6.49906506916738	-5.20088490347913
"msp_0007"	0.8605958340826	2.55126690401374	2.24502696827897	1.12246778337792	-0.57989824013338	0.0519172001741704	0.349997139793648	1.51201995615537	-0.286577614537344	0.577910872149905	1.96470375777443	-0.577515077756177	-12.0304947197495	0.753260903097029	-2.9511715245042	3.41455045241993	-1.65683427306633	-12.0304947197495	0.938545372137031	-2.49435752926996	0.866566607789736	1.65953065773827	-4.6923809821017	2.91341097645726	2.66227301625129	3.0626121029364	1.2919313932612	1.52209860574673	2.86829229982911	-1.55039951713247	4.26865092089921	1.4134533490093	0.963117899462408	-12.0304947197495	-1.70012857066884	-2.64657738923874	-2.21152244858699	0.696102523420911	0.993608026366824	-4.51289720255723	-0.326732173591683	0.398711204909192	-12.0304947197495	1.22696859994336	-12.0304947197495	1.52324322747368	-0.920053163938232	-5.98760424073088	0.82435599568639	-12.0304947197495	0.432017498819601	0.0338760003155688	-0.248262079346312	0.467983213068473	1.73786970792651	-2.92658633672385	-12.0304947197495	-12.0304947197495	2.03250577277667	3.3452067549891	-2.84039427432562	-2.682282959832	-2.28594282588208
"msp_0008"	-12.0304947197495	4.14373264591594	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-2.27819509032453	1.93013695970275	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	0.677445344571313	-6.09735668897373	-12.0304947197495	1.91093501223847	-0.334505725028605	-2.38898252014316	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-6.97911592893367	-12.0304947197495	-12.0304947197495	-12.0304947197495	-2.105515660726	3.18620521137885	-12.0304947197495	1.72820365744552	-12.0304947197495	-3.50536806414705	-12.0304947197495	-12.0304947197495	-6.33299441711819	-12.0304947197495	-3.63517546164964	-5.88733371142093	-0.0470003140375794	-1.02686190785247	-12.0304947197495	-12.0304947197495	-1.94358531443431	-12.0304947197495	-12.0304947197495	-12.0304947197495
"msp_0009"	-12.0304947197495	-3.88613965221983	-12.0304947197495	-6.14636165824761	-3.1974548489247	-5.5776957081154	-12.0304947197495	-5.47641755278756	-12.0304947197495	-12.0304947197495	-5.94000978677152	-12.0304947197495	-12.0304947197495	-12.0304947197495	-4.02743313199079	-6.17380358440364	-2.77458449937512	-12.0304947197495	-2.68272748419449	-4.54306397259203	-12.0304947197495	-12.0304947197495	-4.99693212115636	-5.7976723264643	-3.03859788896517	-5.61622194732825	-12.0304947197495	-12.0304947197495	-3.64893128384214	-2.70669816619609	-1.60881565072733	-6.14127173331053	-2.47340130651182	-12.0304947197495	-12.0304947197495	-3.37130394977901	-12.0304947197495	-3.04934539120165	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-6.61085996749752	-4.55967366890256	-12.0304947197495	-4.39785331747067	-7.61832190206872	-12.0304947197495	-12.0304947197495	-12.0304947197495	-5.34696217546567	-12.0304947197495	-12.0304947197495	-3.80153753984672	-6.0529723611278	-5.72457278748074	-12.0304947197495	-12.0304947197495	-7.51198879197775	-12.0304947197495	-5.01499559280691	-12.0304947197495
"msp_0010"	-12.0304947197495	1.942848301468	-0.616624931056781	-0.00933903001948677	0.670675378623285	0.253680423253675	-12.0304947197495	-12.0304947197495	-12.0304947197495	-4.46687695737235	-1.67199409994685	-0.184201179597731	-12.0304947197495	-12.0304947197495	0.374945714659315	1.85604322837548	-4.66784863226939	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-2.63905413148837	-1.16413390737671	-12.0304947197495	1.70404427351536	-2.76735250687074	-6.06443855427365	2.37062215249112	1.61611283967752	3.52210869306162	-7.24985759337104	-12.0304947197495	-12.0304947197495	-3.41190219897495	1.57812942754545	0.339398943056358	-12.0304947197495	0.222921850884458	-3.73329642802119	-3.16432317390994	-12.0304947197495	-12.0304947197495	-5.16307114007985	-0.262417945135928	-1.67764102304028	-0.643562909156923	0.78901770255947	-12.0304947197495	-12.0304947197495	-5.52452068563655	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-1.31649379979524	-12.0304947197495	0.764533503511698	-2.86082126718585	5.4249914467809	-12.0304947197495	-12.0304947197495	-0.287204721139965
"msp_0011"	-0.87209795244835	-12.0304947197495	-0.91367598716584	-2.7376462743704	1.69077876758539	-0.481653735405236	-7.36275497800224	0.000344812391911234	-3.3134833422444	-1.41815699622344	-0.826695279558619	-0.954628542638745	1.92196573424467	1.46059314839735	-0.168294260515476	0.839772452255589	-1.75572351369894	-1.83453077080919	-12.0304947197495	-0.58531200644274	-2.01743691228221	0.941434467518924	-1.79938569064219	1.17266523549329	2.33174101342067	0.407768869369293	0.445108943950629	-3.76109263492584	-1.58633978661272	1.8587675975568	1.25196573206123	-1.79116819246965	-0.166008383152159	-3.53242287130158	-3.13092163892625	-0.393083498218478	-1.64661811923197	-0.0120359399015592	0.237811284569899	-5.1695250841376	-6.26615964310935	-2.41763730867673	-12.0304947197495	-0.858950335134233	2.07080932158755	-0.107837550776566	-0.273856936873822	-2.09230301024384	2.02585042533161	-0.58718449230783	-0.320175040179963	-0.892277426925434	1.09168926915932	-0.432017904308204	-1.25840970765526	1.96138733273539	-12.0304947197495	-0.935299028381931	4.36580276357366	3.45119327609442	-6.02828938382852	0.439138619003446	-6.84332414491765
"msp_0012"	1.12697315665153	1.46124567403981	2.24959850186845	2.55064831713223	2.11251651038973	-0.733991131091638	0.14950449959532	0.049705826499523	-1.63933369410243	1.84669305493608	0.595248575448703	0.21512467399917	-0.53327227415468	-0.0771561002591712	0.544353933388436	0.642928484538431	2.73634362175009	2.05953887926942	3.98227960021842	0.293054392283426	1.30012007651967	1.13571408417252	1.02270545322048	1.40162365701993	2.48612313597524	-12.0304947197495	-0.116042991526302	-0.188091401054201	-12.0304947197495	2.30991184548627	2.45895979188275	2.43161873640106	1.82293045787636	-1.93140362376836	0.285145424025865	-6.28190293989139	1.68305445512158	0.173184343505963	-0.0914688317889358	-1.37853921622407	-1.8145291926311	0.545498957472688	-5.74206791286341	0.506586552701196	2.55099757240173	-7.51061107942972	0.750271011980403	1.15415094536156	-0.161345099814224	0.393231679046004	1.67572065806773	1.14794031403234	-4.08235342916505	0.390730089021292	-5.66786033012642	3.03400719617452	0.0259568609144525	0.741462878872787	1.81397416185331	2.1726387432553	0.678099856098366	-0.982622100927532	-0.740560940152424
"msp_0013"	2.11362341910765	3.10214722921764	0.44394530032434	4.53409377161829	-0.714628934645596	2.15377869789824	3.60773279324185	0.0691906006036549	2.10865292899835	3.67873432318101	1.04488507482857	0.0996722131686291	-12.0304947197495	-0.841634642709199	-12.0304947197495	2.80934511048882	-2.2097528543167	-1.03299477658678	1.17570062252526	-12.0304947197495	-0.673975596688362	3.80256846170445	4.20270383616164	-4.36926623449762	0.695221475955081	4.15174390886203	-12.0304947197495	-0.440758871275176	1.56900422247881	5.61194314784209	-12.0304947197495	2.38586626034416	2.09052443803867	0.940659418724999	-1.02050474244539	2.87681828818645	-4.95886120207163	1.7529452713403	2.75927852646248	-2.09502808189925	-0.895313542738261	2.05124796767607	-1.22209177492311	-0.482286063574167	-1.16106561467603	3.97612700347758	-1.2190817704695	2.06390094220502	0.857058123284218	-12.0304947197495	-12.0304947197495	-2.67329859554549	1.02743933171809	-12.0304947197495	-1.82985004625348	2.46455363800305	1.24621317096986	1.07978032782268	-5.86544964206521	-1.64453345624672	-0.117418445796012	-0.0991662348556771	-1.09187437040511
"msp_0014"	-12.0304947197495	-3.11773294630382	-12.0304947197495	-5.15862725950986	-1.14059534325494	-5.73333787339451	-12.0304947197495	-3.12893724685563	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-3.44011665750658	-5.71351621401529	-12.0304947197495	-12.0304947197495	-6.19370300575934	-5.21521083580566	0.308945346496683	-12.0304947197495	-6.71018678791494	-6.73008398662505	-4.4410485924497	-7.5578505121693	-5.63027537552227	-6.80072036256666	-6.95652055508272	-12.0304947197495	0.118327566458401	-3.52499731615686	-5.54429648628302	-6.68249802101254	-5.98384087632718	-12.0304947197495	-12.0304947197495	-6.00653811790623	-12.0304947197495	-7.72167056742043	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-6.00121704325461	-5.92997827773869	-7.67269666839405	-5.50487397246513	-7.61832190206872	-12.0304947197495	-2.69365156168503	-12.0304947197495	-5.12657623348785	-12.0304947197495	-7.42337108102935	-3.37034290470343	-5.22658070441588	-6.12082189389804	-12.0304947197495	-2.32937329044736	-0.994999522582691	-6.07811183511848	-12.0304947197495	-12.0304947197495
"msp_0015"	4.35352946962733	5.56894448157236	2.28328229532762	2.68191957123115	-0.148811185335478	1.10633965621789	4.49030826318904	3.72070997645807	-0.27235787214312	5.216213769993	-2.64838710591108	3.49433192549403	4.23262033312059	0.562760300445144	3.09990751258059	4.44196926945031	1.0098214371561	1.70821178785551	-12.0304947197495	4.43095961057365	1.34349409031939	4.26638097897681	0.277700482405075	5.39486942274703	2.74995289193615	4.01076035972957	4.47769591873546	-2.85115803350181	3.24227022536326	3.88368599430797	4.7513686147968	-0.391180210371611	2.88824590164054	1.02694063793674	3.48745126552538	4.7243486748522	3.85018958633429	2.79146318951551	3.35754570824073	-0.0466106557571738	2.87656746338349	0.396075017971313	-2.36654740356667	3.35279054416484	3.61955077956686	3.89339899556621	-2.08730667961505	3.5417237033208	5.49077132736452	0.586307079293974	2.47693109915812	2.43838669783621	4.45538321475104	2.15041290684958	-0.209367498800008	-2.25240628211216	2.2433753655641	3.30704989992819	-1.61785102806794	2.74772174809095	1.51007233494682	3.43383921507395	2.5987467646611
"msp_0016"	-12.0304947197495	-12.0304947197495	-2.88208953495403	-12.0304947197495	-12.0304947197495	-12.0304947197495	5.8105652766635	-12.0304947197495	-3.17100587417747	-12.0304947197495	-2.97256816083957	-12.0304947197495	-12.0304947197495	-5.83223776921999	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-5.8758772043492	-12.0304947197495	3.81551774340158	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	-3.07131786917712	-12.0304947197495	-12.0304947197495	-12.0304947197495	3.91987735078909	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	2.49076945998849	-12.0304947197495	5.27029079337111	-12.0304947197495	-12.0304947197495	-12.0304947197495	-6.03270223812513	-6.87424718488569	-12.0304947197495	-4.78000420345581	0.41967643196127	-5.44654788208537	3.93865380147924	-12.0304947197495	-12.0304947197495	2.27921500388442	-12.0304947197495	-12.0304947197495	-12.0304947197495	-12.0304947197495	4.99389121606401	-12.0304947197495
