"MSP"	"ERS436842"	"ERS436841"	"ERS436840"	"ERS436839"	"ERS436838"	"ERS436837"	"ERS436835"	"ERS436834"	"ERS436833"	"ERS436832"	"ERS436831"	"ERS436830"	"ERS436829"	"ERS436827"	"ERS436826"	"ERS436825"	"ERS436822"	"ERS436821"	"ERS436820"	"ERS436819"	"ERS436818"	"ERS436817"	"ERS436816"	"ERS436814"	"ERS436812"	"ERS436811"	"ERS436810"	"ERS436809"	"ERS436808"	"ERS436807"	"ERS436806"	"ERS436805"	"ERS436804"	"ERS436803"	"ERS436802"	"ERS436801"	"ERS436800"	"ERS436799"	"ERS436798"	"ERS436797"	"ERS436796"	"ERS436795"	"ERS436794"	"ERS436793"	"ERS436792"	"ERS436791"	"ERS436790"	"ERS436789"	"ERS436788"	"ERS436787"	"ERS436786"	"ERS436785"	"ERS436784"	"ERS436783"	"ERS436782"	"ERS436781"	"ERS436780"	"ERS436779"	"ERS436778"	"ERS436777"	"ERS436776"	"ERS436775"	"ERS436774"	"ERS436773"	"ERS436772"	"ERS436771"	"ERS436770"	"ERS436769"	"ERS436768"	"ERS436767"	"ERS436766"	"ERS436764"	"ERS436762"	"ERS436761"	"ERS436759"	"ERS436758"	"ERS436757"	"ERS436755"	"ERS436754"	"ERS436753"	"ERS436750"	"ERS436749"	"ERS436748"	"ERS436747"	"ERS436746"	"ERS436745"	"ERS436744"	"ERS436743"	"ERS436742"	"ERS436741"	"ERS436740"	"ERS436739"	"ERS436738"	"ERS436737"	"ERS436736"	"ERS436735"	"ERS436733"	"ERS436730"	"ERS436729"	"ERS436727"	"ERS436725"	"ERS436722"	"ERS436721"	"ERS436720"	"ERS436714"	"ERS436713"	"ERS436712"	"ERS436711"	"ERS436705"	"ERS436704"	"ERS436703"	"ERS436699"	"ERS436698"	"ERS436697"	"ERS436695"	"ERS436693"	"ERS436691"	"ERS436690"	"ERS436689"	"ERS436688"	"ERS436687"	"ERS436685"	"ERS436684"	"ERS436683"	"ERS436679"	"ERS436674"	"ERS436673"	"ERS436672"	"ERS436670"	"ERS436669"	"ERS436668"	"ERS436666"	"ERS436665"	"ERS436664"	"ERS436661"	"ERS436660"	"ERS436659"	"ERS436657"	"ERS436655"	"ERS436654"	"ERS436653"	"ERS436651"	"ERS436649"	"ERS436648"	"ERS436647"	"ERS436645"	"ERS436644"
"msp_0003"	1	0	12	117	0	14	1806	6248	0	7864	20	14	2283	4	0	2671	2942	8	2636	85	1870	58373	1699	96	80	3903	5	6	26877	8	20247	300	6892	26	766	26	25	4529	1334	0	386	359	288	2662	517	49914	0	0	30	5	0	507	8992	16054	4436	292	0	198	1352	13	0	66	287	20	53	11303	3364	0	7	356	0	0	1951	12	17729	0	0	3860	3	0	14085	0	0	0	2007	15	7	2359	0	2450	252	2844	10235	8	30	0	2413	15	2240	787	5	894	5	892	59417	317	3478	2942	7671	4085	6	633	15423	46	11	11836	5	8	21058	0	997	28732	416	167	0	27155	991	1125	6292	0	0	0	2051	2689	6	4	7438	259	0	3369	295	0	1356	298	17432	13	6669
"msp_0005"	338	114	215	47	444	424	166	214	6126	20	766	119	5	52	97	17	319	5347	559	168	1442	181	0	602	518	20	19	1689	324	11694	142	19076	66	1768	3545	164	1745	6525	3480	1695	159	939	1094	189	53657	157	31898	8282	49	6525	274	0	57	789	2229	5434	8	382	3739	195	5166	41879	8725	47179	38	17	22634	6279	345	0	5355	772	1431	6500	9408	11073	0	29664	0	293	11325	588	21709	3225	125561	807	190	10643	0	3777	1373	0	55	2704	5549	37	983	581	1854	39	50	57	70	732	2359	1714	4354	0	11506	768	4168	140	2551	22390	60228	0	516	145	2516	0	237	0	1631	2708	23813	9383	65	18337	2765	0	4279	0	42	42	1976	8	12	52	57	2812	33	39	140	18758	10	52	985
"msp_0007"	12932	12134	1529	15893	6700	6158	62	842	3195	581	87	689	126	3492	2160	50821	169	1327	3970	47	799	3054	26777	298	265	4394	773	8587	14712	2282	10	5370	46	300	367	917	11857	412	1129	3834	3274	6851	5807	2690	328	305	36606	18066	0	0	57	491	167	2136	321	2459	12307	3728	6776	563	78	896	3031	1051	215	274	1751	1242	1048	7784	19	28405	2845	79	22379	28410	10927	18225	1602	38	250	978	1914	0	6555	83	27	2619	2485	24	13	777	972	1674	13326	821	4108	102	268	1527	79	1311	678	5990	1953	252	3710	2797	0	1636	0	8	2599	966	749	51529	96	1747	659	0	1922	152	864	3476	208	36869	282	2081	3532	2816	203	916	2159	9273	829	19	5244	15	112	9364	2019	624	36	0	1542	139	925
"msp_0008"	0	0	1594	26	0	0	19	11818	0	5	1022	11	0	0	0	0	0	0	0	0	0	1042	0	0	599	86	0	0	4560	12697	0	215	0	0	0	0	0	0	4143	0	0	0	0	0	56	0	6185	0	0	0	54	0	129	1156	0	12283	0	18	0	96	0	0	0	505	0	140	91	0	12440	0	0	69	4897	0	0	0	11328	26	0	0	3333	0	0	0	0	258	0	0	0	0	0	10	0	0	7614	0	0	0	7439	0	0	1092	0	2372	96	21379	0	0	0	0	0	0	2776	0	5	0	0	0	0	0	90	0	0	0	470	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	622	72	0	7	0	0
"msp_0009"	133	6	105	13	52	14	7	152	0	79	9	241	180	67	93	2192	521	143	734	113	37	254	675	30	163	0	28	0	4981	45	128	126	526	23	8	20	8183	23	199	73	41	6022	20	178	216	5	1153	378	0	0	11	0	0	576	105	0	0	8	0	0	0	54	481	22	97	2675	182	49	2996	40	73199	28	76	1049	177	0	491	10458	281	24	710	9	97	263	278	127	2414	54	0	6	0	0	68	855	68	623	0	79	16	122	5	158	0	11	458	3188	11	2259	215	104	12	0	455	35	78	709	15	64	8	62	32	382	142	0	230	27173	29	39	166	0	0	41	23	553	52	7	203	44	0	48	142	13	0	0	42	0	0
"msp_0010"	1	802	0	0	0	196	412	3702	3296	0	0	11935	0	1991	1544	6	2032	19	21	1336	28	0	0	19	0	5	106	7012	3419	0	2873	808	0	5278	0	5	0	7477	0	3653	438	33	12947	314	5604	467	3852	2613	0	276	5	0	2349	1310	1210	0	0	360	0	131	814	377	0	7	242	0	3792	371	18991	0	8	20193	2136	9527	0	18	163	31432	666	6493	1003	0	0	83010	550	268	4	5026	1886	1391	13548	32	3755	279	2504	0	254	6848	5282	0	3	2422	583	7	1027	670	98	17951	0	0	6659	11	10409	17	29	0	3	0	2241	6103	0	14941	2635	91250	132	0	11734	101	4842	0	441	0	6506	1083	48	3	6940	3	0	11	0	0	0	0	529	11	0
"msp_0011"	10430	20	1303	7711	19519	1243	235	4	11566	5075	641	2770	1243	12262	3676	13637	2445	18110	1464	300	1264	2512	11531	2174	2085	1196	124	0	14480	3838	17	1268	0	175	3383	35	13220	2119	5670	2431	265	73038	1785	5623	423	454	6607	2265	532	92	9	119	158	2609	795	2780	0	6	3896	68	0	340	86	57	595	1451	3554	582	0	0	0	38	5939	2816	0	49845	7244	0	4153	1542	761	4044	1107	0	5132	209	24413	2978	1389	773	831	321	995	1259	2186	11488	1379	1433	1066	281	43	1325	3247	295	3802	13344	736	11380	13052	0	25535	300	6860	36	477	43157	1958	307	3532	3	289	6	4523	2061	154	24602	3125	1411	1956	376	839	17	3841	0	135	992	3	110	149	5909	1035	1541	133	811	1214	5890	0
"msp_0012"	10929	5098	4215	2653	10761	983	2414	5754	4365	6641	607	2022	897	16195	5152	36	4735	1864	3985	349	1700	11563	14747	1739	4208	2513	14	1693	10158	4692	4416	1918	3313	3684	2622	1322	21	505	4551	1335	4	19127	3999	5104	1113	2149	7254	3213	344	211	601	998	3326	2598	2666	30001	3100	2274	6421	837	997	310	6451	7508	3182	9645	6532	2679	19661	5769	13	126	8060	13577	9	4130	2659	4381	2135	1349	10841	2837	9388	4389	10266	561	48431	1705	3476	2090	3977	614	5	7354	1264	17193	6983	7682	2076	255	116	982	3183	7082	28954	28708	1950	33184	34009	3541	32052	1224	6293	756	2967	2422	3831	872	896	1872	1181	8235	8603	638	1391	44660	3572	575	4705	912	4443	1970	2048	18378	2996	2	12634	215	429	3932	887	1571	3992	20733	2578	955	1867
"msp_0013"	15927	12989	5275	16	5008	12749	33	9124	10937	13360	7111	84	29	6139	76342	19	6885	2585	28	6	3316	45645	13	601	13187	2011	3905	28358	23944	17333	29733	16	0	260	3449	11791	152	7141	8	4	5820	0	12300	11672	9989	1632	23430	6	65	5	9037	1035	545	3	74	2962	2722	13354	3710	3011	23	3	21	7198	955	6797	4	4007	42	2719	13	0	1850	239	91	56	142	8	4	10	0	0	6644	0	0	332	101	21	0	0	0	471	0	89	75808	0	678	2043	0	6	84	0	201	20040	85	0	0	100	11	681	7432	4	10796	2073	808	13	25	1959	10	11	1577	3	4	941	0	0	115	10	3113	24644	3486	3724	18600	11	28877	1696	1470	9205	2336	26	46	5182	497	9	66	16190	1027
"msp_0014"	0	0	68	0	24	0	8	99	0	112	0	5332	58	26	16	6	26	2587	490	5	30	405	385	0	1070	4	0	556	100	359	66	85	67	8	16	14	0	17	228	0	42	3267	0	41	106	17	824	0	0	0	15	4	24	53	206	752	0	6	5	0	17	208	0	18	49	29	77	6	233	0	0	0	53	729	80	0	0	1890	157	55	1571	0	137	55	8	20	96	191	0	25	0	51	66	0	33	170	0	0	585	152	30	29	0	72	22	70	34	718	191	32	0	13	15	30	8	123	57	4	13	6	106	94	41	21079	72	114	19	452	13	0	43	21	0	0	188	5	0	53	21	23	8	0	0	369	46	0	24
