"MSP"	"SRS9032175"	"SRS9032172"	"SRS9032166"	"SRS9032079"	"SRS9032163"	"SRS9032162"	"SRS9032160"	"SRS9032078"	"SRS9032076"	"SRS9032158"	"SRS9032072"	"SRS9032157"	"SRS9032156"	"SRS9032071"	"SRS9032069"	"SRS9032065"	"SRS9032064"	"SRS9032061"	"SRS9032059"	"SRS9032058"	"SRS9032057"	"SRS9032150"	"SRS9032054"	"SRS9032149"	"SRS9032053"	"SRS9032043"	"SRS9032148"	"SRS9032039"	"SRS9032147"	"SRS9032034"	"SRS9032143"	"SRS9032141"	"SRS9032140"	"SRS9032137"	"SRS9032134"	"SRS9032133"	"SRS9032131"	"SRS9032129"	"SRS9032121"	"SRS9032119"	"SRS9032115"	"SRS9032113"	"SRS9032110"	"SRS9032108"	"SRS9032106"	"SRS9032102"	"SRS9032099"	"SRS9032098"	"SRS9032096"	"SRS9032095"	"SRS9032094"	"SRS9032092"	"SRS9032089"	"SRS9032084"	"SRS9032081"	"SRS9032075"	"SRS9032070"	"SRS9032060"	"SRS9032055"	"SRS9032052"	"SRS9032049"	"SRS9032048"	"SRS9032046"	"SRS9032045"	"SRS9032042"	"SRS9032041"	"SRS9032038"	"SRS9032036"	"SRS9032198"	"SRS9032194"	"SRS9032189"	"SRS9032188"	"SRS9032173"	"SRS9032171"	"SRS9032159"	"SRS9032145"	"SRS9032144"	"SRS9032142"	"SRS9032127"	"SRS9032124"	"SRS9032118"	"SRS9032117"	"SRS9032116"	"SRS9032114"	"SRS9032112"	"SRS9032111"	"SRS9032109"	"SRS9032107"	"SRS9032104"	"SRS9032103"	"SRS9032101"	"SRS9032100"	"SRS9032091"	"SRS9032090"	"SRS9032088"	"SRS9032087"	"SRS9032086"	"SRS9032077"	"SRS9032074"	"SRS9032073"	"SRS9032068"	"SRS9032067"	"SRS9032066"	"SRS9032063"	"SRS9032062"	"SRS9032056"	"SRS9032051"	"SRS9032050"	"SRS9032047"	"SRS9032044"	"SRS9032035"
"msp_0003"	563	910	12	11	0	2199	1011	9418	0	1172	48	0	0	0	13401	0	0	0	0	1196	0	102	0	0	1565	1863	20	0	74	0	245	0	0	0	0	0	167	245	0	257	0	33	0	0	951	131	0	0	0	9	0	0	1758	20	613	197	262	0	7	370	640	8	4257	2300	0	1044	0	0	0	0	571	0	0	0	16	0	0	91	433	5	40	2018	361	1481	8686	3425	5750	0	9	168	5182	0	0	0	0	0	0	52	1242	1316	7655	472	0	0	17	9795	16	108	1607	2367	345
"msp_0005"	246	3084	2206	10087	291	876	1200	198547	9085	167155	181205	135779	1984	463571	0	5736	4156	122731	1996	370	13161	176628	211378	541	531	8211	76	134	1145	22753	240896	37530	146203	411571	2182	59068	118	13313	110634	76509	251	13828	880	94720	1244	365	169945	273341	188	1666	3936	970	3562	69	85	127	116301	334072	106	56489	36523	65	774	8868	13489	55	48122	5637	91537	1822	158360	1706	6379	3203	7747	9196	628	30865	1586	13226	88014	256256	2968	13929	7	1077	3532	120750	333	928	2699	282179	1007	628	15849	4172	12681	4677	8144	164569	1351	195671	334	238318	1025	264	3206	6746	136070	21133	2791
"msp_0007"	2098	15771	36512	289	10307	13578	28243	13260	18665	220	274	111	164	0	5097	1029	53535	7812	1141	66	8807	0	0	4218	2560	285	1843	1052	406	3525	1785	0	0	10	27	55	594	632	21525	127	15064	3254	15281	18635	27229	315	0	0	428	0	203	1088	1340	229	934	304	0	36	3436	958	2618	2505	6674	31999	277	115	29	4094	2218	108	3956	249	2611	34	97	619	113	4425	1540	66	679	93	22236	1037	742	362	9688	61	49	58	2671	1691	0	18	189	2093	49	68	30	273	18397	416	2340	615	179	620	2945	1168	4903	545	2195
"msp_0008"	40394	2389	0	11	0	1186	1361	2925	0	3757	770	451	0	0	24	0	23672	0	0	0	0	0	0	0	3402	1326	53	1819	67	0	0	0	0	0	0	0	9374	36	0	68	10	238	0	0	1257	0	0	0	0	125	0	0	707	0	18	0	288	0	2000	18	70	0	3579	0	0	0	114	0	2332	0	0	3074	0	0	18	6360	0	0	8	0	0	11	37	10515	53	490	1280	0	0	20	19536	0	0	14	0	0	14	22	74	232	3887	130	554	171	0	0	273	0	21	26	9
"msp_0009"	507	37	10283	288	917	374	1161	97	37687	740	1185	124	0	17	159	412	5592	772	1072	135	1355	40	0	0	1435	330	0	585	369	757	475	53	75	4265	107	22	516	342	7047	23	1529	732	1442	0	1089	52	0	627	1413	38	286	8281	57	139	31	24	127	568	81	2296	380	28	1754	7615	0	300	27342	132	243	1005	515	67	0	1708	28	49	11	4283	370	17805	5878	811	2882	248	55	291	187	388	48	199	802	639	0	101	165	796	37	1453	671	1689	22366	1211	2335	48	45	3855	188	5407	1121	192	176
"msp_0010"	0	0	18809	0	34796	31	5024	10818	27537	1112	0	107	0	0	26	176	0	0	0	0	248	3201	100178	0	5337	795	186	14953	91	3563	148	28	0	0	72	0	0	6411	18	145	189542	9815	0	0	4854	0	0	0	0	203	0	6	10245	0	52	0	0	2465	17169	8714	260	1844	3728	0	0	0	30724	742	9	0	0	1079	12299	724	0	0	5	0	108	37	6508	32	9323	2333	0	259	1970	0	0	9	678	0	0	3135	16522	13906	16	99253	0	0	7732	810	0	0	105	0	0	0	11798	465	7296
"msp_0011"	9627	9203	4157	1755	12296	2916	7978	3500	32938	8684	43	2005	0	205	642	3984	32548	12980	3891	3531	42462	1703	0	2543	2421	2927	314	3301	247	3840	680	7	91	9	235	0	27632	4382	25062	171	33562	2168	2386	23809	7793	686	0	0	384	73	113	465	885	266	2632	2489	165	5449	9601	14847	932	1421	980	15810	99	2518	6954	3143	3574	291	22827	2048	0	3815	117	40	8	1017	457	49695	4826	945	13920	1062	7456	2445	10285	130	112	716	6688	8342	0	97	302	334	17	437	1054	209	2673	922	7553	410	60	1949	1375	2571	2748	372	2187
"msp_0012"	38118	3662	15120	3588	7163	1043	10755	1391	15670	4906	358	1473	395	300	4725	6844	29353	12512	6641	6786	12759	0	2183	5429	3876	1631	232	13352	205	3416	3436	6	57	12	197	0	2397	264	19	566	10	16848	4645	32278	10519	149	7428	199	188	693	244	147	1368	167	1462	975	223	5256	4007	21106	10608	626	4087	22186	336	2888	10835	2247	1442	51	7118	9538	5322	11437	192	1193	350	1090	14533	11243	4653	4896	10735	4588	3242	5027	12251	367	152	1454	2956	11316	0	318	701	4085	19	3420	241	88	24382	1258	0	379	314	6950	8436	13149	8125	816	9953
"msp_0013"	931	284	0	133	0	3805	0	61	0	0	864	0	229	0	2504	4760	0	0	0	104	0	0	0	0	4503	34	1265	0	11	0	1036	646	60	0	85	337	2171	311	2852	494	6154	3100	507	0	0	3632	0	5	19568	1442	2217	3567	2502	242	0	36	34	0	0	0	58	0	2311	0	4460	2505	28	21	28486	15	1465	3130	0	0	16	3877	1592	0	17	6	340	0	0	3811	0	0	202	1024	5320	4325	13887	0	53	1005	7888	0	424	0	148	950	0	0	0	0	0	0	1032	0	24	4006	747
"msp_0014"	14	3658	0	65	0	0	0	117	4	55	0	187	11	0	0	17	40	0	95	0	0	0	0	0	106	3486	0	0	456	0	13	8	0	730	16	0	28	0	0	9	0	153	0	0	0	26	0	0	242	52	0	6284	28	0	0	0	121	0	0	12	7	0	71	0	5	99	0	9	0	0	55	328	0	0	5	10	0	2337	0	587	17	331	13	11	17	0	69	56	30	6	1062	0	0	159	0	0	2571	76	59	118	95	78	0	0	0	0	20	30	134	529	76
"msp_0015"	4155	15	0	3362	0	39	0	0	0	0	2108	0	39343	0	15	583	0	0	191	0	0	0	1705	307	7866	1307	17464	44	8908	0	1534	986	0	633	1047	26085	4	1719	8733	3103	10	0	3324	0	0	66826	127	2803	15313	6283	24975	112	60	8459	0	1036	1781	0	1418	349	69	0	440	0	1572	0	0	6940	3434	2086	1375	8275	0	0	18874	3586	42922	10	3425	22	0	0	0	11284	933	366	4792	0	3468	2364	12	0	1664	14	3201	213	365	297	21	593	10109	4376	0	0	34649	32	6912	22	4	29871	3845
"msp_0016"	0	1650	0	0	77416	0	0	37077	0	0	0	0	3486	0	48098	6392	0	0	152355	3343	36629	0	0	2094	0	12124	5668	48	0	35323	0	433	28	0	0	284	8838	6540	32	165	10	204490	0	0	0	0	0	6	0	1607	0	0	699	383	0	0	751	0	0	0	24895	86614	8	0	42	0	138	27092	0	0	0	12146	0	52682	1090	0	0	0	37	16	146161	15349	13	12	0	508	0	105131	1370	989	0	2614	0	0	360	0	0	0	0	0	0	8064	0	8	176475	35	6642	9854	0	142	95270
"msp_0017"	14703	0	0	184	737	1474	4079	0	24074	21	615	0	85	0	0	67	0	0	549	0	0	0	0	635	0	3322	0	0	934	0	1297	35	0	0	1193	728	291	322	988	0	14	0	0	0	3970	912	0	6	5911	35	10084	3807	114	0	0	44	24	0	0	0	179	0	5	0	82	0	0	0	1786	3877	47	0	0	0	10	0	661	1869	1556	0	923	0	0	12737	4186	297	0	4275	1326	1256	96	0	2488	0	53	5962	0	0	0	0	0	0	0	0	4147	0	0	2610	0	577	0
"msp_0018"	0	9	0	150	293	0	0	0	0	170	0	29	0	0	9	34	0	42	0	88	461	0	0	0	87	50	0	20	73	0	0	5	16	0	34	7	33	11	523	0	51023	422	0	0	0	0	0	0	0	48	0	0	9	8	17	0	10	43	0	0	6898	0	51	0	0	0	0	0	93	0	108	118	0	0	0	0	0	0	0	2820	523	91	3373	53	26	0	77	0	0	5	537	0	0	8	0	0	0	0	91	263	122	65	0	0	0	4641	6	29	1206	46	0
"msp_0020"	180	0	780	0	0	8	408	0	35922	0	168	101	0	0	10	38	0	4520	52	0	149	0	0	0	5	12	0	0	0	3630	92	0	0	7	0	3	0	0	14	0	0	34	0	808	408	0	0	0	88	15	0	5	0	0	0	0	0	152	0	534	974	0	3	0	0	0	716	0	0	0	15	0	0	0	0	0	0	0	16	1326	7	172	0	0	0	0	0	0	0	6	650	91	0	0	0	0	0	0	0	0	1256	0	639	712	0	104	264	30	0	31	241
"msp_0021"	0	0	1775	781	637	1803	18	1727	5005	9082	211	2014	144	949	2439	1931	23590	494	670	719	870	0	0	2510	996	226	1955	13831	525	0	6136	12	92	26	99	73	393	890	98	81	171	0	2257	123	0	1365	0	0	1117	601	806	229	107	137	437	389	434	12031	4979	7109	526	169	8864	6506	123	3379	5132	2444	1931	1056	503	209	0	5904	199	553	27	429	3210	0	6190	1595	258	11953	1513	88	2807	6187	164	2611	687	456	0	127	16	228	14	708	2791	13	17565	2299	8752	1310	7	105	40	2090	86	8	1582
"msp_0022"	0	789	8223	286	0	0	0	21	0	1471	0	2799	235	1587	1681	562	0	0	0	0	0	0	0	0	0	26	158	9	0	212	0	15	174	0	0	0	4939	0	4	33	0	646	0	0	0	1063	0	0	0	729	0	0	0	0	761	0	1103	0	0	626	1022	0	0	0	0	992	57	4632	0	14	0	68	0	0	29	20	0	0	0	0	5	1064	0	0	706	14	4270	357	21	0	2438	25	0	0	0	4777	0	0	317	76	11	294	0	0	0	1612	437	719	136	287	2228
"msp_0023"	25336	3238	0	8951	29615	12309	9797	2337	0	7480	0	3763	642	0	2256	26	9731	23114	0	5899	10715	0	0	0	7067	4077	1888	12545	100	1390	2294	0	26	20	256	35	936	6040	8	200	7	1863	4007	13272	9638	630	0	0	0	311	0	0	1484	1434	2649	36	23	0	9878	13519	6211	50	1368	0	2229	3157	25	9597	2345	1944	0	3057	0	0	789	1390	85	901	10327	7	12468	2013	13038	2831	2253	169	0	4022	1233	10281	10452	3797	0	1377	532	0	36	6809	1977	180	18028	5920	0	71	54	850	421	3335	12819	219	2816
"msp_0024"	18	51	0	232	865	205	169	70	8217	14	136	24	9	0	11	51	3259	1680	173	238	2426	0	0	0	345	243	0	86	352	351	9	0	6	564	14	8	200	10	1827	15	97	338	386	0	169	17	8	49	821	0	0	6407	14	42	0	11	3	248	19	25	939	0	130	0	0	23	302	9	98	8	686	0	13080	375	3	0	10	281	10	1965	664	368	2229	72	0	35	200	78	0	25	2828	4067	0	0	862	10	27	30	8	12	705	516	267	203	0	217	153	13	1132	246	191
"msp_0025"	0	27900	0	0	0	0	0	969	0	0	76268	2589	21189	0	0	0	0	0	0	60899	0	0	0	0	3181	6347	2278	0	14611	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	5009	0	0	0	0	0	0	0	437	0	16837	0	0	32450	0	0	1130	22412	0	0	0	0	255	1697	173	0	0	0	0	0	368	0	0	0	0	0	0	0	9272	0	0	0	0	0	0	0	217492	4800	31	0	0	17	0	0	387	6	74	1310	0
"msp_0027"	0	5359	0	1116	5276	4151	19	196	79	885	726	379	655	0	190	8403	9471	6866	0	0	18924	0	0	630	11681	5517	0	7023	1019	2201	21365	0	282	10	319	19	1289	161	16	972	0	3409	8944	0	17	360	0	0	0	561	868	206	5631	483	2444	1603	194	0	2445	16784	12574	1890	4545	0	1495	2771	6554	0	0	805	0	0	0	0	53	996	355	272	7783	24	7	2598	912	3244	3480	5594	3325	1397	124	2638	5194	2292	15	182	5437	1882	0	341	207	0	17583	856	20880	79	85	600	7042	2158	5162	79	4117
"msp_0028"	11464	1486	0	0	265	0	87	18	0	397	52	38	51	0	1592	72	0	0	391	1313	0	0	0	0	868	98	50	1512	130	0	138	0	0	0	0	0	268	743	1248	193	0	0	719	0	82	25	0	0	0	127	0	0	326	128	48	42	92	0	195	87	228	0	468	0	15	0	18	0	0	0	1837	1394	0	0	4	105	0	0	114	0	0	446	4	385	0	419	809	0	0	172	0	113	0	535	0	0	0	0	0	0	0	78	0	0	7	0	88	0	0	0	0
"msp_0029"	6765	379	0	46	435	0	420	40696	0	9188	59	0	5585	0	3083	2312	0	0	259	430	0	493	0	94	14530	4050	53	0	362	10	1949	17048	1797	0	5997	1325	1567	866	177	15046	41	2218	64569	0	407	361	0	14	1021	6617	750	1074	59750	1561	224	1267	304	0	0	8	35	31764	912	0	3974	16357	21	847	1916	6669	0	17879	0	0	474	395	98	0	1073	229	6136	0	6	57771	47476	149	2412	153	559	5904	4384	0	1239	3128	12600	0	1105	45	0	12	0	8339	729	4105	0	0	816	0	8	1319	2533
"msp_0031"	0	14162	0	13766	46452	0	155031	9210	50810	29954	0	2392	24	0	917	20471	34838	155218	21748	2935	82222	0	0	52	0	4618	350	109533	633	2132	9796	151	36	11	18	49	2253	4044	22	908	52	14763	0	0	154574	8818	0	0	3754	951	1828	0	1775	1334	7713	45	1085	17637	80515	44670	45868	2946	18502	0	616	3414	7815	0	6864	0	76891	1026	1746	6	551	282	1867	1133	8773	25	6386	56519	11	35159	0	1565	50071	0	125	334	41454	2022	0	13	906	0	0	2952	3917	3060	27908	8534	13433	244	1108	14791	753	33286	75	19643	16998
"msp_0032"	7	3704	0	0	0	0	0	3818	0	2452	0	812	107	0	4174	8447	1430	1998	1149	11108	7749	0	0	0	9	36364	2170	947	372	0	157	0	0	0	0	7	1157	898	0	256	26	4472	0	0	0	372	0	6	0	3155	467	1561	2594	468	1107	0	91	0	0	0	33337	95	53780	0	160	38080	27	0	0	3121	0	15332	0	0	115	0	84	0	1049	0	522	565	2530	15342	196	1022	33722	3578	845	105	13267	170	0	15	0	279	0	285	5028	747	13885	5951	0	20	6	16249	26061	13650	5507	651	0
"msp_0033"	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	13243	13043	0	0	0	0	0	0	0	0	234	0	13	0	0	0	0	0	173	0	6973	0	0	0	0	7655	0	0	0	0	263	0	2727	24	0	171	0	0	35	0	0	0	555	0	0	0	0	0	0	0	675	7	4509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	641	0	1416	18189	14237	0	0	0	0	0	0	0
"msp_0034"	0	69	0	0	0	0	0	5520	0	0	0	751	13822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	1134	0	5	766	0	1292	0	0	0	0	0	0	26191	2191	1817	1620	23667	1529	2676	0	53057	0	0	0	0	0	0	0	882	0	12	495	0	536	0	0	0	0	686	10	0	0	0	23	0	0	0	3471	0	0	0	0	0	156	3960	0	17	1088	0	0	0	4191	1454	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0035"	0	1260	4950	137	0	3273	37212	8878	0	24860	355	14	0	0	0	0	24454	0	28514	3113	196	0	0	0	0	7128	0	19923	0	0	0	0	0	0	0	0	2480	145	0	58	0	1037	0	0	36258	153	0	0	0	19	0	0	2955	16	0	23	362	0	1426	0	18173	0	4664	0	291	748	35	2097	17303	532	34518	0	0	9199	47	0	0	0	8415	0	1264	11	11111	0	0	0	13163	8776	0	0	0	0	0	1850	0	560	0	60	0	0	729	6547	50248	3798	0	0	101	1233	16	53	0
"msp_0036"	0	0	0	0	0	0	0	1991	0	5539	0	53	413	0	108	0	21480	0	0	0	0	0	0	0	0	17018	0	0	0	0	0	0	0	179	0	0	119	169	0	0	17	0	0	0	0	0	0	0	0	189	0	0	0	0	50	0	1742	0	0	0	146	200	124	55216	199	0	0	0	0	0	0	8824	0	0	19	229	0	6414	0	0	0	8	0	12780	18131	0	0	3515	0	195	0	22	0	0	0	0	0	28	0	0	0	1464	0	146	87	0	2368	0	0	185	1255
"msp_0037"	0	1451	271	0	0	0	0	0	0	2495	0	0	120	0	0	46	0	0	485	6940	0	0	0	0	0	4524	0	2363	0	110	44	0	0	0	0	0	617	39	0	19	0	0	0	0	0	0	0	0	0	0	0	0	571	0	0	0	323	0	0	0	3384	0	24	9226	0	3630	7	0	0	0	0	17	0	0	10	51	21	0	22	14867	0	589	0	1510	0	0	13651	35	25	0	2365	1211	0	0	0	0	0	53	117	64	1975	682	0	0	0	3151	247	1522	0	122	1995
"msp_0038"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
"msp_0039"	566	432	0	1534	0	0	0	9355	0	0	4300	0	0	0	0	9042	0	0	0	250	0	0	0	1315	0	1060	3349	9	8	0	0	0	1056	0	1106	0	7733	285	262	25095	0	0	0	0	0	2485	0	4	0	16117	2331	248	9768	0	23404	28293	674	0	0	0	277	0	17030	0	192	61869	83	8751	0	1196	0	0	0	0	1444	20036	0	0	134	372	0	0	0	0	0	0	0	1233	173	682	0	0	443	332	0	0	1780	1244	12096	1399	0	0	0	18	0	0	1447	10239	83	70	0
"msp_0040"	0	1633	0	2619	0	0	0	0	0	0	0	1781	1212	0	7643	0	50540	0	0	0	0	0	0	2516	0	4706	0	7501	635	0	0	0	35	9	0	0	7572	577	5	0	15	0	0	0	0	6511	0	0	831	0	0	0	2363	0	3949	0	123	0	0	0	27	0	98	47898	38	13049	93	0	0	0	0	0	0	4	0	111	0	705	26047	24863	13	5703	0	15543	0	0	18743	0	770	0	0	0	0	0	0	0	0	0	1280	0	0	0	0	472	318	7130	8899	94553	0	325	0
"msp_0041"	0	143	0	318413	49	0	0	0	0	0	29478	68921	19673	0	0	115243	0	0	0	0	8	0	0	62485	8	133	39407	77	0	0	0	0	1033	0	12950	0	166146	148787	1576	140793	0	0	0	0	0	33	152	0	0	14205	83726	0	0	92858	335747	193986	2024	0	0	5546	393	0	14	0	21542	2045	1770	292762	0	23791	0	0	0	38	25034	8726	0	0	254760	1800	0	0	0	0	0	3223	0	113	18583	264007	0	0	44758	2338	2358	114700	0	18992	0	0	0	59	0	19951	0	13785	100790	7	30760	34	0
"msp_0042"	0	0	0	0	0	13719	0	0	0	0	4536	0	0	0	171292	0	0	0	0	0	0	0	0	0	21638	0	14	0	16	0	0	0	1832	0	8547	529	0	5	20	2859	0	0	0	0	0	6654	0	0	0	21437	12867	1350	0	0	0	23248	13479	0	0	0	0	0	0	0	0	0	0	347	0	2686	2859	0	0	0	66	29750	0	0	0	23	0	0	0	0	0	3097	0	6321	6004	0	0	0	76	6109	2386	0	0	27355	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0043"	0	2122	0	0	0	0	0	4672	0	0	0	0	3845	0	0	0	0	0	0	0	76362	0	0	0	0	4244	0	6	0	0	0	0	1093	71	0	287	8082	0	0	0	0	23398	0	89089	0	0	0	14	0	654	4762	869	0	506	0	0	206	0	0	0	2756	66589	0	0	42	0	110	13644	0	0	0	0	0	6	92	0	0	8728	12	4	0	0	0	0	20965	0	0	0	480	0	0	2593	0	0	0	23410	0	960	0	0	0	0	0	5	0	0	1092	3002	16298	40	0
"msp_0044"	0	2268	0	5	0	75	0	0	212	170	30	0	0	0	42	56	4	361	63	870	949	0	0	0	40	273	0	417	33	0	67	7	0	0	15	0	42	423	0	0	0	222	257	0	0	0	0	380	95	6	18	834	8	21	31	0	50	25	22	0	3	0	41	0	4	0	151	60	0	0	0	55	8	178	0	26	0	1727	0	0	0	172	315	26	0	26	17	0	33	0	326	97	0	491	89	0	0	5980	68	0	1449	125	176	112	0	1257	87	9	0	59	0
"msp_0045"	3624	1231	0	74	0	5269	4863	0	0	0	0	12971	8112	0	0	12655	7907	0	429	0	3966	0	0	0	33101	0	0	0	0	0	3135	25	0	0	0	38805	0	30	27564	0	0	0	5642	0	4892	0	0	10	11	104	0	24	9898	0	0	0	5866	1832	1901	0	47	47784	1318	0	7141	0	0	0	7179	0	6172	1484	0	0	0	145	5180	4912	152	0	4052	0	0	0	6195	579	13718	0	9094	1031	3622	0	0	395	7790	0	516	3083	5961	3409	7831	5340	1146	47	1343	0	7956	0	643	3747	0
"msp_0046"	0	9399	6333	1000	74641	36065	25441	4601	21817	13411	2912	561	1523	0	346	2060	10724	57106	10584	5738	35912	0	2005	486	28996	51243	682	26753	1273	8723	2466	58	238	22	751	0	5607	6085	28	962	31	32568	41126	0	25499	5499	149	15	200	4336	0	3772	4269	1022	507	2530	1324	0	13718	117098	7839	848	37528	11982	1196	454	10679	22062	21380	1008	51437	72864	17	65568	780	2466	198	2210	6485	53426	13276	36216	19128	23106	41063	3159	21409	43165	1199	811	28739	1259	0	244	9592	1006	295	3225	49882	726	11534	41088	30523	106	1494	11911	9290	39857	31560	20411	72612
"msp_0047"	0	0	0	0	0	938	0	843	0	301	0	0	0	0	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4116	0	90	4063	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2232	0	0	0	0	0	0	0	0	2436	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0048"	12	0	0	0	612	3826	0	41	0	297	57	0	1277	0	257	321	0	0	2427	30	0	0	0	74	18	16	2304	0	310	41380	0	51	71	51	540	152	517	32	9	385	31622	756	21810	0	0	4066	0	112	3308	47	392	47	60	0	0	859	16	0	0	204	15	999	57	0	74	0	5	22	4526	141	116	6128	0	0	229	157	5953	1177	53	9	0	856	5	0	0	0	7009	26	170	2108	591	0	52	0	78	0	66	0	444	157	0	0	0	0	23499	0	0	0	0	2779	0
"msp_0049"	0	0	0	26	0	0	0	23	0	8	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	243	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	5	0	0	0	44	0	0	62	0	0	23	0	0	0	0	7	0	0	0	16	0	0	0	29	0	0	0	3	0	0	548	14	0	68	0	0	0	8	414	0	0	0	0	0	0	0	22	0	814	0	5	0	11	0	0	0	0	57	0
"msp_0050"	0	8	0	0	0	92	91	0	0	8	9	7	836	0	18	26	0	0	0	0	0	0	0	490	181	113	100	0	981	0	45	1154	95	204	6	2831	14	486	0	8	0	96	0	0	79	448	0	2690	139	24	103	15	128	8	10	22	21	0	10	134	36	484	69	0	1495	113	0	64	36	442	235	8	0	67	0	70	1604	1733	15	0	0	20	0	86	110	0	47	19	349	126	0	0	188	85	55	225	143	0	0	8	0	0	48	0	1674	0	102	177	30	20	0
"msp_0052"	0	0	0	0	35	0	15	0	0	0	0	0	0	0	0	0	0	42	26	0	0	0	0	14	20	6	0	10	0	0	0	54	0	24	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	37	0	0	0	0	0	15	0	0	0	0	0	0	0	0	606	0	0	0	47	0	0	1676	0	0	0	4143	0	560	26	0	240	0	0	0	0	29	0	0	0	0	0	0	0	907	44	0	0	16	12	0	14	0	0	0	0	5	18	0	824
"msp_0053"	0	0	0	70	0	0	0	10316	0	3575	0	0	1181	0	1697	0	0	0	0	0	0	0	0	0	0	0	746	0	288	0	0	0	505	0	194	0	0	56	0	15	15	0	0	0	0	514	0	10	0	2458	578	8	581	0	0	10	438	0	0	0	241	0	19274	0	849	0	0	0	366	60	0	4817	0	0	73	6093	0	0	0	0	0	0	0	14291	0	0	0	0	663	1458	134	0	0	45	0	0	0	40	0	0	0	0	0	0	0	15474	20	0	62	849	56
"msp_0054"	1289	1280	285	4	0	452	267	154	0	302	184	7	0	0	491	0	3106	0	0	10120	2791	0	0	1591	180	183	0	1886	5	0	0	0	0	0	0	0	134	0	16	57	1808	79	656	0	264	63	0	0	0	31	115	0	62	0	21	14	14	93	2759	1423	162	6	67	0	20	41	0	889	88	29	0	18	71	875	5	70	0	16	16	0	1448	985	0	215	2771	101	255	0	10	34	0	0	0	0	678	0	0	0	21	0	409	175	0	22	0	307	283	114	6	66	10
"msp_0055"	18486	9	0	1880	0	24	0	371	0	1435	21	1616	934	0	3078	1685	0	0	503	9	0	0	0	3087	423	17730	192	11	6	0	0	97	989	17	506	138	644	1291	13	2419	0	1245	0	0	0	0	0	0	5059	1303	100	129	27	33	151	25116	2739	0	11	0	131	0	3888	0	270	161	0	3107	107	10798	0	0	0	0	360	2844	0	0	1140	33	10	0	0	2584	288	1673	2345	13	64	887	0	0	371	612	27025	0	12	26901	17	867	179	0	22	8	0	57000	1524	3234	12	3885	20830
"msp_0056"	159	18	47	69	234	250	1019	103	22062	239	266	25	0	0	80	61	820	884	54	459	2013	5	0	0	92	156	0	238	634	94	295	105	18	995	68	30	210	87	5648	14	231	436	1033	0	1030	18	0	132	413	15	10	1200	65	40	21	13	44	282	302	524	491	0	365	5250	0	91	390	22	22	333	1042	45	399	326	10	55	6	2398	86	2389	1385	241	610	78	44	139	105	0	9	3	426	292	0	11	25	53	15	108	57	854	1042	358	146	50	6	1700	120	188	2760	390	392
"msp_0057"	0	0	0	11	0	14019	0	0	0	0	0	0	58	0	344	28968	0	0	25	0	0	0	0	327	29191	0	0	0	0	0	0	0	0	0	105	11	25	1176	0	0	0	0	0	0	0	8	0	29	30446	0	0	27	0	21713	0	26	29	0	0	0	0	0	21	0	266	0	0	0	62	10	0	0	0	0	444	0	0	0	18	0	639	0	0	0	150	0	0	278	0	437	13	0	0	4757	636	0	15	0	0	145	0	0	0	0	0	4869	0	0	0	142	0
"msp_0058"	6	0	38347	0	2525	0	384	24	9155	2485	20	34	0	2264	123	52	846	2969	1162	0	612	74548	7556	6	1537	617	425	4500	161	133532	2032	5279	0	5428	0	497	177	176	716	0	49284	117	3217	8226	365	1178	338721	3333	81	0	481	4176	183	0	0	0	24	507	4202	735	4382	43	77	9350	0	0	7937	8	78	202	1060	1348	0	13765	0	0	2080	44514	24	7384	49	1657	14165	17	0	0	163	42	147	0	110	3179	215	15	0	8874	10823	6	0	12	842	0	3815	28	5252	5254	130	5933	1473	11	4032
