"MSP"	"SRS9032175"	"SRS9032172"	"SRS9032166"	"SRS9032079"	"SRS9032163"	"SRS9032162"	"SRS9032160"	"SRS9032078"	"SRS9032076"	"SRS9032158"	"SRS9032072"	"SRS9032157"	"SRS9032156"	"SRS9032071"	"SRS9032069"	"SRS9032065"	"SRS9032064"	"SRS9032061"	"SRS9032059"	"SRS9032058"	"SRS9032057"	"SRS9032150"	"SRS9032054"	"SRS9032149"	"SRS9032053"	"SRS9032043"	"SRS9032148"	"SRS9032039"	"SRS9032147"	"SRS9032034"	"SRS9032143"	"SRS9032141"	"SRS9032140"	"SRS9032137"	"SRS9032134"	"SRS9032133"	"SRS9032131"	"SRS9032129"	"SRS9032121"	"SRS9032119"	"SRS9032115"	"SRS9032113"	"SRS9032110"	"SRS9032108"	"SRS9032106"	"SRS9032102"	"SRS9032099"	"SRS9032098"	"SRS9032096"	"SRS9032095"	"SRS9032094"	"SRS9032092"	"SRS9032089"	"SRS9032084"	"SRS9032081"	"SRS9032075"	"SRS9032070"	"SRS9032060"	"SRS9032055"	"SRS9032052"	"SRS9032049"	"SRS9032048"	"SRS9032046"	"SRS9032045"	"SRS9032042"	"SRS9032041"	"SRS9032038"	"SRS9032036"	"SRS9032198"	"SRS9032194"	"SRS9032189"	"SRS9032188"	"SRS9032173"	"SRS9032171"	"SRS9032159"	"SRS9032145"	"SRS9032144"	"SRS9032142"	"SRS9032127"	"SRS9032124"	"SRS9032118"	"SRS9032117"	"SRS9032116"	"SRS9032114"	"SRS9032112"	"SRS9032111"	"SRS9032109"	"SRS9032107"	"SRS9032104"	"SRS9032103"	"SRS9032101"	"SRS9032100"	"SRS9032091"	"SRS9032090"	"SRS9032088"	"SRS9032087"	"SRS9032086"	"SRS9032077"	"SRS9032074"	"SRS9032073"	"SRS9032068"	"SRS9032067"	"SRS9032066"	"SRS9032063"	"SRS9032062"	"SRS9032056"	"SRS9032051"	"SRS9032050"	"SRS9032047"	"SRS9032044"	"SRS9032035"
"msp_0237"	0	0	0	53	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	1707	0	0	0	0	0	0	266	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1993	0	0	0	0	107	0	0	0	5742	0	0	0	0	0	0	0	0	0	0	23	0
"msp_0238"	0	0	0	0	0	0	0	0	0	0	0	0	1701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0239"	8191	49	0	44	612	0	0	0	0	0	0	0	0	0	0	2523	0	0	0	0	0	0	3015	0	1284	0	0	0	0	0	0	0	0	0	0	0	327	457	0	0	0	276	0	0	0	750	0	0	0	0	1488	0	0	17	0	0	0	47	0	84	472	7309	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0243"	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	59	0	156	0	0	0	47	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	9	0	0	9	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0
"msp_0244"	686	9	0	335	209	0	152	123	0	24	67	127	374	0	486	11	0	0	25	14	5	0	0	3001	0	58	641	12	108	0	0	22	112	0	2862	200	214	39	466	0	0	0	0	0	151	29	0	113	395	85	30	6	917	4157	68	175	358	0	362	0	0	34	20	0	1268	1180	0	8	50	9	24	31	0	7	963	77	141	0	12	0	0	0	0	16	10	0	0	312	528	0	22	0	48	16	235	0	41	595	1350	7	0	13	0	0	295	8	0	16	0	17	0
"msp_0246"	0	0	5883	104	2640	0	61	0	4235	2877	0	3414	0	8568	0	0	273	0	274	0	0	5098	0	0	18	134	0	3849	0	0	698	0	0	552	0	49	0	0	1456	0	11368	210	0	10682	48	718	0	0	8	0	288	2220	0	0	0	0	41	433	212	0	1271	0	0	0	0	15	829	0	0	0	0	0	0	0	0	0	0	0	0	2045	5	138	5229	0	0	241	0	0	0	0	0	6373	0	0	144	6817	324	76	0	0	0	93	0	0	156	0	0	0	1093	0	828
"msp_0247"	0	0	0	13	0	0	0	0	0	157	0	0	227	0	1230	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	6	122	0	0	0	0	0	0	0	13	0	0	1164	0	5735	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0249"	20	89	0	46	121	327	0	9	0	17	76	10	9	0	116	89	0	0	0	50	0	0	0	0	829	601	7	58	5	0	12	0	0	0	11	0	0	8	0	26	0	0	0	0	0	19	0	0	69	188	17	37	107	101	54	10	54	0	819	0	151	0	499	0	85	120	0	249	12	72	23	179	0	0	32	22	0	0	0	0	13	99	0	46	0	55	186	21	20	14	114	0	0	9	30	0	0	131	61	0	17	283	16	0	0	120	113	65	0	850	28
"msp_0250"	2278	0	0	12	0	277	0	2781	0	0	114	0	3842	0	4785	0	0	0	0	123	0	0	0	7668	0	0	0	10	0	0	227	292	0	0	5790	0	4112	89	0	0	0	3953	456	0	0	50	0	7745	1571	786	167	215	0	2472	239	0	1398	0	0	0	10	0	251	0	2210	0	56	0	186	162	0	715	0	9	3944	0	675	0	0	0	0	0	0	0	1315	0	195	0	1319	7	5526	0	4	0	0	0	0	0	374	6	1411	1237	0	0	0	0	0	0	0	0	0
