"rowname"	"U_L2_D5_01"	"U_L2_D5_02"	"U_L2_D5_03"	"U_L2_D6_01"	"U_L2_D6_02"	"U_L2_D6_03"	"U_L2_F7_01"	"U_L2_F7_02"	"U_L2_F7_03"	"U_L2_M8_01"	"U_L2_M8_02"	"U_L2_M8_03"
"HMDB0000755|3-(4-Hydroxyphenyl)lactate (HPLA)"	13.19	14.007	13.856	12.716	13.192	13.285	12.881	13.46	13.341	13.916	13.964	14.255
"HMDB0000752|3-Methylglutaric acid"	13.611	14.334	14.257	15.005	14.9	14.035	14.325	14.28	14.552	15.902	13.631	14.282
"HMDB0000112|4-Aminobutyrate"	13.897	13.861	13.834	13.602	13.773	13.998	13.521	13.401	13.52	13.845	13.929	13.87
"HMDB0000267|5-Oxoproline"	16.991	17.068	17.144	17.225	17.623	17.763	17.476	17.846	17.652	18.523	18.499	18.708
"HMDB0001397|5-GMP"	15.257	15.334	15.393	14.707	15.049	15.008	14.628	14.865	15.169	14.254	15.451	15.765
"HMDB0000201|Acetylcarnitine"	20.439	20.643	20.534	20.574	20.685	20.86	20.302	20.338	20.596	20.794	20.922	20.989
"HMDB0000045|Adenosine monophosphate"	21.39	21.697	21.579	20.81	20.709	21.521	20.849	20.989	21.498	21.358	21.727	22.343
"HMDB0000517|Arginine"	15.094	14.884	14.623	14.591	14.397	14.718	14.491	14.74	14.666	14.539	14.953	14.632
"HMDB0000168|Asparagine"	14.831	15.593	15.424	14.887	15.088	15.692	14.992	15.484	15.111	15.52	15.573	15.888
"HMDB0000062|Carnitine"	20.727	20.737	20.626	20.643	20.631	20.744	20.826	20.738	21.007	20.973	20.725	20.975
"HMDB0000033|Carnosine"	12.186	12.537	12.519	12.14	12.115	12.25	12.312	12.426	12.637	12.522	12.474	12.587
"HMDB0003229|cis-9-Palmitoleic acid"	18.825	19.067	18.387	18.973	20.077	18.619	19.677	19.325	19.69	18.779	18.643	19.014
"HMDB0000904|Citrulline"	15.199	15.06	15.015	15.243	14.987	15.836	15.505	15.837	15.609	15.628	15.737	15.287
"HMDB0000626|Deoxycholate"	20.059	20.598	19.716	20.227	20.499	20.533	20.393	19.841	20.753	20.381	19.661	20.014
"HMDB0001999|Eicosapentaenoate (EPA; 20:5n3)"	15.67	15.542	15.039	15.499	15.936	15.391	16.502	16.321	16.444	14.992	15.036	15.664
"HMDB0000148|Glutamate"	16.17	17.09	17.138	15.755	16.052	16.801	16.277	17.239	16.476	17.1	17.298	17.605
"HMDB0000128|Guanidineacetic acid"	14.722	15.009	14.658	14.631	14.538	14.705	15.035	14.894	14.859	15.31	14.915	14.901
"HMDB0000177|Histidine"	14.894	14.777	14.257	14.744	14.506	14.981	14.163	14.698	14.309	13.904	14.643	14.138
"HMDB0000197|Indoleacetate"	12.337	13.081	13.036	12.404	12.704	12.261	12.878	12.569	12.359	12.78	12.405	13.165
"HMDB0000162|L-Proline"	19.901	20.19	19.858	19.661	19.788	19.637	20.076	20.116	20.363	19.783	19.893	19.929
"HMDB0000158|L-Tyrosine"	12.55	12.757	12.773	12.511	12.502	12.705	12.626	12.757	12.796	12.546	12.38	12.472
"HMDB0000214|L-Ornithine"	13.487	13.288	12.824	12.958	12.627	12.775	12.695	12.878	12.724	12.71	13.586	12.629
"HMDB0000222|L-Palmitoylcarnitine"	13.854	14.388	14.059	14.525	14.556	14.289	14.103	13.746	13.737	14.417	14.485	14.809
"HMDB0000202|Methylmalonic acid"	18.182	17.869	17.898	17.533	17.629	17.516	17.859	17.538	17.534	17.73	17.536	17.696
"HMDB0000812|N-Acetyl-L-aspartic acid"	15.928	16.663	16.636	15.308	15.496	16.532	15.071	16.373	15.823	16.243	16.665	16.671
"HMDB0000230|N-Acetylneuraminic acid"	11.105	11.577	11.598	12.289	12.406	13.227	12.608	13.386	12.862	12.095	12.547	12.582
"HMDB0000207|Oleic acid"	21.018	21.409	20.865	21.524	21.984	21.091	22.368	21.924	22.252	20.729	20.872	21.201
