rowname	CVT09_QC1_LabE_X023	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_QC4_LabE_X026	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s50_X011	CVT09_s55_X012	CVT09_s59_X013	CVT09_s61_X014	CVT09_s67_X015	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018	CVT09_s90_X019	CVT09_s93_X020	CVT09_s99_X021
P0ADA1	1514140	1826330	1867860	1455160	1713280	1859560	1689710	1924700	1682670	1829330	1822810	1604690	1900560	1853090	1543550	1644090	1524010	1467910	1434700	1520000	1539770	1488290	1431250	1475340
P0A8D6	2904130	3142060	3452170	2549190	3255640	3531910	3159140	3275810	3318820	3416150	3515140	2865740	2917730	3256150	2732220	2755730	2920450	2543100	2723640	2732980	3018710	2631760	2660870	2955030
P06993	804545	605979	638072	867954	617085	577207	666922	557986	771311	633352	610704	617156	511828	491720	753882	816760	681466	747547	764943	892254	827315	895723	843555	893807
P00959	10763700	8275610	7927670	10815100	8686620	6581300	8596310	8048330	7765440	7164560	7117170	9303860	8941180	7654740	10730600	10721600	10622900	11307500	11135000	11010800	10903700	11297700	10767600	10875600
P0AEQ1	499954	1126210	1069140	408165	1093310	1221900	1083810	1077680	1036690	1070380	1028420	931668	920148	936891	490284	501895	571820	453811	495986	524832	471510	476081	448269	506353
P25738	5345040	8981000	8612600	5477340	7808840	11963300	8373980	9922470	10832200	10564200	11608800	7917210	7693230	9512950	6820170	5255010	7622300	5962860	6340650	6347400	5203400	5709650	5910720	5839510
P64596	5248120	5943200	5609220	4988290	6388810	5241820	6192090	5963940	6023660	5539530	5526280	6521150	6271890	5441950	5158780	5219410	4917110	5372830	5152020	5476560	5076520	5171500	5347070	5199470
P00452	6542970	6014770	5868200	6350720	6321420	4803860	7020510	5588860	6888550	5163510	5222600	7308760	6095600	4821530	6429050	6387740	6204870	6721510	6587360	6466490	6193700	6692050	6379170	6505490
P0AEG4	8291180	9518590	10014000	7618770	8587190	10675400	9372200	9458440	9553290	9964710	10077600	8119830	8169300	9341470	8846250	7689580	9177790	7598330	8280780	7556900	7826850	8120110	8070340	8385700
P19934	353435	413333	415169	360852	340505	401576	340747	406253	367493	371445	410680	310772	381071	356271	324829	364412	368499	326721	309638	299322	345591	326025	320399	337986
P0A8I8	773813	718938	699706	819024	668646	673888	774815	708888	652674	685574	725259	779410	701561	729345	811926	729584	789977	786792	816576	734634	764198	763806	779629	774377
P0A8T7	22761900	19012700	18399300	21755400	18818400	17334300	19792400	18653600	19568600	17962900	18017600	20671900	19810800	18669600	21398400	21811700	22138400	22286200	22705800	21207000	21079700	22672700	22281700	22836100
P0A794	6031830	7793290	6973300	6598460	7527790	6389910	7373320	7298400	7255320	7058260	6960640	7436340	7659990	7321370	6077230	7037140	6207450	6465580	6374590	6399830	6002270	6386300	6450380	6363490
P0A7J3	160046000	137694000	132618000	162463000	133604000	143228000	128859000	139620000	131244000	135061000	140345000	131434000	128269000	138978000	168117000	173250000	170256000	158233000	158691000	159643000	165690000	154342000	157270000	159883000
P00935	6475190	6254050	6222790	7090370	7269220	6253450	6583520	6147940	5843070	5742380	5700320	6985900	7531890	5805950	6578970	6207410	7099490	6235200	6946310	6552170	6534580	6627370	6604930	6799640
P0AG84	2433410	4025010	4327990	1905080	3518410	5649370	4099560	4255030	5329370	5786940	5520970	3199400	3396150	5184580	2373130	1781610	2789680	2039260	2256290	2271720	2463720	2284660	2555720	2485030
P0A9M8	14651500	20772000	20255300	15619400	20051100	18979800	21246600	20910300	20777100	19999300	20192800	21445200	21050600	21681300	13032100	12864400	12911800	11233000	13064600	13284500	13695100	13702100	14185100	13078800
P0A9Q7	134789000	22131400	21950500	130590000	18933200	22228600	21927000	19968100	25460200	23272100	23020600	18537200	15310100	21841700	119408000	112118000	121553000	96026700	128421000	122125000	123507000	129823000	135002000	127397000
P67087	1791880	2028060	2035980	1773850	2024580	1975750	1952500	2036950	1900790	1935350	1932380	2020700	2139400	1970470	1825420	1733770	1732520	1723370	1708770	1843970	1861560	1747590	1672610	1719510
P0AEJ2	7453000	5070870	5466520	5895240	3073820	5863020	6078310	6091510	6563430	6175990	5277870	2952810	2385430	5629180	5169540	9183170	7601830	6730590	4793840	7944730	6196180	9393720	5961490	7889510
P08142	6001480	7482210	7113470	5664030	7279760	6432600	6743640	6807900	6803690	7000310	6600400	7332970	6863000	6958170	6003950	5392100	6287440	6447910	6333830	5974520	6015120	6164890	6297920	6507210
P76576	2221420	2151970	2161100	2131430	2129200	2135870	2152450	2246720	2136680	2021860	2215760	2102410	2322210	2062730	2275340	2039710	2134600	2107950	2089120	2102060	2083340	2127580	2245120	2225100
P0AET8	4481700	5532290	5258980	4356680	5583830	4890170	5593180	5357040	5928380	5482060	5320050	5538900	5372100	5492360	4587800	4834860	4829510	4554470	4622500	4846160	4759000	4860120	4868180	4787300
P25888	1896730	477429	581877	1555750	395468	609256	504371	499186	433665	537597	518596	426241	456412	542948	1764850	1578650	2009910	1699210	1827900	1612030	1798490	1485250	1646980	1732360
