"file"	"D6"	"F7"	"M8"	"batch"	"condition"
"DDA_NVG_D5_1"	0	0	0	"DDA_NVG"	"D5"
"DDA_NVG_D6_1"	1	0	0	"DDA_NVG"	"D6"
"DDA_NVG_F7_1"	0	1	0	"DDA_NVG"	"F7"
"DDA_NVG_M8_1"	0	0	1	"DDA_NVG"	"M8"
"DDA_NVG_D5_2"	0	0	0	"DDA_NVG"	"D5"
"DDA_NVG_D6_2"	1	0	0	"DDA_NVG"	"D6"
"DDA_NVG_F7_2"	0	1	0	"DDA_NVG"	"F7"
"DDA_NVG_M8_2"	0	0	1	"DDA_NVG"	"M8"
"DDA_NVG_D5_3"	0	0	0	"DDA_NVG"	"D5"
"DDA_NVG_D6_3"	1	0	0	"DDA_NVG"	"D6"
"DDA_NVG_F7_3"	0	1	0	"DDA_NVG"	"F7"
"DDA_NVG_M8_3"	0	0	1	"DDA_NVG"	"M8"
