"rowname"	"U_L1_D5_01"	"U_L1_D5_02"	"U_L1_D5_03"	"U_L1_D6_01"	"U_L1_D6_02"	"U_L1_D6_03"	"U_L1_F7_01"	"U_L1_F7_02"	"U_L1_F7_03"	"U_L1_M8_01"	"U_L1_M8_02"	"U_L1_M8_03"	"U_L2_D5_01"	"U_L2_D5_02"	"U_L2_D5_03"	"U_L2_D6_01"	"U_L2_D6_02"	"U_L2_D6_03"	"U_L2_F7_01"	"U_L2_F7_02"	"U_L2_F7_03"	"U_L2_M8_01"	"U_L2_M8_02"	"U_L2_M8_03"	"T_L4_D5_01"	"T_L4_D5_02"	"T_L4_D5_03"	"T_L4_D6_01"	"T_L4_D6_02"	"T_L4_D6_03"	"T_L4_F7_01"	"T_L4_F7_02"	"T_L4_F7_03"	"T_L4_M8_01"	"T_L4_M8_02"	"T_L4_M8_03"	"U_L5_D5_01"	"U_L5_D5_02"	"U_L5_D5_03"	"U_L5_D6_01"	"U_L5_D6_02"	"U_L5_D6_03"	"U_L5_F7_01"	"U_L5_F7_02"	"U_L5_F7_03"	"U_L5_M8_01"	"U_L5_M8_02"	"U_L5_M8_03"	"U_L3_D5_01"	"U_L3_D5_02"	"U_L3_D5_03"	"U_L3_D6_01"	"U_L3_D6_02"	"U_L3_D6_03"	"U_L3_F7_01"	"U_L3_F7_02"	"U_L3_F7_03"	"U_L3_M8_01"	"U_L3_M8_02"	"U_L3_M8_03"	"U_L3_D5_04"	"U_L3_D5_05"	"U_L3_D5_06"	"U_L3_D6_04"	"U_L3_D6_05"	"U_L3_D6_06"	"U_L3_F7_04"	"U_L3_F7_05"	"U_L3_F7_06"	"U_L3_M8_04"	"U_L3_M8_05"	"U_L3_M8_06"
"HMDB0000128|Guanidineacetic acid"	12.798	12.669	12.766	12.767	12.843	12.905	13.051	13.171	13.261	13.365	13.469	13.297	14.722	15.009	14.658	14.631	14.538	14.705	15.035	14.894	14.859	15.31	14.915	14.901	4.88	4.965	4.755	4.889	4.652	4.848	5.405	5.359	4.927	5.201	5.592	5.648	19.467	18.508	19.238	19.992	19.765	19.581	19.763	19.811	19.639	19.169	19.404	19.597	22.408	22.45	22.321	22.482	22.692	22.366	22.723	22.857	22.895	23.231	23.121	23.176	22.473	22.434	22.444	22.546	22.6	22.503	23.083	22.959	22.929	23.221	23.125	23.137
"HMDB0000177|Histidine"	15.483	15.936	16.638	15.182	15.965	16.623	16.479	15.156	15.071	15.324	15.385	15.689	14.894	14.777	14.257	14.744	14.506	14.981	14.163	14.698	14.309	13.904	14.643	14.138	6.847	6.632	6.968	6.713	6.852	6.983	6.481	6.57	6.48	6.096	6.042	6.396	20.902	20.803	20.922	20.958	20.724	21.043	20.101	20.251	20.268	19.915	19.85	20.021	20.925	20.964	20.874	20.907	20.94	20.822	20.454	20.561	20.676	20.148	20.175	20.127	21.009	21.002	20.916	20.846	20.886	20.85	20.615	20.546	20.532	20.216	20.272	20.235
"HMDB0000118|Homovanillic acid"	0	0	0	0	0	0	0	0	0	0	0	0	11.105	11.398	11.218	11.125	11.198	11.434	10.945	11.149	11.359	11.536	11.674	11.823	4.057	4.012	4.176	4.156	4.124	4.223	4.078	4.084	3.968	4.507	4.466	4.599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000197|Indoleacetate"	11.256	11.407	11.268	11.219	11.791	11.567	11.533	11.429	12.11	11.256	10.903	11.333	12.337	13.081	13.036	12.404	12.704	12.261	12.878	12.569	12.359	12.78	12.405	13.165	1.185	1.165	1.158	1.154	1.135	1.18	1.228	1.176	1.113	1.126	1.183	1.25	22.107	21.64	22.026	21.611	21.531	21.912	21.96	21.686	21.996	21.964	21.904	21.948	18.394	18.336	18.247	18.214	18.347	18.209	18.355	18.419	18.363	18.257	18.307	18.307	18.314	18.36	18.27	18.199	18.295	18.337	18.358	18.329	18.378	18.397	18.287	18.274
"HMDB0000172|Isoleucine"	0	0	0	0	0	0	0	0	0	0	0	0	12.576	12.668	12.562	13.562	14.755	13.63	13.107	13.148	13.447	13.083	13.172	13.246	1.996	2.313	2.506	3.291	3.374	3.246	2.795	3.03	2.96	2.98	2.632	2.838	0	0	0	0	0	0	0	0	0	0	0	0	23.211	23.179	23.132	24.726	24.745	24.675	24.163	24.236	24.213	23.959	24.068	24.05	23.119	23.233	23.23	24.718	24.779	24.751	24.285	24.185	24.172	24.162	24.067	24.006
"HMDB0000679|L-Homocitrulline"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.454	2.516	2.678	2.214	2.233	2.272	2.173	2.254	2.111	2.293	2.211	2.39	13.441	14.562	14.644	13.597	14.07	12.645	13.344	13.725	12.506	12.481	12.348	13.033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000190|L-Lactic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.827	10.772	10.695	11.746	11.588	11.755	12.427	12.31	12.34	12.654	12.681	12.64	16.505	16.834	16.911	18.165	18.003	18.066	17.919	17.906	17.959	18.854	18.751	18.556	21.52	21.048	21.287	22.319	22.069	22.361	22.942	23.468	23.549	23.646	23.694	23.439	21.242	21.445	20.868	22.433	23.018	22.636	23.193	23.598	22.992	23.905	23.957	23.792
"HMDB0000687|L-Leucine"	0	0	0	0	0	0	0	0	0	0	0	0	12.824	12.86	12.709	13.409	13.334	13.558	13.247	13.142	13.52	13.105	12.978	13.335	5.933	5.815	5.868	6.932	6.869	6.892	7.006	6.621	6.71	6.31	6.337	6.286	0	0	0	0	0	0	0	0	0	0	0	0	23.019	23.074	23.132	23.901	24.062	23.954	23.749	23.91	23.795	23.533	23.5	23.433	22.976	23.192	23.07	23.937	24.057	24.056	23.824	23.734	23.65	23.523	23.436	23.323
"HMDB0000156|L-Malic acid"	12.021	12.349	12.027	12.892	11.95	12.007	12.874	12.985	13.305	12.35	12.521	12.806	0	0	0	0	0	0	0	0	0	0	0	0	5.733	5.718	5.625	5.696	5.591	5.877	6.781	6.481	6.492	6.14	6.225	6.244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000696|L-Methionine"	10.856	10.579	10.326	11.446	11.492	11.171	11.14	11.258	11.247	10.577	10.851	10.897	0	0	0	0	0	0	0	0	0	0	0	0	5.795	5.728	6.002	6.543	6.569	6.662	6.422	6.293	6.306	5.751	5.812	5.814	18.855	18.353	19.056	19.621	19.292	19.545	19.327	19.073	19.415	18.998	18.706	18.902	26.073	26.067	26.056	26.148	26.219	26.199	26.134	26.144	26.143	26.052	26.039	26.018	26.09	26.081	26.073	26.211	26.236	26.21	26.13	26.111	26.136	26.07	26.05	26.034
"HMDB0000716|L-Pipecolic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.524	3.526	3.437	3.675	3.626	3.719	3.492	3.318	3.342	3.807	3.825	3.925	23.252	22.808	22.842	23.67	23.581	23.919	24.01	24.022	24.279	24.758	24.88	24.715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000162|L-Proline"	15.632	15.714	15.739	15.567	15.491	15.568	15.984	15.91	16.321	15.877	16.219	16.065	19.901	20.19	19.858	19.661	19.788	19.637	20.076	20.116	20.363	19.783	19.893	19.929	11.131	11.234	11.287	11.121	11.065	10.943	11.398	11.385	11.428	11.342	11.281	11.368	24.44	24.877	24.546	24.447	24.557	24.611	24.464	24.87	24.474	24.112	24.173	24.109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000187|L-Serine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.761	7.265	7.882	7.226	7.13	7.595	7.539	7.589	7.518	7.265	7.066	6.935	17.38	17.636	18.134	17.127	17.587	17.545	17.63	17.894	17.597	18.112	17.42	17.602	22.055	22.203	22.289	21.52	21.707	21.625	21.876	22.111	21.878	21.242	21.387	21.254	22.039	22.153	22.449	21.541	21.475	21.485	21.81	21.703	21.607	21.74	21.141	21.077
"HMDB0000167|L-Threonine"	0	0	0	0	0	0	0	0	0	0	0	0	13.914	14.015	14.112	13.759	13.657	13.913	13.855	13.854	14.132	14.103	14.001	14.219	6.308	6.412	6.301	6.536	6.461	6.243	6.513	6.205	6.427	6.388	6.549	6.409	17.395	18.569	17.717	18.899	19.087	18.638	17.628	18.549	17.868	16.989	17.162	17.144	22.097	22.161	22.088	22.197	22.502	22.231	22.091	22.136	22.113	22.039	22.247	22	22.242	22.294	22.457	22.397	22.511	22.494	22.598	22.351	22.253	22.632	22.457	22.216
"HMDB0000929|L-Tryptophan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.32	3.66	3.326	3.448	3.444	3.377	3.866	3.758	3.831	3.536	3.293	3.98	21.039	20.578	21.175	20.639	20.48	21.217	21.09	21.063	21.39	20.879	21.167	21.274	20.28	20.334	20.333	20.279	20.232	20.182	20.555	20.63	20.428	20.284	20.355	20.474	20.273	20.43	20.373	20.195	20.137	20.184	20.514	20.51	20.425	20.434	20.382	20.375
"HMDB0000158|L-Tyrosine"	11.324	12.146	11.117	11.947	10.873	11.327	10.967	11.003	11.184	10.656	10.769	11.039	12.55	12.757	12.773	12.511	12.502	12.705	12.626	12.757	12.796	12.546	12.38	12.472	6.74	6.647	6.732	6.845	6.795	6.824	6.814	6.689	6.564	5.945	6.011	5.986	22.572	22.178	22.284	22.268	22.122	22.428	21.989	21.894	22.069	21.581	21.609	21.719	23.226	23.15	23.122	23.098	23.208	23.089	23.078	23.102	22.973	22.274	22.346	22.308	23.248	23.159	23.153	23.276	23.322	23.296	23.139	23.048	23.071	22.441	22.147	22.27
"HMDB0000883|L-Valine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.146	6.19	6.15	6.489	6.312	6.503	6.525	6.252	6.307	6.094	6.008	5.983	0	0	0	0	0	0	0	0	0	0	0	0	22.483	0	20.453	21.616	22.724	21.757	21.794	22.439	21.913	0	20.064	0	21.229	0	21.069	21.359	0	21.264	0	21.71	21.11	20.826	20.825	21.579
"HMDB0000214|L-Ornithine"	14.238	13.834	13.757	14.099	13.548	13.845	13.092	13.171	13.415	13.942	14.121	14.093	13.487	13.288	12.824	12.958	12.627	12.775	12.695	12.878	12.724	12.71	13.586	12.629	8.642	8.872	8.927	8.146	8.031	7.891	8.178	8.368	8.284	8.117	8.15	8.314	19.665	19.636	19.59	18.777	18.771	18.73	18.641	18.839	18.547	18.597	18.71	18.83	25.398	25.387	25.345	24.195	24.25	24.164	24.612	24.691	24.603	24.559	24.596	24.641	25.303	25.357	25.357	24.192	24.26	24.191	24.632	24.567	24.563	24.678	24.535	24.508
"HMDB0000222|L-Palmitoylcarnitine"	14.49	14.056	13.971	14.625	14.323	12.408	13.572	13.583	14.142	14.371	14.18	14.784	13.854	14.388	14.059	14.525	14.556	14.289	14.103	13.746	13.737	14.417	14.485	14.809	1.35	1.475	1.384	1.454	1.406	1.526	1.183	1.091	0.993	1.536	1.795	1.7	0	0	0	0	0	0	0	0	0	0	0	0	21.639	21.596	21.729	21.699	21.741	21.691	20.987	21.055	20.958	21.939	21.916	21.876	21.687	21.727	21.654	21.662	21.751	21.726	21.014	21.154	21.172	21.99	21.945	21.962
"HMDB0000176|Maleic acid"	0	0	0	0	0	0	0	0	0	0	0	0	11.992	12.517	12.312	11.915	12.178	12.547	12.128	13.098	11.652	12.568	13.1	13.247	3.42	3.345	3.167	3.2	3.41	3.727	4.202	3.763	3.99	3.864	4.076	4.055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000202|Methylmalonic acid"	11.864	11.865	11.773	11.935	11.712	11.498	12.205	12.156	12.293	12.371	12.217	12.255	18.182	17.869	17.898	17.533	17.629	17.516	17.859	17.538	17.534	17.73	17.536	17.696	6.605	6.624	6.643	6.023	5.997	6.163	7.058	6.914	6.896	6.941	7.017	7.111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000806|Myristic acid"	0	0	0	0	0	0	0	0	0	0	0	0	19.575	19.471	19.206	19.647	20.703	19.515	19.926	19.71	19.971	19.366	19.255	19.778	3.134	2.121	3.163	3.458	3.792	5.157	4.083	2.907	3.609	4.124	1.367	3.392	23.307	23.185	23.197	23.275	23.157	23.276	23.22	23.208	23.128	23.195	23.185	23.198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000215|N-Acetyl-D-glucosamine"	0	0	0	0	0	0	0	0	0	0	0	0	15.95	15.891	16.397	16.256	16.851	16.896	16.46	16.058	16.468	16.243	15.487	16.293	3.902	4.005	3.39	3.834	3.88	4.069	4.745	4.865	4.738	4.533	4.589	4.296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000812|N-Acetyl-L-aspartic acid"	13.968	14.044	13.944	11.925	11.904	11.743	12.163	12.205	12.386	12.651	12.734	13.027	15.928	16.663	16.636	15.308	15.496	16.532	15.071	16.373	15.823	16.243	16.665	16.671	5.133	5.023	4.97	3.633	3.531	3.875	3.913	3.775	3.68	4.18	4.281	4.289	16.309	16.03	16.701	16.433	16.452	16.627	17.13	16.717	17.222	16.885	17.142	17.05	20.777	20.844	20.719	18.828	18.991	18.862	19.185	19.176	18.909	19.606	19.628	19.535	20.741	20.647	20.707	18.914	18.995	18.829	19.08	19.101	18.978	19.603	19.604	19.438
"HMDB0000230|N-Acetylneuraminic acid"	8.936	9.6	9.171	11.924	11.599	11.649	11.988	11.925	12.312	9.821	10.353	10.05	11.105	11.577	11.598	12.289	12.406	13.227	12.608	13.386	12.862	12.095	12.547	12.582	3.272	3.329	3.342	5.229	5.057	5.445	5.429	5.285	5.274	3.859	3.845	3.909	0	0	0	0	0	0	0	0	0	0	0	0	19.443	19.223	19.261	21.068	21.141	21.049	21.345	21.356	21.295	19.904	19.783	19.952	19.245	19.344	19.297	21.065	21.188	21.092	21.31	21.264	21.219	19.88	19.83	19.895
"HMDB0002931|N-Acetylserine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.271	5.381	5.275	5.641	5.516	5.603	5.618	5.543	5.552	6.163	6.198	6.288	0	0	0	0	0	0	0	0	0	0	0	0	21.073	21.141	21.123	21.437	21.541	21.264	21.354	21.287	21.326	21.935	21.773	21.881	21.217	21.009	21.186	21.429	21.597	21.374	21.403	21.287	21.35	21.885	21.796	21.853
"HMDB0000207|Oleic acid"	15.015	14.061	15.146	15.045	15.032	15.247	15.118	15.382	14.562	15.17	15.291	15.323	21.018	21.409	20.865	21.524	21.984	21.091	22.368	21.924	22.252	20.729	20.872	21.201	5.542	5.295	5.977	5.734	5.567	6.04	7.372	6.986	6.92	6.349	5.948	5.562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000824|Propionyl-L-carnitine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.874	2.895	2.774	2.785	2.698	2.811	2.63	2.534	2.595	2.926	3.098	3.152	20.958	20.658	21.199	20.531	20.789	20.817	20.807	20.573	20.87	21.288	21.337	21.247	21.721	21.65	21.624	21.375	21.452	21.476	21.344	21.269	21.339	21.864	21.992	21.852	21.687	21.553	21.588	21.506	21.478	21.385	21.275	21.186	21.136	21.974	22.012	21.842
"HMDB0000243|Pyruvate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.148	5.106	5.718	5.708	5.684	4.747	5.718	5.885	6.271	5.691	5.173	5.527	0	0	0	0	0	0	0	0	0	0	0	0	16.568	16.222	16.504	15.358	15.955	15.515	15.001	0	15.195	16.088	16.442	16.244	16.306	16.675	16.379	15.397	15.616	15.761	0	15.181	14.772	16.327	15.694	16.324
"HMDB0000939|S-Adenosylhomocysteine"	12	12.056	11.837	12.452	12.492	12.563	12.761	12.532	12.799	12.815	12.88	13.048	0	0	0	0	0	0	0	0	0	0	0	0	3.522	3.474	3.662	3.288	3.091	3.192	3.091	2.98	3.424	3.797	3.741	3.639	0	0	0	0	0	0	0	0	0	0	0	0	14.763	15.13	15.154	15.639	15.661	15.616	15.948	16.229	15.922	15.966	16.147	16.209	14.83	14.766	15.048	15.756	15.614	15.785	15.747	15.85	15.829	15.936	16.359	16.159
"HMDB0000254|Succinate"	0	0	0	0	0	0	0	0	0	0	0	0	14.201	14.731	14.528	14.034	14.298	14.522	13.973	14.595	14.521	14.896	14.747	14.913	6.186	6.161	6.226	5.698	5.706	5.82	6.639	6.618	6.581	6.589	6.629	6.597	15.607	15.845	16.005	15.723	15.803	16.234	16.296	16.475	15.71	16.128	16.127	15.696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
