"file"	"condition"	"batch"	"lab"	"platform"	"protocol"	"datatype"	"rep"	"date"	"client"	"batch_code"	"pseudo_sample"
"T_L4_M8_03"	"M8"	"T_L4_01"	"L04"	"T"	"not_available"	"Metabolomics"	3	20200115	"client_03_L05_L04"	"B01"	"client_03_L05_L04_M8_3_1"
"U_L5_D5_01"	"D5"	"U_L5_01"	"L05"	"U"	"not_available"	"Metabolomics"	1	20200601	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D5_1_2"
"U_L5_D5_02"	"D5"	"U_L5_01"	"L05"	"U"	"not_available"	"Metabolomics"	2	20200601	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D5_2_2"
"U_L5_D5_03"	"D5"	"U_L5_01"	"L05"	"U"	"not_available"	"Metabolomics"	3	20200601	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D5_3_2"
"U_L5_D6_01"	"D6"	"U_L5_01"	"L05"	"U"	"not_available"	"Metabolomics"	1	20200601	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D6_1_2"
"U_L5_D6_02"	"D6"	"U_L5_01"	"L05"	"U"	"not_available"	"Metabolomics"	2	20200601	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D6_2_2"
"U_L5_D6_03"	"D6"	"U_L5_01"	"L05"	"U"	"not_available"	"Metabolomics"	3	20200601	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D6_3_2"
"U_L5_F7_01"	"F7"	"U_L5_01"	"L05"	"U"	"not_available"	"Metabolomics"	1	20200601	"client_03_L05_L04"	"B04"	"client_03_L05_L04_F7_1_2"
"U_L5_F7_02"	"F7"	"U_L5_01"	"L05"	"U"	"not_available"	"Metabolomics"	2	20200601	"client_03_L05_L04"	"B04"	"client_03_L05_L04_F7_2_2"
"U_L5_F7_03"	"F7"	"U_L5_01"	"L05"	"U"	"not_available"	"Metabolomics"	3	20200601	"client_03_L05_L04"	"B04"	"client_03_L05_L04_F7_3_2"
"U_L5_M8_01"	"M8"	"U_L5_01"	"L05"	"U"	"not_available"	"Metabolomics"	1	20200601	"client_03_L05_L04"	"B04"	"client_03_L05_L04_M8_1_2"
"U_L5_M8_02"	"M8"	"U_L5_01"	"L05"	"U"	"not_available"	"Metabolomics"	2	20200601	"client_03_L05_L04"	"B04"	"client_03_L05_L04_M8_2_2"
"U_L5_M8_03"	"M8"	"U_L5_01"	"L05"	"U"	"not_available"	"Metabolomics"	3	20200601	"client_03_L05_L04"	"B04"	"client_03_L05_L04_M8_3_2"
