"file"	"condition"	"batch"	"lab"	"platform"	"protocol"	"datatype"	"rep"	"date"	"client"	"batch_code"	"pseudo_sample"
"P_ILM_L1_B1_D5_1"	"D5"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	"Transcriptomics"	1	20200602	"client_01_L01"	"B02"	"client_01_L01_D5_1_1"
"P_ILM_L1_B1_D5_2"	"D5"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	"Transcriptomics"	2	20200602	"client_01_L01"	"B02"	"client_01_L01_D5_2_1"
"P_ILM_L1_B1_D5_3"	"D5"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	"Transcriptomics"	3	20200602	"client_01_L01"	"B02"	"client_01_L01_D5_3_1"
"P_ILM_L1_B1_D6_1"	"D6"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	"Transcriptomics"	1	20200602	"client_01_L01"	"B02"	"client_01_L01_D6_1_1"
"P_ILM_L1_B1_D6_2"	"D6"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	"Transcriptomics"	2	20200602	"client_01_L01"	"B02"	"client_01_L01_D6_2_1"
"P_ILM_L1_B1_D6_3"	"D6"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	"Transcriptomics"	3	20200602	"client_01_L01"	"B02"	"client_01_L01_D6_3_1"
"P_ILM_L1_B1_F7_1"	"F7"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	"Transcriptomics"	1	20200602	"client_01_L01"	"B02"	"client_01_L01_F7_1_1"
"P_ILM_L1_B1_F7_2"	"F7"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	"Transcriptomics"	2	20200602	"client_01_L01"	"B02"	"client_01_L01_F7_2_1"
"P_ILM_L1_B1_F7_3"	"F7"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	"Transcriptomics"	3	20200602	"client_01_L01"	"B02"	"client_01_L01_F7_3_1"
"P_ILM_L1_B1_M8_1"	"M8"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	"Transcriptomics"	1	20200602	"client_01_L01"	"B02"	"client_01_L01_M8_1_1"
"P_ILM_L1_B1_M8_2"	"M8"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	"Transcriptomics"	2	20200602	"client_01_L01"	"B02"	"client_01_L01_M8_2_1"
"P_ILM_L1_B1_M8_3"	"M8"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	"Transcriptomics"	3	20200602	"client_01_L01"	"B02"	"client_01_L01_M8_3_1"
"P_ILM_L2_B1_D5_1"	"D5"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	"Transcriptomics"	1	20180925	"client_02_L02"	"B03"	"client_02_L02_D5_1_1"
"P_ILM_L2_B1_D5_2"	"D5"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	"Transcriptomics"	2	20180925	"client_02_L02"	"B03"	"client_02_L02_D5_2_1"
"P_ILM_L2_B1_D5_3"	"D5"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	"Transcriptomics"	3	20180925	"client_02_L02"	"B03"	"client_02_L02_D5_3_1"
"P_ILM_L2_B1_D6_1"	"D6"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	"Transcriptomics"	1	20180925	"client_02_L02"	"B03"	"client_02_L02_D6_1_1"
"P_ILM_L2_B1_D6_2"	"D6"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	"Transcriptomics"	2	20180925	"client_02_L02"	"B03"	"client_02_L02_D6_2_1"
"P_ILM_L2_B1_D6_3"	"D6"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	"Transcriptomics"	3	20180925	"client_02_L02"	"B03"	"client_02_L02_D6_3_1"
"P_ILM_L2_B1_F7_1"	"F7"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	"Transcriptomics"	1	20180925	"client_02_L02"	"B03"	"client_02_L02_F7_1_1"
"P_ILM_L2_B1_F7_2"	"F7"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	"Transcriptomics"	2	20180925	"client_02_L02"	"B03"	"client_02_L02_F7_2_1"
"P_ILM_L2_B1_F7_3"	"F7"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	"Transcriptomics"	3	20180925	"client_02_L02"	"B03"	"client_02_L02_F7_3_1"
"P_ILM_L2_B1_M8_1"	"M8"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	"Transcriptomics"	1	20180925	"client_02_L02"	"B03"	"client_02_L02_M8_1_1"
"P_ILM_L2_B1_M8_2"	"M8"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	"Transcriptomics"	2	20180925	"client_02_L02"	"B03"	"client_02_L02_M8_2_1"
"P_ILM_L2_B1_M8_3"	"M8"	"P_ILM_L2_B1"	"L02"	"ILM"	"P"	"Transcriptomics"	3	20180925	"client_02_L02"	"B03"	"client_02_L02_M8_3_1"
"P_ILM_L5_B1_D5_1"	"D5"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	"Transcriptomics"	1	20190816	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D5_1_1"
"P_ILM_L5_B1_D5_2"	"D5"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	"Transcriptomics"	2	20190816	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D5_2_1"
"P_ILM_L5_B1_D5_3"	"D5"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	"Transcriptomics"	3	20190816	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D5_3_1"
"P_ILM_L5_B1_D6_1"	"D6"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	"Transcriptomics"	1	20190816	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D6_1_1"
"P_ILM_L5_B1_D6_2"	"D6"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	"Transcriptomics"	2	20190816	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D6_2_1"
"P_ILM_L5_B1_D6_3"	"D6"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	"Transcriptomics"	3	20190816	"client_03_L05_L04"	"B04"	"client_03_L05_L04_D6_3_1"
"P_ILM_L5_B1_F7_1"	"F7"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	"Transcriptomics"	1	20190816	"client_03_L05_L04"	"B04"	"client_03_L05_L04_F7_1_1"
"P_ILM_L5_B1_F7_2"	"F7"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	"Transcriptomics"	2	20190816	"client_03_L05_L04"	"B04"	"client_03_L05_L04_F7_2_1"
"P_ILM_L5_B1_F7_3"	"F7"	"P_ILM_L5_B1"	"L05"	"ILM"	"P"	"Transcriptomics"	3	20190816	"client_03_L05_L04"	"B04"	"client_03_L05_L04_F7_3_1"
