"rowname"	"U_L1_D5_01"	"U_L1_D5_02"	"U_L1_D5_03"	"U_L1_D6_01"	"U_L1_D6_02"	"U_L1_D6_03"	"U_L1_F7_01"	"U_L1_F7_02"	"U_L1_F7_03"	"U_L1_M8_01"	"U_L1_M8_02"	"U_L1_M8_03"	"U_L2_D5_01"	"U_L2_D5_02"	"U_L2_D5_03"	"U_L2_D6_01"	"U_L2_D6_02"	"U_L2_D6_03"	"U_L2_F7_01"	"U_L2_F7_02"	"U_L2_F7_03"	"U_L2_M8_01"	"U_L2_M8_02"	"U_L2_M8_03"	"T_L4_D5_01"	"T_L4_D5_02"	"T_L4_D5_03"	"T_L4_D6_01"	"T_L4_D6_02"	"T_L4_D6_03"	"T_L4_F7_01"	"T_L4_F7_02"	"T_L4_F7_03"	"T_L4_M8_01"	"T_L4_M8_02"	"T_L4_M8_03"	"U_L5_D5_01"	"U_L5_D5_02"	"U_L5_D5_03"	"U_L5_D6_01"	"U_L5_D6_02"	"U_L5_D6_03"	"U_L5_F7_01"	"U_L5_F7_02"	"U_L5_F7_03"	"U_L5_M8_01"	"U_L5_M8_02"	"U_L5_M8_03"
"HMDB0001844|2-Methylsuccinic acid"	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.8646875	4.76327083333333	4.74627083333333	4.79127083333333	4.77727083333333	4.75227083333333	4.80427083333333	4.88127083333333	4.84727083333333	4.86527083333333	5.01427083333333	5.08227083333333	5.05127083333333	4.58035416666666	4.75435416666666	4.66435416666666	4.76435416666667	5.14135416666666	5.07435416666666	4.97235416666666	5.42235416666667	5.12835416666667	4.35135416666667	4.47735416666667	5.04535416666666
"HMDB0000357|3-Hydroxybutyric acid"	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.398625	5.11454166666667	5.10554166666667	5.08754166666667	5.60854166666667	5.44954166666667	5.51954166666667	5.53054166666667	5.36054166666667	5.41554166666667	5.44954166666667	5.56854166666667	5.57354166666667	5.96120833333333	5.42820833333333	4.52720833333333	4.43920833333333	5.15520833333333	6.33520833333333	4.98220833333333	5.35920833333333	5.71020833333333	6.75920833333333	5.11420833333333	5.01220833333333
"HMDB0000555|3-Methyladipic acid"	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0864375	4.0211875	3.9621875	3.9821875	4.0711875	4.1041875	4.0711875	4.0271875	4.0801875	4.1251875	4.0611875	4.2441875	4.2871875	4.4719375	4.2529375	4.3679375	3.5309375	3.9179375	4.4849375	3.7799375	3.3109375	3.9589375	4.2719375	4.4549375	4.2339375
"HMDB0000755|3-(4-Hydroxyphenyl)lactate (HPLA)"	7.46233333333334	7.50533333333334	7.40533333333334	7.34433333333334	7.35833333333334	7.06433333333334	7.24033333333334	7.25033333333334	7.70033333333334	7.49533333333334	7.67533333333334	8.00433333333334	7.14358333333333	7.96058333333333	7.80958333333333	6.66958333333333	7.14558333333333	7.23858333333333	6.83458333333333	7.41358333333333	7.29458333333333	7.86958333333333	7.91758333333333	8.20858333333333	7.44725	7.39625	7.56925	7.56925	7.47725	7.37925	7.38525	7.32225	7.13025	7.61325	7.48425	7.73225	7.45883333333333	7.45883333333333	7.45883333333333	7.45883333333333	7.45883333333333	7.45883333333333	7.45883333333333	7.45883333333333	7.45883333333333	7.45883333333333	7.45883333333333	7.45883333333333
"HMDB0003911|3-Amino isobutanoate"	4.52458333333333	4.52458333333333	4.52458333333333	4.52458333333333	4.52458333333333	4.52458333333333	4.52458333333333	4.52458333333333	4.52458333333333	4.52458333333333	4.52458333333333	4.52458333333333	4.52458333333334	4.52458333333334	4.52458333333334	4.52458333333334	4.52458333333334	4.52458333333334	4.52458333333334	4.52458333333334	4.52458333333334	4.52458333333334	4.52458333333334	4.52458333333334	4.38525	4.35225	4.37425	4.58925	4.55225	4.59425	4.58925	4.51825	4.61025	4.55425	4.57125	4.60425	4.98958333333333	4.54458333333333	4.49358333333333	4.85058333333333	4.31258333333333	4.59058333333333	4.49858333333333	3.98058333333333	4.57958333333333	4.59758333333333	4.09858333333333	4.75858333333333
"HMDB0000752|3-Methylglutaric acid"	12.5184583333333	14.1714583333333	13.4094583333333	13.1834583333333	12.7624583333333	12.3304583333333	13.1174583333333	13.8474583333333	12.5634583333333	14.6584583333333	12.6724583333333	12.2354583333333	12.307375	13.030375	12.953375	13.701375	13.596375	12.731375	13.021375	12.976375	13.248375	14.598375	12.327375	12.978375	13.071875	13.071875	13.061875	13.125875	13.115875	13.125875	13.115875	13.092875	13.125875	13.177875	13.199875	13.184875	13.0842916666667	13.1442916666667	13.0372916666667	13.2892916666667	13.2572916666667	13.1622916666667	12.9292916666667	13.1162916666667	12.9812916666667	13.2492916666667	13.0642916666667	13.1552916666667
"HMDB0000779|3-Phenyllactic acid"	6.25789583333333	6.25789583333333	6.25789583333333	6.25789583333333	6.25789583333333	6.25789583333333	6.25789583333333	6.25789583333333	6.25789583333333	6.25789583333333	6.25789583333333	6.25789583333333	6.51739583333333	6.40639583333333	5.97139583333333	6.45939583333333	6.26939583333333	6.87839583333333	5.80839583333333	6.47339583333333	6.17039583333333	5.37639583333333	6.66039583333333	6.10339583333333	6.0860625	6.0200625	6.0500625	6.3990625	6.4730625	6.5030625	6.1820625	6.2610625	6.2610625	6.2400625	6.3070625	6.3120625	5.91464583333333	5.95664583333333	6.34564583333333	6.76764583333333	7.21464583333333	7.01064583333333	6.22864583333333	5.48164583333333	5.47164583333333	5.99264583333333	6.32164583333333	6.38864583333333
"HMDB0000112|4-Aminobutyrate"	11.93875	12.08775	11.95375	11.96475	11.99775	11.86975	11.56975	11.43275	11.47575	12.08075	12.26875	12.44175	12.06625	12.03025	12.00325	11.77125	11.94225	12.16725	11.69025	11.57025	11.68925	12.01425	12.09825	12.03925	11.8796666666667	12.1136666666667	11.8896666666667	11.7556666666667	11.9936666666667	11.8586666666667	11.3406666666667	11.3176666666667	11.4286666666667	12.3776666666667	12.5356666666667	12.5906666666667	12.4203333333333	11.9723333333333	12.2473333333333	12.2813333333333	12.1633333333333	12.3953333333333	11.2913333333333	11.8033333333333	10.7923333333333	11.9483333333333	11.9693333333333	11.7973333333333
"HMDB0001149|5-Aminolevulinic acid"	5.04808333333333	5.04808333333333	5.04808333333333	5.04808333333333	5.04808333333333	5.04808333333333	5.04808333333333	5.04808333333333	5.04808333333333	5.04808333333333	5.04808333333333	5.04808333333333	5.04808333333334	5.04808333333334	5.04808333333334	5.04808333333334	5.04808333333334	5.04808333333334	5.04808333333334	5.04808333333334	5.04808333333334	5.04808333333334	5.04808333333334	5.04808333333334	5.04116666666667	5.00616666666667	4.85916666666667	4.84016666666667	4.75716666666667	4.83116666666667	5.15216666666667	5.11616666666667	4.84816666666667	5.25716666666667	5.45416666666667	5.41416666666667	4.43566666666667	4.22066666666667	4.65166666666667	5.53066666666667	5.53966666666667	5.69666666666667	5.58066666666667	5.11066666666667	5.29166666666667	3.75966666666667	5.57666666666667	5.18266666666667
"HMDB0000267|5-Oxoproline"	8.86991666666667	9.51391666666667	8.97891666666667	10.4479166666667	10.4359166666667	9.73691666666667	10.1099166666667	10.5799166666667	10.1969166666667	11.4949166666667	11.5429166666667	11.3479166666667	9.5525	9.6295	9.7055	9.7865	10.1845	10.3245	10.0375	10.4075	10.2135	11.0845	11.0605	11.2695	10.39525	10.28325	10.15325	9.99925	9.89725	10.03725	10.42325	10.35825	9.98625	10.57625	10.58725	10.55925	10.2713333333333	10.2713333333333	10.2713333333333	10.2713333333333	10.2713333333333	10.2713333333333	10.2713333333333	10.2713333333333	10.2713333333333	10.2713333333333	10.2713333333333	10.2713333333333
