run	Method	Accuracy	Precision	Recall	F1_Score	MCC	ARI
4	balanced_BC_Cntrl_2cls	0.5	0.5	0.6666666666666666	0.5714285714285715	0	-0.001486160133754436
4	balanced_BC_Fed_2cls	1	1	1	1	1	1
4	balanced_AC_Cntrl_2cls	1	1	1	1	1	1
4	balanced_AC_Fed_2cls	1	1	1	1	1	1
5	balanced_BC_Cntrl_2cls	0.5	0.5	0.3333333333333333	0.4	0	-0.001486160133754436
5	balanced_BC_Fed_2cls	1	1	1	1	1	1
5	balanced_AC_Cntrl_2cls	1	1	1	1	1	1
5	balanced_AC_Fed_2cls	1	1	1	1	1	1
6	balanced_BC_Cntrl_2cls	0.5	0.5	0.6666666666666666	0.5714285714285715	0	-0.001486160133754436
6	balanced_BC_Fed_2cls	0.9116666666666666	0.9660377358490566	0.8533333333333334	0.9061946902654868	0.8289944304395553	0.6773464557895142
6	balanced_AC_Cntrl_2cls	1	1	1	1	1	1
6	balanced_AC_Fed_2cls	0.9166666666666666	0.9699248120300752	0.86	0.9116607773851589	0.8387372994746642	0.6939400558397519
7	balanced_BC_Cntrl_2cls	0.5	0.5	0.6666666666666666	0.5714285714285715	0	-0.001486160133754436
7	balanced_BC_Fed_2cls	1	1	1	1	1	1
7	balanced_AC_Cntrl_2cls	1	1	1	1	1	1
7	balanced_AC_Fed_2cls	1	1	1	1	1	1
8	balanced_BC_Cntrl_2cls	0.5	0.5	0.3333333333333333	0.4	0	-0.001486160133754436
8	balanced_BC_Fed_2cls	1	1	1	1	1	1
8	balanced_AC_Cntrl_2cls	1	1	1	1	1	1
8	balanced_AC_Fed_2cls	1	1	1	1	1	1
9	balanced_BC_Cntrl_2cls	0.5	0.5	0.6666666666666666	0.5714285714285715	0	-0.001486160133754436
9	balanced_BC_Fed_2cls	0.995	0.9933554817275747	0.9966666666666667	0.995008319467554	0.9900055000458338	0.9800667227783961
9	balanced_AC_Cntrl_2cls	1	1	1	1	1	1
9	balanced_AC_Fed_2cls	0.9916666666666667	0.9933110367892977	0.99	0.9916527545909849	0.9833387963418214	0.9668891682109036
1	mild_imbalanced_BC_Cntrl_2cls	0.5083333333333333	0.49364791288566245	0.9444444444444444	0.6483909415971395	0.09160553398655272	-0.0013444328944072455
1	mild_imbalanced_BC_Fed_2cls	0.9316666666666666	0.9186440677966101	0.9409722222222222	0.9296740994854201	0.863477565034801	0.7449192862635357
1	mild_imbalanced_AC_Cntrl_2cls	0.51	0	0	0	-0.09656090991705352	-0.001204574912592498
1	mild_imbalanced_AC_Fed_2cls	0.9316666666666666	0.9186440677966101	0.9409722222222222	0.9296740994854201	0.863477565034801	0.7449192862635357
10	mild_imbalanced_BC_Cntrl_2cls	0.52	0.5	0.6423611111111112	0.5623100303951368	0.05077438236084079	-6.324746369129971e-5
10	mild_imbalanced_BC_Fed_2cls	0.61	0.9821428571428571	0.1909722222222222	0.31976744186046513	0.32247760706654066	0.04685342093081844
10	mild_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
10	mild_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
11	mild_imbalanced_BC_Cntrl_2cls	0.52	0.5	0.6423611111111112	0.5623100303951368	0.05077438236084079	-6.324746369129971e-5
11	mild_imbalanced_BC_Fed_2cls	1	1	1	1	1	1
11	mild_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
11	mild_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
12	mild_imbalanced_BC_Cntrl_2cls	0.55	0.6	0.1875	0.2857142857142857	0.10090091909944687	0.00837963603965883
12	mild_imbalanced_BC_Fed_2cls	1	1	1	1	1	1
12	mild_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
