rowname,CVT09_QC3_LabE_X025,CVT09_s3_X002,CVT09_s10_X003,CVT09_s13_X004,CVT09_s16_X005,CVT09_s25_X006,CVT09_s28_X007,CVT09_s31_X008,CVT09_s36_X009,CVT09_s41_X010,CVT09_s59_X013,CVT09_s61_X014,CVT09_s73_X016,CVT09_s84_X018,CVT09_s93_X020
P75960,21.687100205392596,21.908366592359652,21.796781271273588,21.791136329477954,21.786574873377962,21.67226948728688,21.58337047589753,21.715116599454642,22.02772598151946,21.970643908565744,21.581946189950443,21.64080555274878,21.721861980710756,21.53325140897454,21.533740454609024
P75966,19.982339036137553,20.02882235434241,20.102930911425418,19.863356885550132,19.99947280881177,19.882142047110644,20.07730318904777,19.989306930651743,20.038939218363492,19.810265678229037,19.99227071074228,20.113467320351507,19.798829463447884,20.010214887041254,19.726261580863216
P75974,19.86007745739309,19.505902340465404,19.996289364319765,19.879426908127794,19.943027821459054,19.849749227827232,19.99468236386147,20.01986820946939,19.775902995256235,19.93493004325103,19.66119276034947,19.801593343332836,20.087907365785178,19.356615304777296,19.860250308569775
P75989,18.952196335610193,18.794160911328998,18.84214325166799,18.803235043344547,18.8945183511299,19.16262121274363,18.796294763887836,18.537672353857175,18.669374550980024,18.71922724535651,18.604767879553265,18.869762479285846,18.79559588296502,18.60858041910931,18.900997262415455
P76002,24.400284888363903,24.545299051996167,23.99399734529198,24.207368046228112,23.450967568236482,23.547533803298517,24.012970618118,24.185161664670062,24.264531677790504,23.85340449993038,25.071863919380274,24.787305680943046,24.732245425440063,24.795289159835008,24.826480979415294
P76004,21.531928415860392,21.519706902185472,21.609789939303006,21.47275080774764,21.477078744389637,21.460090685773757,21.458498233897554,21.614840312929363,21.628142651339154,21.663820367896243,20.979764952820982,21.07580376114042,21.087401085622645,20.972383930243605,21.05201443657669
P76007,19.23927214130528,18.917778760884698,19.16723174315705,19.229579386279614,19.452440707344213,19.380271487319437,19.32536898844282,19.287676221516996,19.15973777692032,19.32341783958734,19.70811995875901,19.895357977576683,19.67667599041002,19.759253158442146,19.612367777312624
P76008,20.15805917828686,20.795822597839006,20.247385595301104,20.62544357501391,20.48289534666928,20.322669833481537,20.129046789871186,20.20828199333256,20.67625301255503,20.729895690308382,20.773967613913744,20.60584882870842,20.643560549559325,20.692654147641818,20.636741285119104
P76010,18.704961788305283,16.864140495099537,18.57535800769184,19.285971915436782,19.60725577562869,18.963891131353268,19.17971220337222,18.971213161573694,17.167322396944268,16.23500081626841,,,13.819480953713477,,
P76014,20.748556462192763,20.881514496807636,20.733611733426706,20.922095154705527,20.748727719889583,20.844419639042098,20.843508224677823,20.788855923763126,20.855765787991587,20.80230788822295,21.56659589421235,21.74034209132768,21.937075716027763,21.645415607862727,21.952010119819978
P76015,21.17093588648859,21.059467813376056,21.147027592265385,21.13315882654813,21.024166567893246,21.20005025718317,21.126593952628042,21.12862838293682,21.142955651125654,21.04752303197849,21.436254636994974,21.22726807217833,21.304690418433097,21.34473733744548,21.402745527343573
P76027,22.71013957391943,22.893252349670004,22.587614717383286,22.728151503179607,23.02460989934472,22.3982636842123,22.806039101004448,22.85603684566159,22.784763466143886,23.079496335104295,22.690022827041002,22.741236420029395,22.896293345286956,22.76355317868935,22.981828539678002
P76034,20.949348914532358,21.252822987750218,20.43686865778463,21.08170412611137,21.136758356151553,20.730444990786545,20.77382898377966,20.760653232905153,21.206962466654108,21.36748866394002,21.014289386888983,20.90054770348342,20.958272278740306,21.058034821495113,21.020161503949254
P76035,20.526665824072943,20.50001236423808,20.808015866651193,20.845889446218827,20.668448861561327,20.871384887051317,20.726908438408376,20.681015446893923,20.737748154480958,20.572652890942273,20.874733823699753,20.904296252955316,20.794110095574585,20.794915521388646,20.82479891577363
