file	lab	condition
CVT09_QC1_LabE_023	lab_E	Glu
CVT09_QC2_LabE_024	lab_E	Pyr
CVT09_QC3_LabE_025	lab_E	Pyr
CVT09_QC4_LabE_026	lab_E	Glu
CVT09_s3_002	lab_E	Pyr
CVT09_s10_003	lab_E	Pyr
CVT09_s13_004	lab_E	Pyr
CVT09_s16_005	lab_E	Pyr
CVT09_s25_006	lab_E	Pyr
CVT09_s28_007	lab_E	Pyr
CVT09_s31_008	lab_E	Pyr
CVT09_s36_009	lab_E	Pyr
CVT09_s41_010	lab_E	Pyr
CVT09_s50_011	lab_E	Pyr
CVT09_s55_012	lab_E	Glu
CVT09_s59_013	lab_E	Glu
CVT09_s61_014	lab_E	Glu
CVT09_s67_015	lab_E	Glu
CVT09_s73_016	lab_E	Glu
CVT09_s77_017	lab_E	Glu
CVT09_s84_018	lab_E	Glu
CVT09_s90_019	lab_E	Glu
CVT09_s93_020	lab_E	Glu
CVT09_s99_021	lab_E	Glu
