"file"	"D6"	"F7"	"M8"	"batch"	"condition"
"DIA_BGI_D5_1"	0	0	0	"DIA_BGI"	"D5"
"DIA_BGI_D6_1"	1	0	0	"DIA_BGI"	"D6"
"DIA_BGI_F7_1"	0	1	0	"DIA_BGI"	"F7"
"DIA_BGI_M8_1"	0	0	1	"DIA_BGI"	"M8"
"DIA_BGI_D5_2"	0	0	0	"DIA_BGI"	"D5"
"DIA_BGI_D6_2"	1	0	0	"DIA_BGI"	"D6"
"DIA_BGI_F7_2"	0	1	0	"DIA_BGI"	"F7"
"DIA_BGI_M8_2"	0	0	1	"DIA_BGI"	"M8"
"DIA_BGI_D5_3"	0	0	0	"DIA_BGI"	"D5"
"DIA_BGI_D6_3"	1	0	0	"DIA_BGI"	"D6"
"DIA_BGI_F7_3"	0	1	0	"DIA_BGI"	"F7"
"DIA_BGI_M8_3"	0	0	1	"DIA_BGI"	"M8"
