"rowname"	"DIA_BGI_D5_1"	"DIA_BGI_D6_1"	"DIA_BGI_F7_1"	"DIA_BGI_M8_1"	"DIA_BGI_D5_2"	"DIA_BGI_D6_2"	"DIA_BGI_F7_2"	"DIA_BGI_M8_2"	"DIA_BGI_D5_3"	"DIA_BGI_D6_3"	"DIA_BGI_F7_3"	"DIA_BGI_M8_3"
"[Protein ADP-ribosylarginine] hydrolase"	18.1698932580507	18.2099970497968	17.6957234144175	18.3348028999981	17.9748662977735	18.1727900817162	18.0104052939311	18.7666781286267	17.9962766643068	18.5329707996045	18.3239542317428	18.5790953165708
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"	17.5324910878731	17.9372673463896	17.9853447733611	17.143436977356	17.5423849058678	17.988430861573	18.0104637517454	17.4467908146992	17.5177551703316	18.0138411619886	17.7870903241368	17.4976454389831
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial"	18.5013963418812	17.5660364518823	17.6465828189742	17.6267145725076	18.8173751691708	17.7616907555928	18.1658461601851	17.7626907879029	18.3459652175331	17.8057107358412	17.5803227750877	17.899232076952
"1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon"	19.4495744370818	18.5495102059047	18.9644030983673	18.3451186619165	19.2920589430218	18.652023865417	19.0579475963144	18.4186740279924	19.5024227856524	18.8568419758607	18.9203842505206	18.4131998637422
"1-acyl-sn-glycerol-3-phosphate acyltransferase gamma"	17.6852283115649	17.5864370242149	17.8178197270256	17.4459213973395	17.6494441584736	17.4568580247925	17.6289094841736	16.7931276224316	17.3322143192468	17.2718021443705	17.7870179831934	17.0753259190044
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2"	19.3172089166078	19.3267094466007	19.0675018933431	19.087232494454	19.3602175877435	19.1874365167755	19.0971195592637	19.0828899493803	19.3645295597716	19.2867464797443	19.0403365190191	19.1313689610984
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"	17.3057281299252	17.8498725672751	18.0596078337204	17.6301171530556	17.1296320994899	17.6217534582701	17.6690115803899	17.7756365456816	17.443554594255	17.8319402649384	18.0674973003244	17.5772205139523
"1,4-alpha-glucan-branching enzyme"	19.142453027659	19.4757677018222	19.9695742123422	19.6299409137966	19.1800737517334	19.5721036255202	20.073119854354	19.5953289603576	19.0807320372565	19.5029716478343	19.9797582579855	19.7156118292658
"10 kDa heat shock protein, mitochondrial"	22.3221817315731	22.4318929413683	22.4359061437721	22.1370676495297	22.3022098943424	22.3704147208078	22.4502391826271	22.1059912746322	22.2960906168584	22.3956959431739	22.4189531734499	22.1202092922279
"116 kDa U5 small nuclear ribonucleoprotein component"	20.9101728511702	20.9182921760147	20.6677355390276	20.8210197093051	20.9143258280742	20.8254117072901	20.80440192273	20.8501292661548	20.8374654052929	20.7708345259495	20.743907218973	20.8385028584194
"14 kDa phosphohistidine phosphatase"	20.0309907617416	20.0380347037943	20.0357902324783	18.1357833603102	19.4991889933643	19.1599388456753	19.2964512349191	20.017482303115	19.7262622038533	19.3781219362176	20.403727528045	20.0230554299713
"14-3-3 protein epsilon"	22.0864391361037	22.0311176007727	22.0448852848479	22.1371263454233	22.1316535928399	22.0732152833495	21.9994831043459	22.1326998915216	22.1831577927885	22.0654450380838	22.0359887852051	22.1576336338856
"14-3-3 protein eta"	20.2205552763256	20.1692701247343	20.0088320769293	20.1692707278197	20.2465545485666	20.1641822358513	19.8463602778197	20.1528229011527	20.2447594831198	20.1777831726602	20.0147642397108	20.1507961869607
"14-3-3 protein sigma"	21.6729827897119	21.442656223233	21.3176201295287	21.4234708972359	21.5322216368538	21.5291504019199	20.9458546462659	21.7859807412664	22.0916312209129	21.6983223018112	21.8391277307063	21.2708357043741
"14-3-3 protein theta"	20.8581356207735	21.1216184559633	21.0484184313207	21.0510250517422	20.8772177155721	21.08466146154	20.9809168980819	21.0842107138043	20.8699918787899	21.1329824627426	21.0423182614051	21.1676907278171
"14-3-3 protein zeta/delta"	22.2944114468429	22.3621422035526	22.1463466421042	22.3679924689713	22.2226692905242	22.2840729847042	21.9629567021721	22.3878531261015	22.2817396852672	22.3014155370391	22.295489020569	22.4793094065495
"15 kDa selenoprotein"	18.6537738674516	18.5243308958997	18.8162711101944	18.6701068197925	18.4283923231346	18.7487122108661	17.5197773319473	18.2396046788929	18.552748899547	17.9196580514867	18.8569223411723	18.2223421921138
"182 kDa tankyrase-1-binding protein"	18.5884821113762	18.7340599442255	19.3430453506607	19.1804906631095	18.6184360779507	18.42962804759	19.5465807054708	19.5421781127109	20.3788815396353	19.0485919993659	19.0823548973463	19.0960247702233
"2-5-oligoadenylate synthase 1"	18.5937471591779	18.564606831168	18.0720942461711	17.8991292946069	18.4729911524353	18.2700260981256	18.3732970672239	17.6908369366248	18.3540117288278	17.9788739305864	18.7074805168709	17.9313343703392
"2-5-oligoadenylate synthase 2"	20.6203977167689	20.6080685659107	20.0464181907362	21.0385217786035	20.7682621072393	20.5853902393773	20.0317653842139	20.9872995851441	20.6750782480175	20.5554196863499	20.0393176846268	21.074722325795
"2-5-oligoadenylate synthase 3"	19.6717426344974	19.5490743843963	19.1399798993696	20.1302922923611	19.6737775176448	19.6587768935977	19.2316455521706	20.085497521958	19.6032223197172	19.6639146369537	19.1936234482519	20.1187816679797
"2-5-oligoadenylate synthase-like protein"	17.5359333776848	15.6949251693726	17.8214928613357	17.828046186365	17.4735030221398	17.3152069744526	17.3452293740645	17.6402443842348	16.7825405970989	17.0511656946143	17.0038853162306	17.4333944777609
"2-deoxynucleoside 5-phosphate N-hydrolase 1"	19.7870869998061	19.7194709217739	19.925068749579	19.8957260971783	19.8383267912584	19.8867185057428	19.8522469196044	19.8659936017704	19.9116896879913	19.7438221150528	19.9641387677791	19.6825555176215
"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial"	18.3157450805881	18.2474154769672	17.8384634996977	18.0623112062247	18.5787930603088	18.2622896235594	18.0663566231165	17.5026921618247	18.2847518951672	17.7074327533765	18.065429479077	17.7225004377414
"2-oxoglutarate dehydrogenase, mitochondrial"	19.8267766226421	19.778565524953	19.6164137579937	19.4360083747445	19.83611089009	19.7453106856435	19.6110905238698	19.4240079208121	19.7074852647266	19.6603723911094	19.6545315059591	19.5060000691178
"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial"	19.253138909107	19.3257600575543	19.4850164495665	19.3671308084677	19.421033407141	19.2376851771011	19.6256634476136	19.4550352007496	19.5286201506981	19.2253067075897	19.6110027332974	19.4821334729896
"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"	19.2208912633302	19.2626877228212	19.4123269891196	19.2239425492407	19.3688783505188	18.9902745881485	19.2369800316848	19.1388257656957	19.0714514712803	18.9756061794193	18.7094185670609	19.2260362453916
"2,3-cyclic-nucleotide 3-phosphodiesterase"	18.7384383040651	18.5260675487763	18.2694382348674	18.4487411318581	18.1239939646099	18.7501180271213	18.3362443666109	18.3905457812889	18.842880484666	18.8045934674607	18.6661402828428	18.6159301608892
"2,4-dienoyl-CoA reductase, mitochondrial"	20.1685823645571	20.7909834818505	20.7332145940065	20.795443914064	20.5110375456136	20.7678163010243	20.7088882990226	20.7656589982995	20.5422146966512	20.8173964198279	20.731990853839	20.7228415099757
"2,5-phosphodiesterase 12"	17.7382917854314	18.2438165360715	18.1186111732943	17.8071917235186	18.273331600808	18.1923451386732	18.1812104536948	18.3301534274005	18.2387701739078	18.3135856056091	18.2376196047702	17.7631471066228
"26S protease regulatory subunit 10B"	20.1680426864136	20.4069455228407	20.4732379867883	20.1767732171724	20.4250343324517	20.4301956356404	20.3962590326628	20.2740478334235	20.2336814493022	20.4251373612852	20.3718024912788	20.2824780228184
"26S protease regulatory subunit 4"	20.2807183080381	20.4513299066442	20.4978835707096	20.3345597129961	20.4167459117616	20.4112648496309	20.5197278612766	20.3920817819607	20.3684297419508	20.3663224287728	20.3500725433691	20.3529783009844
"26S protease regulatory subunit 6A"	19.9561095501381	20.1648064458893	20.1306543615439	20.105349825091	20.0618368775743	20.1282232174322	20.0537561849386	20.0962378688073	20.030895224109	20.089807416078	20.0948954659869	20.0134921266283
"26S protease regulatory subunit 6B"	20.0843903038383	20.2507345142777	20.3490192845904	20.2844255959461	20.1920411930527	20.3558282266118	20.3920159013556	20.2860623980332	20.1760987834355	20.2970662435262	20.2490355822657	20.2154436152233
"26S protease regulatory subunit 7"	20.2217732711684	20.3415324353195	20.2405570316055	20.2366551704235	20.1497792812129	20.2760011360245	20.0921903374738	20.1813726123078	20.2328136466915	20.2155948368823	20.3143386717846	20.2387661295143
"26S protease regulatory subunit 8"	20.2997530873525	20.3587331239065	20.4037878171678	20.274602694598	20.2810563703539	20.3593898343881	20.3673672467998	20.3176851547677	20.3038291530677	20.4317734132189	20.3329691174983	20.3201621588009
"26S proteasome non-ATPase regulatory subunit 1"	20.1568645875925	20.2677473145055	20.3536413373973	20.1695758254169	20.1641578462615	20.2880871518674	20.3681519470343	20.130725489687	20.196136178028	20.3127350479274	20.3511116122328	20.2388564490442
"26S proteasome non-ATPase regulatory subunit 10"	19.8361341334011	20.0177402261033	19.7922302368627	19.8675924808382	19.6244882651174	20.1218948299622	19.6238218419795	20.012462133845	19.8189165671231	20.0268745446397	19.7148434307821	19.8391494907503
"26S proteasome non-ATPase regulatory subunit 11"	20.3692154838238	20.4248686452785	20.3807490135124	20.2500638946857	20.3488185793219	20.4498043398912	20.4177089299697	20.3234945924218	20.3246501390956	20.4540541675604	20.4435421627701	20.2801345117702
"26S proteasome non-ATPase regulatory subunit 12"	19.6681966656998	19.8291242173511	19.8912294582426	19.8082636986283	19.80573409171	19.822003063615	19.8687496632181	19.6894161226429	19.7560493177415	19.810765571263	19.8745954116205	19.7241387091662
"26S proteasome non-ATPase regulatory subunit 13"	20.0549022657356	20.1775047123246	20.2098818740057	20.0360571668644	20.0352776036857	20.1471409627732	20.1742334051407	19.9724430232094	20.0635225004582	20.1837574502955	20.2030962078584	20.0576316301809
"26S proteasome non-ATPase regulatory subunit 14"	20.1178592764709	20.4710924088934	20.2605652143761	20.0995806205297	20.2518663354913	20.3342658237666	20.2763471969627	20.0992536249142	20.187250709354	20.3819152336281	20.2432753187531	20.2169638753977
"26S proteasome non-ATPase regulatory subunit 2"	20.2662300411464	20.4079891359219	20.4083593665304	20.2187426779484	20.2759201540047	20.4545259992827	20.4491628385022	20.3016851991956	20.3112756608293	20.3375390142632	20.3700689936929	20.2762912982362
"26S proteasome non-ATPase regulatory subunit 3"	20.102503694784	20.2366175374137	20.2860229024807	20.0582909430393	20.093115327046	20.2493405697907	20.250671304145	20.0314045729499	20.0610030216943	20.2743381007906	20.2303481905783	20.192167051721
"26S proteasome non-ATPase regulatory subunit 4"	19.8049643617518	20.0668315624581	20.120329894723	19.8147151292129	19.8389279257946	19.8357609914215	19.990324444803	19.8056615418489	19.8804590972146	20.1026872263398	20.0022226047564	19.8857475259574
"26S proteasome non-ATPase regulatory subunit 5"	19.0359803001515	18.8642373231772	19.1136049941504	19.0536515071839	19.0791137909742	19.1327726603767	19.2487676887962	19.0013896111483	18.9247821738066	19.0510491619173	19.1650219758613	19.0071170519739
"26S proteasome non-ATPase regulatory subunit 6"	20.2047617546541	20.2797885429642	20.1736554616833	20.1373895882185	20.1685984387446	20.2724349513533	20.189106823248	20.1071644281818	20.191233704457	20.276156710212	20.2761741179415	20.1240249268935
"26S proteasome non-ATPase regulatory subunit 7"	20.0075720240278	20.1677679055589	20.1298008458123	20.0342538537282	19.717788590143	20.1315991824399	20.292215647203	20.079986852922	19.9356733104933	20.2016382663324	20.1183423163765	20.1172901434343
