"rowname"	"Ref8537_QC1_20230414_1"	"Ref8537_QC2_20230414_1"	"Ref8537_QC3_20230414_1"	"Ref8537_QC4_20230414_1"	"Ref8537_S4_20230414"	"Ref8537_S8_20230414"	"Ref8537_S11_20230414"	"Ref8537_S18_20230414"	"Ref8537_S21_20230414"	"Ref8537_S26_20230414"	"Ref8537_S35_20230414"	"Ref8537_S37_20230414"	"Ref8537_S45_20230414"	"Ref8537_S49_20230414"	"Ref8537_S52_20230414"	"Ref8537_S60_20230414"	"Ref8537_S65_20230414"	"Ref8537_S69_20230414"	"Ref8537_S75_20230414"	"Ref8537_S79_20230414"	"Ref8537_S82_20230414"	"Ref8537_S88_20230414"	"Ref8537_S94_20230414"	"Ref8537_S100_20230414"
"P0A8D6"	23.8823542295183	23.8362549675378	23.5655228216549	23.6957873172358	23.9147628528448	23.9699520712804	24.051273341712	23.94285845201	23.5553184005509	23.9174514816994	23.8249599055351	23.7627769906741	24.0365425582458	23.9284363266996	23.9507278145316	23.90933388949	23.9921693988783	23.6867659504736	23.8341728084008	23.8024855997354	23.7626857639406	23.8684231907376	23.6761387293699	23.7986149762651
"P0AAX3"	22.621196492663	22.3917239769738	23.2511258119516	22.9425041248206	22.7370735952283	22.1840205617234	21.8213496982493	22.3853863769691	23.1925125592238	22.5831071058698	22.2815904973968	22.6464888356558	22.5225633334816	22.3139065789233	23.5032211117228	23.2876842016368	23.3857839517973	23.1104457136544	23.2588966519541	23.3989132696047	23.2799143144377	23.1342417373669	23.2476621650712	23.1457897584105
"P00959"	26.8822935849326	26.9362160214202	27.1327711256638	27.1841961600967	26.8462885472702	26.9271661476462	26.8042126717723	26.7054198794221	26.4361190497014	26.8003170587093	26.79327585591	26.1123231293357	26.8477227210473	26.8034245358738	27.0749007587144	27.1050658259415	27.1662997953408	26.7601366864687	27.2451318806885	27.0940001821969	27.2327537854273	27.2158791059287	27.0266068518591	27.1784231540335
"P0AEQ1"	23.2155718056842	23.1810048082044	22.106332900575	22.1075370083012	23.327207234805	23.3616396972755	23.1093683904725	23.281358439566	23.7769080703224	23.5875728981151	23.1478806324111	23.6739305579656	23.2049501791955	23.426291375771	22.3426476586895	22.6732469557338	22.2568715055988	22.6562166584609	22.4159490632481	22.3649954409174	22.2726064363004	22.2304116084027	22.4744035817226	22.32979305411
"P25738"	25.0498327658998	24.7990746623285	24.4735603460791	24.0457273380447	25.9248172143657	25.6451021818191	25.834618893991	25.4194343222725	25.2094752305008	25.6988631784656	25.9573127737804	26.994693962783	25.7384313453899	25.5329857891387	24.5626262748271	25.1699771303529	24.4829553845961	24.8934233769603	24.9101303187999	24.9646303012249	24.8411544853193	24.4760972308166	24.3884732599324	25.2540736268431
"P64596"	26.0373094955989	25.8393821944209	25.4092782729858	25.5510461417218	26.106520210118	26.1734182844049	26.0855116843054	26.0201723856483	26.3253331136026	26.0260854643546	26.2855816341184	26.586762952387	26.0978541942297	26.1260811789291	25.6721615841535	25.8489979377251	25.7793575725517	25.9858700726836	25.8127363814496	25.6588818754045	25.7805019217973	25.6524215900095	25.705071783907	25.8017285843198
"P00452"	26.4806878464855	26.5523543628734	26.2019480018814	26.3086523973215	26.2590062423091	26.5373843683695	26.60751149271	26.1072807804256	25.6476046651977	26.2757987776314	26.3964148753409	25.5510666835067	26.5502345071778	26.2205656448616	26.2472470982712	26.3164662630078	26.3216859229905	25.7331100994039	26.4623962406044	26.178312967503	26.3819039056038	26.3320894214508	26.0694655017138	26.3260689921673
"P10100"	24.5131367468055	24.2926210172225	24.4772404637822	24.2109878616355	24.8550695837309	24.4130031446993	24.2814362679986	24.7451599535083	25.136421378396	24.6234376864658	24.515965903802	25.0770544675463	24.5703259313645	24.6658283778822	24.6094263084962	24.6390602299818	24.5130764916572	24.7062080580498	24.3552139659084	24.5853566311157	24.4673229500528	24.4954039483107	24.642843200374	24.4890338026478
"P0AEG4"	27.0158454798557	26.734214173453	27.0706082370072	26.8251856078156	27.0158667427062	26.8221125409253	26.9687201349797	27.0386810032211	27.0905921998747	27.0535164458373	27.0586446366794	27.4968839412824	27.1591363819926	26.9800336460596	27.1695146306968	27.3596355666603	27.129669778649	27.2969899109095	27.0834882545511	27.1331926295431	27.1252121988665	27.0861538035407	27.1936070216036	27.1581348982571
"P19934"	22.0014563017523	21.8534885103804	22.003869918067	21.7796736739498	22.1487992855448	21.7948608330454	22.010110092979	22.2755817700957	22.8212951940489	22.2102075866131	21.7408471756779	21.8214664860313	21.9084453979015	22.3447997661293	22.1692944134708	22.0642572699869	22.0514990537696	22.4676090324846	21.9708227954091	22.1392521837851	21.921347017651	22.0056903320618	22.2988501627384	21.9292475710434
"P0A9B2"	29.9563758027247	30.0348301466788	30.9325403704418	31.1474655336786	29.9621253613865	29.9548932376407	30.0183815210479	29.9430753897209	29.710468687557	29.8957159094868	29.8793968799502	29.3377990901261	30.1451710221884	29.9779695892321	31.1815115998557	31.1571194642007	31.1406624348978	31.0759782699595	30.9833960639926	31.0585440059494	31.1446910200435	31.2324187221366	30.9343554619468	31.2885376601814
"P0A8I8"	23.3829775229104	23.5656855071581	23.5789636741084	23.4715462264824	23.5147747224173	23.5863821493927	23.2909070018002	23.5653252503061	23.4518525136577	23.5478556826451	23.3077339062621	23.8588866916615	23.2646344474005	23.4296279159489	23.5335740318917	23.5657552239011	23.5842500873679	23.6489763039722	23.3802316939928	23.5914931277266	23.5267499505662	23.4366337770807	23.5114245206749	23.4521416800322
"P0A8T7"	27.9992287956862	28.0373094955989	28.2689540907868	28.2954930440396	28.0024515922866	27.9659493785603	28.0805230048099	28.0590780426761	27.8960191875196	28.0679189107783	27.8685715523131	26.9504586282374	28.0142126203539	28.0442582779388	28.2709999518077	28.245109207321	28.2662887861842	28.1602045068736	28.2792785119985	28.2495735161774	28.2588292767022	28.2527255179901	28.2343628343331	28.2301260833143
"P0A794"	24.8328216539673	24.8900818457185	24.64441193065	24.5373473368596	24.5713274632473	24.5628707865834	24.5340967130597	24.6674806115173	24.6489982395965	24.6720752372389	24.578249673866	24.5168616497814	24.7172603497057	24.704293539444	24.6278907362973	24.5688831985417	24.7289188285144	24.5677117278772	24.5095773801311	24.633660891047	24.6569770933898	24.6699473123006	24.6459954429676	24.4951111230721
"P0A7J3"	29.84594024623	29.7070109511023	30.1349777540024	30.1167661277171	29.9113652876024	29.8563291230991	29.8107903341316	29.7607870657271	29.5960211873005	29.7505580948681	29.8321591864422	30.1575471658976	29.8867156979301	29.7925468812833	30.1755993448886	30.4705625469859	30.1959290626186	30.2978361349955	30.3774007797936	30.1978631983109	30.297212994891	30.2320240939033	30.1062446290124	30.3162120355926
"P00935"	25.7214934005878	25.6898370966246	25.7761349998523	25.7016232140619	25.8200707401756	25.7650608462178	25.5204480749187	25.5947993171845	25.7828353827221	25.6706794781955	25.4145362117585	24.6959678074001	25.5913761322853	25.6266464924875	25.7511294662683	25.8046853467282	25.6821616761124	25.7472413358326	25.6746526248738	25.6502151441186	25.7002822263547	25.810945967507	25.61381036828	25.7159757062665
"P0ACF4"	30.3928740641683	30.1517775850682	30.0536976905595	29.5664395037075	30.5275719187184	30.2483931311101	30.1948847240195	30.396104109466	31.2369178519231	30.4135092369475	30.2986884171082	31.0589826013442	30.391891350653	30.3463172189043	30.1789027473529	30.0205555126817	29.9857930021906	30.2096927456182	29.743999407417	30.0928012484408	29.8984200535014	29.9413692000961	30.3456935290475	29.9723514351302
