rowname	Ref8537_QC1_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S11_20230414	Ref8537_S35_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414
A5A614	18.08547165307155	17.53145753778495	17.07863087800905	18.00104553171585	18.32292768382755	17.90704764093935	17.42975756156465	17.80135249262185	17.61207297274455	17.795719023012552	17.61025765245505	17.36597140682985	17.61358556174275	17.61356678154175	17.43053597594005	17.61000351350605
O32583	18.68915740085736	18.351043276469163	17.476821360459162	19.530836559132663	19.270982125621362	19.078269100190862	18.35409078834046	18.26270561837116	18.28030754745086	18.27344175951876	18.628708892285363	18.195343586446963	18.16050159243726	17.914318697118063	18.26567783387486	18.10229072914366
P00350	25.233602769681806	25.429761279124907	25.476276142924906	25.267410138645207	25.322858986175707	25.313360249673504	25.425954837514706	25.496410222400307	25.642680018038906	25.393732333814906	25.639847504533407	25.544129466963206	25.489859126957906	25.505546699766008	25.557668361743307	25.509063215589407
P00363	23.488475602070704	23.508184064965505	23.344000420716807	22.848884108262403	23.110215131239304	23.399441138975305	23.330066182990304	23.090417031511706	23.192810068418005	23.348194625770606	23.002335300613407	23.204031362170905	23.150877862946306	23.381771560171106	23.166922829521706	23.095359831297706
P00370	24.361663212971493	24.929576010385293	24.768016223046192	24.070519803919993	24.009633396264892	24.006777385427192	24.92354840233289	24.85044504221459	24.829157915850793	24.27401599386739	24.675952282938393	24.777952532664393	24.960715259170392	25.149434056567493	24.30138800671139	24.859357051326693
P00393	22.72666750506861	22.60181188049561	22.694582771212612	22.76133925698221	22.59352655488191	22.435612316661313	22.56542004690441	22.64622709494371	22.495682904449513	22.23287620423261	22.63917160748101	22.50703167566931	22.70598378022251	22.77421750661131	22.383093415410112	22.67176044546581
P00448	24.96660458771822	24.41116838580682	24.36459144419372	25.59681336318242	24.96478132212622	25.48659957208962	24.45169703897842	24.30435020044682	24.59136048412602	24.56442833438712	24.66829583141402	24.86152733900592	24.560903753325018	24.38715071362282	24.71492874697662	24.56423638570192
P00452	22.919125475430526	22.64038563082643	22.747090026266527	23.045949121655028	22.834852504285926	22.65900327380663	22.685684727216227	22.75490389195283	22.76012355193553	22.171547728348926	22.900833869549427	22.61675059644803	22.820341534548827	22.770527050395827	22.50790313065883	22.76450662111233
P00490	22.298244232274765	22.926132405414766	23.061846201356566	22.583261897078266	22.195404085982567	22.273019498033566	22.949672514941067	22.882300376255966	22.926672671641168	22.679217725236267	22.852366467850665	23.051766157122568	22.991546392027566	23.022021231516067	22.930223443517868	23.055260118934765
P00509	25.130087668504277	24.604449320088175	24.726276810248276	25.153811490921576	25.144817542505677	24.900319555486075	24.638716972372276	24.813978542773977	24.884206851992477	24.637111649007174	25.001020447356776	24.747372972679376	24.973709384081275	24.808653528309275	24.663775295734375	24.896671652980675
