"gene_ID"	"ERS436842"	"ERS436841"	"ERS436840"	"ERS436839"	"ERS436838"	"ERS436837"	"ERS436835"	"ERS436834"	"ERS436833"	"ERS436832"	"ERS436831"	"ERS436829"	"ERS436828"	"ERS436827"	"ERS436826"	"ERS436825"	"ERS436824"	"ERS436823"	"ERS436822"	"ERS436820"	"ERS436819"	"ERS436818"	"ERS436817"	"ERS436815"	"ERS436814"	"ERS436813"	"ERS436812"	"ERS436811"	"ERS436810"	"ERS436809"	"ERS436808"	"ERS436807"	"ERS436806"	"ERS436805"	"ERS436803"	"ERS436802"	"ERS436801"	"ERS436800"
"msp_0011"	3.10650814684806	-6.32282139830045	-0.0454156553442476	3.16622607845759	3.21199627713599	0.727148364606012	-1.8008895219334	-8.71596570146544	3.16448522947997	2.56820427107625	-0.401585194205552	0.27111563242333	1.75996710657836	3.28387928105054	1.29355443801852	5.73524510912346	-4.17247678678303	2.60381808440418	1.08930275032804	0.57195030329507	-1.05587143124675	0.717149280226372	1.25721706141152	1.00740917866269	0.921410114915632	-1.28337466551738	0.941201633355962	-0.116589780616371	-1.96109568358809	-12.0406322005623	4.12917804976902	1.97844793495542	-6.23577767710519	1.59592531635103	-2.27547570677616	1.64371260024061	-5.06802786905188	4.25218047042907
"msp_0012"	3.17392857459262	1.64339993532022	1.64803572596899	1.62700551119845	2.35295936206165	0.388640104239237	1.55872606745676	1.6227958534668	1.75871178652789	2.95618333173767	-0.480187697365001	-0.199421318528971	2.88001361825446	3.68522490093198	1.7805102426476	-2.82764193037404	3.30131852197928	-2.42672557611464	2.04275487180035	2.0164687350389	-0.837706853577249	1.14463413798657	3.45971230176775	2.64982036102814	0.599361333787054	2.10955957801277	1.95419897535765	0.954408919060991	-5.09749890334535	0.540106854971107	3.61774115271286	2.26828042018772	1.75934438191698	2.19293489998256	2.11879047661667	1.27610891572374	0.159969001311948	-5.03468604314515
"msp_0013"	3.71722981405349	2.99262042713083	1.97165223219798	-5.72824578825497	1.24953067822202	4.08544754389262	-4.62572708551996	2.28785600913855	3.08381448240502	3.96460874447223	3.06965936934428	-5.13868332201517	5.08662402503437	2.28579561321575	5.66968977325425	-3.74746593533402	4.82509936436431	3.71171232238875	2.58282114726108	-5.1246284973409	-6.66525854124189	2.10846791495084	5.44063014497393	6.52662299670598	-0.933031784645385	-5.75413964362467	3.60204858606948	0.632955442057055	3.01452328755636	4.6059873047157	4.85477289637664	4.15347503827067	4.51051121037516	-4.70357650281379	-1.70486112715903	1.67158545476788	3.31658883920104	-2.18878244801996
"msp_0014"	-12.0406322005623	-12.0406322005623	-4.29917022648625	-12.0406322005623	-6.42592235644705	-12.0406322005623	-6.64394122744134	-4.23185956050697	-12.0406322005623	-2.93107657752049	-12.0406322005623	-4.14472782188475	-7.17834613268164	-5.58113547512628	-6.51875988636088	-5.40050026179764	-3.30081713542072	-3.59985207300653	-5.45097962845556	-1.00665376746184	-6.92135850269239	-4.67119793805327	-1.37488047971054	-12.0406322005623	-12.0406322005623	-12.0406322005623	-0.0210657889034958	-8.23399252656337	-12.0406322005623	-1.06583681731745	-3.04592840937188	-1.43900915909753	-4.29813458020474	-2.30144701678515	-6.69248587552559	-6.05749511964568	-6.37282735543608	-12.0406322005623
"msp_0015"	3.69808148248325	3.68350294911852	-0.819138960436176	-12.0406322005623	2.26007784299026	-4.7882880256242	4.50822556039612	-4.92647616272251	0.185798896073496	-1.93883218515802	1.23898968553397	-2.29973257586014	-5.28936487982334	-7.0810122875725	-12.0406322005623	-3.189517600424	4.27118934578619	-1.28622985248005	-0.280364624873628	5.68264840510679	0.45631437429415	3.75789753517089	-6.68007012081476	5.46243803289786	-4.76325974004524	3.75455896868451	-3.23608814155789	3.56388894680234	3.68957446333517	-7.13649044274105	4.78982672025765	1.12426779100579	2.81583141125875	-4.18273273770772	1.92906266203284	4.62753552528566	1.47821709848538	3.40155463952193
"msp_0016"	-5.18507697460968	-1.31622127596611	-12.0406322005623	-6.89773762567031	-12.0406322005623	-5.62873480118168	-0.356233628536552	-12.0406322005623	-12.0406322005623	-5.81474993417007	-12.0406322005623	-12.0406322005623	-7.17834613268164	-7.64297710505302	-12.0406322005623	-4.53262082558648	5.00052926066563	-6.43211432483219	-12.0406322005623	-7.30386801189358	-5.80667459495611	-6.9586423913407	-7.39381404745497	-3.08383098423761	-12.0406322005623	-12.0406322005623	-12.0406322005623	-7.68381289350812	-3.55504336784069	5.14525660317466	-12.0406322005623	-7.84671477208803	-8.62260830793142	-5.11564280027436	-12.0406322005623	-6.35180179277433	-12.0406322005623	-6.8142486497497
"msp_0017"	-5.27447126831196	4.2883181784845	0.529431215971843	-6.89773762567031	1.52268325832404	-2.31256223946207	0.832356359157357	-12.0406322005623	3.51040323474718	4.26029251488949	-0.984073655082824	0.437523537824594	5.57176489865387	-5.75587653479495	-8.80377155936348	7.64371700706804	3.06811657887108	-2.46010542524169	-1.04682823172052	2.73906596135589	-12.0406322005623	2.63450037759166	-6.99324623005109	-5.08743114705339	-6.9519501334983	-5.61385437853976	-1.3869450225725	-0.343348766329348	0.473789635256537	-8.0890959739767	-0.714773449268044	-1.70266121564836	-6.00518869125245	2.79630745835077	0.32720969664373	-0.141997223459874	-2.45208142785293	-5.71967272608655
"msp_0018"	-12.0406322005623	-12.0406322005623	-2.97284700163201	-6.89773762567031	-5.97454301010448	-6.70903536578457	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-3.22421534299022	-4.68393668377249	-4.22555290061207	-12.0406322005623	-12.0406322005623	-12.0406322005623	-5.44697530008802	-3.04470737283806	-12.0406322005623	-1.52952578781579	-12.0406322005623	-12.0406322005623	-4.14368159774092	-12.0406322005623	-7.56440299370829	-12.0406322005623	-12.0406322005623	-4.44969186337199	0.740264524276823	-12.0406322005623	-12.0406322005623	-12.0406322005623	-6.10381880884431	-12.0406322005623	-12.0406322005623	-12.0406322005623	2.58102839060827
"msp_0020"	-8.52501699443267	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-12.0406322005623	-5.72284572841737	-12.0406322005623	-2.42950399348151	-12.0406322005623	-4.12216203401009	-7.17811393013807	-5.97824870868592	-6.04047012949627	2.65732871455996	-5.06748535829119	-2.57561489065665	-4.81629033739056	-4.40961839316063	-12.0406322005623	-12.0406322005623	-6.9519501334983	-12.0406322005623	-5.26423249332156	-8.23399252656337	-12.0406322005623	-12.0406322005623	0.869814323172734	-3.99158316512269	-12.0406322005623	-12.0406322005623	-2.88033201329089	-4.31874702563037	-12.0406322005623	-0.24557320139771
"msp_0021"	2.91572495801017	-12.0406322005623	-6.65794952169089	-3.09971957603721	-12.0406322005623	3.0062725034215	2.50385458926159	0.229342444137087	-1.02184707306501	2.68762946284171	-1.83625160753276	-3.05174009720103	1.87613539684892	1.76138290422747	-0.419477688068285	1.75998929196902	0.759156520880676	4.15101197531362	-1.30764804134637	-6.73705540749958	-0.0135934688461929	-0.0147411471787864	-3.20150334279297	3.95393746319973	-0.27879505308482	-3.93896000973969	-5.97563393987	-1.83591400970162	-3.52037378440558	-4.85363186385545	-3.27989466809312	-5.58926874411474	-6.61488192696643	-1.16486454653164	2.30445813769652	0.495297741594462	0.081498523103452	3.85220255468251
