"pseudo_sample"	"client"	"condition"	"rep"	"Transcriptomics_file"	"Transcriptomics_batch"	"Transcriptomics_lab"	"Transcriptomics_platform"	"Transcriptomics_protocol"	"Transcriptomics_date"	"Proteomics_file"	"Proteomics_batch"	"Proteomics_lab"	"Proteomics_platform"	"Proteomics_protocol"	"Proteomics_date"	"Metabolomics_file"	"Metabolomics_batch"	"Metabolomics_lab"	"Metabolomics_platform"	"Metabolomics_protocol"	"Metabolomics_date"
"client_01_L01_D5_1_1"	"client_01_L01"	"D5"	1	"P_ILM_L1_B1_D5_1"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	20200602	"B1_DDA_ABS_QTOF6600_B1_D5_1"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	20180319	"U_L1_D5_01"	"U_L1_01"	"L01"	"U"	"not_available"	20200601
"client_01_L01_D5_2_1"	"client_01_L01"	"D5"	2	"P_ILM_L1_B1_D5_2"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	20200602	"B1_DDA_ABS_QTOF6600_B1_D5_2"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	20180319	"U_L1_D5_02"	"U_L1_01"	"L01"	"U"	"not_available"	20200601
"client_01_L01_D5_3_1"	"client_01_L01"	"D5"	3	"P_ILM_L1_B1_D5_3"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	20200602	"B1_DDA_ABS_QTOF6600_B1_D5_3"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	20180319	"U_L1_D5_03"	"U_L1_01"	"L01"	"U"	"not_available"	20200601
"client_01_L01_D6_1_1"	"client_01_L01"	"D6"	1	"P_ILM_L1_B1_D6_1"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	20200602	"B1_DDA_ABS_QTOF6600_B1_D6_1"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	20180319	"U_L1_D6_01"	"U_L1_01"	"L01"	"U"	"not_available"	20200601
"client_01_L01_D6_2_1"	"client_01_L01"	"D6"	2	"P_ILM_L1_B1_D6_2"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	20200602	"B1_DDA_ABS_QTOF6600_B1_D6_2"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	20180319	"U_L1_D6_02"	"U_L1_01"	"L01"	"U"	"not_available"	20200601
"client_01_L01_D6_3_1"	"client_01_L01"	"D6"	3	"P_ILM_L1_B1_D6_3"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	20200602	"B1_DDA_ABS_QTOF6600_B1_D6_3"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	20180319	"U_L1_D6_03"	"U_L1_01"	"L01"	"U"	"not_available"	20200601
"client_01_L01_F7_1_1"	"client_01_L01"	"F7"	1	"P_ILM_L1_B1_F7_1"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	20200602	"B1_DDA_ABS_QTOF6600_B1_F7_1"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	20180319	"U_L1_F7_01"	"U_L1_01"	"L01"	"U"	"not_available"	20200601
"client_01_L01_F7_2_1"	"client_01_L01"	"F7"	2	"P_ILM_L1_B1_F7_2"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	20200602	"B1_DDA_ABS_QTOF6600_B1_F7_2"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	20180319	"U_L1_F7_02"	"U_L1_01"	"L01"	"U"	"not_available"	20200601
"client_01_L01_F7_3_1"	"client_01_L01"	"F7"	3	"P_ILM_L1_B1_F7_3"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	20200602	"B1_DDA_ABS_QTOF6600_B1_F7_3"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	20180319	"U_L1_F7_03"	"U_L1_01"	"L01"	"U"	"not_available"	20200601
"client_01_L01_M8_1_1"	"client_01_L01"	"M8"	1	"P_ILM_L1_B1_M8_1"	"P_ILM_L1_B1"	"L01"	"ILM"	"P"	20200602	"B1_DDA_ABS_QTOF6600_B1_M8_1"	"ABS_QTOF6600_1"	"L01"	"ABS"	"not_available"	20180319	"U_L1_M8_01"	"U_L1_01"	"L01"	"U"	"not_available"	20200601
