"rowname"	"U_L1_D5_01"	"U_L1_D5_02"	"U_L1_D5_03"	"U_L1_D6_01"	"U_L1_D6_02"	"U_L1_D6_03"	"U_L1_F7_01"	"U_L1_F7_02"	"U_L1_F7_03"	"U_L1_M8_01"	"U_L1_M8_02"	"U_L1_M8_03"
"HMDB0000883|L-Valine"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000214|L-Ornithine"	14.238	13.834	13.757	14.099	13.548	13.845	13.092	13.171	13.415	13.942	14.121	14.093
"HMDB0000222|L-Palmitoylcarnitine"	14.49	14.056	13.971	14.625	14.323	12.408	13.572	13.583	14.142	14.371	14.18	14.784
"HMDB0000176|Maleic acid"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000202|Methylmalonic acid"	11.864	11.865	11.773	11.935	11.712	11.498	12.205	12.156	12.293	12.371	12.217	12.255
"HMDB0000806|Myristic acid"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000215|N-Acetyl-D-glucosamine"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000812|N-Acetyl-L-aspartic acid"	13.968	14.044	13.944	11.925	11.904	11.743	12.163	12.205	12.386	12.651	12.734	13.027
"HMDB0000230|N-Acetylneuraminic acid"	8.936	9.6	9.171	11.924	11.599	11.649	11.988	11.925	12.312	9.821	10.353	10.05
"HMDB0002931|N-Acetylserine"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000207|Oleic acid"	15.015	14.061	15.146	15.045	15.032	15.247	15.118	15.382	14.562	15.17	15.291	15.323
"HMDB0000824|Propionyl-L-carnitine"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000243|Pyruvate"	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000939|S-Adenosylhomocysteine"	12	12.056	11.837	12.452	12.492	12.563	12.761	12.532	12.799	12.815	12.88	13.048
"HMDB0000254|Succinate"	0	0	0	0	0	0	0	0	0	0	0	0
