"rowname"	"Ref8537_QC1_20230414_1"	"Ref8537_QC3_20230414_1"	"Ref8537_QC4_20230414_1"	"Ref8537_S11_20230414"	"Ref8537_S35_20230414"	"Ref8537_S49_20230414"	"Ref8537_S52_20230414"	"Ref8537_S60_20230414"	"Ref8537_S65_20230414"	"Ref8537_S69_20230414"	"Ref8537_S75_20230414"	"Ref8537_S79_20230414"	"Ref8537_S82_20230414"	"Ref8537_S88_20230414"	"Ref8537_S94_20230414"	"Ref8537_S100_20230414"
"P10121"	30973000	28758000	29576800	28367400	28863000	27370700	27459800	29912900	30345100	25940800	30565100	28593500	29785300	30140300	28512800	28848500
"Q46871"	18073500	12872900	16774000	20470000	17953000	16580800	13264500	16450300	16963000	13256900	22067600	17042200	21593000	15499100	11411800	22319600
"P76541"	16674100	12550000	13850700	19211400	15925700	16123300	12247600	15550300	13654500	13095400	13719300	17307700	14837900	13895500	12866300	14898500
"P60293"	26037100	22723000	25319800	27350400	25668200	26325000	23744700	25219600	24734000	18870000	27273600	24945400	26431300	25209000	22669700	26160900
"P77674"	32226600	3996770	5145580	69340200	34500500	35424000	3746130	4973730	4301780	5313360	5371310	4636440	4342810	3602450	4382970	4991590
"P33232"	122260000	86602900	84849500	141180000	118667000	131606000	79982100	78220600	91369700	78923600	99038600	98884900	92289000	83524000	95502000	89100300
"P08337"	7091560	6168280	7047930	5256400	6176110	5063630	6052100	7472460	7048020	5449820	7670720	5819900	7681540	7083700	5760520	7929260
"P0A9W3"	94709800	84215800	85980300	108168000	93812400	104151000	80663900	80571800	81691900	88740100	86244100	89570900	85291800	81960500	92402200	83696300
"P45955"	21739000	19897400	17374700	18990300	21824500	22444600	22298200	23955100	21057000	24879800	20743600	22402500	21826100	20594000	23043200	24014200
"P29131"	8402170	9803020	8578570	8387540	8262210	9962640	9773170	9724010	8853630	11243700	8682450	10161700	9131310	9458020	10859100	9653840
"P15639"	91768500	99074000	108321000	101220000	99487600	81395100	107149000	113241000	110971000	93001200	120045000	100990000	119586000	119869000	97872100	115877000
"P09832"	160290000	403715000	374331000	162060000	138893000	184080000	396029000	369166000	395129000	402088000	375571000	421948000	357682000	375762000	460988000	345198000
"P31224"	28785300	32157500	33238300	33842300	27938700	31206900	31991600	32700600	31611000	31825500	32559900	32763200	32736600	32067300	33140700	32438200
